#wls	flux	fluxerr
1.570938E+03	1.989929E-02	2.499823E-04
1.610211E+03	2.115465E-02	2.654141E-04
1.649485E+03	2.254116E-02	2.824389E-04
1.688758E+03	2.407034E-02	3.011924E-04
1.728031E+03	2.576419E-02	3.219400E-04
1.767305E+03	2.763738E-02	3.448532E-04
1.806578E+03	2.971088E-02	3.701808E-04
1.845852E+03	3.201303E-02	3.982609E-04
1.885125E+03	3.456416E-02	4.293290E-04
1.924399E+03	3.739465E-02	4.637433E-04
1.963672E+03	4.053172E-02	5.018191E-04
2.002946E+03	4.401072E-02	5.439687E-04
2.042219E+03	4.785684E-02	5.904751E-04
2.081492E+03	5.209914E-02	6.416654E-04
2.120766E+03	5.676379E-02	6.978268E-04
2.160039E+03	6.185796E-02	7.590094E-04
2.199313E+03	6.738032E-02	8.251567E-04
2.238586E+03	7.333875E-02	8.963231E-04
2.277860E+03	7.975208E-02	9.726937E-04
2.317133E+03	8.668217E-02	1.054973E-03
2.356406E+03	9.418311E-02	1.143763E-03
2.395680E+03	1.023023E-01	1.239576E-03
2.434953E+03	1.110915E-01	1.342970E-03
2.474227E+03	1.205647E-01	1.454034E-03
2.513500E+03	1.307297E-01	1.572783E-03
2.552774E+03	1.415637E-01	1.698858E-03
2.592047E+03	1.530217E-01	1.831632E-03
2.631321E+03	1.650082E-01	1.969879E-03
2.670594E+03	1.773852E-01	2.111875E-03
2.709867E+03	1.899600E-01	2.255262E-03
2.749141E+03	2.024793E-01	2.396988E-03
2.788414E+03	2.146318E-01	2.533349E-03
2.827688E+03	2.260604E-01	2.660147E-03
2.866961E+03	2.363656E-01	2.772742E-03
2.906235E+03	2.451271E-01	2.866310E-03
2.945508E+03	2.519094E-01	2.935923E-03
2.955326E+03	2.532511E-01	2.949088E-03
2.965145E+03	2.544292E-01	2.960307E-03
2.974963E+03	2.554470E-01	2.969626E-03
2.984782E+03	2.562910E-01	2.976891E-03
2.994600E+03	2.569590E-01	2.982081E-03
3.004418E+03	2.574488E-01	2.985177E-03
3.014237E+03	2.577421E-01	2.985971E-03
3.024055E+03	2.578480E-01	2.984575E-03
3.033873E+03	2.577489E-01	2.980790E-03
3.043692E+03	2.574488E-01	2.974670E-03
3.053510E+03	2.569363E-01	2.966088E-03
3.063328E+03	2.562058E-01	2.954987E-03
3.073147E+03	2.552621E-01	2.941429E-03
3.082965E+03	2.540906E-01	2.925254E-03
3.092784E+03	2.527018E-01	2.906587E-03
3.102602E+03	2.510778E-01	2.885232E-03
3.112420E+03	2.492297E-01	2.861324E-03
3.122239E+03	2.471464E-01	2.834741E-03
3.132057E+03	2.448355E-01	2.805581E-03
3.141875E+03	2.422920E-01	2.773793E-03
3.151694E+03	2.395205E-01	2.739438E-03
3.161512E+03	2.365273E-01	2.702595E-03
3.171330E+03	2.333384E-01	2.663570E-03
3.181149E+03	2.299806E-01	2.622675E-03
3.190967E+03	2.264978E-01	2.580416E-03
3.200785E+03	2.229438E-01	2.537411E-03
3.210604E+03	2.193828E-01	2.494392E-03
