#wls	flux	fluxerr
1.570938E+03	1.634045E-04	1.227893E-05
1.610211E+03	1.654012E-04	1.240913E-05
1.649485E+03	1.675069E-04	1.254652E-05
1.688758E+03	1.697292E-04	1.269159E-05
1.728031E+03	1.721070E-04	1.284719E-05
1.767305E+03	1.745878E-04	1.300930E-05
1.806578E+03	1.772117E-04	1.318084E-05
1.845852E+03	1.800215E-04	1.336490E-05
1.885125E+03	1.829646E-04	1.355745E-05
1.924399E+03	1.861189E-04	1.376417E-05
1.963672E+03	1.894320E-04	1.398106E-05
2.002946E+03	1.929864E-04	1.421409E-05
2.042219E+03	1.967655E-04	1.446188E-05
2.081492E+03	2.007517E-04	1.472299E-05
2.120766E+03	2.050365E-04	1.500396E-05
2.160039E+03	2.096069E-04	1.530365E-05
2.199313E+03	2.144491E-04	1.562084E-05
2.238586E+03	2.196658E-04	1.596283E-05
2.277860E+03	2.252495E-04	1.632878E-05
2.317133E+03	2.312329E-04	1.672082E-05
2.356406E+03	2.376524E-04	1.714126E-05
2.395680E+03	2.445479E-04	1.759269E-05
2.434953E+03	2.519638E-04	1.807790E-05
2.474227E+03	2.599488E-04	1.860003E-05
2.513500E+03	2.685568E-04	1.916247E-05
2.552774E+03	2.778475E-04	1.976900E-05
2.592047E+03	2.878864E-04	2.042375E-05
2.631321E+03	2.987460E-04	2.113127E-05
2.670594E+03	3.105616E-04	2.190045E-05
2.709867E+03	3.233124E-04	2.272909E-05
2.749141E+03	3.371481E-04	2.362693E-05
2.788414E+03	3.522374E-04	2.460487E-05
2.827688E+03	3.685731E-04	2.566141E-05
2.866961E+03	3.863412E-04	2.680842E-05
2.906235E+03	4.057506E-04	2.805916E-05
2.945508E+03	4.268078E-04	2.941273E-05
2.955326E+03	4.323971E-04	2.977167E-05
2.965145E+03	4.380290E-04	3.013278E-05
2.974963E+03	4.438613E-04	3.050686E-05
2.984782E+03	4.497395E-04	3.088329E-05
2.994600E+03	4.558253E-04	3.127314E-05
3.004418E+03	4.620426E-04	3.167115E-05
3.014237E+03	4.683107E-04	3.207177E-05
3.024055E+03	4.747980E-04	3.248651E-05
3.033873E+03	4.814252E-04	3.290990E-05
3.043692E+03	4.881082E-04	3.333618E-05
3.053510E+03	4.950223E-04	3.377728E-05
3.063328E+03	5.019957E-04	3.422144E-05
3.073147E+03	5.092085E-04	3.468092E-05
3.082965E+03	5.165756E-04	3.514988E-05
3.092784E+03	5.240068E-04	3.562216E-05
3.102602E+03	5.316902E-04	3.611050E-05
3.112420E+03	5.395366E-04	3.660882E-05
3.122239E+03	5.474521E-04	3.711070E-05
