#wls	flux	fluxerr
1.570938E+03	1.762720E-03	1.612691E-04
1.610211E+03	1.802383E-03	1.647055E-04
1.649485E+03	1.843566E-03	1.682674E-04
1.688758E+03	1.885858E-03	1.719165E-04
1.728031E+03	1.929889E-03	1.757094E-04
1.767305E+03	1.974675E-03	1.795556E-04
1.806578E+03	2.020636E-03	1.834924E-04
1.845852E+03	2.067354E-03	1.874812E-04
1.885125E+03	2.113920E-03	1.914387E-04
1.924399E+03	2.160240E-03	1.953562E-04
1.963672E+03	2.206501E-03	1.992499E-04
2.002946E+03	2.253130E-03	2.031580E-04
2.042219E+03	2.301195E-03	2.071758E-04
2.081492E+03	2.354106E-03	2.116090E-04
2.120766E+03	2.413958E-03	2.166427E-04
2.160039E+03	2.481691E-03	2.223576E-04
2.199313E+03	2.556447E-03	2.286726E-04
2.238586E+03	2.635443E-03	2.353354E-04
2.277860E+03	2.715192E-03	2.420322E-04
2.317133E+03	2.794213E-03	2.486300E-04
2.356406E+03	2.870671E-03	2.549652E-04
2.395680E+03	2.942088E-03	2.608185E-04
2.434953E+03	3.008765E-03	2.662182E-04
2.474227E+03	3.068455E-03	2.709675E-04
2.513500E+03	3.120470E-03	2.750088E-04
2.552774E+03	3.163579E-03	2.782370E-04
2.592047E+03	3.197085E-03	2.805953E-04
2.631321E+03	3.219816E-03	2.819858E-04
2.670594E+03	3.231238E-03	2.823678E-04
2.709867E+03	3.229984E-03	2.816281E-04
2.749141E+03	3.216506E-03	2.798135E-04
2.788414E+03	3.191073E-03	2.769546E-04
2.827688E+03	3.153905E-03	2.730781E-04
2.866961E+03	3.106674E-03	2.683360E-04
2.906235E+03	3.051528E-03	2.629200E-04
2.945508E+03	2.990705E-03	2.570284E-04
2.955326E+03	2.975046E-03	2.555189E-04
2.965145E+03	2.959246E-03	2.539983E-04
2.974963E+03	2.943744E-03	2.525043E-04
2.984782E+03	2.927800E-03	2.509735E-04
2.994600E+03	2.912265E-03	2.494788E-04
3.004418E+03	2.896812E-03	2.479922E-04
3.014237E+03	2.881864E-03	2.465498E-04
3.024055E+03	2.867088E-03	2.451230E-04
3.033873E+03	2.852535E-03	2.437164E-04
3.043692E+03	2.838621E-03	2.423652E-04
3.053510E+03	2.825388E-03	2.410731E-04
3.063328E+03	2.812530E-03	2.398138E-04
3.073147E+03	2.800453E-03	2.386220E-04
3.082965E+03	2.788865E-03	2.374723E-04
3.092784E+03	2.778502E-03	2.364277E-04
3.102602E+03	2.768733E-03	2.354341E-04
3.112420E+03	2.759953E-03	2.345251E-04
3.122239E+03	2.752213E-03	2.337047E-04
3.132057E+03	2.745886E-03	2.330045E-04
3.141875E+03	2.740375E-03	2.323735E-04
3.151694E+03	2.736372E-03	2.318704E-04
3.161512E+03	2.733605E-03	2.314717E-04
3.171330E+03	2.732121E-03	2.311813E-04
3.181149E+03	2.732273E-03	2.310287E-04
3.190967E+03	2.733795E-03	2.309912E-04
3.200785E+03	2.737026E-03	2.310972E-04
3.210604E+03	2.741999E-03	2.313492E-04
3.220422E+03	2.748446E-03	2.317241E-04
3.230241E+03	2.756983E-03	2.322736E-04
3.240059E+03	2.767041E-03	2.329495E-04
3.249877E+03	2.778931E-03	2.337776E-04
3.259696E+03	2.792946E-03	2.347822E-04
3.269514E+03	2.808801E-03	2.359389E-04
3.279332E+03	2.826489E-03	2.372469E-04
3.289151E+03	2.846279E-03	2.387283E-04
3.298969E+03	2.868147E-03	2.403806E-04
3.308787E+03	2.891780E-03	2.421773E-04
3.318606E+03	2.917414E-03	2.441377E-04
3.328424E+03	2.944993E-03	2.462569E-04
3.338243E+03	2.974452E-03	2.485288E-04
3.348061E+03	3.005711E-03	2.509466E-04
3.357879E+03	3.038954E-03	2.535251E-04
3.367698E+03	3.073799E-03	2.562322E-04
3.377516E+03	3.110130E-03	2.590578E-04
3.387334E+03	3.148361E-03	2.620360E-04
3.397153E+03	3.187801E-03	2.651091E-04
3.406971E+03	3.228568E-03	2.682866E-04
3.416789E+03	3.270766E-03	2.715766E-04
3.426608E+03	3.313948E-03	2.749420E-04
3.436426E+03	3.357936E-03	2.783677E-04
3.446244E+03	3.402545E-03	2.818383E-04
3.456063E+03	3.448131E-03	2.853829E-04
3.465881E+03	3.493978E-03	2.889422E-04
3.475700E+03	3.540186E-03	2.925243E-04
3.485518E+03	3.586863E-03	2.961382E-04
3.495336E+03	3.633607E-03	2.997505E-04
3.505155E+03	3.680302E-03	3.033515E-04
3.514973E+03	3.727123E-03	3.069557E-04
3.524791E+03	3.774003E-03	3.105576E-04
3.534610E+03	3.820901E-03	3.141536E-04
3.544428E+03	3.867800E-03	3.177424E-04
3.554246E+03	3.914968E-03	3.213460E-04
3.564065E+03	3.962187E-03	3.249464E-04
3.573883E+03	4.009537E-03	3.285500E-04
3.583702E+03	4.057639E-03	3.322078E-04
3.593520E+03	4.106141E-03	3.358907E-04
3.603338E+03	4.155488E-03	3.396349E-04
3.613157E+03	4.206162E-03	3.434797E-04
3.622975E+03	4.258432E-03	3.474466E-04
3.632793E+03	4.312364E-03	3.515408E-04
3.642612E+03	4.368567E-03	3.558113E-04
3.652430E+03	4.427447E-03	3.602908E-04
3.662248E+03	4.489468E-03	3.650164E-04
3.672067E+03	4.555156E-03	3.700300E-04
3.681885E+03	4.625336E-03	3.753978E-04
3.691703E+03	4.700640E-03	3.811700E-04
3.701522E+03	4.781497E-03	3.873803E-04
3.711340E+03	4.869104E-03	3.941243E-04
3.721159E+03	4.963780E-03	4.014263E-04
3.730977E+03	5.066847E-03	4.093914E-04
3.740795E+03	5.178999E-03	4.180739E-04
3.750614E+03	5.301470E-03	4.275712E-04
3.760432E+03	5.435303E-03	4.379651E-04
3.770250E+03	5.581365E-03	4.493226E-04
3.780069E+03	5.741055E-03	4.617537E-04
3.789887E+03	5.915815E-03	4.753709E-04
3.799705E+03	6.106640E-03	4.902508E-04
3.809524E+03	6.314774E-03	5.064895E-04
3.819342E+03	6.541385E-03	5.241767E-04
3.829161E+03	6.787839E-03	5.434173E-04
3.838979E+03	7.054902E-03	5.642681E-04
3.848797E+03	7.343875E-03	5.868283E-04
3.858616E+03	7.654777E-03	6.110943E-04
3.868434E+03	7.987809E-03	6.370770E-04
3.878252E+03	8.343204E-03	6.647899E-04
3.888071E+03	8.719554E-03	6.941156E-04
3.897889E+03	9.115724E-03	7.249589E-04
3.907707E+03	9.529599E-03	7.571470E-04
3.917526E+03	9.958478E-03	7.904613E-04
3.927344E+03	1.039926E-02	8.246525E-04
3.937162E+03	1.084849E-02	8.594434E-04
3.946981E+03	1.130194E-02	8.944979E-04
3.956799E+03	1.175539E-02	9.294804E-04
3.966618E+03	1.220287E-02	9.639193E-04
3.976436E+03	1.263784E-02	9.973007E-04
3.986254E+03	1.305144E-02	1.028928E-03
3.996073E+03	1.343319E-02	1.057981E-03
4.005891E+03	1.377130E-02	1.083538E-03
4.015709E+03	1.405366E-02	1.104659E-03
4.025528E+03	1.426831E-02	1.120418E-03
4.035346E+03	1.440576E-02	1.130085E-03
4.045164E+03	1.445994E-02	1.133202E-03
4.054983E+03	1.442890E-02	1.129637E-03
4.064801E+03	1.431454E-02	1.119559E-03
4.074620E+03	1.412438E-02	1.103574E-03
4.084438E+03	1.386763E-02	1.082420E-03
4.094256E+03	1.355754E-02	1.057145E-03
4.104075E+03	1.320734E-02	1.028793E-03
4.113893E+03	1.283075E-02	9.984423E-04
4.123711E+03	1.244165E-02	9.671766E-04
4.133530E+03	1.205221E-02	9.359454E-04
4.143348E+03	1.167389E-02	9.056372E-04
4.153166E+03	1.131689E-02	8.770401E-04
4.162985E+03	1.098964E-02	8.508021E-04
4.172803E+03	1.069937E-02	8.274758E-04
4.182622E+03	1.045234E-02	8.075347E-04
4.192440E+03	1.025260E-02	7.912820E-04
4.202258E+03	1.010254E-02	7.788905E-04
4.212077E+03	1.000267E-02	7.703884E-04
4.221895E+03	9.951539E-03	7.656507E-04
4.231713E+03	9.944902E-03	7.643403E-04
4.241532E+03	9.976011E-03	7.659281E-04
4.251350E+03	1.003603E-02	7.697277E-04
4.261168E+03	1.011417E-02	7.749043E-04
4.270987E+03	1.019728E-02	7.804491E-04
4.280805E+03	1.027183E-02	7.853247E-04
4.290623E+03	1.032396E-02	7.884753E-04
4.300442E+03	1.034203E-02	7.890181E-04
4.310260E+03	1.031816E-02	7.863613E-04
4.320079E+03	1.024996E-02	7.803332E-04
4.329897E+03	1.014101E-02	7.712157E-04
4.339715E+03	9.999783E-03	7.596640E-04
4.349534E+03	9.836687E-03	7.464750E-04
4.359352E+03	9.663790E-03	7.325691E-04
4.369170E+03	9.493127E-03	7.188600E-04
4.378989E+03	9.336529E-03	7.062421E-04
4.388807E+03	9.205049E-03	6.955473E-04
4.398625E+03	9.108922E-03	6.875417E-04
4.408444E+03	9.056883E-03	6.828754E-04
4.418262E+03	9.057311E-03	6.821688E-04
4.428081E+03	9.117387E-03	6.859490E-04
4.437899E+03	9.243639E-03	6.946922E-04
4.447717E+03	9.441702E-03	7.088049E-04
4.457536E+03	9.716753E-03	7.286579E-04
4.467354E+03	1.007267E-02	7.545222E-04
4.477172E+03	1.051181E-02	7.865548E-04
4.486991E+03	1.103500E-02	8.247965E-04
4.496809E+03	1.163967E-02	8.690348E-04
4.506627E+03	1.231990E-02	9.188073E-04
4.516446E+03	1.306516E-02	9.733109E-04
4.526264E+03	1.385985E-02	1.031369E-03
4.536082E+03	1.468218E-02	1.091348E-03
4.545901E+03	1.550605E-02	1.151304E-03
4.555719E+03	1.630109E-02	1.208984E-03
4.565538E+03	1.703429E-02	1.261947E-03
4.575356E+03	1.767378E-02	1.307853E-03
4.585174E+03	1.818974E-02	1.344520E-03
4.594993E+03	1.855956E-02	1.370307E-03
4.604811E+03	1.876851E-02	1.384167E-03
4.614629E+03	1.881209E-02	1.385807E-03
4.624448E+03	1.869712E-02	1.375770E-03
4.634266E+03	1.844028E-02	1.355323E-03
4.644084E+03	1.806604E-02	1.326297E-03
4.653903E+03	1.760557E-02	1.291009E-03
4.663721E+03	1.709220E-02	1.251921E-03
4.673540E+03	1.655899E-02	1.211465E-03
4.683358E+03	1.603643E-02	1.171875E-03
4.693176E+03	1.554996E-02	1.135006E-03
4.702995E+03	1.511889E-02	1.102254E-03
4.712813E+03	1.475643E-02	1.074571E-03
4.722631E+03	1.446866E-02	1.052380E-03
4.732450E+03	1.425597E-02	1.035689E-03
4.742268E+03	1.411369E-02	1.024141E-03
4.752086E+03	1.403431E-02	1.017174E-03
4.761905E+03	1.400731E-02	1.014010E-03
4.771723E+03	1.402183E-02	1.013850E-03
4.781541E+03	1.406732E-02	1.015922E-03
4.791360E+03	1.413526E-02	1.019602E-03
4.801178E+03	1.421858E-02	1.024376E-03
4.810997E+03	1.431305E-02	1.029935E-03
4.820815E+03	1.441562E-02	1.036056E-03
4.830633E+03	1.452525E-02	1.042663E-03
4.840452E+03	1.464095E-02	1.049683E-03
4.850270E+03	1.476180E-02	1.057048E-03
4.860088E+03	1.488648E-02	1.064663E-03
4.869907E+03	1.501418E-02	1.072469E-03
4.879725E+03	1.514402E-02	1.080401E-03
4.889543E+03	1.527618E-02	1.088472E-03
4.899362E+03	1.541063E-02	1.096678E-03
4.909180E+03	1.554761E-02	1.105038E-03
4.918999E+03	1.568608E-02	1.113475E-03
4.928817E+03	1.582160E-02	1.121674E-03
4.938635E+03	1.594568E-02	1.129036E-03
4.948454E+03	1.604619E-02	1.134704E-03
4.958272E+03	1.610886E-02	1.137678E-03
4.968090E+03	1.611874E-02	1.136913E-03
4.977909E+03	1.606291E-02	1.131514E-03
4.987727E+03	1.593398E-02	1.120978E-03
4.997545E+03	1.573128E-02	1.105280E-03
5.007364E+03	1.546241E-02	1.084971E-03
5.017182E+03	1.514218E-02	1.061109E-03
5.027000E+03	1.479129E-02	1.035155E-03
5.036819E+03	1.443362E-02	1.008790E-03
5.046637E+03	1.409318E-02	9.836890E-04
5.056456E+03	1.379195E-02	9.613817E-04
5.066274E+03	1.354773E-02	9.430952E-04
5.076092E+03	1.337216E-02	9.296235E-04
5.085911E+03	1.327084E-02	9.213359E-04
5.095729E+03	1.324347E-02	9.181908E-04
5.105547E+03	1.328541E-02	9.198459E-04
5.115366E+03	1.338758E-02	9.256549E-04
5.125184E+03	1.353861E-02	9.348142E-04
5.135002E+03	1.372701E-02	9.465184E-04
5.144821E+03	1.394154E-02	9.599820E-04
5.154639E+03	1.417341E-02	9.745933E-04
5.164458E+03	1.441664E-02	9.899360E-04
5.174276E+03	1.466862E-02	1.005829E-03
5.184094E+03	1.492996E-02	1.022310E-03
5.193913E+03	1.520429E-02	1.039625E-03
5.203731E+03	1.549684E-02	1.058126E-03
5.213549E+03	1.581365E-02	1.078221E-03
5.223368E+03	1.616011E-02	1.100269E-03
5.233186E+03	1.653985E-02	1.124507E-03
5.243004E+03	1.695428E-02	1.151021E-03
5.252823E+03	1.740172E-02	1.179686E-03
5.262641E+03	1.787667E-02	1.210122E-03
5.272459E+03	1.837125E-02	1.241785E-03
5.282278E+03	1.887466E-02	1.273942E-03
5.292096E+03	1.937361E-02	1.305693E-03
5.301915E+03	1.985464E-02	1.336133E-03
5.311733E+03	2.030399E-02	1.364342E-03
5.321551E+03	2.071006E-02	1.389553E-03
5.331370E+03	2.106302E-02	1.411118E-03
5.341188E+03	2.135623E-02	1.428609E-03
5.351006E+03	2.158740E-02	1.441892E-03
5.360825E+03	2.175714E-02	1.451024E-03
5.370643E+03	2.187039E-02	1.456354E-03
5.380461E+03	2.193547E-02	1.458452E-03
5.390280E+03	2.196350E-02	1.458072E-03
5.400098E+03	2.196805E-02	1.456123E-03
5.409917E+03	2.196298E-02	1.453531E-03
5.419735E+03	2.196267E-02	1.451248E-03
5.429553E+03	2.198054E-02	1.450158E-03
5.439372E+03	2.202787E-02	1.450998E-03
5.449190E+03	2.211200E-02	1.454243E-03
5.459008E+03	2.223456E-02	1.459986E-03
5.468827E+03	2.239060E-02	1.467892E-03
5.478645E+03	2.256933E-02	1.477243E-03
5.488463E+03	2.275375E-02	1.486921E-03
5.498282E+03	2.292254E-02	1.495532E-03
5.508100E+03	2.305220E-02	1.501551E-03
5.517919E+03	2.312081E-02	1.503562E-03
5.527737E+03	2.310899E-02	1.500329E-03
5.537555E+03	2.300307E-02	1.490991E-03
5.547374E+03	2.279619E-02	1.475132E-03
5.557192E+03	2.248855E-02	1.452800E-03
5.567010E+03	2.208534E-02	1.424361E-03
5.576829E+03	2.159582E-02	1.390443E-03
5.586647E+03	2.103017E-02	1.351729E-03
5.596465E+03	2.039841E-02	1.308887E-03
5.606284E+03	1.970921E-02	1.262496E-03
5.616102E+03	1.897053E-02	1.213083E-03
5.625920E+03	1.819004E-02	1.161156E-03
5.635739E+03	1.737844E-02	1.107410E-03
5.645557E+03	1.654929E-02	1.052722E-03
5.655376E+03	1.572001E-02	9.982030E-04
5.665194E+03	1.491066E-02	9.451260E-04
5.675012E+03	1.414305E-02	8.948657E-04
5.684831E+03	1.343905E-02	8.487899E-04
5.694649E+03	1.281853E-02	8.081305E-04
5.704467E+03	1.229938E-02	7.739863E-04
5.714286E+03	1.189645E-02	7.472546E-04
5.724104E+03	1.162245E-02	7.286934E-04
5.733922E+03	1.148773E-02	7.189051E-04
5.743741E+03	1.150157E-02	7.184218E-04
5.753559E+03	1.167179E-02	7.276775E-04
5.763378E+03	1.200450E-02	7.469975E-04
5.773196E+03	1.250393E-02	7.765855E-04
5.783014E+03	1.317124E-02	8.164530E-04
5.792833E+03	1.400192E-02	8.662594E-04
5.802651E+03	1.498450E-02	9.252355E-04
5.812469E+03	1.609848E-02	9.920610E-04
5.822288E+03	1.731324E-02	1.064803E-03
5.832106E+03	1.858788E-02	1.140911E-03
5.841924E+03	1.987312E-02	1.217341E-03
5.851743E+03	2.111573E-02	1.290834E-03
5.861561E+03	2.226275E-02	1.358171E-03
5.871379E+03	2.326777E-02	1.416561E-03
5.881198E+03	2.409501E-02	1.463880E-03
5.891016E+03	2.472352E-02	1.498925E-03
5.900835E+03	2.514648E-02	1.521355E-03
5.910653E+03	2.537068E-02	1.531661E-03
5.920471E+03	2.541252E-02	1.530904E-03
5.930290E+03	2.529583E-02	1.520589E-03
5.940108E+03	2.504650E-02	1.502329E-03
5.949926E+03	2.469149E-02	1.477792E-03
5.959745E+03	2.425677E-02	1.448569E-03
5.969563E+03	2.376509E-02	1.416049E-03
5.979381E+03	2.323711E-02	1.381485E-03
5.989200E+03	2.269011E-02	1.345915E-03
5.999018E+03	2.213877E-02	1.310219E-03
6.008837E+03	2.159486E-02	1.275093E-03
6.018655E+03	2.106806E-02	1.241107E-03
6.028473E+03	2.056656E-02	1.208736E-03
6.038292E+03	2.009696E-02	1.178357E-03
6.048110E+03	1.966448E-02	1.150264E-03
6.057928E+03	1.927347E-02	1.124695E-03
6.067747E+03	1.892690E-02	1.101807E-03
6.077565E+03	1.862574E-02	1.081639E-03
6.087383E+03	1.836923E-02	1.064128E-03
6.097202E+03	1.815507E-02	1.049122E-03
6.107020E+03	1.798040E-02	1.036438E-03
6.116838E+03	1.784188E-02	1.025869E-03
6.126657E+03	1.773579E-02	1.017185E-03
6.136475E+03	1.765973E-02	1.010234E-03
6.146294E+03	1.761214E-02	1.004915E-03
6.156112E+03	1.759110E-02	1.001107E-03
6.165930E+03	1.759484E-02	9.986954E-04
6.175749E+03	1.761972E-02	9.974647E-04
6.185567E+03	1.766113E-02	9.971442E-04
6.195385E+03	1.771242E-02	9.973526E-04
6.205204E+03	1.776515E-02	9.976101E-04
6.215022E+03	1.781056E-02	9.974264E-04
6.224840E+03	1.783955E-02	9.962959E-04
6.234659E+03	1.784444E-02	9.937980E-04
6.244477E+03	1.781880E-02	9.895876E-04
6.254296E+03	1.775923E-02	9.834901E-04
6.264114E+03	1.766526E-02	9.754960E-04
6.273932E+03	1.754026E-02	9.658066E-04
6.283751E+03	1.739141E-02	9.548323E-04
6.293569E+03	1.722929E-02	9.431635E-04
6.303387E+03	1.706862E-02	9.316104E-04
6.313206E+03	1.692609E-02	9.210810E-04
6.323024E+03	1.682102E-02	9.126152E-04
6.332842E+03	1.677346E-02	9.072792E-04
6.342661E+03	1.680230E-02	9.060631E-04
6.352479E+03	1.692481E-02	9.098573E-04
6.362297E+03	1.715469E-02	9.193499E-04
6.372116E+03	1.750052E-02	9.349442E-04
6.381934E+03	1.796404E-02	9.566731E-04
6.391753E+03	1.853954E-02	9.841726E-04
6.401571E+03	1.921342E-02	1.016665E-03
6.411389E+03	1.996441E-02	1.052975E-03
6.421208E+03	2.076391E-02	1.091558E-03
6.431026E+03	2.157730E-02	1.130573E-03
6.440844E+03	2.236765E-02	1.168080E-03
6.450663E+03	2.309788E-02	1.202161E-03
6.460481E+03	2.373744E-02	1.231259E-03
6.470299E+03	2.426348E-02	1.254241E-03
6.480118E+03	2.466589E-02	1.270643E-03
6.489936E+03	2.494721E-02	1.280662E-03
6.499755E+03	2.512104E-02	1.285056E-03
6.509573E+03	2.521046E-02	1.285061E-03
6.519391E+03	2.524241E-02	1.282089E-03
6.529210E+03	2.524404E-02	1.277547E-03
6.539028E+03	2.523885E-02	1.272636E-03
6.548846E+03	2.524585E-02	1.268315E-03
6.558665E+03	2.527675E-02	1.265162E-03
6.568483E+03	2.533698E-02	1.263436E-03
6.578301E+03	2.542530E-02	1.263058E-03
6.588120E+03	2.553462E-02	1.263660E-03
6.597938E+03	2.565361E-02	1.264673E-03
6.607757E+03	2.576741E-02	1.265361E-03
6.617575E+03	2.585976E-02	1.264930E-03
6.627393E+03	2.591378E-02	1.262572E-03
6.637212E+03	2.591393E-02	1.257553E-03
6.647030E+03	2.584691E-02	1.249262E-03
