#wls	flux	fluxerr
1.570938E+03	6.602403E-17	2.306702E-18
1.610211E+03	7.036361E-17	2.443015E-18
1.649485E+03	7.497378E-17	2.586408E-18
1.688758E+03	7.987736E-17	2.737406E-18
1.728031E+03	8.507500E-17	2.895754E-18
1.767305E+03	9.058095E-17	3.061639E-18
1.806578E+03	9.633144E-17	3.232611E-18
1.845852E+03	1.022661E-16	3.406380E-18
1.885125E+03	1.082729E-16	3.579007E-18
1.924399E+03	1.142251E-16	3.746174E-18
1.963672E+03	1.200045E-16	3.903970E-18
2.002946E+03	1.256181E-16	4.052653E-18
2.042219E+03	1.313353E-16	4.200870E-18
2.081492E+03	1.378536E-16	4.370550E-18
2.120766E+03	1.462449E-16	4.594563E-18
2.160039E+03	1.576863E-16	4.907776E-18
2.199313E+03	1.729786E-16	5.331982E-18
2.238586E+03	1.923346E-16	5.869934E-18
2.277860E+03	2.154673E-16	6.508887E-18
2.317133E+03	2.418694E-16	7.229724E-18
2.356406E+03	2.711171E-16	8.016308E-18
2.395680E+03	3.029211E-16	8.856876E-18
2.434953E+03	3.371269E-16	9.743840E-18
2.474227E+03	3.736571E-16	1.067193E-17
2.513500E+03	4.124298E-16	1.163577E-17
2.552774E+03	4.533590E-16	1.262989E-17
2.592047E+03	4.962362E-16	1.364551E-17
2.631321E+03	5.407068E-16	1.467010E-17
2.670594E+03	5.862775E-16	1.568791E-17
2.709867E+03	6.322052E-16	1.667728E-17
2.749141E+03	6.775162E-16	1.761168E-17
2.788414E+03	7.209753E-16	1.845942E-17
2.827688E+03	7.611170E-16	1.918500E-17
2.866961E+03	7.964956E-16	1.975588E-17
2.906235E+03	8.257000E-16	2.014288E-17
2.945508E+03	8.473919E-16	2.032108E-17
2.955326E+03	8.514776E-16	2.033016E-17
2.965145E+03	8.550085E-16	2.032492E-17
2.974963E+03	8.579158E-16	2.030389E-17
2.984782E+03	8.602325E-16	2.026805E-17
2.994600E+03	8.619164E-16	2.021660E-17
3.004418E+03	8.629450E-16	2.014921E-17
3.014237E+03	8.633104E-16	2.006591E-17
3.024055E+03	8.630043E-16	1.996673E-17
3.033873E+03	8.619982E-16	1.985122E-17
3.043692E+03	8.602709E-16	1.971913E-17
3.053510E+03	8.578616E-16	1.957159E-17
3.063328E+03	8.547576E-16	1.940854E-17
3.073147E+03	8.509485E-16	1.922996E-17
3.082965E+03	8.464077E-16	1.903551E-17
3.092784E+03	8.410968E-16	1.882457E-17
3.102602E+03	8.350476E-16	1.859810E-17
3.112420E+03	8.282146E-16	1.835535E-17
3.122239E+03	8.206213E-16	1.809711E-17
3.132057E+03	8.122679E-16	1.782363E-17
3.141875E+03	8.031652E-16	1.753541E-17
3.151694E+03	7.933425E-16	1.723336E-17
3.161512E+03	7.828783E-16	1.691942E-17
3.171330E+03	7.718364E-16	1.659518E-17
3.181149E+03	7.603247E-16	1.626316E-17
3.190967E+03	7.484948E-16	1.592675E-17
3.200785E+03	7.365270E-16	1.558989E-17
3.210604E+03	7.246039E-16	1.525648E-17
3.220422E+03	7.129573E-16	1.493138E-17
3.230241E+03	7.018253E-16	1.461947E-17
3.240059E+03	6.914588E-16	1.432577E-17
