#wls	flux	fluxerr
1.570938E+03	1.813908E-18	1.454537E-19
1.610211E+03	1.849333E-18	1.479487E-19
1.649485E+03	1.882244E-18	1.502208E-19
1.688758E+03	1.912513E-18	1.522607E-19
1.728031E+03	1.939894E-18	1.540499E-19
1.767305E+03	1.963768E-18	1.555406E-19
1.806578E+03	1.983281E-18	1.566671E-19
1.845852E+03	1.996216E-18	1.572568E-19
1.885125E+03	2.001549E-18	1.572334E-19
1.924399E+03	1.996937E-18	1.564183E-19
1.963672E+03	1.982325E-18	1.548137E-19
2.002946E+03	1.958822E-18	1.525132E-19
2.042219E+03	1.931863E-18	1.499451E-19
2.081492E+03	1.911718E-18	1.479069E-19
2.120766E+03	1.911615E-18	1.474138E-19
2.160039E+03	1.942762E-18	1.493120E-19
2.199313E+03	2.009664E-18	1.539215E-19
2.238586E+03	2.107639E-18	1.608553E-19
2.277860E+03	2.228631E-18	1.694740E-19
2.317133E+03	2.363171E-18	1.790390E-19
2.356406E+03	2.504522E-18	1.890279E-19
2.395680E+03	2.648883E-18	1.991468E-19
2.434953E+03	2.794785E-18	2.092805E-19
2.474227E+03	2.942262E-18	2.194276E-19
2.513500E+03	3.092193E-18	2.296495E-19
2.552774E+03	3.246459E-18	2.400806E-19
2.592047E+03	3.405465E-18	2.507439E-19
2.631321E+03	3.572006E-18	2.618374E-19
2.670594E+03	3.747206E-18	2.734330E-19
2.709867E+03	3.932825E-18	2.856472E-19
2.749141E+03	4.130706E-18	2.985999E-19
2.788414E+03	4.342796E-18	3.124158E-19
2.827688E+03	4.571175E-18	3.272260E-19
2.866961E+03	4.818084E-18	3.431697E-19
2.906235E+03	5.086838E-18	3.604589E-19
2.945508E+03	5.378359E-18	3.791315E-19
2.955326E+03	5.455735E-18	3.840785E-19
2.965145E+03	5.534826E-18	3.891302E-19
2.974963E+03	5.614705E-18	3.942208E-19
2.984782E+03	5.697370E-18	3.994902E-19
2.994600E+03	5.781943E-18	4.048761E-19
