#wls	flux	fluxerr
1.600000E+03	2.923887E-16	2.674703E-16
1.640000E+03	3.107998E-16	2.829289E-16
1.680000E+03	3.311315E-16	2.998363E-16
1.720000E+03	3.535516E-16	3.182819E-16
1.760000E+03	3.783823E-16	3.384813E-16
1.800000E+03	4.058369E-16	3.605363E-16
1.840000E+03	4.362216E-16	3.846137E-16
1.880000E+03	4.699501E-16	4.109525E-16
1.920000E+03	5.073178E-16	4.396610E-16
1.960000E+03	5.487675E-16	4.709454E-16
2.000000E+03	5.946948E-16	5.049344E-16
2.040000E+03	6.456134E-16	5.418154E-16
2.080000E+03	7.018875E-16	5.816007E-16
2.120000E+03	7.639370E-16	6.242977E-16
2.160000E+03	8.321382E-16	6.698188E-16
2.200000E+03	9.065875E-16	7.177913E-16
2.240000E+03	9.872559E-16	7.676896E-16
2.280000E+03	1.074249E-15	8.190388E-16
2.320000E+03	1.167828E-15	8.714182E-16
2.360000E+03	1.268887E-15	9.247860E-16
2.400000E+03	1.378200E-15	9.788876E-16
2.440000E+03	1.496442E-15	1.033262E-15
2.480000E+03	1.624347E-15	1.087350E-15
2.520000E+03	1.762091E-15	1.140076E-15
2.560000E+03	1.909761E-15	1.190195E-15
2.600000E+03	2.066991E-15	1.236090E-15
2.640000E+03	2.233086E-15	1.275902E-15
2.680000E+03	2.406613E-15	1.307366E-15
2.720000E+03	2.585519E-15	1.328010E-15
2.760000E+03	2.766953E-15	1.335203E-15
2.800000E+03	2.947187E-15	1.326302E-15
2.840000E+03	3.121652E-15	1.298900E-15
2.880000E+03	3.285124E-15	1.251138E-15
2.920000E+03	3.431785E-15	1.181962E-15
2.960000E+03	3.555526E-15	1.091455E-15
3.000000E+03	3.650047E-15	9.810527E-16
3.010000E+03	3.668468E-15	9.506841E-16
3.020000E+03	3.684488E-15	9.192920E-16
3.030000E+03	3.698157E-15	8.869845E-16
3.040000E+03	3.709279E-15	8.538137E-16
3.050000E+03	3.717824E-15	8.198796E-16
3.060000E+03	3.723761E-15	7.852863E-16
3.070000E+03	3.726828E-15	7.500956E-16
3.080000E+03	3.727157E-15	7.144594E-16
3.090000E+03	3.724495E-15	6.784577E-16
3.100000E+03	3.718903E-15	6.422388E-16
3.110000E+03	3.710218E-15	6.059161E-16
3.120000E+03	3.698362E-15	5.696271E-16
3.130000E+03	3.683406E-15	5.335388E-16
3.140000E+03	3.665142E-15	4.977831E-16
3.150000E+03	3.643725E-15	4.625511E-16
3.160000E+03	3.618897E-15	4.279870E-16
3.170000E+03	3.590827E-15	3.942972E-16
3.180000E+03	3.559353E-15	3.616570E-16
3.190000E+03	3.524591E-15	3.302807E-16
3.200000E+03	3.486471E-15	3.003712E-16
3.210000E+03	3.445066E-15	2.721504E-16
3.220000E+03	3.400474E-15	2.458117E-16
3.230000E+03	3.353070E-15	2.214580E-16
3.240000E+03	3.303245E-15	1.991615E-16
3.250000E+03	3.251640E-15	1.789880E-16
3.260000E+03	3.199034E-15	1.609350E-16
3.270000E+03	3.146356E-15	1.449989E-16
3.280000E+03	3.094459E-15	1.311744E-16
3.290000E+03	3.044461E-15	1.194240E-16
3.300000E+03	2.997426E-15	1.096910E-16
3.310000E+03	2.954052E-15	1.018537E-16
3.320000E+03	2.914973E-15	9.568601E-17
3.330000E+03	2.880460E-15	9.092455E-17
3.340000E+03	2.850423E-15	8.730259E-17
3.350000E+03	2.824874E-15	8.454737E-17
3.360000E+03	2.803468E-15	8.243204E-17
3.370000E+03	2.785719E-15	8.078800E-17
3.380000E+03	2.771187E-15	7.946478E-17
3.390000E+03	2.759212E-15	7.836027E-17
3.400000E+03	2.749197E-15	7.741680E-17
3.410000E+03	2.740599E-15	7.656728E-17
3.420000E+03	2.732828E-15	7.577125E-17
3.430000E+03	2.725319E-15	7.501287E-17
3.440000E+03	2.717754E-15	7.425981E-17
3.450000E+03	2.709758E-15	7.349556E-17
3.460000E+03	2.701079E-15	7.272087E-17
3.470000E+03	2.691631E-15	7.190939E-17
3.480000E+03	2.681411E-15	7.104844E-17
3.490000E+03	2.670396E-15	7.013603E-17
3.500000E+03	2.658811E-15	6.914650E-17
3.510000E+03	2.646879E-15	6.807189E-17
3.520000E+03	2.634823E-15	6.692780E-17
3.530000E+03	2.623043E-15	6.572041E-17
3.540000E+03	2.611905E-15	6.448244E-17
3.550000E+03	2.601735E-15	6.326580E-17
3.560000E+03	2.592934E-15	6.209940E-17
3.570000E+03	2.585786E-15	6.102894E-17
3.580000E+03	2.580344E-15	6.010699E-17
3.590000E+03	2.576748E-15	5.934772E-17
3.600000E+03	2.575007E-15	5.876116E-17
3.610000E+03	2.575110E-15	5.834769E-17
3.620000E+03	2.577028E-15	5.805405E-17
3.630000E+03	2.580616E-15	5.783433E-17
3.640000E+03	2.585458E-15	5.766069E-17
3.650000E+03	2.591195E-15	5.748849E-17
3.660000E+03	2.597282E-15	5.729896E-17
3.670000E+03	2.603088E-15	5.709793E-17
3.680000E+03	2.608162E-15	5.686881E-17
3.690000E+03	2.612029E-15	5.661488E-17
3.700000E+03	2.614181E-15	5.635565E-17
3.710000E+03	2.614367E-15	5.608062E-17
3.720000E+03	2.612298E-15	5.579455E-17
3.730000E+03	2.607771E-15	5.551847E-17
3.740000E+03	2.600751E-15	5.523829E-17
3.750000E+03	2.591253E-15	5.495391E-17
3.760000E+03	2.579393E-15	5.467525E-17
3.770000E+03	2.565573E-15	5.437122E-17
3.780000E+03	2.550238E-15	5.402326E-17
3.790000E+03	2.533910E-15	5.363344E-17
3.800000E+03	2.517231E-15	5.317700E-17
3.810000E+03	2.500839E-15	5.265412E-17
3.820000E+03	2.485334E-15	5.209227E-17
3.830000E+03	2.471370E-15	5.149904E-17
3.840000E+03	2.459387E-15	5.090194E-17
3.850000E+03	2.449646E-15	5.033995E-17
3.860000E+03	2.442193E-15	4.980975E-17
3.870000E+03	2.436850E-15	4.932100E-17
3.880000E+03	2.432994E-15	4.889414E-17
3.890000E+03	2.429925E-15	4.851791E-17
3.900000E+03	2.426633E-15	4.819607E-17
3.910000E+03	2.422115E-15	4.794274E-17
3.920000E+03	2.415631E-15	4.772490E-17
3.930000E+03	2.406665E-15	4.751714E-17
3.940000E+03	2.394991E-15	4.730243E-17
3.950000E+03	2.380984E-15	4.702385E-17
3.960000E+03	2.365279E-15	4.664609E-17
3.970000E+03	2.348686E-15	4.617518E-17
3.980000E+03	2.332149E-15	4.561517E-17
3.990000E+03	2.316580E-15	4.500568E-17
4.000000E+03	2.302607E-15	4.439779E-17
4.010000E+03	2.290592E-15	4.379388E-17
4.020000E+03	2.280559E-15	4.320243E-17
4.030000E+03	2.272291E-15	4.264008E-17
4.040000E+03	2.265402E-15	4.207169E-17
4.050000E+03	2.259370E-15	4.148498E-17
4.060000E+03	2.253552E-15	4.089450E-17
4.070000E+03	2.247521E-15	4.028253E-17
4.080000E+03	2.240873E-15	3.966212E-17
4.090000E+03	2.233209E-15	3.906384E-17
4.100000E+03	2.224311E-15	3.846220E-17
4.110000E+03	2.213970E-15	3.785056E-17
