#wls	flux	fluxerr	mangling_mask
3.855987E+03	1.315935E-16	4.491199E-17	1.221625E+00
3.860798E+03	1.423992E-16	4.760637E-17	1.221577E+00
3.865609E+03	1.562703E-16	4.615089E-17	1.221530E+00
3.870419E+03	1.707390E-16	4.480748E-17	1.221483E+00
3.875230E+03	1.761191E-16	4.483365E-17	1.221438E+00
3.880041E+03	1.746959E-16	4.148784E-17	1.221393E+00
3.884851E+03	1.742744E-16	3.750447E-17	1.221350E+00
3.889662E+03	1.749889E-16	3.642510E-17	1.221307E+00
3.894472E+03	1.779017E-16	3.029421E-17	1.221265E+00
3.899283E+03	1.803382E-16	3.002382E-17	1.221224E+00
3.904094E+03	1.794775E-16	2.421997E-17	1.221184E+00
3.908904E+03	1.746604E-16	1.861162E-17	1.221145E+00
3.913715E+03	1.680488E-16	1.827682E-17	1.221107E+00
3.918526E+03	1.621826E-16	1.899950E-17	1.221070E+00
3.923336E+03	1.573791E-16	2.298730E-17	1.221034E+00
3.928147E+03	1.570815E-16	2.161141E-17	1.220999E+00
3.932958E+03	1.620709E-16	2.170713E-17	1.220965E+00
3.937768E+03	1.663764E-16	2.247243E-17	1.220932E+00
3.942579E+03	1.673243E-16	3.021964E-17	1.220900E+00
3.947390E+03	1.737296E-16	3.022535E-17	1.220869E+00
3.952200E+03	1.870935E-16	3.512065E-17	1.220839E+00
3.957011E+03	1.952807E-16	3.500656E-17	1.220810E+00
3.961822E+03	2.073010E-16	3.623210E-17	1.220782E+00
3.966632E+03	2.196138E-16	3.619702E-17	1.220755E+00
3.971443E+03	2.339650E-16	3.452895E-17	1.220729E+00
3.976253E+03	2.437137E-16	3.388818E-17	1.220705E+00
3.981064E+03	2.509476E-16	3.398464E-17	1.220681E+00
3.985875E+03	2.559721E-16	3.358759E-17	1.220659E+00
3.990685E+03	2.578596E-16	2.552042E-17	1.220637E+00
3.995496E+03	2.570863E-16	2.407686E-17	1.220617E+00
4.000307E+03	2.538233E-16	1.907288E-17	1.220598E+00
4.005117E+03	2.472651E-16	1.856410E-17	1.220580E+00
4.009928E+03	2.386445E-16	1.559587E-17	1.220563E+00
