#wls	flux	fluxerr
1.590916E+03	5.759217E-05	0.000000E+00
1.630689E+03	6.066440E-05	0.000000E+00
1.670462E+03	6.409337E-05	0.000000E+00
1.710235E+03	6.792174E-05	0.000000E+00
1.750007E+03	7.220267E-05	0.000000E+00
1.789780E+03	7.699944E-05	0.000000E+00
1.829553E+03	8.235045E-05	0.000000E+00
1.869326E+03	8.832052E-05	0.000000E+00
1.909099E+03	9.493657E-05	0.000000E+00
1.948872E+03	1.021817E-04	0.000000E+00
1.988645E+03	1.099440E-04	0.000000E+00
2.028418E+03	1.179764E-04	0.000000E+00
2.068191E+03	1.258794E-04	0.000000E+00
2.107964E+03	1.333354E-04	0.000000E+00
2.147736E+03	1.404320E-04	0.000000E+00
2.187509E+03	1.474810E-04	0.000000E+00
2.227282E+03	1.548126E-04	0.000000E+00
2.267055E+03	1.627066E-04	0.000000E+00
2.306828E+03	1.713984E-04	0.000000E+00
2.346601E+03	1.811006E-04	0.000000E+00
2.386374E+03	1.919831E-04	0.000000E+00
2.426147E+03	2.041349E-04	0.000000E+00
2.465920E+03	2.175149E-04	0.000000E+00
2.505692E+03	2.317519E-04	0.000000E+00
2.545465E+03	2.459625E-04	0.000000E+00
2.585238E+03	2.585820E-04	0.000000E+00
2.625011E+03	2.680401E-04	0.000000E+00
2.664784E+03	2.741250E-04	0.000000E+00
2.704557E+03	2.779909E-04	0.000000E+00
2.744330E+03	2.809248E-04	0.000000E+00
2.784103E+03	2.837896E-04	0.000000E+00
2.823876E+03	2.870706E-04	0.000000E+00
2.863649E+03	2.910320E-04	0.000000E+00
2.903421E+03	2.957908E-04	0.000000E+00
2.943194E+03	3.014399E-04	0.000000E+00
2.982967E+03	3.080302E-04	0.000000E+00
2.992910E+03	3.098423E-04	0.000000E+00
3.002854E+03	3.117153E-04	0.000000E+00
3.012797E+03	3.136504E-04	0.000000E+00
3.022740E+03	3.156629E-04	0.000000E+00
3.032683E+03	3.177473E-04	0.000000E+00
3.042627E+03	3.199055E-04	0.000000E+00
3.052570E+03	3.221462E-04	0.000000E+00
3.062513E+03	3.244651E-04	0.000000E+00
3.072456E+03	3.268649E-04	0.000000E+00
3.082399E+03	3.293624E-04	0.000000E+00
3.092343E+03	3.319473E-04	0.000000E+00
3.102286E+03	3.346305E-04	0.000000E+00
3.112229E+03	3.374093E-04	0.000000E+00
3.122172E+03	3.403088E-04	0.000000E+00
3.132116E+03	3.433139E-04	0.000000E+00
3.142059E+03	3.464369E-04	0.000000E+00
3.152002E+03	3.496906E-04	0.000000E+00
3.161945E+03	3.530813E-04	0.000000E+00
3.171889E+03	3.566026E-04	0.000000E+00
3.181832E+03	3.602814E-04	0.000000E+00
3.191775E+03	3.641121E-04	0.000000E+00
3.201718E+03	3.681086E-04	0.000000E+00
3.211661E+03	3.722720E-04	0.000000E+00
3.221605E+03	3.766164E-04	0.000000E+00
3.231548E+03	3.811487E-04	0.000000E+00
3.241491E+03	3.858754E-04	0.000000E+00
3.251434E+03	3.907956E-04	0.000000E+00
3.261378E+03	3.959198E-04	0.000000E+00
3.271321E+03	4.012506E-04	0.000000E+00
3.281264E+03	4.067812E-04	0.000000E+00
3.291207E+03	4.125150E-04	0.000000E+00
3.301150E+03	4.184386E-04	0.000000E+00
3.311094E+03	4.245472E-04	0.000000E+00
3.321037E+03	4.308172E-04	0.000000E+00
3.330980E+03	4.372255E-04	0.000000E+00
3.340923E+03	4.437420E-04	0.000000E+00
3.350867E+03	4.503290E-04	0.000000E+00
3.360810E+03	4.569411E-04	0.000000E+00
3.370753E+03	4.635188E-04	0.000000E+00
3.380696E+03	4.700095E-04	0.000000E+00
