#wls	flux	fluxerr
1.590916E+03	3.037203E-05	1.350370E-07
1.630689E+03	2.932245E-05	1.303703E-07
1.670462E+03	2.814098E-05	1.251171E-07
1.710235E+03	2.684898E-05	1.193726E-07
1.750007E+03	2.547624E-05	1.132691E-07
1.789780E+03	2.402412E-05	1.068127E-07
1.829553E+03	2.249832E-05	1.000288E-07
1.869326E+03	2.090984E-05	9.296614E-08
1.909099E+03	1.926959E-05	8.567338E-08
1.948872E+03	1.760456E-05	7.827045E-08
1.988645E+03	1.596201E-05	7.096751E-08
2.028418E+03	1.442300E-05	6.412494E-08
2.068191E+03	1.311214E-05	5.829676E-08
2.107964E+03	1.215287E-05	5.403173E-08
2.147736E+03	1.162305E-05	5.167609E-08
2.187509E+03	1.151600E-05	5.120006E-08
2.227282E+03	1.175660E-05	5.226969E-08
2.267055E+03	1.223320E-05	5.438855E-08
2.306828E+03	1.284158E-05	5.709335E-08
2.346601E+03	1.352474E-05	6.013055E-08
2.386374E+03	1.425050E-05	6.335717E-08
2.426147E+03	1.503261E-05	6.683434E-08
2.465920E+03	1.589451E-05	7.066617E-08
2.505692E+03	1.688216E-05	7.505711E-08
2.545465E+03	1.804611E-05	8.023186E-08
2.585238E+03	1.944968E-05	8.647194E-08
2.625011E+03	2.116197E-05	9.408455E-08
2.664784E+03	2.324591E-05	1.033495E-07
2.704557E+03	2.577759E-05	1.146049E-07
2.744330E+03	2.883798E-05	1.282110E-07
2.784103E+03	3.250506E-05	1.445143E-07
2.823876E+03	3.687866E-05	1.639587E-07
2.863649E+03	4.206220E-05	1.870040E-07
2.903421E+03	4.818286E-05	2.142155E-07
2.943194E+03	5.540304E-05	2.463153E-07
2.982967E+03	6.391947E-05	2.841780E-07
2.992910E+03	6.628372E-05	2.946891E-07
3.002854E+03	6.875088E-05	3.056577E-07
3.012797E+03	7.131640E-05	3.170636E-07
3.022740E+03	7.400554E-05	3.290191E-07
3.032683E+03	7.681964E-05	3.415301E-07
3.042627E+03	7.977054E-05	3.546493E-07
3.052570E+03	8.286412E-05	3.684029E-07
3.062513E+03	8.610692E-05	3.828198E-07
3.072456E+03	8.951729E-05	3.979817E-07
3.082399E+03	9.308031E-05	4.138223E-07
3.092343E+03	9.683946E-05	4.305348E-07
3.102286E+03	1.007682E-04	4.480014E-07
3.112229E+03	1.049136E-04	4.664313E-07
3.122172E+03	1.092483E-04	4.857023E-07
3.132116E+03	1.138232E-04	5.060417E-07
3.142059E+03	1.186241E-04	5.273858E-07
3.152002E+03	1.236784E-04	5.498562E-07
3.161945E+03	1.290007E-04	5.735180E-07
3.171889E+03	1.345907E-04	5.983703E-07
3.181832E+03	1.404962E-04	6.246249E-07
3.191775E+03	1.467190E-04	6.522905E-07
3.201718E+03	1.532597E-04	6.813693E-07
3.211661E+03	1.601898E-04	7.121795E-07
3.221605E+03	1.674759E-04	7.445719E-07
3.231548E+03	1.751747E-04	7.787993E-07
3.241491E+03	1.832878E-04	8.148687E-07
3.251434E+03	1.918558E-04	8.529606E-07
3.261378E+03	2.009001E-04	8.931697E-07
3.271321E+03	2.104407E-04	9.355858E-07
3.281264E+03	2.204730E-04	9.801873E-07
3.291207E+03	2.310590E-04	1.027251E-06
3.301150E+03	2.421635E-04	1.076619E-06
3.311094E+03	2.538441E-04	1.128549E-06
3.321037E+03	2.661056E-04	1.183061E-06
3.330980E+03	2.788892E-04	1.239895E-06
3.340923E+03	2.922642E-04	1.299357E-06
3.350867E+03	3.061498E-04	1.361090E-06
3.360810E+03	3.205372E-04	1.425053E-06
3.370753E+03	3.353730E-04	1.491010E-06
3.380696E+03	3.505854E-04	1.558642E-06
3.390639E+03	3.661157E-04	1.627687E-06
3.400583E+03	3.818157E-04	1.697485E-06
3.410526E+03	3.975439E-04	1.767410E-06
3.420469E+03	4.131701E-04	1.836881E-06
3.430412E+03	4.285039E-04	1.905051E-06
3.440356E+03	4.433283E-04	1.970958E-06
3.450299E+03	4.574064E-04	2.033546E-06
3.460242E+03	4.705241E-04	2.091864E-06
3.470185E+03	4.823783E-04	2.144565E-06
3.480128E+03	4.927084E-04	2.190491E-06
3.490072E+03	5.013071E-04	2.228718E-06
3.500015E+03	5.079550E-04	2.258273E-06
3.509958E+03	5.125160E-04	2.278550E-06
3.519901E+03	5.147910E-04	2.288664E-06
3.529845E+03	5.148199E-04	2.288791E-06
3.539788E+03	5.126011E-04	2.278926E-06
3.549731E+03	5.082734E-04	2.259686E-06
3.559674E+03	5.020271E-04	2.231915E-06
3.569617E+03	4.941529E-04	2.196908E-06
3.579561E+03	4.848772E-04	2.155669E-06
3.589504E+03	4.745577E-04	2.109790E-06
3.599447E+03	4.635847E-04	2.061006E-06
3.609390E+03	4.521805E-04	2.010305E-06
3.619334E+03	4.407358E-04	1.959423E-06
3.629277E+03	4.294785E-04	1.909375E-06
3.634701E+03	3.079174E-04	1.368938E-06
3.640190E+03	3.148203E-04	1.399628E-06
3.645677E+03	3.222687E-04	1.432741E-06
3.651165E+03	3.315926E-04	1.474193E-06
3.656654E+03	3.380521E-04	1.502911E-06
3.662141E+03	3.431839E-04	1.525725E-06
3.667629E+03	3.522333E-04	1.565957E-06
3.673117E+03	3.598817E-04	1.599960E-06
3.678605E+03	3.617708E-04	1.608358E-06
3.684093E+03	3.665327E-04	1.629529E-06
3.689581E+03	3.706622E-04	1.647887E-06
3.695069E+03	3.700933E-04	1.645358E-06
3.700557E+03	3.702664E-04	1.646127E-06
3.706045E+03	3.731761E-04	1.659063E-06
3.711533E+03	3.712953E-04	1.650701E-06
3.717021E+03	3.577889E-04	1.590654E-06
3.722509E+03	3.511174E-04	1.560994E-06
3.727997E+03	3.384363E-04	1.504616E-06
3.733485E+03	3.283809E-04	1.459912E-06
3.738973E+03	3.079217E-04	1.368955E-06
3.744461E+03	2.926488E-04	1.301054E-06
3.749949E+03	2.738222E-04	1.217355E-06
3.755437E+03	2.516814E-04	1.118921E-06
3.760925E+03	2.306455E-04	1.025400E-06
3.766413E+03	2.218411E-04	9.862579E-07
3.771901E+03	2.051117E-04	9.118825E-07
3.777389E+03	1.933460E-04	8.595747E-07
3.782878E+03	1.847463E-04	8.213421E-07
3.788365E+03	1.727974E-04	7.682199E-07
3.793853E+03	1.658821E-04	7.374757E-07
3.799342E+03	1.625872E-04	7.228270E-07
3.804829E+03	1.594360E-04	7.088177E-07
3.810317E+03	1.580261E-04	7.025493E-07
3.815806E+03	1.581025E-04	7.028890E-07
3.821293E+03	1.588927E-04	7.064021E-07
3.826781E+03	1.658660E-04	7.374034E-07
3.832270E+03	1.704646E-04	7.578478E-07
3.837757E+03	1.746911E-04	7.766377E-07
3.843245E+03	1.849531E-04	8.222603E-07
3.848734E+03	1.980506E-04	8.804885E-07
3.854221E+03	2.089348E-04	9.288772E-07
3.859709E+03	2.188262E-04	9.728521E-07
3.865198E+03	2.328192E-04	1.035062E-06
3.870685E+03	2.478712E-04	1.101979E-06
3.876173E+03	2.685161E-04	1.193762E-06
3.881662E+03	2.962455E-04	1.317040E-06
3.887149E+03	3.282196E-04	1.459190E-06
