#wls	flux	fluxerr
1.590916E+03	5.446599E-19	2.317643E-20
1.630689E+03	5.547741E-19	2.355693E-20
1.670462E+03	5.630605E-19	2.385690E-20
1.710235E+03	5.696071E-19	2.408048E-20
1.750007E+03	5.741181E-19	2.421563E-20
1.789780E+03	5.760200E-19	2.423875E-20
1.829553E+03	5.745773E-19	2.411970E-20
1.869326E+03	5.689544E-19	2.382449E-20
1.909099E+03	5.583717E-19	2.332189E-20
1.948872E+03	5.424600E-19	2.259815E-20
1.988645E+03	5.218888E-19	2.168294E-20
2.028418E+03	4.991562E-19	2.068145E-20
2.068191E+03	4.789925E-19	1.979002E-20
2.107964E+03	4.676389E-19	1.926501E-20
2.147736E+03	4.703593E-19	1.931954E-20
2.187509E+03	4.897454E-19	2.005453E-20
2.227282E+03	5.248416E-19	2.142453E-20
2.267055E+03	5.720024E-19	2.327486E-20
2.306828E+03	6.273440E-19	2.544283E-20
2.346601E+03	6.872808E-19	2.777974E-20
2.386374E+03	7.498829E-19	3.020540E-20
2.426147E+03	8.139869E-19	3.267143E-20
2.465920E+03	8.793435E-19	3.516659E-20
2.505692E+03	9.460369E-19	3.769307E-20
2.545465E+03	1.014933E-18	4.028401E-20
2.585238E+03	1.086576E-18	4.295919E-20
2.625011E+03	1.161753E-18	4.574772E-20
2.664784E+03	1.241314E-18	4.868044E-20
2.704557E+03	1.326394E-18	5.179879E-20
2.744330E+03	1.417493E-18	5.511859E-20
2.784103E+03	1.515850E-18	5.868397E-20
2.823876E+03	1.622568E-18	6.253266E-20
2.863649E+03	1.738844E-18	6.670515E-20
2.903421E+03	1.866323E-18	7.125803E-20
2.943194E+03	2.005818E-18	7.621487E-20
2.982967E+03	2.159631E-18	8.165460E-20
2.992910E+03	2.200086E-18	8.308001E-20
3.002854E+03	2.241939E-18	8.455382E-20
3.012797E+03	2.284838E-18	8.606261E-20
3.022740E+03	2.328856E-18	8.760891E-20
3.032683E+03	2.374184E-18	8.919972E-20
3.042627E+03	2.420996E-18	9.084136E-20
3.052570E+03	2.469334E-18	9.253514E-20
3.062513E+03	2.519199E-18	9.428086E-20
3.072456E+03	2.570140E-18	9.606140E-20
3.082399E+03	2.623062E-18	9.791037E-20
3.092343E+03	2.677530E-18	9.981121E-20
3.102286E+03	2.733556E-18	1.017641E-19
3.112229E+03	2.791156E-18	1.037694E-19
3.122172E+03	2.850347E-18	1.058275E-19
3.132116E+03	2.911150E-18	1.079388E-19
3.142059E+03	2.973587E-18	1.101039E-19
3.152002E+03	3.037686E-18	1.123236E-19
3.161945E+03	3.102925E-18	1.145782E-19
3.171889E+03	3.170419E-18	1.169088E-19
3.181832E+03	3.239665E-18	1.192963E-19
3.191775E+03	3.310699E-18	1.217418E-19
3.201718E+03	3.383557E-18	1.242463E-19
3.211661E+03	3.458281E-18	1.268110E-19
3.221605E+03	3.534912E-18	1.294371E-19
3.231548E+03	3.613495E-18	1.321259E-19
3.241491E+03	3.694076E-18	1.348787E-19
3.251434E+03	3.776706E-18	1.376971E-19
3.261378E+03	3.861435E-18	1.405823E-19
3.271321E+03	3.947621E-18	1.435109E-19
3.281264E+03	4.036695E-18	1.465343E-19
3.291207E+03	4.128033E-18	1.496296E-19
3.301150E+03	4.221697E-18	1.527985E-19
3.311094E+03	4.317747E-18	1.560427E-19
