#wls	flux	fluxerr
1.600000E+03	9.227870E-18	4.246074E-20
1.640000E+03	8.895140E-18	4.092973E-20
1.680000E+03	8.571228E-18	3.943929E-20
1.720000E+03	8.258080E-18	3.799838E-20
1.760000E+03	7.957633E-18	3.661592E-20
1.800000E+03	7.673192E-18	3.530710E-20
1.840000E+03	7.405050E-18	3.407328E-20
1.880000E+03	7.156223E-18	3.292834E-20
1.920000E+03	6.928153E-18	3.187891E-20
1.960000E+03	6.722164E-18	3.093108E-20
2.000000E+03	6.539477E-18	3.009047E-20
2.040000E+03	6.382369E-18	2.936756E-20
2.080000E+03	6.251850E-18	2.876699E-20
2.120000E+03	6.148986E-18	2.829368E-20
2.160000E+03	6.076037E-18	2.795801E-20
2.200000E+03	6.033347E-18	2.776158E-20
2.240000E+03	6.024756E-18	2.772205E-20
2.280000E+03	6.050440E-18	2.784023E-20
2.320000E+03	6.116323E-18	2.814338E-20
2.360000E+03	6.226043E-18	2.864824E-20
2.400000E+03	6.383192E-18	2.937134E-20
2.440000E+03	6.595592E-18	3.034867E-20
2.480000E+03	6.869323E-18	3.160820E-20
2.520000E+03	7.216355E-18	3.320502E-20
2.560000E+03	7.646307E-18	3.518338E-20
2.600000E+03	8.173174E-18	3.760768E-20
2.640000E+03	8.813610E-18	4.055456E-20
2.680000E+03	9.587344E-18	4.411478E-20
2.720000E+03	1.051909E-17	4.840207E-20
2.760000E+03	1.163480E-17	5.353586E-20
2.800000E+03	1.296611E-17	5.966170E-20
2.840000E+03	1.455105E-17	6.695454E-20
2.880000E+03	1.643501E-17	7.562330E-20
2.920000E+03	1.866014E-17	8.586194E-20
2.960000E+03	2.128241E-17	9.792790E-20
3.000000E+03	2.435570E-17	1.120692E-19
3.010000E+03	2.520099E-17	1.159587E-19
3.020000E+03	2.607932E-17	1.200002E-19
3.030000E+03	2.698839E-17	1.241832E-19
3.040000E+03	2.793165E-17	1.285234E-19
3.050000E+03	2.890967E-17	1.330237E-19
3.060000E+03	2.992292E-17	1.376860E-19
3.070000E+03	3.097178E-17	1.425121E-19
3.080000E+03	3.205653E-17	1.475035E-19
3.090000E+03	3.317738E-17	1.526609E-19
3.100000E+03	3.433434E-17	1.579845E-19
3.110000E+03	3.552733E-17	1.634739E-19
3.120000E+03	3.675608E-17	1.691278E-19
3.130000E+03	3.802018E-17	1.749443E-19
3.140000E+03	3.932287E-17	1.809385E-19
3.150000E+03	4.066362E-17	1.871077E-19
3.160000E+03	4.203348E-17	1.934110E-19
3.170000E+03	4.343923E-17	1.998793E-19
3.180000E+03	4.487960E-17	2.065069E-19
3.190000E+03	4.634870E-17	2.132668E-19
3.200000E+03	4.784887E-17	2.201696E-19
3.210000E+03	4.937349E-17	2.271849E-19
3.220000E+03	5.092908E-17	2.343428E-19
3.230000E+03	5.250380E-17	2.415886E-19
3.240000E+03	5.409911E-17	2.489292E-19
3.250000E+03	5.571166E-17	2.563491E-19
3.260000E+03	5.733781E-17	2.638316E-19
3.270000E+03	5.897859E-17	2.713814E-19
3.280000E+03	6.061979E-17	2.789331E-19
3.290000E+03	6.226703E-17	2.865127E-19
3.300000E+03	6.391051E-17	2.940749E-19
3.310000E+03	6.555060E-17	3.016215E-19
3.320000E+03	6.717696E-17	3.091050E-19
3.330000E+03	6.878982E-17	3.165263E-19
3.340000E+03	7.037850E-17	3.238364E-19
3.350000E+03	7.194324E-17	3.310363E-19
3.360000E+03	7.347889E-17	3.381024E-19
3.370000E+03	7.498047E-17	3.450117E-19
3.380000E+03	7.644308E-17	3.517417E-19
3.390000E+03	7.786786E-17	3.582976E-19
3.400000E+03	7.923915E-17	3.646074E-19
3.410000E+03	8.056450E-17	3.707058E-19
3.420000E+03	8.183480E-17	3.765509E-19
3.430000E+03	8.305291E-17	3.821558E-19
3.440000E+03	8.421083E-17	3.874839E-19
3.450000E+03	8.531266E-17	3.925538E-19
3.460000E+03	8.636316E-17	3.973875E-19
3.470000E+03	8.735054E-17	4.019308E-19
3.480000E+03	8.828099E-17	4.062121E-19
3.490000E+03	8.915557E-17	4.102363E-19
3.500000E+03	8.998169E-17	4.140376E-19
3.510000E+03	9.075600E-17	4.176005E-19
3.520000E+03	9.148145E-17	4.209385E-19
3.530000E+03	9.216700E-17	4.240930E-19
3.540000E+03	9.281660E-17	4.270820E-19
3.550000E+03	9.343529E-17	4.299288E-19
3.560000E+03	9.402836E-17	4.326578E-19
3.570000E+03	9.460369E-17	4.353051E-19
3.580000E+03	9.515361E-17	4.378354E-19
3.590000E+03	9.569258E-17	4.403154E-19
3.600000E+03	9.621966E-17	4.427407E-19
3.610000E+03	9.674450E-17	4.451557E-19
3.620000E+03	9.727181E-17	4.475820E-19
3.630000E+03	9.780669E-17	4.500432E-19
3.640000E+03	9.835468E-17	4.525647E-19
3.650000E+03	9.892181E-17	4.551743E-19
3.660000E+03	9.951946E-17	4.579242E-19
3.670000E+03	1.001497E-16	4.608242E-19
3.680000E+03	1.008248E-16	4.639308E-19
3.690000E+03	1.015480E-16	4.672585E-19
3.700000E+03	1.023324E-16	4.708676E-19
3.710000E+03	1.031913E-16	4.748195E-19
3.720000E+03	1.041245E-16	4.791136E-19
3.730000E+03	1.051506E-16	4.838351E-19
3.740000E+03	1.062745E-16	4.890065E-19
3.750000E+03	1.075106E-16	4.946942E-19
3.760000E+03	1.088682E-16	5.009413E-19
3.770000E+03	1.103528E-16	5.077723E-19
3.780000E+03	1.119823E-16	5.152702E-19
3.790000E+03	1.137567E-16	5.234350E-19
3.800000E+03	1.156931E-16	5.323450E-19
3.810000E+03	1.177946E-16	5.420145E-19
3.820000E+03	1.200716E-16	5.524918E-19
3.830000E+03	1.225248E-16	5.637800E-19
3.840000E+03	1.251620E-16	5.759146E-19
3.850000E+03	1.279802E-16	5.888821E-19
3.860000E+03	1.309873E-16	6.027188E-19
3.870000E+03	1.341707E-16	6.173667E-19
3.880000E+03	1.375329E-16	6.328375E-19
3.890000E+03	1.410591E-16	6.490629E-19
3.900000E+03	1.447305E-16	6.659560E-19
3.910000E+03	1.485420E-16	6.834941E-19
3.920000E+03	1.524558E-16	7.015032E-19
3.930000E+03	1.564512E-16	7.198873E-19
3.940000E+03	1.604909E-16	7.384753E-19
3.950000E+03	1.645200E-16	7.570148E-19
3.960000E+03	1.684973E-16	7.753155E-19
3.968886E+03	1.732455E-16	7.971636E-19
3.971502E+03	1.757653E-16	8.087583E-19
3.974119E+03	1.782917E-16	8.203832E-19
3.976735E+03	1.814161E-16	8.347596E-19
3.979352E+03	1.849626E-16	8.510783E-19
3.981968E+03	1.879042E-16	8.646137E-19
3.984585E+03	1.900280E-16	8.743861E-19
3.987202E+03	1.914456E-16	8.809089E-19
3.989818E+03	1.938598E-16	8.920174E-19
3.992435E+03	1.959190E-16	9.014927E-19
3.995052E+03	1.967721E-16	9.054179E-19
3.997668E+03	1.978819E-16	9.105246E-19
4.000285E+03	1.992112E-16	9.166412E-19
4.002901E+03	2.005912E-16	9.229911E-19
4.005518E+03	2.010083E-16	9.249100E-19
