#wls	flux	fluxerr
1.600000E+03	8.473052E-18	1.659270E-19
1.640000E+03	8.222057E-18	1.604913E-19
1.680000E+03	7.979000E-18	1.552297E-19
1.720000E+03	7.745383E-18	1.501706E-19
1.760000E+03	7.522716E-18	1.453424E-19
1.800000E+03	7.313799E-18	1.407974E-19
1.840000E+03	7.118734E-18	1.365357E-19
1.880000E+03	6.941412E-18	1.326293E-19
1.920000E+03	6.780676E-18	1.290531E-19
1.960000E+03	6.639088E-18	1.258525E-19
2.000000E+03	6.519080E-18	1.230697E-19
2.040000E+03	6.421916E-18	1.207238E-19
2.080000E+03	6.347881E-18	1.188150E-19
2.120000E+03	6.300640E-18	1.174062E-19
2.160000E+03	6.281843E-18	1.165215E-19
2.200000E+03	6.292405E-18	1.161704E-19
2.240000E+03	6.336729E-18	1.164260E-19
2.280000E+03	6.416585E-18	1.173112E-19
2.320000E+03	6.536399E-18	1.188963E-19
2.360000E+03	6.701345E-18	1.212629E-19
2.400000E+03	6.915393E-18	1.244686E-19
2.440000E+03	7.187822E-18	1.286640E-19
2.480000E+03	7.523843E-18	1.339226E-19
2.520000E+03	7.934466E-18	1.404182E-19
2.560000E+03	8.431446E-18	1.483318E-19
2.600000E+03	9.026097E-18	1.578311E-19
2.640000E+03	9.736952E-18	1.692031E-19
2.680000E+03	1.058150E-17	1.827074E-19
2.720000E+03	1.157981E-17	1.986386E-19
2.760000E+03	1.275952E-17	2.174090E-19
2.800000E+03	1.414523E-17	2.393651E-19
2.840000E+03	1.577106E-17	2.649992E-19
2.880000E+03	1.767047E-17	2.947731E-19
2.920000E+03	1.987817E-17	3.291505E-19
2.960000E+03	2.243311E-17	3.686434E-19
3.000000E+03	2.536416E-17	4.135761E-19
3.010000E+03	2.615987E-17	4.257084E-19
3.020000E+03	2.697960E-17	4.381761E-19
3.030000E+03	2.782633E-17	4.510248E-19
3.040000E+03	2.870025E-17	4.642548E-19
3.050000E+03	2.959839E-17	4.778149E-19
3.060000E+03	3.052684E-17	4.918006E-19
3.070000E+03	3.147615E-17	5.060566E-19
3.080000E+03	3.245553E-17	5.207285E-19
3.090000E+03	3.346160E-17	5.357585E-19
3.100000E+03	3.449054E-17	5.510827E-19
3.110000E+03	3.554861E-17	5.667983E-19
3.120000E+03	3.662827E-17	5.827817E-19
3.130000E+03	3.773216E-17	5.990725E-19
3.140000E+03	3.886305E-17	6.157119E-19
3.150000E+03	4.001254E-17	6.325635E-19
3.160000E+03	4.118687E-17	6.497238E-19
3.170000E+03	4.238096E-17	6.671095E-19
3.180000E+03	4.359323E-17	6.846938E-19
3.190000E+03	4.482195E-17	7.024469E-19
3.200000E+03	4.518725E-17	7.066081E-19
3.210000E+03	4.732937E-17	7.384612E-19
3.220000E+03	4.859976E-17	7.565887E-19
3.230000E+03	4.891091E-17	7.597219E-19
3.240000E+03	5.117506E-17	7.930941E-19
3.250000E+03	5.247061E-17	8.113242E-19
3.260000E+03	5.377075E-17	8.295271E-19
3.270000E+03	5.506811E-17	8.475888E-19
3.280000E+03	5.636419E-17	8.655322E-19
3.290000E+03	5.765598E-17	8.833107E-19
3.300000E+03	5.894036E-17	9.008766E-19
3.310000E+03	6.021414E-17	9.181820E-19
3.320000E+03	6.147410E-17	9.351783E-19
3.330000E+03	6.271704E-17	9.518182E-19
3.340000E+03	6.393972E-17	9.680540E-19
3.350000E+03	6.514393E-17	9.839146E-19
3.360000E+03	6.631676E-17	9.992072E-19
3.370000E+03	6.746511E-17	1.014039E-18
3.380000E+03	6.858624E-17	1.028370E-18
3.390000E+03	6.967251E-17	1.042090E-18
3.400000E+03	7.072149E-17	1.055165E-18
3.410000E+03	7.173599E-17	1.067642E-18
3.420000E+03	7.271411E-17	1.079496E-18
3.430000E+03	7.364915E-17	1.090631E-18
3.440000E+03	7.454986E-17	1.101181E-18
3.450000E+03	7.540514E-17	1.110986E-18
3.460000E+03	7.621939E-17	1.120117E-18
3.470000E+03	7.699730E-17	1.128645E-18
3.480000E+03	7.773394E-17	1.136503E-18
3.490000E+03	7.842978E-17	1.143703E-18
3.500000E+03	7.908573E-17	1.150261E-18
3.510000E+03	7.970800E-17	1.156273E-18
3.520000E+03	8.029341E-17	1.161697E-18
3.530000E+03	8.084896E-17	1.166636E-18
3.540000E+03	8.137708E-17	1.171131E-18
3.550000E+03	8.187567E-17	1.175153E-18
3.560000E+03	8.235195E-17	1.178810E-18
3.570000E+03	8.281148E-17	1.182184E-18
3.580000E+03	8.324544E-17	1.185150E-18
3.590000E+03	8.366388E-17	1.187854E-18
3.600000E+03	8.406305E-17	1.190246E-18
3.610000E+03	8.444413E-17	1.192343E-18
3.620000E+03	8.481297E-17	1.194231E-18
3.630000E+03	8.516661E-17	1.195869E-18
3.640000E+03	8.551119E-17	1.197344E-18
3.650000E+03	8.584844E-17	1.198683E-18
3.660000E+03	8.618019E-17	1.199911E-18
3.670000E+03	8.650830E-17	1.201055E-18
3.680000E+03	8.683466E-17	1.202141E-18
3.690000E+03	8.716113E-17	1.203195E-18
3.700000E+03	8.748946E-17	1.204242E-18
3.710000E+03	8.782539E-17	1.205359E-18
3.720000E+03	8.816628E-17	1.206510E-18
3.730000E+03	8.851744E-17	1.207767E-18
3.740000E+03	8.887589E-17	1.209087E-18
3.750000E+03	8.924632E-17	1.210534E-18
3.760000E+03	8.963291E-17	1.212163E-18
3.770000E+03	9.002796E-17	1.213867E-18
3.780000E+03	9.043496E-17	1.215693E-18
3.790000E+03	9.085677E-17	1.217678E-18
3.800000E+03	9.128835E-17	1.219751E-18
3.810000E+03	9.172796E-17	1.221890E-18
3.820000E+03	9.217695E-17	1.224111E-18
3.830000E+03	9.262897E-17	1.226329E-18
3.840000E+03	9.308439E-17	1.228548E-18
3.850000E+03	9.353954E-17	1.230720E-18
3.860000E+03	9.399040E-17	1.232791E-18
3.870000E+03	9.442932E-17	1.234664E-18
3.880000E+03	9.485873E-17	1.236369E-18
3.890000E+03	9.526756E-17	1.237766E-18
3.900000E+03	9.565837E-17	1.238890E-18
3.910000E+03	9.602417E-17	1.239653E-18
3.920000E+03	9.636207E-17	1.240020E-18
3.930000E+03	9.667019E-17	1.239972E-18
3.940000E+03	9.695093E-17	1.239543E-18
3.950000E+03	9.720171E-17	1.238704E-18
3.960000E+03	9.742742E-17	1.237520E-18
3.970000E+03	9.762788E-17	1.235992E-18
3.980000E+03	9.780675E-17	1.234171E-18
3.990000E+03	9.797107E-17	1.232147E-18
4.000000E+03	9.812482E-17	1.229972E-18
4.010000E+03	9.826880E-17	1.227658E-18
4.020000E+03	9.840597E-17	1.225244E-18
4.030000E+03	9.853827E-17	1.222753E-18
4.040000E+03	9.866934E-17	1.220233E-18
4.050000E+03	9.879675E-17	1.217653E-18
4.060000E+03	9.892362E-17	1.215052E-18
4.070000E+03	9.904642E-17	1.212388E-18
4.080000E+03	9.917461E-17	1.209777E-18
4.090000E+03	9.931109E-17	1.207254E-18
4.100000E+03	9.947111E-17	1.205001E-18
4.110000E+03	9.967210E-17	1.203228E-18
4.120000E+03	9.993357E-17	1.202164E-18
4.130000E+03	1.002810E-16	1.202107E-18
4.140000E+03	1.007447E-16	1.203408E-18
4.150000E+03	1.013485E-16	1.206337E-18
4.160000E+03	1.021209E-16	1.211213E-18
4.170000E+03	1.030905E-16	1.218355E-18
4.180000E+03	1.042791E-16	1.227994E-18
4.190000E+03	1.057073E-16	1.240344E-18
4.200000E+03	1.073905E-16	1.255556E-18
4.210000E+03	1.093417E-16	1.273749E-18
4.220000E+03	1.115791E-16	1.295099E-18
4.230000E+03	1.141092E-16	1.319648E-18
4.240000E+03	1.169504E-16	1.347571E-18
4.250000E+03	1.201108E-16	1.378920E-18
4.260000E+03	1.236100E-16	1.413883E-18
4.270000E+03	1.274549E-16	1.452493E-18
4.280000E+03	1.316583E-16	1.494856E-18
4.290000E+03	1.362120E-16	1.540832E-18
4.300000E+03	1.411038E-16	1.590241E-18
4.310000E+03	1.462870E-16	1.642518E-18
4.320000E+03	1.516967E-16	1.696901E-18
4.330000E+03	1.572297E-16	1.752214E-18
4.340000E+03	1.627473E-16	1.806902E-18
4.350000E+03	1.680791E-16	1.859085E-18
4.360000E+03	1.730249E-16	1.906582E-18
4.370000E+03	1.773698E-16	1.947081E-18
4.380000E+03	1.809033E-16	1.978361E-18
4.390000E+03	1.834436E-16	1.998541E-18
4.400000E+03	1.850009E-16	2.007857E-18
4.410000E+03	1.857885E-16	2.008740E-18
4.420000E+03	1.860586E-16	2.004002E-18
4.430000E+03	1.860711E-16	1.996496E-18
4.440000E+03	1.860795E-16	1.988963E-18
4.450000E+03	1.863224E-16	1.983948E-18
4.460000E+03	1.870025E-16	1.983571E-18
4.470000E+03	1.882997E-16	1.989681E-18
4.480000E+03	1.903660E-16	2.003806E-18
4.490000E+03	1.933290E-16	2.027190E-18
4.500000E+03	1.972889E-16	2.060774E-18
4.510000E+03	2.023202E-16	2.105215E-18
4.520000E+03	2.084760E-16	2.160940E-18
4.530000E+03	2.157607E-16	2.227860E-18
4.540000E+03	2.241371E-16	2.305462E-18
4.550000E+03	2.335122E-16	2.392665E-18
4.560000E+03	2.437323E-16	2.487787E-18
4.570000E+03	2.545659E-16	2.588377E-18
4.580000E+03	2.657258E-16	2.691458E-18
4.590000E+03	2.768643E-16	2.793489E-18
4.600000E+03	2.875936E-16	2.890577E-18
4.610000E+03	2.975071E-16	2.978703E-18
4.620000E+03	3.062178E-16	3.054105E-18
4.630000E+03	3.133976E-16	3.113666E-18
4.640000E+03	3.187842E-16	3.154968E-18
4.650000E+03	3.222309E-16	3.176774E-18
4.660000E+03	3.237161E-16	3.179094E-18
4.670000E+03	3.233316E-16	3.163049E-18
4.680000E+03	3.212649E-16	3.130681E-18
4.690000E+03	3.177819E-16	3.084759E-18
4.700000E+03	3.131772E-16	3.028291E-18
4.710000E+03	3.077388E-16	2.964175E-18
4.720000E+03	3.017328E-16	2.895057E-18
4.730000E+03	2.953581E-16	2.822899E-18
4.740000E+03	2.887677E-16	2.749195E-18
4.750000E+03	2.820566E-16	2.674869E-18
4.760000E+03	2.752796E-16	2.600449E-18
4.770000E+03	2.684518E-16	2.526082E-18
4.780000E+03	2.615762E-16	2.451799E-18
4.790000E+03	2.546440E-16	2.377522E-18
4.800000E+03	2.476467E-16	2.303174E-18
4.810000E+03	2.406006E-16	2.228912E-18
4.820000E+03	2.335262E-16	2.154928E-18
4.830000E+03	2.264908E-16	2.081841E-18
4.840000E+03	2.195847E-16	2.010472E-18
4.850000E+03	2.129382E-16	1.941992E-18
4.860000E+03	2.067058E-16	1.877775E-18
4.870000E+03	2.010713E-16	1.819439E-18
4.880000E+03	1.962228E-16	1.768611E-18
4.890000E+03	1.923551E-16	1.726957E-18
4.900000E+03	1.896534E-16	1.696028E-18
4.910000E+03	1.882908E-16	1.677242E-18
4.920000E+03	1.884174E-16	1.671789E-18
4.930000E+03	1.901451E-16	1.680503E-18
4.940000E+03	1.935528E-16	1.703914E-18
4.950000E+03	1.986615E-16	1.742031E-18
4.960000E+03	2.054101E-16	1.794148E-18
4.970000E+03	2.136521E-16	1.858826E-18
4.980000E+03	2.231102E-16	1.933512E-18
4.990000E+03	2.333823E-16	2.014616E-18
5.000000E+03	2.439276E-16	2.097409E-18
5.010000E+03	2.540965E-16	2.176308E-18
5.020000E+03	2.631987E-16	2.245466E-18
5.030000E+03	2.705870E-16	2.299496E-18
5.040000E+03	2.757539E-16	2.334279E-18
5.050000E+03	2.784234E-16	2.347711E-18
5.060000E+03	2.786149E-16	2.340205E-18
