#wls	flux	fluxerr
1.600000E+03	2.128925E-18	2.596252E-18
1.640000E+03	2.140051E-18	2.608933E-18
1.680000E+03	2.152799E-18	2.623486E-18
1.720000E+03	2.167708E-18	2.640550E-18
1.760000E+03	2.184169E-18	2.659364E-18
1.800000E+03	2.202744E-18	2.680591E-18
1.840000E+03	2.224025E-18	2.704921E-18
1.880000E+03	2.247426E-18	2.731610E-18
1.920000E+03	2.273974E-18	2.761871E-18
1.960000E+03	2.303517E-18	2.795474E-18
2.000000E+03	2.335906E-18	2.832188E-18
2.040000E+03	2.372263E-18	2.873312E-18
2.080000E+03	2.412495E-18	2.918664E-18
2.120000E+03	2.456953E-18	2.968585E-18
2.160000E+03	2.506020E-18	3.023441E-18
2.200000E+03	2.560119E-18	3.083628E-18
2.240000E+03	2.620180E-18	3.150132E-18
2.280000E+03	2.685794E-18	3.222302E-18
2.320000E+03	2.757983E-18	3.301182E-18
2.360000E+03	2.837878E-18	3.387906E-18
2.400000E+03	2.925179E-18	3.481857E-18
2.440000E+03	3.021682E-18	3.584876E-18
2.480000E+03	3.127744E-18	3.697024E-18
2.520000E+03	3.243748E-18	3.818337E-18
2.560000E+03	3.371887E-18	3.950910E-18
2.600000E+03	3.512796E-18	4.094899E-18
2.640000E+03	3.667802E-18	4.251170E-18
2.680000E+03	3.838387E-18	4.420638E-18
2.720000E+03	4.026208E-18	4.604270E-18
2.760000E+03	4.233862E-18	4.803927E-18
2.800000E+03	4.461967E-18	5.019004E-18
2.840000E+03	4.713551E-18	5.251405E-18
2.880000E+03	4.992085E-18	5.503212E-18
2.920000E+03	5.298764E-18	5.773658E-18
2.960000E+03	5.638653E-18	6.065850E-18
3.000000E+03	6.013455E-18	6.378787E-18
3.010000E+03	6.113221E-18	6.460542E-18
3.020000E+03	6.216637E-18	6.544884E-18
3.030000E+03	6.321607E-18	6.629545E-18
3.040000E+03	6.429277E-18	6.715672E-18
3.050000E+03	6.539719E-18	6.803278E-18
3.060000E+03	6.653010E-18	6.892377E-18
3.070000E+03	6.770415E-18	6.984205E-18
3.080000E+03	6.889656E-18	7.076338E-18
3.090000E+03	7.011985E-18	7.169994E-18
3.100000E+03	7.137484E-18	7.265184E-18
3.110000E+03	7.266240E-18	7.361915E-18
3.120000E+03	7.398340E-18	7.460192E-18
3.130000E+03	7.535195E-18	7.561346E-18
3.140000E+03	7.674282E-18	7.662747E-18
3.150000E+03	7.816992E-18	7.765705E-18
3.160000E+03	7.963422E-18	7.870220E-18
3.170000E+03	8.115095E-18	7.977687E-18
3.180000E+03	8.269296E-18	8.085326E-18
3.190000E+03	8.427525E-18	8.194508E-18
3.200000E+03	8.589891E-18	8.305224E-18
3.210000E+03	8.756503E-18	8.417463E-18
3.220000E+03	8.929036E-18	8.532702E-18
3.230000E+03	9.104511E-18	8.647956E-18
3.240000E+03	9.284578E-18	8.764677E-18
3.250000E+03	9.469358E-18	8.882839E-18
3.260000E+03	9.660662E-18	9.003984E-18
3.270000E+03	9.855272E-18	9.124950E-18
3.280000E+03	1.005497E-17	9.247252E-18
