#wls	flux	fluxerr
1.594261E+03	9.782995E-02	8.341157E-06
1.634117E+03	9.820302E-02	8.372963E-06
1.673974E+03	9.800029E-02	8.355676E-06
1.713830E+03	9.709883E-02	8.278814E-06
1.753687E+03	9.537048E-02	8.131450E-06
1.793543E+03	9.268113E-02	7.902149E-06
1.833400E+03	8.912609E-02	7.599039E-06
1.873256E+03	8.559926E-02	7.298334E-06
1.913113E+03	8.297236E-02	7.074358E-06
1.952969E+03	8.209804E-02	6.999811E-06
1.992826E+03	8.396317E-02	7.158833E-06
2.032682E+03	8.848555E-02	7.544416E-06
2.072539E+03	9.342449E-02	7.965516E-06
2.112395E+03	9.680727E-02	8.253935E-06
2.152252E+03	1.008498E-01	8.598607E-06
2.192108E+03	1.046420E-01	8.921936E-06
2.231965E+03	1.072077E-01	9.140684E-06
2.271821E+03	1.107002E-01	9.438463E-06
2.311678E+03	1.100179E-01	9.380284E-06
2.351534E+03	1.038842E-01	8.857318E-06
2.391391E+03	1.012894E-01	8.636076E-06
2.431248E+03	1.028851E-01	8.772130E-06
2.471104E+03	9.972740E-02	8.502895E-06
2.510961E+03	9.137049E-02	7.790372E-06
2.550817E+03	8.542140E-02	7.283144E-06
2.590674E+03	8.612761E-02	7.343355E-06
2.630530E+03	9.098006E-02	7.757080E-06
2.670387E+03	9.505777E-02	8.104750E-06
2.710243E+03	9.571512E-02	8.160795E-06
2.750100E+03	9.493107E-02	8.093945E-06
2.789956E+03	9.580276E-02	8.168266E-06
2.829813E+03	9.897076E-02	8.438372E-06
2.869669E+03	1.026735E-01	8.754068E-06
2.909526E+03	1.043573E-01	8.897631E-06
2.949382E+03	1.028916E-01	8.772664E-06
2.989239E+03	9.896318E-02	8.437722E-06
2.999203E+03	9.777919E-02	8.336773E-06
3.009167E+03	9.656928E-02	8.233614E-06
3.019131E+03	9.535780E-02	8.130322E-06
3.029095E+03	9.416750E-02	8.028836E-06
3.039059E+03	9.301523E-02	7.930591E-06
3.049024E+03	9.191563E-02	7.836838E-06
3.058988E+03	9.087945E-02	7.748492E-06
3.068952E+03	8.991309E-02	7.666099E-06
3.078916E+03	8.902122E-02	7.590057E-06
3.088880E+03	8.820336E-02	7.520325E-06
3.098844E+03	8.745478E-02	7.456500E-06
3.108808E+03	8.676738E-02	7.397891E-06
3.118772E+03	8.613121E-02	7.343650E-06
3.128737E+03	8.553402E-02	7.292733E-06
3.138701E+03	8.496347E-02	7.244087E-06
3.148665E+03	8.440598E-02	7.196555E-06
3.158629E+03	8.384990E-02	7.149143E-06
3.168593E+03	8.328366E-02	7.100864E-06
3.178557E+03	8.269849E-02	7.050972E-06
3.188521E+03	8.208781E-02	6.998904E-06
3.198485E+03	8.144816E-02	6.944367E-06
3.208450E+03	8.077897E-02	6.887311E-06
3.218414E+03	8.008168E-02	6.827859E-06
3.228378E+03	7.935984E-02	6.766314E-06
3.238342E+03	7.861809E-02	6.703071E-06
3.248306E+03	7.786025E-02	6.638457E-06
3.258270E+03	7.709001E-02	6.572785E-06
3.268234E+03	7.630976E-02	6.506260E-06
3.278198E+03	7.551922E-02	6.438857E-06
3.288163E+03	7.471682E-02	6.370444E-06
3.298127E+03	7.390231E-02	6.300998E-06
3.308091E+03	7.307756E-02	6.230678E-06
3.318055E+03	7.224592E-02	6.159772E-06
3.328019E+03	7.141427E-02	6.088864E-06
3.337983E+03	7.059235E-02	6.018786E-06
3.347947E+03	6.979253E-02	5.950592E-06
3.357912E+03	6.903058E-02	5.885628E-06
3.367876E+03	6.832602E-02	5.825557E-06
3.377840E+03	6.769911E-02	5.772105E-06
3.387804E+03	6.716749E-02	5.726779E-06
3.397768E+03	6.674442E-02	5.690707E-06
3.407732E+03	6.643348E-02	5.664196E-06
3.417696E+03	6.621938E-02	5.645942E-06
3.427660E+03	6.605895E-02	5.632263E-06
3.437625E+03	6.588645E-02	5.617556E-06
3.447589E+03	6.561423E-02	5.594346E-06
3.457553E+03	6.513948E-02	5.553868E-06
3.467517E+03	6.439626E-02	5.490500E-06
3.477481E+03	6.345306E-02	5.410082E-06
3.487445E+03	5.531741E-02	4.716427E-06
3.489263E+03	5.530476E-02	4.715348E-06
3.491081E+03	5.533112E-02	4.717595E-06
3.492899E+03	5.532732E-02	4.717271E-06
3.494717E+03	5.526853E-02	4.712259E-06
3.496534E+03	5.520618E-02	4.706943E-06
3.498353E+03	5.519348E-02	4.705860E-06
3.500170E+03	5.519322E-02	4.705838E-06
3.501988E+03	5.515922E-02	4.702939E-06
3.503806E+03	5.511634E-02	4.699283E-06
3.505624E+03	5.510362E-02	4.698199E-06
3.507442E+03	5.507494E-02	4.695753E-06
3.509260E+03	5.507463E-02	4.695726E-06
3.511078E+03	5.507431E-02	4.695700E-06
3.512896E+03	5.500658E-02	4.689924E-06
3.514713E+03	5.492639E-02	4.683087E-06
3.516531E+03	5.487637E-02	4.678823E-06
3.518349E+03	5.480149E-02	4.672439E-06
3.520167E+03	5.472306E-02	4.665751E-06
3.521985E+03	5.467480E-02	4.661637E-06
3.523802E+03	5.463361E-02	4.658125E-06
3.525621E+03	5.455515E-02	4.651435E-06
3.527438E+03	5.448022E-02	4.645047E-06
3.529257E+03	5.441595E-02	4.639567E-06
3.531074E+03	5.433213E-02	4.632420E-06
3.532893E+03	5.424119E-02	4.624667E-06
3.534710E+03	5.423013E-02	4.623723E-06
3.536528E+03	5.431489E-02	4.630950E-06
3.538346E+03	5.439965E-02	4.638177E-06
3.540163E+03	5.440631E-02	4.638745E-06
3.541982E+03	5.439878E-02	4.638103E-06
3.543799E+03	5.439833E-02	4.638064E-06
3.545618E+03	5.439253E-02	4.637570E-06
3.547435E+03	5.443290E-02	4.641012E-06
3.549253E+03	5.448393E-02	4.645363E-06
3.551071E+03	5.450119E-02	4.646835E-06
3.552889E+03	5.450605E-02	4.647249E-06
3.554707E+03	5.452685E-02	4.649022E-06
3.556525E+03	5.453168E-02	4.649434E-06
3.558343E+03	5.454895E-02	4.650906E-06
3.560160E+03	5.459105E-02	4.654496E-06
3.561979E+03	5.461538E-02	4.656571E-06
3.563796E+03	5.464861E-02	4.659404E-06
3.565614E+03	5.467295E-02	4.661479E-06
3.567432E+03	5.472212E-02	4.665671E-06
3.569250E+03	5.477129E-02	4.669864E-06
3.571068E+03	5.484355E-02	4.676024E-06
3.572886E+03	5.490693E-02	4.681428E-06
3.574704E+03	5.496320E-02	4.686226E-06
3.576522E+03	5.501237E-02	4.690418E-06
3.578339E+03	5.505265E-02	4.693852E-06
3.580157E+03	5.508581E-02	4.696679E-06
3.581975E+03	5.511009E-02	4.698750E-06
3.583793E+03	5.512728E-02	4.700216E-06
3.585611E+03	5.513555E-02	4.700921E-06
3.587428E+03	5.513498E-02	4.700872E-06
3.589247E+03	5.512548E-02	4.700062E-06
3.591064E+03	5.504851E-02	4.693500E-06
3.592883E+03	5.499638E-02	4.689055E-06
3.594700E+03	5.496377E-02	4.686275E-06
3.596519E+03	5.491162E-02	4.681828E-06
3.598336E+03	5.490744E-02	4.681471E-06
3.600154E+03	5.488546E-02	4.679598E-06
3.601972E+03	5.487238E-02	4.678482E-06
3.603789E+03	5.487702E-02	4.678878E-06
3.605608E+03	5.489767E-02	4.680639E-06
3.607425E+03	5.490409E-02	4.681186E-06
3.609244E+03	5.491761E-02	4.682339E-06
3.611061E+03	5.495601E-02	4.685613E-06
3.612879E+03	5.499794E-02	4.689188E-06
3.614697E+03	5.505051E-02	4.693670E-06
3.616515E+03	5.510309E-02	4.698153E-06
3.618333E+03	5.514322E-02	4.701575E-06
3.620150E+03	5.522245E-02	4.708330E-06
3.621969E+03	5.533364E-02	4.717810E-06
3.623786E+03	5.532046E-02	4.716686E-06
3.625605E+03	5.522733E-02	4.708746E-06
3.627422E+03	5.523544E-02	4.709437E-06
3.629240E+03	5.534662E-02	4.718917E-06
3.631058E+03	5.534939E-02	4.719153E-06
3.632876E+03	5.526333E-02	4.711815E-06
3.634694E+03	5.523056E-02	4.709021E-06
3.636512E+03	5.523508E-02	4.709406E-06
3.638329E+03	5.517742E-02	4.704490E-06
3.640147E+03	5.509309E-02	4.697300E-06
3.641965E+03	5.499631E-02	4.689049E-06
3.643783E+03	5.481955E-02	4.673978E-06
3.645601E+03	5.471029E-02	4.664662E-06
3.647419E+03	5.471478E-02	4.665046E-06
3.649237E+03	5.464106E-02	4.658760E-06
3.651054E+03	5.451756E-02	4.648230E-06
3.652873E+03	5.437271E-02	4.635880E-06
3.654690E+03	5.423142E-02	4.623834E-06
3.656509E+03	5.415943E-02	4.617696E-06
3.658326E+03	5.413188E-02	4.615346E-06
3.660144E+03	5.403675E-02	4.607236E-06
3.661962E+03	5.385810E-02	4.592003E-06
3.663780E+03	5.369007E-02	4.577677E-06
3.665598E+03	5.358780E-02	4.568958E-06
3.667415E+03	5.351220E-02	4.562512E-06
3.669234E+03	5.345257E-02	4.557428E-06
3.671051E+03	5.338229E-02	4.551435E-06
3.672870E+03	5.333506E-02	4.547409E-06
3.674687E+03	5.326119E-02	4.541111E-06
3.676505E+03	5.315532E-02	4.532084E-06
3.678323E+03	5.306186E-02	4.524115E-06
3.680140E+03	5.295596E-02	4.515086E-06
3.681959E+03	5.289982E-02	4.510299E-06
3.683776E+03	5.293254E-02	4.513090E-06
3.685595E+03	5.292261E-02	4.512243E-06
3.687412E+03	5.286110E-02	4.506999E-06
3.689231E+03	5.282270E-02	4.503724E-06
3.691048E+03	5.275586E-02	4.498025E-06
3.692866E+03	5.266944E-02	4.490657E-06
3.694684E+03	5.263099E-02	4.487379E-06
3.696502E+03	5.264590E-02	4.488650E-06
3.698320E+03	5.270522E-02	4.493708E-06
3.700138E+03	5.273965E-02	4.496643E-06
3.701955E+03	5.274030E-02	4.496699E-06
3.703773E+03	5.276583E-02	4.498876E-06
3.705591E+03	5.280024E-02	4.501810E-06
3.707409E+03	5.281686E-02	4.503226E-06
3.709227E+03	5.283525E-02	4.504795E-06
3.711045E+03	5.278786E-02	4.500754E-06
3.712863E+03	5.271022E-02	4.494134E-06
3.714680E+03	5.267881E-02	4.491456E-06
3.716499E+03	5.265984E-02	4.489839E-06
3.718316E+03	5.261418E-02	4.485946E-06
3.720135E+03	5.258273E-02	4.483264E-06
3.721952E+03	5.255128E-02	4.480583E-06
3.723770E+03	5.248424E-02	4.474867E-06
3.725588E+03	5.239587E-02	4.467332E-06
3.727405E+03	5.234126E-02	4.462677E-06
3.729224E+03	5.229378E-02	4.458628E-06
3.731041E+03	5.224804E-02	4.454728E-06
3.732860E+03	5.224321E-02	4.454316E-06
3.734677E+03	5.228815E-02	4.458148E-06
3.736496E+03	5.228685E-02	4.458037E-06
3.738313E+03	5.218240E-02	4.449131E-06
3.740131E+03	5.201571E-02	4.434920E-06
3.741949E+03	5.190412E-02	4.425405E-06
3.743766E+03	5.182275E-02	4.418468E-06
3.745585E+03	5.176629E-02	4.413654E-06
3.747402E+03	5.173470E-02	4.410960E-06
3.749221E+03	5.164441E-02	4.403262E-06
3.751038E+03	5.152211E-02	4.392835E-06
3.752856E+03	5.141756E-02	4.383921E-06
3.754674E+03	5.134326E-02	4.377586E-06
3.756492E+03	5.129382E-02	4.373371E-06
3.758310E+03	5.127642E-02	4.371886E-06
3.760128E+03	5.123941E-02	4.368731E-06
3.761946E+03	5.119351E-02	4.364818E-06
3.763763E+03	5.116184E-02	4.362117E-06
3.765581E+03	5.112125E-02	4.358657E-06
3.767399E+03	5.109668E-02	4.356562E-06
3.769217E+03	5.107030E-02	4.354313E-06
3.771035E+03	5.106883E-02	4.354188E-06
3.772853E+03	5.104599E-02	4.352240E-06
3.774671E+03	5.101603E-02	4.349685E-06
3.776489E+03	5.097005E-02	4.345766E-06
3.778306E+03	5.088849E-02	4.338812E-06
3.780125E+03	5.080159E-02	4.331402E-06
3.781942E+03	5.072537E-02	4.324903E-06
3.783760E+03	5.068646E-02	4.321586E-06
3.785578E+03	5.070625E-02	4.323274E-06
3.787395E+03	5.076338E-02	4.328145E-06
3.789214E+03	5.080804E-02	4.331952E-06
3.791031E+03	5.082246E-02	4.333182E-06
3.792850E+03	5.084398E-02	4.335017E-06
3.794667E+03	5.085305E-02	4.335790E-06
3.796486E+03	5.085853E-02	4.336257E-06
3.798303E+03	5.086404E-02	4.336727E-06
3.800122E+03	5.084283E-02	4.334918E-06
3.801939E+03	5.080383E-02	4.331593E-06
3.803756E+03	5.076838E-02	4.328571E-06
3.805575E+03	5.069557E-02	4.322363E-06
3.807392E+03	5.061921E-02	4.315852E-06
3.809211E+03	5.057482E-02	4.312068E-06
3.811028E+03	5.055356E-02	4.310255E-06
3.812847E+03	5.052519E-02	4.307836E-06
3.814664E+03	5.048967E-02	4.304808E-06
3.816482E+03	5.048616E-02	4.304509E-06
3.818300E+03	5.053957E-02	4.309062E-06
3.820118E+03	5.055916E-02	4.310733E-06
3.821936E+03	5.056987E-02	4.311645E-06
3.823753E+03	5.058410E-02	4.312859E-06
3.825571E+03	5.060545E-02	4.314679E-06
3.827389E+03	5.067304E-02	4.320442E-06
3.829207E+03	5.073349E-02	4.325596E-06
3.831025E+03	5.075660E-02	4.327567E-06
3.832843E+03	5.077079E-02	4.328776E-06
3.834661E+03	5.078675E-02	4.330137E-06
3.836479E+03	5.084004E-02	4.334680E-06
3.838297E+03	5.090934E-02	4.340589E-06
3.840115E+03	5.098575E-02	4.347104E-06
3.841932E+03	5.106037E-02	4.353466E-06
3.843750E+03	5.115453E-02	4.361494E-06
3.845568E+03	5.124335E-02	4.369067E-06
3.847386E+03	5.128769E-02	4.372848E-06
3.849204E+03	5.131068E-02	4.374808E-06
3.851021E+03	5.134610E-02	4.377828E-06
3.852840E+03	5.138685E-02	4.381303E-06
3.854657E+03	5.140982E-02	4.383260E-06
3.856476E+03	5.140965E-02	4.383246E-06
3.858293E+03	5.134542E-02	4.377770E-06
3.860112E+03	5.124385E-02	4.369110E-06
3.861929E+03	5.116006E-02	4.361966E-06
3.863748E+03	5.111182E-02	4.357853E-06
3.865565E+03	5.109913E-02	4.356771E-06
3.867382E+03	5.109535E-02	4.356449E-06
3.869201E+03	5.107554E-02	4.354760E-06
3.871018E+03	5.107883E-02	4.355040E-06
3.872837E+03	5.103942E-02	4.351680E-06
3.874654E+03	5.092177E-02	4.341649E-06
3.876472E+03	5.080587E-02	4.331767E-06
3.878290E+03	5.067929E-02	4.320975E-06
3.880108E+03	5.054382E-02	4.309425E-06
3.881926E+03	5.039053E-02	4.296355E-06
3.883744E+03	5.021769E-02	4.281619E-06
3.885562E+03	5.002706E-02	4.265365E-06
3.887379E+03	4.983463E-02	4.248958E-06
3.889197E+03	4.961909E-02	4.230581E-06
3.891015E+03	4.943199E-02	4.214629E-06
3.892833E+03	4.931777E-02	4.204891E-06
3.894651E+03	4.918045E-02	4.193182E-06
3.896469E+03	4.902711E-02	4.180109E-06
3.898287E+03	4.892533E-02	4.171430E-06
3.900105E+03	4.881465E-02	4.161994E-06
3.901923E+03	4.868976E-02	4.151345E-06
3.903741E+03	4.859504E-02	4.143270E-06
3.905558E+03	4.851103E-02	4.136107E-06
3.907376E+03	4.843230E-02	4.129394E-06
3.909194E+03	4.833581E-02	4.121167E-06
3.911012E+03	4.824819E-02	4.113697E-06
3.912830E+03	4.818723E-02	4.108499E-06
3.914647E+03	4.813162E-02	4.103758E-06
3.916466E+03	4.808665E-02	4.099924E-06
3.918283E+03	4.803810E-02	4.095785E-06
3.920102E+03	4.797890E-02	4.090737E-06
3.921919E+03	4.793923E-02	4.087354E-06
3.923738E+03	4.790133E-02	4.084123E-06
3.925555E+03	4.787409E-02	4.081801E-06
3.927373E+03	4.783617E-02	4.078568E-06
3.929191E+03	4.777334E-02	4.073211E-06
3.931008E+03	4.772652E-02	4.069219E-06
3.932827E+03	4.771878E-02	4.068559E-06
3.934644E+03	4.771106E-02	4.067901E-06
3.936463E+03	4.768019E-02	4.065268E-06
3.938280E+03	4.762621E-02	4.060666E-06
3.940098E+03	4.757044E-02	4.055912E-06
3.941916E+03	4.755910E-02	4.054944E-06
3.943734E+03	4.755842E-02	4.054886E-06
3.945552E+03	4.754705E-02	4.053917E-06
3.947369E+03	4.752502E-02	4.052039E-06
3.949188E+03	4.748876E-02	4.048947E-06
3.951005E+03	4.745782E-02	4.046309E-06
3.952823E+03	4.743930E-02	4.044730E-06
3.954641E+03	4.743144E-02	4.044060E-06
3.956459E+03	4.743423E-02	4.044298E-06
3.958277E+03	4.742100E-02	4.043170E-06
3.960095E+03	4.741134E-02	4.042346E-06
3.961913E+03	4.738921E-02	4.040460E-06
3.963731E+03	4.735286E-02	4.037360E-06
3.965548E+03	4.733249E-02	4.035623E-06
3.967366E+03	4.731566E-02	4.034188E-06
3.969184E+03	4.732016E-02	4.034572E-06
3.971002E+03	4.733528E-02	4.035861E-06
3.972820E+03	4.729710E-02	4.032606E-06
3.974638E+03	4.724290E-02	4.027985E-06
3.976456E+03	4.720469E-02	4.024727E-06
3.978273E+03	4.719490E-02	4.023893E-06
3.980092E+03	4.722066E-02	4.026088E-06
3.981909E+03	4.726060E-02	4.029494E-06
3.983728E+03	4.734141E-02	4.036384E-06
3.985545E+03	4.741153E-02	4.042362E-06
3.987363E+03	4.741768E-02	4.042887E-06
3.989181E+03	4.735096E-02	4.037198E-06
3.990998E+03	4.723446E-02	4.027265E-06
3.992817E+03	4.712683E-02	4.018089E-06
3.994634E+03	4.702810E-02	4.009671E-06
3.996453E+03	4.696666E-02	4.004433E-06
3.998270E+03	4.695142E-02	4.003133E-06
4.000089E+03	4.692016E-02	4.000468E-06
4.001906E+03	4.684449E-02	3.994016E-06
4.003724E+03	4.671905E-02	3.983320E-06
4.005542E+03	4.655628E-02	3.969443E-06
4.007360E+03	4.638287E-02	3.954658E-06
4.009178E+03	4.620233E-02	3.939265E-06
4.010995E+03	4.601824E-02	3.923569E-06
4.012814E+03	4.582706E-02	3.907269E-06
4.014631E+03	4.562520E-02	3.890058E-06
4.016449E+03	4.543933E-02	3.874210E-06
4.018267E+03	4.526764E-02	3.859572E-06
4.020085E+03	4.508355E-02	3.843877E-06
4.021903E+03	4.491543E-02	3.829542E-06
4.023721E+03	4.475795E-02	3.816116E-06
4.025538E+03	4.461647E-02	3.804053E-06
4.027357E+03	4.450517E-02	3.794563E-06
4.029174E+03	4.440807E-02	3.786284E-06
4.030992E+03	4.432341E-02	3.779066E-06
4.032810E+03	4.425827E-02	3.773512E-06
4.034628E+03	4.422331E-02	3.770531E-06
4.036446E+03	4.422561E-02	3.770728E-06
4.038264E+03	4.423860E-02	3.771835E-06
4.040082E+03	4.424976E-02	3.772786E-06
4.041899E+03	4.426447E-02	3.774041E-06
4.043718E+03	4.427919E-02	3.775295E-06
4.045535E+03	4.430807E-02	3.777758E-06
4.047354E+03	4.438311E-02	3.784156E-06
4.049171E+03	4.448124E-02	3.792523E-06
4.050989E+03	4.456511E-02	3.799674E-06
4.052807E+03	4.465076E-02	3.806976E-06
4.054624E+03	4.472929E-02	3.813672E-06
4.056443E+03	4.481311E-02	3.820819E-06
4.058260E+03	4.491824E-02	3.829782E-06
4.060079E+03	4.506593E-02	3.842374E-06
4.061896E+03	4.524735E-02	3.857842E-06
4.063714E+03	4.544825E-02	3.874971E-06
4.065532E+03	4.565268E-02	3.892401E-06
4.067350E+03	4.584822E-02	3.909073E-06
4.069168E+03	4.602065E-02	3.923774E-06
4.070985E+03	4.617353E-02	3.936809E-06
4.072804E+03	4.628377E-02	3.946209E-06
4.074621E+03	4.637806E-02	3.954248E-06
4.076440E+03	4.647938E-02	3.962887E-06
4.078257E+03	4.657184E-02	3.970770E-06
4.080075E+03	4.665540E-02	3.977894E-06
4.081893E+03	4.670344E-02	3.981990E-06
4.083711E+03	4.675679E-02	3.986539E-06
4.085529E+03	4.681900E-02	3.991843E-06
4.087347E+03	4.685812E-02	3.995179E-06
4.089165E+03	4.688481E-02	3.997454E-06
4.090982E+03	4.691326E-02	3.999880E-06
4.092800E+03	4.691506E-02	4.000033E-06
4.094618E+03	4.688493E-02	3.997465E-06
4.096436E+03	4.688140E-02	3.997163E-06
4.098254E+03	4.686719E-02	3.995952E-06
4.100072E+03	4.683523E-02	3.993227E-06
4.101890E+03	4.680505E-02	3.990654E-06
4.103708E+03	4.676776E-02	3.987474E-06
4.105525E+03	4.670916E-02	3.982478E-06
4.107344E+03	4.663106E-02	3.975819E-06
4.109161E+03	4.653697E-02	3.967797E-06
4.110979E+03	4.643401E-02	3.959018E-06
4.112797E+03	4.632217E-02	3.949483E-06
4.114614E+03	4.620858E-02	3.939798E-06
4.116433E+03	4.607900E-02	3.928750E-06
4.118250E+03	4.593524E-02	3.916493E-06
4.120069E+03	4.578793E-02	3.903933E-06
4.121886E+03	4.561933E-02	3.889558E-06
4.123705E+03	4.543125E-02	3.873522E-06
4.125522E+03	4.523960E-02	3.857182E-06
4.127341E+03	4.502846E-02	3.839180E-06
4.129158E+03	4.483151E-02	3.822387E-06
4.130975E+03	4.465939E-02	3.807712E-06
4.132794E+03	4.447128E-02	3.791674E-06
4.134611E+03	4.423713E-02	3.771710E-06
4.136430E+03	4.398170E-02	3.749932E-06
4.138247E+03	4.372804E-02	3.728305E-06
4.140066E+03	4.347085E-02	3.706376E-06
4.141883E+03	4.320481E-02	3.683694E-06
4.143701E+03	4.293702E-02	3.660861E-06
4.145519E+03	4.266567E-02	3.637726E-06
4.147337E+03	4.239790E-02	3.614895E-06
4.149155E+03	4.211594E-02	3.590855E-06
4.150972E+03	4.182339E-02	3.565912E-06
4.152790E+03	4.153792E-02	3.541572E-06
4.154608E+03	4.126842E-02	3.518594E-06
4.156426E+03	4.103790E-02	3.498940E-06
4.158244E+03	4.080030E-02	3.478682E-06
4.160062E+03	4.053258E-02	3.455856E-06
4.161880E+03	4.027022E-02	3.433487E-06
4.163698E+03	4.005745E-02	3.415346E-06
4.165515E+03	3.986415E-02	3.398865E-06
4.167334E+03	3.966734E-02	3.382084E-06
4.169151E+03	3.949531E-02	3.367418E-06
4.170970E+03	3.933924E-02	3.354110E-06
4.172787E+03	3.917429E-02	3.340046E-06
4.174605E+03	3.903946E-02	3.328551E-06
4.176423E+03	3.891702E-02	3.318112E-06
4.178240E+03	3.881228E-02	3.309181E-06
4.180059E+03	3.871286E-02	3.300704E-06
4.181876E+03	3.859042E-02	3.290265E-06
4.183695E+03	3.848390E-02	3.281183E-06
4.185512E+03	3.837562E-02	3.271951E-06
4.187331E+03	3.827441E-02	3.263322E-06
