#wls	flux	fluxerr
1.594261E+03	2.710751E-06	3.646291E-07
1.634117E+03	2.561802E-06	3.445049E-07
1.673974E+03	2.426247E-06	3.261891E-07
1.713830E+03	2.304040E-06	3.096748E-07
1.753687E+03	2.195394E-06	2.949890E-07
1.793543E+03	2.100334E-06	2.821342E-07
1.833400E+03	2.018886E-06	2.711123E-07
1.873256E+03	1.951098E-06	2.619286E-07
1.913113E+03	1.896953E-06	2.545791E-07
1.952969E+03	1.856757E-06	2.491033E-07
1.992826E+03	1.830798E-06	2.455382E-07
2.032682E+03	1.819507E-06	2.439397E-07
2.072539E+03	1.823368E-06	2.443704E-07
2.112395E+03	1.843290E-06	2.469501E-07
2.152252E+03	1.880290E-06	2.518126E-07
2.192108E+03	1.935636E-06	2.591245E-07
2.231965E+03	2.010859E-06	2.690878E-07
2.271821E+03	2.107638E-06	2.819235E-07
2.311678E+03	2.228190E-06	2.979239E-07
2.351534E+03	2.374893E-06	3.174024E-07
2.391391E+03	2.550402E-06	3.407084E-07
2.431248E+03	2.757461E-06	3.682022E-07
2.471104E+03	2.999372E-06	4.003177E-07
2.510961E+03	3.279511E-06	4.374977E-07
2.550817E+03	3.601463E-06	4.802112E-07
2.590674E+03	3.968784E-06	5.289224E-07
2.630530E+03	4.385707E-06	5.841840E-07
2.670387E+03	4.856527E-06	6.465554E-07
2.710243E+03	5.385889E-06	7.166404E-07
2.750100E+03	5.978862E-06	7.950977E-07
2.789956E+03	6.640647E-06	8.826011E-07
2.829813E+03	7.377865E-06	9.800104E-07
2.869669E+03	8.197655E-06	1.088252E-06
2.909526E+03	9.108213E-06	1.208388E-06
2.949382E+03	1.011840E-05	1.341566E-06
2.989239E+03	1.123978E-05	1.489289E-06
2.999203E+03	1.153917E-05	1.528709E-06
3.009167E+03	1.184653E-05	1.569171E-06
3.019131E+03	1.216213E-05	1.610708E-06
3.029095E+03	1.248539E-05	1.653247E-06
3.039059E+03	1.281815E-05	1.697025E-06
3.049024E+03	1.315989E-05	1.741976E-06
3.058988E+03	1.351004E-05	1.788023E-06
3.068952E+03	1.387056E-05	1.835426E-06
3.078916E+03	1.424094E-05	1.884115E-06
3.088880E+03	1.462055E-05	1.934007E-06
3.098844E+03	1.501155E-05	1.985385E-06
3.108808E+03	1.541337E-05	2.038175E-06
3.118772E+03	1.582536E-05	2.092289E-06
3.128737E+03	1.624986E-05	2.148036E-06
3.138701E+03	1.668522E-05	2.205196E-06
3.148665E+03	1.713391E-05	2.264094E-06
3.158629E+03	1.759419E-05	2.324501E-06
3.168593E+03	1.806867E-05	2.386760E-06
3.178557E+03	1.855552E-05	2.450628E-06
3.188521E+03	1.905750E-05	2.516468E-06
3.198485E+03	1.957267E-05	2.584023E-06
3.208450E+03	2.010395E-05	2.653676E-06
