#wls	flux	fluxerr
1.594261E+03	6.350837E-17	3.584505E-18
1.634117E+03	6.056338E-17	3.404558E-18
1.673974E+03	5.714846E-17	3.199393E-18
1.713830E+03	5.332732E-17	2.972930E-18
1.753687E+03	4.918705E-17	2.730338E-18
1.793543E+03	4.482214E-17	2.477120E-18
1.833400E+03	4.035037E-17	2.219976E-18
1.873256E+03	3.589710E-17	1.965908E-18
1.913113E+03	3.159519E-17	1.722202E-18
1.952969E+03	2.756862E-17	1.495522E-18
1.992826E+03	2.392915E-17	1.291739E-18
2.032682E+03	2.077240E-17	1.115728E-18
2.072539E+03	1.815907E-17	9.703814E-19
2.112395E+03	1.612152E-17	8.570087E-19
2.152252E+03	1.472506E-17	7.786085E-19
2.192108E+03	1.397155E-17	7.347522E-19
2.231965E+03	1.384590E-17	7.241074E-19
2.271821E+03	1.436196E-17	7.468456E-19
2.311678E+03	1.549378E-17	8.010475E-19
2.351534E+03	1.719010E-17	8.835091E-19
2.391391E+03	1.943877E-17	9.930693E-19
2.431248E+03	2.226747E-17	1.130590E-18
2.471104E+03	2.574000E-17	1.298704E-18
2.510961E+03	2.995247E-17	1.501566E-18
2.550817E+03	3.501769E-17	1.744019E-18
2.590674E+03	4.099525E-17	2.028102E-18
2.630530E+03	4.774325E-17	2.345847E-18
2.670387E+03	5.527948E-17	2.697251E-18
2.710243E+03	6.376370E-17	3.089140E-18
2.750100E+03	7.320206E-17	3.520706E-18
2.789956E+03	8.348326E-17	3.985502E-18
2.829813E+03	9.442715E-17	4.473951E-18
2.869669E+03	1.057948E-16	4.973954E-18
2.909526E+03	1.173190E-16	5.472437E-18
2.949382E+03	1.287295E-16	5.956559E-18
2.989239E+03	1.397810E-16	6.415036E-18
2.999203E+03	1.424647E-16	6.524623E-18
3.009167E+03	1.451078E-16	6.631797E-18
3.019131E+03	1.477158E-16	6.736824E-18
3.029095E+03	1.502802E-16	6.839323E-18
3.039059E+03	1.528113E-16	6.939772E-18
3.049024E+03	1.553043E-16	7.037961E-18
3.058988E+03	1.577625E-16	7.134046E-18
3.068952E+03	1.601842E-16	7.227963E-18
3.078916E+03	1.625684E-16	7.319670E-18
3.088880E+03	1.649098E-16	7.408943E-18
3.098844E+03	1.672171E-16	7.496176E-18
3.108808E+03	1.694812E-16	7.580977E-18
3.118772E+03	1.717120E-16	7.663793E-18
3.128737E+03	1.739012E-16	7.744262E-18
3.138701E+03	1.760547E-16	7.822663E-18
3.148665E+03	1.781746E-16	7.899090E-18
3.158629E+03	1.802632E-16	7.973658E-18
3.168593E+03	1.823234E-16	8.046500E-18
3.178557E+03	1.843535E-16	8.117548E-18
3.188521E+03	1.863675E-16	8.187423E-18
3.198485E+03	1.883595E-16	8.255872E-18
3.208450E+03	1.903446E-16	8.323564E-18
3.218414E+03	1.923179E-16	8.390277E-18
3.228378E+03	1.942904E-16	8.456494E-18
3.238342E+03	1.962683E-16	8.522486E-18
3.248306E+03	1.982586E-16	8.588547E-18
3.258270E+03	2.002681E-16	8.654974E-18
3.268234E+03	2.022990E-16	8.721846E-18
3.278198E+03	2.043698E-16	8.789956E-18
3.288163E+03	2.064832E-16	8.859398E-18
3.298127E+03	2.086409E-16	8.930240E-18
3.308091E+03	2.108565E-16	9.003038E-18
3.318055E+03	2.131369E-16	9.078071E-18
3.328019E+03	2.154886E-16	9.155589E-18
3.337983E+03	2.179167E-16	9.235785E-18
3.347947E+03	2.204247E-16	9.318777E-18
3.357912E+03	2.230133E-16	9.404576E-18
3.367876E+03	2.256739E-16	9.492786E-18
3.377840E+03	2.284121E-16	9.583616E-18
3.387804E+03	2.312026E-16	9.675984E-18
3.397768E+03	2.340314E-16	9.769285E-18
3.407732E+03	2.368691E-16	9.862275E-18
3.417696E+03	2.396742E-16	9.953230E-18
3.427660E+03	2.423914E-16	1.003986E-17
3.437625E+03	2.449495E-16	1.011927E-17
3.447589E+03	2.472630E-16	1.018796E-17
3.457553E+03	2.492417E-16	1.024233E-17
3.467517E+03	2.508181E-16	1.027969E-17
3.477481E+03	2.520317E-16	1.030180E-17
3.487445E+03	2.529640E-16	1.031211E-17
3.497409E+03	2.536778E-16	1.031325E-17
3.507373E+03	2.542470E-16	1.030829E-17
3.517338E+03	2.547257E-16	1.029947E-17
3.527302E+03	2.551561E-16	1.028851E-17
3.537266E+03	2.555698E-16	1.027669E-17
3.547230E+03	2.559826E-16	1.026466E-17
3.557194E+03	2.564246E-16	1.025361E-17
3.567158E+03	2.568920E-16	1.024338E-17
3.577122E+03	2.574049E-16	1.023476E-17
3.587086E+03	2.579515E-16	1.022726E-17
3.597051E+03	2.585391E-16	1.022115E-17
3.607015E+03	2.591657E-16	1.021635E-17
3.616979E+03	2.598281E-16	1.021269E-17
3.626943E+03	2.605223E-16	1.021002E-17
3.636907E+03	2.612434E-16	1.020813E-17
3.646871E+03	2.619867E-16	1.020682E-17
3.656835E+03	2.627398E-16	1.020559E-17
3.666800E+03	2.635124E-16	1.020483E-17
3.676764E+03	2.642852E-16	1.020376E-17
3.686728E+03	2.650610E-16	1.020250E-17
3.696692E+03	2.658358E-16	1.020089E-17
3.706656E+03	2.666060E-16	1.019879E-17
3.716620E+03	2.673684E-16	1.019607E-17
3.726584E+03	2.681204E-16	1.019263E-17
3.736548E+03	2.688595E-16	1.018837E-17
3.746513E+03	2.695840E-16	1.018324E-17
3.756477E+03	2.702847E-16	1.017689E-17
3.766441E+03	2.709759E-16	1.016986E-17
3.776405E+03	2.716417E-16	1.016156E-17
3.786369E+03	2.722893E-16	1.015226E-17
3.796333E+03	2.729265E-16	1.014225E-17
3.806297E+03	2.735382E-16	1.013098E-17
3.816261E+03	2.741326E-16	1.011875E-17
3.826226E+03	2.747102E-16	1.010558E-17
3.836190E+03	2.752640E-16	1.009122E-17
3.846154E+03	2.758106E-16	1.007629E-17
3.856118E+03	2.763431E-16	1.006052E-17
3.866082E+03	2.768543E-16	1.004367E-17
3.876046E+03	2.773610E-16	1.002634E-17
3.886010E+03	2.778481E-16	1.000798E-17
3.895974E+03	2.783239E-16	9.988914E-18
3.905939E+03	2.787969E-16	9.969424E-18
3.915903E+03	2.792513E-16	9.948956E-18
3.925867E+03	2.796950E-16	9.927793E-18
3.935831E+03	2.801278E-16	9.905925E-18
3.945795E+03	2.805409E-16	9.883046E-18
3.955759E+03	2.809495E-16	9.859698E-18
3.965723E+03	2.813444E-16	9.835554E-18
3.975688E+03	2.817162E-16	9.810284E-18
3.985652E+03	2.820791E-16	9.784399E-18
3.995616E+03	2.824153E-16	9.757274E-18
4.005580E+03	2.827303E-16	9.729112E-18
4.015544E+03	2.830221E-16	9.699847E-18
4.025508E+03	2.832962E-16	9.669675E-18
4.035472E+03	2.835336E-16	9.637957E-18
4.045436E+03	2.837399E-16	9.604894E-18
4.055401E+03	2.839042E-16	9.570127E-18
4.065365E+03	2.840402E-16	9.534133E-18
4.075329E+03	2.841370E-16	9.496561E-18
4.085293E+03	2.841842E-16	9.457073E-18
4.095257E+03	2.841958E-16	9.416154E-18
4.105221E+03	2.841533E-16	9.373211E-18
4.115185E+03	2.840712E-16	9.328739E-18
4.125149E+03	2.839313E-16	9.282164E-18
4.135114E+03	2.837409E-16	9.233739E-18
4.145078E+03	2.834986E-16	9.183446E-18
4.155042E+03	2.832038E-16	9.131287E-18
4.165006E+03	2.828560E-16	9.077264E-18
4.174970E+03	2.824549E-16	9.021399E-18
4.184934E+03	2.820006E-16	8.963716E-18
4.194898E+03	2.814852E-16	8.903985E-18
4.204862E+03	2.809255E-16	8.842765E-18
4.214827E+03	2.803056E-16	8.779581E-18
4.224791E+03	2.796427E-16	8.714999E-18
4.234755E+03	2.789211E-16	8.648546E-18
4.244719E+03	2.781580E-16	8.580785E-18
4.254683E+03	2.773377E-16	8.511255E-18
4.264647E+03	2.764691E-16	8.440255E-18
4.274611E+03	2.755526E-16	8.367822E-18
4.284576E+03	2.745887E-16	8.293996E-18
4.294540E+03	2.735777E-16	8.218811E-18
4.304504E+03	2.725199E-16	8.142300E-18
4.314468E+03	2.714072E-16	8.064247E-18
4.324432E+03	2.702556E-16	7.985156E-18
4.334396E+03	2.690572E-16	7.904815E-18
4.344360E+03	2.678040E-16	7.823016E-18
4.354324E+03	2.665116E-16	7.740244E-18
4.364289E+03	2.651639E-16	7.656058E-18
4.374253E+03	2.637687E-16	7.570709E-18
4.384217E+03	2.623253E-16	7.484209E-18
4.394181E+03	2.608404E-16	7.396774E-18
4.404145E+03	2.592975E-16	7.307966E-18
4.414109E+03	2.577026E-16	7.217987E-18
4.424073E+03	2.560536E-16	7.126808E-18
4.434037E+03	2.543477E-16	7.034388E-18
4.444002E+03	2.525743E-16	6.940470E-18
4.453966E+03	2.507451E-16	6.845412E-18
4.463930E+03	2.488484E-16	6.748932E-18
4.473894E+03	2.468723E-16	6.650757E-18
4.483858E+03	2.448274E-16	6.551212E-18
4.493822E+03	2.426940E-16	6.449821E-18
4.503786E+03	2.404822E-16	6.346907E-18
4.513750E+03	2.381729E-16	6.242017E-18
4.523715E+03	2.357692E-16	6.135291E-18
4.533679E+03	2.332670E-16	6.026688E-18
4.543643E+03	2.306698E-16	5.916357E-18
4.553607E+03	2.279611E-16	5.803940E-18
4.563571E+03	2.251456E-16	5.689626E-18
4.573535E+03	2.222156E-16	5.573296E-18
4.583499E+03	2.191841E-16	5.455345E-18
4.593464E+03	2.160451E-16	5.335694E-18
4.603428E+03	2.128004E-16	5.214460E-18
4.613392E+03	2.094531E-16	5.091786E-18
4.623356E+03	2.060011E-16	4.967694E-18
4.633320E+03	2.024618E-16	4.842673E-18
4.643284E+03	1.988295E-16	4.716652E-18
4.653248E+03	1.951237E-16	4.590152E-18
4.663212E+03	1.913409E-16	4.463151E-18
4.673177E+03	1.874962E-16	4.336053E-18
4.683141E+03	1.836001E-16	4.209149E-18
4.693105E+03	1.796685E-16	4.082845E-18
4.703069E+03	1.757018E-16	3.957181E-18
4.713033E+03	1.717174E-16	3.832581E-18
4.722997E+03	1.677272E-16	3.709331E-18
4.732961E+03	1.637434E-16	3.587711E-18
4.742925E+03	1.597778E-16	3.467991E-18
4.752890E+03	1.558378E-16	3.350325E-18
4.762854E+03	1.519443E-16	3.235160E-18
4.772818E+03	1.481038E-16	3.122611E-18
4.782782E+03	1.443268E-16	3.012880E-18
4.792746E+03	1.406194E-16	2.906061E-18
4.802710E+03	1.369997E-16	2.802491E-18
4.812674E+03	1.334680E-16	2.702135E-18
4.822639E+03	1.300410E-16	2.605279E-18
4.832603E+03	1.267180E-16	2.511856E-18
4.842567E+03	1.235102E-16	2.422026E-18
4.852531E+03	1.204274E-16	2.335917E-18
4.862495E+03	1.174680E-16	2.253425E-18
4.872459E+03	1.146407E-16	2.174647E-18
4.882423E+03	1.119502E-16	2.099593E-18
4.892387E+03	1.094005E-16	2.028259E-18
4.902352E+03	1.069954E-16	1.960628E-18
4.912316E+03	1.047381E-16	1.896673E-18
4.922280E+03	1.026316E-16	1.836359E-18
4.932244E+03	1.006784E-16	1.779641E-18
4.942208E+03	9.888117E-17	1.726470E-18
4.952172E+03	9.724204E-17	1.676789E-18
4.962136E+03	9.576327E-17	1.630540E-18
4.972100E+03	9.444407E-17	1.587611E-18
4.982065E+03	9.329258E-17	1.548040E-18
4.992029E+03	9.230529E-17	1.511667E-18
5.001993E+03	9.149054E-17	1.478525E-18
5.011957E+03	9.084826E-17	1.448509E-18
5.021921E+03	9.037882E-17	1.421518E-18
5.031885E+03	9.008878E-17	1.397551E-18
5.041849E+03	8.998519E-17	1.376607E-18
5.051813E+03	9.006735E-17	1.358564E-18
5.061778E+03	9.034384E-17	1.343440E-18
5.071742E+03	9.082414E-17	1.331259E-18
5.081706E+03	9.151024E-17	1.321933E-18
5.091670E+03	9.241393E-17	1.315512E-18
5.101634E+03	9.354543E-17	1.312017E-18
5.111598E+03	9.491655E-17	1.311486E-18
5.121562E+03	9.654082E-17	1.313973E-18
5.131527E+03	9.843370E-17	1.319551E-18
5.141491E+03	1.006129E-16	1.328316E-18
5.151455E+03	1.030985E-16	1.340384E-18
5.161419E+03	1.059136E-16	1.355901E-18
5.171383E+03	1.090843E-16	1.375040E-18
5.181347E+03	1.126367E-16	1.397962E-18
5.191311E+03	1.166117E-16	1.425000E-18
5.201275E+03	1.210445E-16	1.456397E-18
5.211240E+03	1.259788E-16	1.492486E-18
5.221204E+03	1.314607E-16	1.533609E-18
5.231168E+03	1.375552E-16	1.580317E-18
5.241132E+03	1.443192E-16	1.633038E-18
5.251096E+03	1.518363E-16	1.692491E-18
5.261060E+03	1.601829E-16	1.759286E-18
5.271024E+03	1.694673E-16	1.834367E-18
5.280988E+03	1.797925E-16	1.918593E-18
5.290953E+03	1.913006E-16	2.013221E-18
5.300917E+03	2.041298E-16	2.119446E-18
5.310881E+03	2.184593E-16	2.238869E-18
5.320845E+03	2.344940E-16	2.373337E-18
5.330809E+03	2.524415E-16	2.524717E-18
5.340773E+03	2.725523E-16	2.695308E-18
5.350737E+03	2.950865E-16	2.887523E-18
5.360701E+03	3.202507E-16	3.103295E-18
5.370666E+03	3.481773E-16	3.343941E-18
5.380630E+03	3.787261E-16	3.608316E-18
5.390594E+03	4.111344E-16	3.889621E-18
5.400558E+03	4.431834E-16	4.167731E-18
5.410522E+03	4.692658E-16	4.391369E-18
5.420486E+03	4.822028E-16	4.495406E-18
5.430450E+03	4.860586E-16	4.519575E-18
5.440415E+03	4.853289E-16	4.506522E-18
5.450379E+03	4.815937E-16	4.471158E-18
5.460343E+03	4.746815E-16	4.411797E-18
5.470307E+03	4.630646E-16	4.313823E-18
5.480271E+03	4.458463E-16	4.168084E-18
5.490235E+03	4.257140E-16	3.998602E-18
5.500199E+03	4.049146E-16	3.825442E-18
5.510163E+03	3.846026E-16	3.658688E-18
5.520128E+03	3.653362E-16	3.503026E-18
5.530092E+03	3.473246E-16	3.360004E-18
5.540056E+03	3.306348E-16	3.229947E-18
5.550020E+03	3.152118E-16	3.112090E-18
5.559984E+03	3.009656E-16	3.005390E-18
5.569948E+03	2.878235E-16	2.909025E-18
5.579912E+03	2.756823E-16	2.821900E-18
5.589876E+03	2.644461E-16	2.743015E-18
5.599841E+03	2.540535E-16	2.671739E-18
5.609805E+03	2.444155E-16	2.607171E-18
5.619769E+03	2.354850E-16	2.548856E-18
5.629733E+03	2.271892E-16	2.496074E-18
5.639697E+03	2.194924E-16	2.448506E-18
5.649661E+03	2.123340E-16	2.405568E-18
5.659625E+03	2.056873E-16	2.367050E-18
5.669589E+03	1.995011E-16	2.332465E-18
5.679554E+03	1.937553E-16	2.301685E-18
5.689518E+03	1.884058E-16	2.274293E-18
5.699482E+03	1.834312E-16	2.250140E-18
5.709446E+03	1.788115E-16	2.229094E-18
5.719410E+03	1.745106E-16	2.210818E-18
5.729374E+03	1.705185E-16	2.195293E-18
5.739338E+03	1.668029E-16	2.182215E-18
5.749303E+03	1.633507E-16	2.171517E-18
5.759267E+03	1.601443E-16	2.163068E-18
5.769231E+03	1.571724E-16	2.156818E-18
5.779195E+03	1.544088E-16	2.152507E-18
5.789159E+03	1.518444E-16	2.150100E-18
5.799123E+03	1.494709E-16	2.149570E-18
5.809087E+03	1.472653E-16	2.150675E-18
5.819051E+03	1.452209E-16	2.153398E-18
5.829016E+03	1.433266E-16	2.157651E-18
5.838980E+03	1.415720E-16	2.163353E-18
5.848944E+03	1.399522E-16	2.170500E-18
5.858908E+03	1.384485E-16	2.178869E-18
5.868872E+03	1.370572E-16	2.188463E-18
5.878836E+03	1.357704E-16	2.199216E-18
5.888800E+03	1.345809E-16	2.211065E-18
5.898764E+03	1.334817E-16	2.223947E-18
5.908729E+03	1.324666E-16	2.237808E-18
5.918693E+03	1.315341E-16	2.252671E-18
5.928657E+03	1.306698E-16	2.268330E-18
5.938621E+03	1.298732E-16	2.284815E-18
5.948585E+03	1.291396E-16	2.302083E-18
5.958549E+03	1.284647E-16	2.320090E-18
5.968513E+03	1.278445E-16	2.338797E-18
5.978477E+03	1.272754E-16	2.358168E-18
5.988442E+03	1.267539E-16	2.378167E-18
5.998406E+03	1.262769E-16	2.398762E-18
6.008370E+03	1.258413E-16	2.419922E-18
6.018334E+03	1.254445E-16	2.441617E-18
6.028298E+03	1.250840E-16	2.463820E-18
6.038262E+03	1.247574E-16	2.486505E-18
6.048226E+03	1.244669E-16	2.509736E-18
6.058191E+03	1.242017E-16	2.533314E-18
6.068155E+03	1.239644E-16	2.557305E-18
6.078119E+03	1.237532E-16	2.581689E-18
6.088083E+03	1.235666E-16	2.606449E-18
6.098047E+03	1.234031E-16	2.631567E-18
6.108011E+03	1.232615E-16	2.657029E-18
6.117975E+03	1.231406E-16	2.682821E-18
6.127939E+03	1.230393E-16	2.708933E-18
6.137904E+03	1.229568E-16	2.735355E-18
6.147868E+03	1.228922E-16	2.762080E-18
6.157832E+03	1.228450E-16	2.789102E-18
6.167796E+03	1.228144E-16	2.816419E-18
6.177760E+03	1.228001E-16	2.844028E-18
6.187724E+03	1.228016E-16	2.871929E-18
6.197688E+03	1.228187E-16	2.900125E-18
6.207652E+03	1.228511E-16	2.928617E-18
6.217617E+03	1.228986E-16	2.957411E-18
6.227581E+03	1.229611E-16	2.986509E-18
6.237545E+03	1.230384E-16	3.015918E-18
6.247509E+03	1.231303E-16	3.045640E-18
6.257473E+03	1.232366E-16	3.075680E-18
6.267437E+03	1.233616E-16	3.106151E-18
