#wls	flux	fluxerr
1.600000E+03	1.280458E-14	3.721031E-16
1.640000E+03	1.240761E-14	3.529066E-16
1.680000E+03	1.203135E-14	3.348191E-16
1.720000E+03	1.169408E-14	3.183116E-16
1.760000E+03	1.141687E-14	3.038863E-16
1.800000E+03	1.122316E-14	2.920564E-16
1.840000E+03	1.113685E-14	2.832963E-16
1.880000E+03	1.118014E-14	2.779871E-16
1.920000E+03	1.136961E-14	2.763334E-16
1.960000E+03	1.171051E-14	2.782467E-16
2.000000E+03	1.218653E-14	2.831446E-16
2.040000E+03	1.273969E-14	2.895510E-16
2.080000E+03	1.323188E-14	2.943433E-16
2.120000E+03	1.351230E-14	2.943912E-16
2.160000E+03	1.366287E-14	2.917836E-16
2.200000E+03	1.377247E-14	2.885723E-16
2.240000E+03	1.382776E-14	2.845478E-16
2.280000E+03	1.373497E-14	2.778845E-16
2.320000E+03	1.354430E-14	2.697233E-16
2.360000E+03	1.338956E-14	2.627498E-16
2.400000E+03	1.333203E-14	2.580888E-16
2.440000E+03	1.339205E-14	2.560295E-16
2.480000E+03	1.357253E-14	2.565293E-16
2.520000E+03	1.386434E-14	2.593343E-16
2.560000E+03	1.423739E-14	2.638247E-16
2.600000E+03	1.461591E-14	2.685732E-16
2.640000E+03	1.486597E-14	2.711423E-16
2.680000E+03	1.499538E-14	2.717237E-16
2.720000E+03	1.510446E-14	2.721380E-16
2.760000E+03	1.524122E-14	2.732138E-16
2.800000E+03	1.542090E-14	2.751788E-16
2.840000E+03	1.564166E-14	2.779558E-16
2.880000E+03	1.589218E-14	2.813040E-16
2.920000E+03	1.615851E-14	2.849420E-16
2.960000E+03	1.643019E-14	2.886565E-16
3.000000E+03	1.670378E-14	2.923624E-16
3.010000E+03	1.677281E-14	2.932909E-16
3.020000E+03	1.684237E-14	2.942242E-16
3.030000E+03	1.691259E-14	2.951648E-16
3.040000E+03	1.698356E-14	2.961135E-16
3.050000E+03	1.705551E-14	2.970741E-16
3.060000E+03	1.712857E-14	2.980488E-16
3.070000E+03	1.720284E-14	2.990388E-16
