#wls	flux	fluxerr
1.600000E+03	1.752668E-16	1.547619E-16
1.640000E+03	1.662429E-16	1.366016E-16
1.680000E+03	1.562324E-16	1.186545E-16
1.720000E+03	1.453869E-16	1.012379E-16
1.760000E+03	1.339198E-16	8.467183E-17
1.800000E+03	1.220880E-16	6.925043E-17
1.840000E+03	1.102047E-16	5.523657E-17
1.880000E+03	9.859154E-17	4.282558E-17
1.920000E+03	8.757450E-17	3.214684E-17
1.960000E+03	7.743207E-17	2.325938E-17
2.000000E+03	6.837586E-17	1.619348E-17
2.040000E+03	6.053198E-17	1.103964E-17
2.080000E+03	5.389545E-17	8.040067E-18
2.120000E+03	4.838663E-17	7.071425E-18
2.160000E+03	4.413667E-17	6.968274E-18
2.200000E+03	4.121580E-17	7.014939E-18
2.240000E+03	3.971358E-17	7.220785E-18
2.280000E+03	3.976588E-17	7.862149E-18
2.320000E+03	4.130412E-17	8.948804E-18
2.360000E+03	4.413336E-17	1.024325E-17
2.400000E+03	4.814383E-17	1.149539E-17
2.440000E+03	5.331617E-17	1.244270E-17
2.480000E+03	5.970844E-17	1.280064E-17
2.520000E+03	6.744283E-17	1.229534E-17
2.560000E+03	7.666858E-17	1.085836E-17
2.600000E+03	8.741609E-17	9.541705E-18
2.640000E+03	9.927004E-17	1.204524E-17
2.680000E+03	1.121957E-16	1.931977E-17
2.720000E+03	1.264323E-16	2.927414E-17
2.760000E+03	1.418743E-16	4.086609E-17
2.800000E+03	1.582006E-16	5.349740E-17
2.840000E+03	1.749884E-16	6.661853E-17
2.880000E+03	1.917438E-16	7.964029E-17
2.920000E+03	2.079668E-16	9.194937E-17
2.960000E+03	2.231956E-16	1.029454E-16
3.000000E+03	2.370533E-16	1.120847E-16
3.010000E+03	2.402725E-16	1.140251E-16
3.020000E+03	2.433809E-16	1.158120E-16
3.030000E+03	2.463897E-16	1.174462E-16
3.040000E+03	2.492841E-16	1.189163E-16
3.050000E+03	2.520765E-16	1.202242E-16
3.060000E+03	2.547532E-16	1.213593E-16
3.070000E+03	2.573211E-16	1.223211E-16
3.080000E+03	2.597810E-16	1.231065E-16
3.090000E+03	2.621344E-16	1.237127E-16
3.100000E+03	2.643761E-16	1.241339E-16
3.110000E+03	2.665229E-16	1.243749E-16
3.120000E+03	2.685634E-16	1.244274E-16
3.130000E+03	2.705159E-16	1.242969E-16
3.140000E+03	2.723698E-16	1.239756E-16
3.150000E+03	2.741371E-16	1.234664E-16
3.160000E+03	2.758233E-16	1.227689E-16
3.170000E+03	2.774341E-16	1.218829E-16
3.180000E+03	2.789759E-16	1.208086E-16
3.190000E+03	2.804480E-16	1.195429E-16
3.200000E+03	2.818732E-16	1.180928E-16
3.210000E+03	2.832442E-16	1.164523E-16
3.220000E+03	2.845850E-16	1.146281E-16
3.230000E+03	2.858891E-16	1.126146E-16
3.240000E+03	2.871739E-16	1.104153E-16
3.250000E+03	2.884495E-16	1.080304E-16
3.260000E+03	2.897264E-16	1.054601E-16
3.270000E+03	2.910154E-16	1.027040E-16
3.280000E+03	2.923195E-16	9.975883E-17
3.290000E+03	2.936661E-16	9.662924E-17
3.300000E+03	2.950584E-16	9.331090E-17
3.310000E+03	2.964994E-16	8.979932E-17
3.320000E+03	2.980077E-16	8.609457E-17
3.330000E+03	2.995934E-16	8.219346E-17
3.340000E+03	3.012650E-16	7.809223E-17
3.350000E+03	3.030298E-16	7.378664E-17
3.360000E+03	3.048922E-16	6.927223E-17
3.370000E+03	3.068537E-16	6.454468E-17
3.380000E+03	3.089028E-16	5.959892E-17
3.390000E+03	3.110478E-16	5.443714E-17
3.400000E+03	3.132552E-16	4.905931E-17
3.410000E+03	3.155079E-16	4.347867E-17
3.420000E+03	3.177678E-16	3.772307E-17
3.430000E+03	3.199813E-16	3.185312E-17
3.440000E+03	3.220755E-16	2.600030E-17
3.450000E+03	3.239534E-16	2.046411E-17
3.460000E+03	3.254861E-16	1.595863E-17
3.470000E+03	3.265029E-16	1.394591E-17
3.480000E+03	3.268406E-16	1.563906E-17
3.490000E+03	3.266280E-16	2.005492E-17
3.500000E+03	3.260416E-16	2.567591E-17
3.510000E+03	3.251895E-16	3.171636E-17
3.520000E+03	3.241764E-16	3.784409E-17
3.530000E+03	3.230743E-16	4.391131E-17
3.540000E+03	3.219363E-16	4.984772E-17
3.550000E+03	3.208007E-16	5.561860E-17
3.560000E+03	3.196849E-16	6.120531E-17
3.570000E+03	3.186241E-16	6.660348E-17
3.580000E+03	3.176102E-16	7.180700E-17
3.590000E+03	3.166657E-16	7.681985E-17
3.600000E+03	3.157734E-16	8.163944E-17
3.610000E+03	3.149397E-16	8.626995E-17
3.620000E+03	3.141601E-16	9.071379E-17
3.630000E+03	3.134290E-16	9.497337E-17
3.640000E+03	3.127397E-16	9.905098E-17
3.650000E+03	3.120852E-16	1.029488E-16
3.660000E+03	3.114585E-16	1.066687E-16
3.670000E+03	3.108439E-16	1.102097E-16
3.680000E+03	3.102524E-16	1.135794E-16
3.690000E+03	3.096604E-16	1.167736E-16
3.700000E+03	3.090711E-16	1.197970E-16
3.710000E+03	3.084795E-16	1.226515E-16
3.720000E+03	3.078813E-16	1.253391E-16
3.730000E+03	3.072727E-16	1.278617E-16
3.740000E+03	3.066507E-16	1.302214E-16
3.750000E+03	3.060128E-16	1.324207E-16
3.760000E+03	3.053572E-16	1.344618E-16
3.770000E+03	3.046738E-16	1.363434E-16
3.780000E+03	3.039792E-16	1.380759E-16
3.790000E+03	3.032556E-16	1.396542E-16
3.800000E+03	3.025119E-16	1.410852E-16
3.810000E+03	3.017568E-16	1.423757E-16
3.820000E+03	3.009740E-16	1.435206E-16
3.830000E+03	3.001730E-16	1.445271E-16
3.840000E+03	2.993549E-16	1.453980E-16
3.850000E+03	2.985125E-16	1.461321E-16
3.860000E+03	2.976640E-16	1.467406E-16
3.870000E+03	2.968024E-16	1.472220E-16
3.880000E+03	2.959204E-16	1.475749E-16
3.890000E+03	2.950362E-16	1.478099E-16
3.900000E+03	2.941341E-16	1.479211E-16
3.910000E+03	2.932232E-16	1.479145E-16
3.920000E+03	2.923126E-16	1.477962E-16
3.930000E+03	2.913862E-16	1.475594E-16
3.940000E+03	2.904523E-16	1.472095E-16
3.950000E+03	2.895110E-16	1.467477E-16
3.960000E+03	2.885535E-16	1.461705E-16
3.970000E+03	2.875956E-16	1.454869E-16
3.980000E+03	2.866282E-16	1.446931E-16
3.990000E+03	2.856417E-16	1.437851E-16
4.000000E+03	2.846510E-16	1.427711E-16
4.010000E+03	2.836382E-16	1.416429E-16
4.020000E+03	2.826093E-16	1.404043E-16
4.030000E+03	2.815624E-16	1.390551E-16
4.040000E+03	2.805033E-16	1.375992E-16
4.050000E+03	2.794135E-16	1.360284E-16
4.060000E+03	2.782991E-16	1.343468E-16
4.070000E+03	2.771496E-16	1.325510E-16
4.080000E+03	2.759789E-16	1.306492E-16
4.090000E+03	2.747771E-16	1.286384E-16
4.100000E+03	2.735342E-16	1.265166E-16
4.110000E+03	2.722646E-16	1.242930E-16
4.120000E+03	2.709509E-16	1.219631E-16
4.130000E+03	2.696077E-16	1.195372E-16
4.140000E+03	2.682185E-16	1.170126E-16
4.150000E+03	2.667905E-16	1.143978E-16
4.160000E+03	2.653234E-16	1.116991E-16
4.170000E+03	2.638172E-16	1.089235E-16
4.180000E+03	2.622721E-16	1.060798E-16
4.190000E+03	2.606886E-16	1.031778E-16
4.200000E+03	2.590675E-16	1.002290E-16
4.210000E+03	2.574023E-16	9.724403E-17
4.220000E+03	2.557091E-16	9.424368E-17
4.230000E+03	2.539742E-16	9.123969E-17
4.240000E+03	2.522138E-16	8.825702E-17
4.250000E+03	2.504144E-16	8.531234E-17
4.260000E+03	2.485921E-16	8.243507E-17
4.270000E+03	2.467334E-16	7.964710E-17
4.280000E+03	2.448471E-16	7.697989E-17
4.290000E+03	2.429340E-16	7.446421E-17
4.300000E+03	2.409951E-16	7.213185E-17
4.310000E+03	2.390313E-16	7.001453E-17
4.320000E+03	2.370431E-16	6.814241E-17
4.330000E+03	2.350243E-16	6.654033E-17
4.340000E+03	2.329891E-16	6.523360E-17
4.350000E+03	2.309311E-16	6.423423E-17
4.360000E+03	2.288439E-16	6.354542E-17
4.370000E+03	2.267414E-16	6.316625E-17
4.380000E+03	2.246103E-16	6.307854E-17
4.390000E+03	2.224576E-16	6.326100E-17
4.400000E+03	2.202832E-16	6.368349E-17
4.410000E+03	2.180933E-16	6.431296E-17
4.420000E+03	2.158743E-16	6.510817E-17
4.430000E+03	2.136316E-16	6.603304E-17
4.440000E+03	2.113640E-16	6.705077E-17
4.450000E+03	2.090695E-16	6.812686E-17
4.460000E+03	2.067397E-16	6.922778E-17
4.470000E+03	2.043845E-16	7.032955E-17
4.480000E+03	2.019948E-16	7.140552E-17
4.490000E+03	1.995614E-16	7.243225E-17
4.500000E+03	1.970929E-16	7.339591E-17
4.510000E+03	1.945744E-16	7.427690E-17
4.520000E+03	1.920140E-16	7.506696E-17
4.530000E+03	1.893971E-16	7.575126E-17
4.540000E+03	1.867265E-16	7.632377E-17
4.550000E+03	1.839998E-16	7.677805E-17
4.560000E+03	1.812201E-16	7.711165E-17
4.570000E+03	1.783749E-16	7.731668E-17
4.580000E+03	1.754688E-16	7.739356E-17
4.590000E+03	1.724961E-16	7.733929E-17
4.600000E+03	1.694677E-16	7.715903E-17
4.610000E+03	1.663797E-16	7.685203E-17
4.620000E+03	1.632340E-16	7.642084E-17
4.630000E+03	1.600334E-16	7.586896E-17
4.640000E+03	1.567770E-16	7.519842E-17
4.650000E+03	1.534789E-16	7.441890E-17
4.660000E+03	1.501350E-16	7.353171E-17
4.670000E+03	1.467606E-16	7.254775E-17
4.680000E+03	1.433534E-16	7.146960E-17
4.690000E+03	1.399254E-16	7.030693E-17
4.700000E+03	1.364843E-16	6.906759E-17
4.710000E+03	1.330426E-16	6.776172E-17
4.720000E+03	1.296004E-16	6.639347E-17
4.730000E+03	1.261708E-16	6.497332E-17
4.740000E+03	1.227623E-16	6.350964E-17
4.750000E+03	1.193837E-16	6.201076E-17
4.760000E+03	1.160436E-16	6.048478E-17
4.770000E+03	1.127468E-16	5.893782E-17
4.780000E+03	1.095082E-16	5.738109E-17
4.790000E+03	1.063318E-16	5.581999E-17
4.800000E+03	1.032246E-16	5.426132E-17
4.810000E+03	1.001901E-16	5.270984E-17
4.820000E+03	9.724058E-17	5.117475E-17
4.830000E+03	9.437544E-17	4.965828E-17
4.840000E+03	9.160546E-17	4.816846E-17
4.850000E+03	8.892929E-17	4.670674E-17
4.860000E+03	8.635365E-17	4.527859E-17
4.870000E+03	8.388447E-17	4.388886E-17
4.880000E+03	8.151937E-17	4.253784E-17
4.890000E+03	7.926341E-17	4.122952E-17
4.900000E+03	7.711862E-17	3.996607E-17
4.910000E+03	7.508666E-17	3.874928E-17
4.920000E+03	7.316885E-17	3.758056E-17
4.930000E+03	7.136625E-17	3.646096E-17
4.940000E+03	6.967966E-17	3.539123E-17
4.950000E+03	6.810969E-17	3.437179E-17
4.960000E+03	6.665679E-17	3.340279E-17
