#wls	flux	fluxerr
1.596313E+03	1.079522E-05	6.279463E-09
1.636220E+03	1.100847E-05	6.403508E-09
1.676128E+03	1.123025E-05	6.532513E-09
1.716036E+03	1.146438E-05	6.668708E-09
1.755944E+03	1.170812E-05	6.810488E-09
1.795852E+03	1.196543E-05	6.960163E-09
1.835759E+03	1.223365E-05	7.116183E-09
1.875667E+03	1.251690E-05	7.280945E-09
1.915575E+03	1.281603E-05	7.454948E-09
1.955483E+03	1.312856E-05	7.636739E-09
1.995391E+03	1.346239E-05	7.830924E-09
2.035298E+03	1.381172E-05	8.034129E-09
2.075206E+03	1.418128E-05	8.249098E-09
2.115114E+03	1.457245E-05	8.476636E-09
2.155022E+03	1.498674E-05	8.717625E-09
2.194930E+03	1.542953E-05	8.975192E-09
2.234838E+03	1.589911E-05	9.248338E-09
2.274745E+03	1.639753E-05	9.538267E-09
2.314653E+03	1.693095E-05	9.848550E-09
2.354561E+03	1.749822E-05	1.017852E-08
2.394469E+03	1.810614E-05	1.053215E-08
2.434377E+03	1.875813E-05	1.091140E-08
2.474284E+03	1.945801E-05	1.131851E-08
2.514192E+03	2.021008E-05	1.175598E-08
2.554100E+03	2.101917E-05	1.222663E-08
2.594008E+03	2.189507E-05	1.273612E-08
2.633916E+03	2.284424E-05	1.328825E-08
2.673823E+03	2.386957E-05	1.388467E-08
2.713731E+03	2.498829E-05	1.453542E-08
2.753639E+03	2.620558E-05	1.524350E-08
2.793547E+03	2.753721E-05	1.601809E-08
2.833455E+03	2.899606E-05	1.686669E-08
2.873363E+03	3.059690E-05	1.779788E-08
2.913270E+03	3.236189E-05	1.882456E-08
2.953178E+03	3.430523E-05	1.995498E-08
2.993086E+03	3.646011E-05	2.120845E-08
3.003063E+03	3.703429E-05	2.154244E-08
3.013040E+03	3.762699E-05	2.188721E-08
3.023017E+03	3.822695E-05	2.223620E-08
3.032994E+03	3.885224E-05	2.259992E-08
3.042971E+03	3.948556E-05	2.296832E-08
3.052948E+03	4.013925E-05	2.334856E-08
3.062925E+03	4.081392E-05	2.374101E-08
3.072902E+03	4.150394E-05	2.414239E-08
3.082879E+03	4.220974E-05	2.455294E-08
3.092856E+03	4.293806E-05	2.497660E-08
3.102832E+03	4.368952E-05	2.541371E-08
3.112809E+03	4.445828E-05	2.586089E-08
3.122786E+03	4.524476E-05	2.631837E-08
3.132763E+03	4.605598E-05	2.679025E-08
3.142740E+03	4.688590E-05	2.727301E-08
3.152717E+03	4.774167E-05	2.777080E-08
3.162694E+03	4.862394E-05	2.828400E-08
3.172671E+03	4.952636E-05	2.880893E-08
3.182648E+03	5.044932E-05	2.934580E-08
3.192625E+03	5.140022E-05	2.989893E-08
3.202602E+03	5.237963E-05	3.046865E-08
3.212579E+03	5.338078E-05	3.105100E-08
3.222556E+03	5.441127E-05	3.165043E-08
3.232533E+03	5.546407E-05	3.226282E-08
3.242510E+03	5.654685E-05	3.289266E-08
3.252487E+03	5.765227E-05	3.353567E-08
3.262464E+03	5.878803E-05	3.419633E-08
3.272441E+03	5.995430E-05	3.487474E-08
3.282418E+03	6.114322E-05	3.556632E-08
3.292395E+03	6.236246E-05	3.627553E-08
3.302372E+03	6.360372E-05	3.699756E-08
3.312348E+03	6.488292E-05	3.774165E-08
3.322325E+03	6.617482E-05	3.849313E-08
3.332302E+03	6.750359E-05	3.926606E-08
3.342279E+03	6.885163E-05	4.005020E-08
3.352256E+03	7.021765E-05	4.084480E-08
3.362233E+03	7.161773E-05	4.165921E-08
3.372210E+03	7.303305E-05	4.248247E-08
3.382187E+03	7.447070E-05	4.331874E-08
3.392164E+03	7.591977E-05	4.416164E-08
3.402141E+03	7.738717E-05	4.501521E-08
3.412118E+03	7.887071E-05	4.587816E-08
3.422095E+03	8.035857E-05	4.674363E-08
3.432072E+03	8.186701E-05	4.762107E-08
3.442049E+03	8.337441E-05	4.849790E-08
3.452026E+03	8.488751E-05	4.937805E-08
3.462003E+03	8.639375E-05	5.025421E-08
3.471980E+03	8.790019E-05	5.113048E-08
3.481957E+03	8.940436E-05	5.200544E-08
3.491934E+03	9.090411E-05	5.287782E-08
3.501911E+03	9.239766E-05	5.374660E-08
3.511888E+03	9.387338E-05	5.460501E-08
3.521864E+03	9.534090E-05	5.545864E-08
3.531841E+03	9.680020E-05	5.630749E-08
3.541818E+03	9.825227E-05	5.715214E-08
3.551795E+03	9.969900E-05	5.799368E-08
3.561772E+03	1.011322E-04	5.882738E-08
3.571749E+03	1.025769E-04	5.966769E-08
3.581726E+03	1.040154E-04	6.050447E-08
3.591703E+03	1.054616E-04	6.134568E-08
3.601680E+03	1.069095E-04	6.218793E-08
3.611657E+03	1.083384E-04	6.301911E-08
3.621634E+03	1.097602E-04	6.384611E-08
3.631611E+03	1.111539E-04	6.465683E-08
3.641588E+03	1.124987E-04	6.543909E-08
3.651565E+03	1.137966E-04	6.619402E-08
3.661542E+03	1.150390E-04	6.691672E-08
3.671519E+03	1.162292E-04	6.760903E-08
3.681496E+03	1.173376E-04	6.825380E-08
3.691473E+03	1.183688E-04	6.885360E-08
3.701450E+03	1.193170E-04	6.940516E-08
3.711427E+03	1.201654E-04	6.989869E-08
3.721404E+03	1.209323E-04	7.034476E-08
3.731381E+03	1.216021E-04	7.073438E-08
3.741357E+03	1.221713E-04	7.106546E-08
3.751334E+03	1.226259E-04	7.132990E-08
3.761311E+03	1.229860E-04	7.153934E-08
3.771288E+03	1.232383E-04	7.168613E-08
3.781265E+03	1.233713E-04	7.176344E-08
3.791242E+03	1.234059E-04	7.178360E-08
3.801219E+03	1.233212E-04	7.173432E-08
3.811196E+03	1.231394E-04	7.162855E-08
3.821173E+03	1.228413E-04	7.145513E-08
3.831150E+03	1.224506E-04	7.122784E-08
3.841127E+03	1.219603E-04	7.094267E-08
3.851104E+03	1.213650E-04	7.059635E-08
3.861081E+03	1.206905E-04	7.020399E-08
3.871058E+03	1.199329E-04	6.976329E-08
3.881035E+03	1.190902E-04	6.927308E-08
3.891012E+03	1.181900E-04	6.874946E-08
3.900989E+03	1.172319E-04	6.819211E-08
3.910966E+03	1.162164E-04	6.760140E-08
3.920943E+03	1.151731E-04	6.699451E-08
3.930920E+03	1.141037E-04	6.637248E-08
3.940897E+03	1.130204E-04	6.574230E-08
3.950873E+03	1.119352E-04	6.511105E-08
3.960850E+03	1.108610E-04	6.448617E-08
3.970827E+03	1.098107E-04	6.387522E-08
3.980804E+03	1.087974E-04	6.328578E-08
3.990781E+03	1.078346E-04	6.272566E-08
4.000758E+03	1.069356E-04	6.220272E-08
4.010735E+03	1.061220E-04	6.172941E-08
4.020712E+03	1.053903E-04	6.130382E-08
4.030689E+03	1.047548E-04	6.093410E-08
4.040666E+03	1.042207E-04	6.062337E-08
4.050643E+03	1.037993E-04	6.037823E-08
4.060620E+03	1.034746E-04	6.018934E-08
4.070597E+03	1.032587E-04	6.006372E-08
4.080574E+03	1.031355E-04	5.999204E-08
4.090551E+03	1.031169E-04	5.998116E-08
4.100528E+03	1.031868E-04	6.002176E-08
4.110505E+03	1.033590E-04	6.012190E-08
4.120482E+03	1.036309E-04	6.028001E-08
