#wls	flux	fluxerr
1.596313E+03	1.157001E-05	9.341674E-07
1.636220E+03	1.178531E-05	9.479368E-07
1.676128E+03	1.201175E-05	9.623763E-07
1.716036E+03	1.224264E-05	9.769343E-07
1.755944E+03	1.247800E-05	9.916018E-07
1.795852E+03	1.272417E-05	1.006868E-06
1.835759E+03	1.297336E-05	1.022101E-06
1.875667E+03	1.322780E-05	1.037466E-06
1.915575E+03	1.348614E-05	1.052841E-06
1.955483E+03	1.374730E-05	1.068132E-06
1.995391E+03	1.401173E-05	1.083360E-06
2.035298E+03	1.428346E-05	1.098825E-06
2.075206E+03	1.457577E-05	1.115523E-06
2.115114E+03	1.489700E-05	1.134057E-06
2.155022E+03	1.526987E-05	1.156100E-06
2.194930E+03	1.569913E-05	1.181933E-06
2.234838E+03	1.618583E-05	1.211548E-06
2.274745E+03	1.671726E-05	1.243911E-06
2.314653E+03	1.728772E-05	1.278522E-06
2.354561E+03	1.789140E-05	1.314882E-06
2.394469E+03	1.852253E-05	1.352504E-06
2.434377E+03	1.918958E-05	1.391944E-06
2.474284E+03	1.989143E-05	1.433045E-06
2.514192E+03	2.063172E-05	1.475994E-06
2.554100E+03	2.141876E-05	1.521299E-06
2.594008E+03	2.225338E-05	1.568919E-06
2.633916E+03	2.314912E-05	1.619701E-06
2.673823E+03	2.410790E-05	1.673648E-06
2.713731E+03	2.514067E-05	1.731381E-06
2.753639E+03	2.625510E-05	1.793267E-06
2.793547E+03	2.745992E-05	1.859721E-06
2.833455E+03	2.877446E-05	1.931844E-06
2.873363E+03	3.020145E-05	2.009584E-06
2.913270E+03	3.176919E-05	2.094558E-06
2.953178E+03	3.348987E-05	2.187255E-06
2.993086E+03	3.538864E-05	2.288965E-06
3.003063E+03	3.589261E-05	2.315847E-06
3.013040E+03	3.641224E-05	2.343554E-06
3.023017E+03	3.694804E-05	2.372107E-06
3.032994E+03	3.749524E-05	2.401194E-06
3.042971E+03	3.805984E-05	2.431191E-06
3.052948E+03	3.863715E-05	2.461790E-06
3.062925E+03	3.923309E-05	2.493359E-06
3.072902E+03	3.984272E-05	2.525575E-06
3.082879E+03	4.047768E-05	2.559167E-06
3.092856E+03	4.112185E-05	2.593104E-06
3.102832E+03	4.179271E-05	2.628480E-06
3.112809E+03	4.247964E-05	2.664613E-06
3.122786E+03	4.318903E-05	2.701895E-06
3.132763E+03	4.392171E-05	2.740365E-06
3.142740E+03	4.467260E-05	2.779694E-06
3.152717E+03	4.544839E-05	2.820285E-06
3.162694E+03	4.625000E-05	2.862183E-06
3.172671E+03	4.707842E-05	2.905433E-06
3.182648E+03	4.792851E-05	2.949704E-06
3.192625E+03	4.881360E-05	2.995803E-06
3.202602E+03	4.972242E-05	3.043018E-06
3.212579E+03	5.066231E-05	3.091784E-06
3.222556E+03	5.163448E-05	3.142158E-06
3.232533E+03	5.263369E-05	3.193803E-06
3.242510E+03	5.367422E-05	3.247567E-06
3.252487E+03	5.474430E-05	3.302716E-06
3.262464E+03	5.585866E-05	3.360120E-06
3.272441E+03	5.700526E-05	3.419031E-06
3.282418E+03	5.819230E-05	3.479920E-06
3.292395E+03	5.942831E-05	3.543272E-06
3.302372E+03	6.070085E-05	3.608320E-06
3.312348E+03	6.201839E-05	3.675545E-06
3.322325E+03	6.338247E-05	3.745010E-06
3.332302E+03	6.480201E-05	3.817214E-06
3.342279E+03	6.626370E-05	3.891344E-06
3.352256E+03	6.778390E-05	3.968332E-06
3.362233E+03	6.935642E-05	4.047782E-06
3.372210E+03	7.097449E-05	4.129271E-06
3.382187E+03	7.265464E-05	4.213728E-06
3.392164E+03	7.438974E-05	4.300706E-06
3.402141E+03	7.618835E-05	4.390664E-06
3.412118E+03	7.803397E-05	4.482618E-06
3.422095E+03	7.994263E-05	4.577455E-06
3.432072E+03	8.190486E-05	4.674600E-06
3.442049E+03	8.391874E-05	4.773909E-06
3.452026E+03	8.599044E-05	4.875700E-06
3.462003E+03	8.810762E-05	4.979242E-06
3.471980E+03	9.026539E-05	5.084230E-06
3.481957E+03	9.246703E-05	5.190823E-06
3.491934E+03	9.469614E-05	5.298075E-06
3.501911E+03	9.694383E-05	5.405473E-06
3.511888E+03	9.920940E-05	5.512965E-06
3.521864E+03	1.014715E-04	5.619356E-06
3.531841E+03	1.037269E-04	5.724461E-06
3.541818E+03	1.059509E-04	5.826937E-06
3.551795E+03	1.081386E-04	5.926517E-06
3.561772E+03	1.102641E-04	6.021809E-06
3.571749E+03	1.123224E-04	6.112582E-06
3.581726E+03	1.142900E-04	6.197590E-06
3.591703E+03	1.161673E-04	6.276909E-06
3.601680E+03	1.179491E-04	6.350307E-06
3.611657E+03	1.196346E-04	6.417796E-06
3.621634E+03	1.212157E-04	6.479005E-06
3.631611E+03	1.226973E-04	6.534247E-06
3.641588E+03	1.241069E-04	6.585042E-06
3.651565E+03	1.254299E-04	6.630660E-06
3.661542E+03	1.266840E-04	6.672083E-06
3.671519E+03	1.278757E-04	6.709685E-06
3.681496E+03	1.289999E-04	6.743252E-06
3.691473E+03	1.300831E-04	6.774187E-06
3.701450E+03	1.311071E-04	6.801578E-06
3.711427E+03	1.320851E-04	6.826140E-06
3.721404E+03	1.330178E-04	6.847935E-06
3.731381E+03	1.339045E-04	6.866954E-06
3.741357E+03	1.347430E-04	6.883112E-06
3.751334E+03	1.355297E-04	6.896259E-06
3.761311E+03	1.362596E-04	6.906168E-06
3.771288E+03	1.369263E-04	6.912551E-06
3.781265E+03	1.375121E-04	6.914556E-06
3.791242E+03	1.380293E-04	6.912849E-06
3.801219E+03	1.384584E-04	6.906498E-06
3.811196E+03	1.387900E-04	6.895095E-06
3.821173E+03	1.390249E-04	6.878729E-06
3.831150E+03	1.391340E-04	6.856036E-06
3.841127E+03	1.391295E-04	6.827688E-06
3.851104E+03	1.389854E-04	6.792483E-06
3.861081E+03	1.387167E-04	6.751239E-06
3.871058E+03	1.383115E-04	6.703453E-06
3.881035E+03	1.377700E-04	6.649228E-06
3.891012E+03	1.371048E-04	6.589244E-06
3.900989E+03	1.363123E-04	6.523413E-06
3.910966E+03	1.353927E-04	6.451820E-06
3.920943E+03	1.343842E-04	6.376363E-06
3.930920E+03	1.332749E-04	6.296531E-06
3.940897E+03	1.320989E-04	6.213993E-06
3.950873E+03	1.308666E-04	6.129278E-06
3.960850E+03	1.296066E-04	6.043762E-06
3.970827E+03	1.283323E-04	5.958077E-06
3.980804E+03	1.270655E-04	5.873248E-06
3.990781E+03	1.258270E-04	5.790232E-06
4.000758E+03	1.246435E-04	5.710231E-06
4.010735E+03	1.235232E-04	5.633590E-06
4.020712E+03	1.224850E-04	5.561128E-06
4.030689E+03	1.215283E-04	5.492771E-06
4.040666E+03	1.206546E-04	5.428540E-06
4.050643E+03	1.198676E-04	5.368548E-06
4.060620E+03	1.191532E-04	5.312118E-06
4.070597E+03	1.185079E-04	5.259050E-06
4.080574E+03	1.179135E-04	5.208501E-06
4.090551E+03	1.173590E-04	5.159957E-06
4.100528E+03	1.168410E-04	5.113245E-06
4.110505E+03	1.163465E-04	5.067780E-06
4.120482E+03	1.158788E-04	5.023698E-06
4.130459E+03	1.154336E-04	4.980789E-06
4.140436E+03	1.150168E-04	4.939300E-06
4.150413E+03	1.146381E-04	4.899627E-06
4.160390E+03	1.143158E-04	4.862536E-06
