#wls	flux	fluxerr
1.596313E+03	3.181648E-15	1.228317E-19
1.636220E+03	3.222600E-15	1.244126E-19
1.676128E+03	3.257528E-15	1.257611E-19
1.716036E+03	3.286379E-15	1.268749E-19
1.755944E+03	3.309331E-15	1.277610E-19
1.795852E+03	3.325754E-15	1.283950E-19
1.835759E+03	3.335079E-15	1.287550E-19
1.875667E+03	3.336689E-15	1.288172E-19
1.915575E+03	3.329735E-15	1.285487E-19
1.955483E+03	3.314151E-15	1.279470E-19
1.995391E+03	3.291170E-15	1.270598E-19
2.035298E+03	3.264814E-15	1.260423E-19
2.075206E+03	3.243452E-15	1.252176E-19
2.115114E+03	3.239156E-15	1.250517E-19
2.155022E+03	3.263685E-15	1.259987E-19
2.194930E+03	3.323113E-15	1.282930E-19
2.234838E+03	3.415286E-15	1.318514E-19
2.274745E+03	3.532847E-15	1.363900E-19
2.314653E+03	3.667723E-15	1.415970E-19
2.354561E+03	3.813945E-15	1.472421E-19
2.394469E+03	3.967930E-15	1.531869E-19
2.434377E+03	4.127974E-15	1.593655E-19
2.474284E+03	4.293564E-15	1.657583E-19
2.514192E+03	4.464662E-15	1.723638E-19
2.554100E+03	4.641335E-15	1.791844E-19
2.594008E+03	4.823743E-15	1.862265E-19
2.633916E+03	5.012139E-15	1.934997E-19
2.673823E+03	5.206820E-15	2.010156E-19
2.713731E+03	5.408001E-15	2.087824E-19
2.753639E+03	5.616066E-15	2.168150E-19
2.793547E+03	5.831621E-15	2.251367E-19
2.833455E+03	6.054578E-15	2.337442E-19
2.873363E+03	6.284453E-15	2.426188E-19
2.913270E+03	6.520001E-15	2.517123E-19
2.953178E+03	6.759316E-15	2.609513E-19
2.993086E+03	6.999234E-15	2.702136E-19
3.003063E+03	7.058942E-15	2.725187E-19
3.013040E+03	7.118196E-15	2.748062E-19
3.023017E+03	7.177182E-15	2.770834E-19
3.032994E+03	7.235685E-15	2.793420E-19
3.042971E+03	7.293565E-15	2.815765E-19
3.052948E+03	7.351069E-15	2.837965E-19
3.062925E+03	7.407952E-15	2.859925E-19
3.072902E+03	7.464162E-15	2.881626E-19
3.082879E+03	7.519573E-15	2.903018E-19
3.092856E+03	7.573987E-15	2.924025E-19
3.102832E+03	7.627421E-15	2.944654E-19
3.112809E+03	7.679735E-15	2.964850E-19
3.122786E+03	7.730898E-15	2.984602E-19
3.132763E+03	7.780881E-15	3.003898E-19
3.142740E+03	7.829538E-15	3.022683E-19
3.152717E+03	7.876847E-15	3.040947E-19
3.162694E+03	7.922523E-15	3.058580E-19
3.172671E+03	7.966185E-15	3.075436E-19
3.182648E+03	8.007535E-15	3.091400E-19
3.192625E+03	8.045943E-15	3.106227E-19
3.202602E+03	8.081022E-15	3.119770E-19
3.212579E+03	8.112178E-15	3.131798E-19
3.222556E+03	8.139203E-15	3.142231E-19
3.232533E+03	8.161827E-15	3.150965E-19
3.242510E+03	8.180197E-15	3.158057E-19
3.252487E+03	8.194644E-15	3.163634E-19
3.262464E+03	8.205737E-15	3.167917E-19
3.272441E+03	8.214321E-15	3.171231E-19
3.282418E+03	8.221265E-15	3.173911E-19
3.292395E+03	8.227379E-15	3.176272E-19
3.302372E+03	8.233481E-15	3.178627E-19
3.312348E+03	8.240304E-15	3.181261E-19
3.322325E+03	8.248179E-15	3.184301E-19
3.332302E+03	8.257217E-15	3.187790E-19
3.342279E+03	8.267215E-15	3.191650E-19
3.352256E+03	8.277616E-15	3.195665E-19
3.362233E+03	8.287740E-15	3.199574E-19
3.372210E+03	8.296850E-15	3.203091E-19
3.382187E+03	8.304186E-15	3.205923E-19
3.392164E+03	8.309528E-15	3.207985E-19
3.402141E+03	8.313001E-15	3.209325E-19
3.412118E+03	8.315357E-15	3.210235E-19
3.422095E+03	8.318059E-15	3.211278E-19
3.432072E+03	8.323404E-15	3.213341E-19
3.442049E+03	8.333867E-15	3.217380E-19
3.452026E+03	8.352179E-15	3.224450E-19
3.462003E+03	8.380307E-15	3.235309E-19
3.471980E+03	8.420314E-15	3.250754E-19
3.481957E+03	8.473839E-15	3.271418E-19
3.491934E+03	8.542381E-15	3.297879E-19
3.497581E+03	6.809301E-15	2.628804E-19
3.502340E+03	6.937384E-15	2.678252E-19
3.507099E+03	7.052057E-15	2.722523E-19
3.511858E+03	6.991443E-15	2.699122E-19
3.516617E+03	7.001929E-15	2.703170E-19
3.521376E+03	7.136530E-15	2.755134E-19
3.526135E+03	7.129730E-15	2.752509E-19
3.530894E+03	7.139290E-15	2.756200E-19
3.535653E+03	7.309521E-15	2.821919E-19
3.540412E+03	7.625560E-15	2.943929E-19
3.545171E+03	7.776318E-15	3.002131E-19
3.549930E+03	7.861048E-15	3.034842E-19
3.554689E+03	8.107771E-15	3.130092E-19
3.559448E+03	8.476462E-15	3.272429E-19
3.564207E+03	8.621384E-15	3.328377E-19
3.568966E+03	8.850134E-15	3.416689E-19
3.573725E+03	9.094640E-15	3.511083E-19
3.578484E+03	9.654946E-15	3.727395E-19
3.583243E+03	9.992028E-15	3.857529E-19
3.587992E+03	9.974371E-15	3.850712E-19
3.592751E+03	1.020496E-14	3.939734E-19
3.597510E+03	1.045943E-14	4.037976E-19
3.602269E+03	1.047493E-14	4.043957E-19
3.607028E+03	1.040083E-14	4.015349E-19
3.611787E+03	1.041233E-14	4.019792E-19
3.616546E+03	1.024986E-14	3.957068E-19
3.621305E+03	1.010740E-14	3.902067E-19
3.626064E+03	9.900662E-15	3.822255E-19
3.630823E+03	9.747630E-15	3.763176E-19
3.635582E+03	9.548744E-15	3.686394E-19
3.640341E+03	9.279597E-15	3.582486E-19
3.645100E+03	9.083866E-15	3.506923E-19
3.649859E+03	8.639760E-15	3.335470E-19
3.654618E+03	8.214744E-15	3.171389E-19
3.659377E+03	8.004064E-15	3.090053E-19
3.664136E+03	8.039869E-15	3.103876E-19
3.668895E+03	8.119090E-15	3.134460E-19
3.673654E+03	8.155050E-15	3.148343E-19
3.678413E+03	8.190908E-15	3.162186E-19
3.683172E+03	8.399573E-15	3.242743E-19
3.687931E+03	8.513518E-15	3.286733E-19
3.692690E+03	8.782135E-15	3.390435E-19
3.697449E+03	9.104061E-15	3.514718E-19
3.702208E+03	9.554921E-15	3.688777E-19
3.706967E+03	9.877738E-15	3.813404E-19
3.711726E+03	1.022547E-14	3.947651E-19
3.716485E+03	1.057053E-14	4.080862E-19
3.721244E+03	1.086183E-14	4.193322E-19
3.726003E+03	1.102263E-14	4.255402E-19
3.730762E+03	1.138149E-14	4.393944E-19
3.735521E+03	1.175837E-14	4.539442E-19
3.740280E+03	1.202393E-14	4.641965E-19
3.745029E+03	1.211231E-14	4.676082E-19
3.749788E+03	1.217315E-14	4.699572E-19
3.754547E+03	1.232727E-14	4.759071E-19
3.759306E+03	1.240561E-14	4.789313E-19
3.764065E+03	1.241895E-14	4.794464E-19
3.768824E+03	1.237724E-14	4.778362E-19
3.773583E+03	1.243113E-14	4.799168E-19
3.778342E+03	1.245674E-14	4.809053E-19
3.783101E+03	1.225562E-14	4.731409E-19
3.787860E+03	1.198694E-14	4.627682E-19
3.792619E+03	1.177684E-14	4.546569E-19
3.797378E+03	1.160638E-14	4.480764E-19
3.802137E+03	1.139905E-14	4.400722E-19
3.806896E+03	1.114375E-14	4.302158E-19
3.811655E+03	1.096143E-14	4.231773E-19
3.816414E+03	1.074570E-14	4.148487E-19
3.821173E+03	1.051398E-14	4.059030E-19
3.825932E+03	1.029773E-14	3.975545E-19
3.830691E+03	1.007823E-14	3.890805E-19
3.835450E+03	9.858349E-15	3.805917E-19
3.840209E+03	9.676534E-15	3.735725E-19
3.844968E+03	9.458542E-15	3.651567E-19
3.849727E+03	9.239320E-15	3.566934E-19
3.854486E+03	9.022194E-15	3.483110E-19
3.859245E+03	8.862152E-15	3.421324E-19
3.864004E+03	8.817435E-15	3.404061E-19
3.868763E+03	8.799346E-15	3.397077E-19
3.873522E+03	8.842356E-15	3.413682E-19
3.878281E+03	8.963591E-15	3.460485E-19
3.883040E+03	9.217081E-15	3.558348E-19
3.887799E+03	9.493008E-15	3.664872E-19
3.892558E+03	9.817485E-15	3.790140E-19
3.897317E+03	1.022231E-14	3.946426E-19
3.902066E+03	1.070359E-14	4.132231E-19
3.906825E+03	1.121138E-14	4.328267E-19
3.911584E+03	1.172963E-14	4.528344E-19
3.916343E+03	1.230876E-14	4.751921E-19
3.921102E+03	1.289463E-14	4.978104E-19
3.925861E+03	1.346517E-14	5.198364E-19
3.930620E+03	1.396940E-14	5.393029E-19
3.935379E+03	1.447779E-14	5.589299E-19
3.940138E+03	1.482745E-14	5.724286E-19
3.944897E+03	1.510763E-14	5.832453E-19
3.949656E+03	1.533050E-14	5.918493E-19
3.954415E+03	1.541703E-14	5.951900E-19
3.959174E+03	1.540149E-14	5.945899E-19
3.963933E+03	1.528180E-14	5.899692E-19
3.968692E+03	1.504937E-14	5.809959E-19
3.973451E+03	1.478151E-14	5.706552E-19
3.978210E+03	1.445606E-14	5.580907E-19
3.982969E+03	1.406806E-14	5.431116E-19
3.987728E+03	1.367192E-14	5.278180E-19
3.992487E+03	1.329952E-14	5.134412E-19
3.997246E+03	1.294889E-14	4.999050E-19
4.002005E+03	1.266909E-14	4.891030E-19
4.006764E+03	1.237953E-14	4.779243E-19
4.011523E+03	1.215272E-14	4.691678E-19
4.016282E+03	1.197356E-14	4.622514E-19
4.021041E+03	1.183915E-14	4.570623E-19
4.025800E+03	1.177471E-14	4.545743E-19
4.030559E+03	1.177976E-14	4.547693E-19
4.035318E+03	1.183566E-14	4.569276E-19
4.040077E+03	1.194291E-14	4.610679E-19
4.044836E+03	1.208141E-14	4.664149E-19
4.049595E+03	1.226977E-14	4.736866E-19
4.054354E+03	1.249350E-14	4.823239E-19
4.059103E+03	1.275514E-14	4.924248E-19
4.063862E+03	1.304247E-14	5.035173E-19
4.068621E+03	1.333708E-14	5.148914E-19
4.073380E+03	1.359603E-14	5.248881E-19
4.078139E+03	1.382478E-14	5.337192E-19
4.082899E+03	1.405344E-14	5.425472E-19
4.087658E+03	1.422102E-14	5.490167E-19
4.092417E+03	1.433637E-14	5.534696E-19
4.097176E+03	1.442376E-14	5.568435E-19
4.101935E+03	1.447941E-14	5.589919E-19
4.106694E+03	1.450301E-14	5.599031E-19
4.111453E+03	1.447882E-14	5.589691E-19
4.116212E+03	1.446490E-14	5.584316E-19
4.120971E+03	1.445655E-14	5.581092E-19
4.125730E+03	1.441178E-14	5.563811E-19
4.130489E+03	1.437725E-14	5.550480E-19
4.135248E+03	1.434702E-14	5.538808E-19
4.140007E+03	1.430053E-14	5.520859E-19
4.144766E+03	1.424978E-14	5.501266E-19
