#wls	flux	fluxerr
1.596313E+03	5.037751E-17	3.001377E-18
1.636220E+03	5.154823E-17	3.057542E-18
1.676128E+03	5.274366E-17	3.114234E-18
1.716036E+03	5.392766E-17	3.169283E-18
1.755944E+03	5.512927E-17	3.224370E-18
1.795852E+03	5.629938E-17	3.276594E-18
1.835759E+03	5.745109E-17	3.326716E-18
1.875667E+03	5.852334E-17	3.371206E-18
1.915575E+03	5.952023E-17	3.410347E-18
1.955483E+03	6.038159E-17	3.440753E-18
1.995391E+03	6.113827E-17	3.464279E-18
2.035298E+03	6.180645E-17	3.481917E-18
2.075206E+03	6.255609E-17	3.503253E-18
2.115114E+03	6.359057E-17	3.539507E-18
2.155022E+03	6.514095E-17	3.603142E-18
2.194930E+03	6.733409E-17	3.700555E-18
2.234838E+03	7.013488E-17	3.829094E-18
2.274745E+03	7.337715E-17	3.979024E-18
2.314653E+03	7.692759E-17	4.142605E-18
2.354561E+03	8.064119E-17	4.311655E-18
2.394469E+03	8.442502E-17	4.480970E-18
2.434377E+03	8.826507E-17	4.649642E-18
2.474284E+03	9.213396E-17	4.816088E-18
2.514192E+03	9.605555E-17	4.981423E-18
2.554100E+03	1.000385E-16	5.145939E-18
2.594008E+03	1.040700E-16	5.308810E-18
2.633916E+03	1.081540E-16	5.470100E-18
2.673823E+03	1.123137E-16	5.630795E-18
2.713731E+03	1.165005E-16	5.788310E-18
2.753639E+03	1.207272E-16	5.943135E-18
2.793547E+03	1.249791E-16	6.094416E-18
2.833455E+03	1.292116E-16	6.239884E-18
2.873363E+03	1.334208E-16	6.379296E-18
2.913270E+03	1.375490E-16	6.509871E-18
2.953178E+03	1.415549E-16	6.629728E-18
2.993086E+03	1.453907E-16	6.736758E-18
3.003063E+03	1.463354E-16	6.762106E-18
3.013040E+03	1.472403E-16	6.785321E-18
3.023017E+03	1.481543E-16	6.808660E-18
3.032994E+03	1.490530E-16	6.831009E-18
3.042971E+03	1.499328E-16	6.852202E-18
3.052948E+03	1.508001E-16	6.872544E-18
3.062925E+03	1.516781E-16	6.893086E-18
3.072902E+03	1.525398E-16	6.912602E-18
