#wls	flux	fluxerr
1.600000E+03	3.919376E-17	1.744152E-18
1.640000E+03	4.003163E-17	1.776132E-18
1.680000E+03	4.091176E-17	1.809632E-18
1.720000E+03	4.183591E-17	1.844702E-18
1.760000E+03	4.279365E-17	1.880855E-18
1.800000E+03	4.381157E-17	1.919231E-18
1.840000E+03	4.487962E-17	1.959350E-18
1.880000E+03	4.601267E-17	2.001827E-18
1.920000E+03	4.718829E-17	2.045643E-18
1.960000E+03	4.842164E-17	2.091421E-18
2.000000E+03	4.972837E-17	2.139790E-18
2.040000E+03	5.108609E-17	2.189740E-18
2.080000E+03	5.252371E-17	2.242462E-18
2.120000E+03	5.403191E-17	2.297501E-18
2.160000E+03	5.562752E-17	2.355514E-18
2.200000E+03	5.728802E-17	2.415486E-18
2.240000E+03	5.904390E-17	2.478639E-18
2.280000E+03	6.088601E-17	2.544517E-18
2.320000E+03	6.281849E-17	2.613219E-18
2.360000E+03	6.484555E-17	2.684843E-18
2.400000E+03	6.697135E-17	2.759479E-18
2.440000E+03	6.920002E-17	2.837210E-18
2.480000E+03	7.153544E-17	2.918103E-18
2.520000E+03	7.399592E-17	3.002803E-18
2.560000E+03	7.655575E-17	3.090163E-18
2.600000E+03	7.923218E-17	3.180777E-18
2.640000E+03	8.202744E-17	3.274625E-18
2.680000E+03	8.494285E-17	3.371642E-18
2.720000E+03	8.797888E-17	3.471729E-18
2.760000E+03	9.113484E-17	3.574737E-18
2.800000E+03	9.442492E-17	3.681095E-18
2.840000E+03	9.781345E-17	3.789283E-18
2.880000E+03	1.013277E-16	3.900240E-18
2.920000E+03	1.049612E-16	4.013583E-18
2.960000E+03	1.087223E-16	4.129491E-18
3.000000E+03	1.126174E-16	4.248070E-18
3.010000E+03	1.136100E-16	4.278036E-18
3.020000E+03	1.146044E-16	4.307911E-18
3.030000E+03	1.156180E-16	4.338344E-18
3.040000E+03	1.166328E-16	4.368659E-18
3.050000E+03	1.176662E-16	4.399504E-18
3.060000E+03	1.187002E-16	4.430206E-18
3.070000E+03	1.197344E-16	4.460746E-18
3.080000E+03	1.208042E-16	4.492443E-18
3.090000E+03	1.218555E-16	4.523278E-18
3.100000E+03	1.229419E-16	4.555240E-18
3.110000E+03	1.240087E-16	4.586300E-18
3.120000E+03	1.251097E-16	4.618447E-18
3.130000E+03	1.262083E-16	4.650324E-18
3.140000E+03	1.273221E-16	4.682576E-18
3.150000E+03	1.284505E-16	4.715181E-18
3.160000E+03	1.295746E-16	4.747441E-18
3.170000E+03	1.307119E-16	4.779999E-18
3.180000E+03	1.318621E-16	4.812833E-18
3.190000E+03	1.330240E-16	4.845904E-18
3.200000E+03	1.341971E-16	4.879187E-18
3.210000E+03	1.353802E-16	4.912640E-18
3.220000E+03	1.365727E-16	4.946230E-18
3.230000E+03	1.377734E-16	4.979918E-18
3.240000E+03	1.389813E-16	5.013659E-18
3.250000E+03	1.401950E-16	5.047406E-18
3.260000E+03	1.414133E-16	5.081117E-18
3.270000E+03	1.426537E-16	5.115410E-18
3.280000E+03	1.438772E-16	5.148885E-18
3.290000E+03	1.451386E-16	5.183509E-18
3.300000E+03	1.463800E-16	5.217202E-18
3.310000E+03	1.476372E-16	5.251245E-18
3.320000E+03	1.488897E-16	5.284903E-18
3.330000E+03	1.501545E-16	5.318784E-18
3.340000E+03	1.514298E-16	5.352817E-18
3.350000E+03	1.526947E-16	5.386266E-18
3.360000E+03	1.539664E-16	5.419730E-18
3.370000E+03	1.552237E-16	5.452473E-18
3.380000E+03	1.565031E-16	5.485766E-18
3.390000E+03	1.577646E-16	5.518213E-18
3.400000E+03	1.590258E-16	5.550429E-18
3.410000E+03	1.603041E-16	5.583021E-18
3.420000E+03	1.615610E-16	5.614643E-18
3.430000E+03	1.628148E-16	5.645935E-18
3.440000E+03	1.640842E-16	5.677550E-18
3.450000E+03	1.653514E-16	5.708862E-18
3.460000E+03	1.666182E-16	5.739936E-18
3.470000E+03	1.678875E-16	5.770873E-18
3.480000E+03	1.691824E-16	5.802464E-18
3.490000E+03	1.705091E-16	5.834911E-18
3.500000E+03	1.718571E-16	5.867852E-18
3.510000E+03	1.732558E-16	5.902285E-18
3.520000E+03	1.747006E-16	5.938037E-18
3.530000E+03	1.762271E-16	5.976304E-18
3.540000E+03	1.778749E-16	6.018410E-18
3.550000E+03	1.796327E-16	6.063946E-18
3.560000E+03	1.815498E-16	6.114540E-18
3.570000E+03	1.836615E-16	6.171350E-18
3.580000E+03	1.860262E-16	6.236280E-18
3.590000E+03	1.886654E-16	6.309991E-18
3.600000E+03	1.916106E-16	6.393471E-18
3.610000E+03	1.948770E-16	6.487149E-18
3.620000E+03	1.984847E-16	6.591622E-18
3.630000E+03	2.024308E-16	6.706706E-18
3.640000E+03	2.067126E-16	6.832234E-18
3.650000E+03	2.113110E-16	6.967498E-18
3.660000E+03	2.162477E-16	7.113131E-18
3.670000E+03	2.215284E-16	7.269238E-18
3.680000E+03	2.271611E-16	7.436000E-18
3.690000E+03	2.331759E-16	7.614317E-18
3.700000E+03	2.395452E-16	7.803190E-18
3.710000E+03	2.463216E-16	8.004246E-18
3.720000E+03	2.534985E-16	8.217174E-18
3.730000E+03	2.611101E-16	8.442974E-18
3.740000E+03	2.691695E-16	8.681968E-18
3.750000E+03	2.776669E-16	8.933727E-18
3.760000E+03	2.866328E-16	9.199123E-18
3.770000E+03	2.960739E-16	9.478256E-18
3.780000E+03	3.059932E-16	9.771100E-18
3.790000E+03	3.163889E-16	1.007748E-17
3.800000E+03	3.272538E-16	1.039706E-17
