#wls	flux	fluxerr
1.580871E+03	1.391356E-05	0.000000E+00
1.620393E+03	1.452525E-05	0.000000E+00
1.659915E+03	1.502452E-05	0.000000E+00
1.699437E+03	1.539197E-05	0.000000E+00
1.738959E+03	1.561013E-05	0.000000E+00
1.778480E+03	1.563262E-05	0.000000E+00
1.818002E+03	1.541515E-05	0.000000E+00
1.857524E+03	1.491239E-05	0.000000E+00
1.897046E+03	1.409681E-05	0.000000E+00
1.936568E+03	1.298366E-05	0.000000E+00
1.976089E+03	1.166342E-05	0.000000E+00
2.015611E+03	1.031045E-05	0.000000E+00
2.055133E+03	9.164514E-06	0.000000E+00
2.094655E+03	8.457187E-06	0.000000E+00
2.134176E+03	8.347465E-06	0.000000E+00
2.173698E+03	8.901554E-06	0.000000E+00
2.213220E+03	1.010879E-05	0.000000E+00
2.252742E+03	1.189562E-05	0.000000E+00
2.292264E+03	1.414142E-05	0.000000E+00
2.331785E+03	1.670856E-05	0.000000E+00
2.371307E+03	1.946966E-05	0.000000E+00
2.410829E+03	2.232814E-05	0.000000E+00
2.450351E+03	2.522292E-05	0.000000E+00
2.489873E+03	2.811532E-05	0.000000E+00
2.529394E+03	3.099323E-05	0.000000E+00
2.568916E+03	3.385373E-05	0.000000E+00
2.608438E+03	3.670978E-05	0.000000E+00
2.647960E+03	3.956891E-05	0.000000E+00
2.687481E+03	4.244622E-05	0.000000E+00
2.727003E+03	4.536412E-05	0.000000E+00
2.766525E+03	4.833413E-05	0.000000E+00
2.806047E+03	5.138025E-05	0.000000E+00
2.845569E+03	5.452096E-05	0.000000E+00
2.885090E+03	5.777512E-05	0.000000E+00
2.924612E+03	6.116213E-05	0.000000E+00
2.964134E+03	6.470919E-05	0.000000E+00
2.974014E+03	6.562272E-05	0.000000E+00
2.983895E+03	6.654789E-05	0.000000E+00
2.993775E+03	6.748495E-05	0.000000E+00
3.003656E+03	6.843725E-05	0.000000E+00
3.013536E+03	6.941601E-05	0.000000E+00
3.023417E+03	7.043307E-05	0.000000E+00
3.033297E+03	7.148954E-05	0.000000E+00
3.043178E+03	7.257577E-05	0.000000E+00
3.053058E+03	7.369688E-05	0.000000E+00
3.062938E+03	7.484723E-05	0.000000E+00
3.072819E+03	7.602498E-05	0.000000E+00
3.082699E+03	7.723219E-05	0.000000E+00
3.092580E+03	7.845986E-05	0.000000E+00
3.102460E+03	7.971800E-05	0.000000E+00
3.112341E+03	8.099387E-05	0.000000E+00
3.122221E+03	8.229411E-05	0.000000E+00
3.132102E+03	8.361377E-05	0.000000E+00
3.141982E+03	8.495598E-05	0.000000E+00
3.151862E+03	8.631598E-05	0.000000E+00
3.161743E+03	8.769714E-05	0.000000E+00
3.171623E+03	8.909484E-05	0.000000E+00
3.181504E+03	9.051274E-05	0.000000E+00
3.191384E+03	9.194636E-05	0.000000E+00
3.201265E+03	9.339951E-05	0.000000E+00
3.211145E+03	9.487202E-05	0.000000E+00
3.221026E+03	9.636391E-05	0.000000E+00
3.230906E+03	9.787091E-05	0.000000E+00
3.240786E+03	9.939728E-05	0.000000E+00
3.250667E+03	1.009390E-04	0.000000E+00
3.260547E+03	1.025046E-04	0.000000E+00
3.270428E+03	1.040860E-04	0.000000E+00
3.280308E+03	1.056877E-04	0.000000E+00
3.290189E+03	1.073145E-04	0.000000E+00
3.300069E+03	1.089583E-04	0.000000E+00
3.309950E+03	1.106238E-04	0.000000E+00
3.319830E+03	1.123116E-04	0.000000E+00
3.329711E+03	1.140224E-04	0.000000E+00
3.339591E+03	1.157569E-04	0.000000E+00
3.349471E+03	1.175156E-04	0.000000E+00
3.359352E+03	1.193040E-04	0.000000E+00
3.369232E+03	1.211139E-04	0.000000E+00
3.379113E+03	1.229550E-04	0.000000E+00
3.388993E+03	1.248238E-04	0.000000E+00
3.398874E+03	1.267258E-04	0.000000E+00
3.408754E+03	1.286528E-04	0.000000E+00
3.418635E+03	1.306148E-04	0.000000E+00
3.428515E+03	1.326084E-04	0.000000E+00
3.438395E+03	1.346393E-04	0.000000E+00
3.448276E+03	1.367038E-04	0.000000E+00
3.458156E+03	1.388078E-04	0.000000E+00
3.468037E+03	1.409478E-04	0.000000E+00
3.477917E+03	1.431295E-04	0.000000E+00
3.487798E+03	1.453494E-04	0.000000E+00
3.497678E+03	1.476086E-04	0.000000E+00
3.507559E+03	1.499182E-04	0.000000E+00
3.517439E+03	1.522695E-04	0.000000E+00
3.527319E+03	1.546639E-04	0.000000E+00
3.537200E+03	1.571125E-04	0.000000E+00
3.547080E+03	1.596067E-04	0.000000E+00
3.556961E+03	1.621527E-04	0.000000E+00
3.566841E+03	1.647469E-04	0.000000E+00
3.576722E+03	1.673956E-04	0.000000E+00
3.586602E+03	1.701052E-04	0.000000E+00
3.596483E+03	1.728670E-04	0.000000E+00
3.606363E+03	1.756823E-04	0.000000E+00
3.616243E+03	1.785627E-04	0.000000E+00
3.626124E+03	1.815046E-04	0.000000E+00
3.636004E+03	1.845040E-04	0.000000E+00
3.645885E+03	1.875729E-04	0.000000E+00
3.655765E+03	1.907021E-04	0.000000E+00
3.665646E+03	1.939038E-04	0.000000E+00
3.675526E+03	1.971685E-04	0.000000E+00
3.685407E+03	2.005087E-04	0.000000E+00
3.695287E+03	2.039147E-04	0.000000E+00
3.705167E+03	2.073936E-04	0.000000E+00
3.715048E+03	2.109466E-04	0.000000E+00
3.724928E+03	2.145810E-04	0.000000E+00
3.734809E+03	2.182869E-04	0.000000E+00
3.744689E+03	2.220714E-04	0.000000E+00
3.754570E+03	2.259417E-04	0.000000E+00
3.764450E+03	2.298878E-04	0.000000E+00
3.774331E+03	2.339169E-04	0.000000E+00
3.784211E+03	2.380361E-04	0.000000E+00
3.794091E+03	2.422355E-04	0.000000E+00
3.803972E+03	2.465222E-04	0.000000E+00
3.813852E+03	2.508977E-04	0.000000E+00
3.823733E+03	2.553634E-04	0.000000E+00
3.833613E+03	2.599208E-04	0.000000E+00
3.843494E+03	2.645714E-04	0.000000E+00
3.853374E+03	2.693165E-04	0.000000E+00
3.863255E+03	2.741516E-04	0.000000E+00
3.873135E+03	2.790902E-04	0.000000E+00
3.883016E+03	2.841215E-04	0.000000E+00
3.892896E+03	2.892531E-04	0.000000E+00
3.902776E+03	2.944800E-04	0.000000E+00
3.912657E+03	2.998164E-04	0.000000E+00
3.922537E+03	3.052444E-04	0.000000E+00
3.932418E+03	3.107846E-04	0.000000E+00
3.942298E+03	3.164255E-04	0.000000E+00
3.952179E+03	3.221749E-04	0.000000E+00
3.962059E+03	3.280275E-04	0.000000E+00
3.971940E+03	3.339912E-04	0.000000E+00
3.981820E+03	3.400539E-04	0.000000E+00
3.991700E+03	3.462368E-04	0.000000E+00
4.001581E+03	3.525209E-04	0.000000E+00
4.011461E+03	3.589210E-04	0.000000E+00
4.021342E+03	3.654312E-04	0.000000E+00
4.031222E+03	3.720454E-04	0.000000E+00
4.041103E+03	3.787787E-04	0.000000E+00
4.050983E+03	3.856251E-04	0.000000E+00
4.060864E+03	3.925780E-04	0.000000E+00
4.070744E+03	3.996527E-04	0.000000E+00
4.080624E+03	4.068354E-04	0.000000E+00
4.090505E+03	4.141264E-04	0.000000E+00
4.100385E+03	4.215338E-04	0.000000E+00
4.110266E+03	4.290579E-04	0.000000E+00
4.120146E+03	4.366914E-04	0.000000E+00
4.130027E+03	4.444345E-04	0.000000E+00
4.139907E+03	4.522872E-04	0.000000E+00
4.149788E+03	4.602492E-04	0.000000E+00
4.159668E+03	4.683203E-04	0.000000E+00
4.169548E+03	4.765001E-04	0.000000E+00
4.179429E+03	4.847799E-04	0.000000E+00
4.189309E+03	4.931670E-04	0.000000E+00
4.199190E+03	5.016604E-04	0.000000E+00
4.209070E+03	5.102428E-04	0.000000E+00
4.218951E+03	5.189373E-04	0.000000E+00
4.228831E+03	5.277177E-04	0.000000E+00
4.238712E+03	5.365906E-04	0.000000E+00
4.248592E+03	5.455539E-04	0.000000E+00
4.258472E+03	5.545967E-04	0.000000E+00
4.268353E+03	5.637254E-04	0.000000E+00
4.278233E+03	5.729375E-04	0.000000E+00
4.288114E+03	5.822124E-04	0.000000E+00
4.297994E+03	5.915645E-04	0.000000E+00
4.307875E+03	6.009826E-04	0.000000E+00
4.317755E+03	6.104529E-04	0.000000E+00
4.327636E+03	6.199908E-04	0.000000E+00
4.337516E+03	6.295647E-04	0.000000E+00
4.347397E+03	6.391883E-04	0.000000E+00
4.357277E+03	6.488488E-04	0.000000E+00
4.367157E+03	6.585507E-04	0.000000E+00
4.377038E+03	6.682708E-04	0.000000E+00
4.386918E+03	6.780043E-04	0.000000E+00
4.396799E+03	6.877648E-04	0.000000E+00
4.406679E+03	6.975191E-04	0.000000E+00
4.416560E+03	7.072807E-04	0.000000E+00
4.426440E+03	7.170351E-04	0.000000E+00
4.436321E+03	7.267673E-04	0.000000E+00
4.446201E+03	7.364812E-04	0.000000E+00
4.456081E+03	7.461719E-04	0.000000E+00
4.465962E+03	7.558239E-04	0.000000E+00
4.475842E+03	7.654213E-04	0.000000E+00
4.485723E+03	7.749797E-04	0.000000E+00
4.495603E+03	7.844839E-04	0.000000E+00
4.505484E+03	7.939175E-04	0.000000E+00
4.515364E+03	8.032768E-04	0.000000E+00
4.525245E+03	8.125661E-04	0.000000E+00
4.535125E+03	8.217705E-04	0.000000E+00
4.545005E+03	8.308752E-04	0.000000E+00
4.554886E+03	8.398970E-04	0.000000E+00
4.564766E+03	8.488005E-04	0.000000E+00
4.574647E+03	8.576019E-04	0.000000E+00
4.584527E+03	8.662879E-04	0.000000E+00
4.594408E+03	8.748548E-04	0.000000E+00
4.604288E+03	8.832990E-04	0.000000E+00
4.614169E+03	8.916181E-04	0.000000E+00
4.624049E+03	8.997990E-04	0.000000E+00
4.633929E+03	9.078507E-04	0.000000E+00
4.643810E+03	9.157490E-04	0.000000E+00
4.653690E+03	9.235137E-04	0.000000E+00
4.663571E+03	9.311220E-04	0.000000E+00
4.673451E+03	9.385950E-04	0.000000E+00
4.683332E+03	9.459098E-04	0.000000E+00
4.693212E+03	9.530664E-04	0.000000E+00
4.703093E+03	9.600752E-04	0.000000E+00
4.712973E+03	9.669262E-04	0.000000E+00
4.722853E+03	9.736181E-04	0.000000E+00
4.732734E+03	9.801644E-04	0.000000E+00
4.742614E+03	9.865430E-04	0.000000E+00
4.752495E+03	9.927667E-04	0.000000E+00
4.762375E+03	9.988359E-04	0.000000E+00
4.772256E+03	1.004752E-03	0.000000E+00
4.782136E+03	1.010507E-03	0.000000E+00
4.792017E+03	1.016114E-03	0.000000E+00
4.801897E+03	1.021562E-03	0.000000E+00
4.811777E+03	1.026865E-03	0.000000E+00
4.821658E+03	1.032026E-03	0.000000E+00
4.831538E+03	1.037036E-03	0.000000E+00
4.841419E+03	1.041897E-03	0.000000E+00
4.851299E+03	1.046622E-03	0.000000E+00
4.861180E+03	1.051204E-03	0.000000E+00
4.871060E+03	1.055644E-03	0.000000E+00
4.880941E+03	1.059956E-03	0.000000E+00
4.890821E+03	1.064133E-03	0.000000E+00
4.900702E+03	1.068187E-03	0.000000E+00
4.910582E+03	1.072109E-03	0.000000E+00
4.920462E+03	1.075903E-03	0.000000E+00
4.930343E+03	1.079582E-03	0.000000E+00
4.940223E+03	1.083148E-03	0.000000E+00
4.950104E+03	1.086592E-03	0.000000E+00
4.959984E+03	1.089918E-03	0.000000E+00
