#wls	flux	fluxerr	mangling_mask
3.721998E+03	1.182865E-16	4.168903E-17	9.475050E+01
3.723000E+03	1.191015E-16	4.171435E-17	9.475060E+01
3.724002E+03	1.211198E-16	4.183160E-17	9.475069E+01
3.725004E+03	1.231286E-16	4.097061E-17	9.475078E+01
3.725995E+03	1.246447E-16	4.149751E-17	9.475085E+01
3.726997E+03	1.253460E-16	4.156630E-17	9.475092E+01
3.727999E+03	1.255072E-16	4.106743E-17	9.475099E+01
3.729001E+03	1.266253E-16	4.122273E-17	9.475104E+01
3.730003E+03	1.281129E-16	4.065773E-17	9.475109E+01
3.730995E+03	1.293827E-16	4.069736E-17	9.475113E+01
3.731997E+03	1.304250E-16	4.047878E-17	9.475116E+01
3.732999E+03	1.309746E-16	4.040202E-17	9.475118E+01
3.734001E+03	1.311641E-16	3.961849E-17	9.475120E+01
3.735003E+03	1.320169E-16	3.941349E-17	9.475121E+01
3.735995E+03	1.332392E-16	3.885920E-17	9.475121E+01
3.736997E+03	1.342340E-16	3.896447E-17	9.475121E+01
3.737999E+03	1.347646E-16	3.863645E-17	9.475119E+01
3.739001E+03	1.347551E-16	3.774065E-17	9.475117E+01
3.740003E+03	1.352952E-16	3.782339E-17	9.475114E+01
3.741005E+03	1.362142E-16	3.671169E-17	9.475111E+01
3.741997E+03	1.362710E-16	3.864427E-17	9.475106E+01
3.742999E+03	1.352286E-16	3.860348E-17	9.475101E+01
3.744001E+03	1.350106E-16	3.866999E-17	9.475095E+01
3.745003E+03	1.345652E-16	3.869719E-17	9.475088E+01
3.746005E+03	1.342335E-16	3.835864E-17	9.475081E+01
3.746997E+03	1.335227E-16	3.832995E-17	9.475073E+01
3.747999E+03	1.338921E-16	3.897056E-17	9.475064E+01
3.749001E+03	1.343184E-16	3.884565E-17	9.475054E+01
3.750003E+03	1.341098E-16	3.863279E-17	9.475043E+01
3.751005E+03	1.334558E-16	3.879434E-17	9.475032E+01
3.751996E+03	1.331903E-16	3.767501E-17	9.475020E+01
3.752998E+03	1.324132E-16	3.738496E-17	9.475007E+01
3.754000E+03	1.312571E-16	3.765167E-17	9.474993E+01
3.755002E+03	1.315790E-16	3.706621E-17	9.474978E+01
3.756004E+03	1.296838E-16	3.825594E-17	9.474963E+01
3.756996E+03	1.290204E-16	3.824555E-17	9.474947E+01
3.757998E+03	1.276368E-16	3.786096E-17	9.474930E+01
3.759000E+03	1.275228E-16	3.822457E-17	9.474912E+01
3.760002E+03	1.272478E-16	3.737658E-17	9.474894E+01
3.761004E+03	1.269633E-16	3.672162E-17	9.474875E+01
3.761996E+03	1.266030E-16	3.626607E-17	9.474855E+01
3.762998E+03	1.261764E-16	3.864761E-17	9.474834E+01
3.764000E+03	1.271899E-16	3.887698E-17	9.474812E+01
3.765002E+03	1.280897E-16	3.889237E-17	9.474790E+01
3.766004E+03	1.270756E-16	3.917734E-17	9.474767E+01
3.766996E+03	1.267247E-16	3.796094E-17	9.474743E+01
3.767998E+03	1.264022E-16	3.824742E-17	9.474718E+01
3.769000E+03	1.258523E-16	3.800678E-17	9.474692E+01
3.770002E+03	1.251698E-16	3.774765E-17	9.474666E+01
3.771004E+03	1.248378E-16	3.931788E-17	9.474639E+01
3.771995E+03	1.256618E-16	3.935400E-17	9.474611E+01
3.772997E+03	1.261920E-16	3.948459E-17	9.474582E+01
3.773999E+03	1.256610E-16	3.901994E-17	9.474553E+01
3.775001E+03	1.240025E-16	3.858314E-17	9.474522E+01
3.776003E+03	1.239737E-16	3.839073E-17	9.474491E+01
3.776995E+03	1.229027E-16	3.824709E-17	9.474459E+01
3.777997E+03	1.230539E-16	3.833481E-17	9.474427E+01
3.778999E+03	1.218028E-16	3.833743E-17	9.474393E+01
3.780001E+03	1.208928E-16	3.827514E-17	9.474358E+01
3.781003E+03	1.202102E-16	3.826695E-17	9.474323E+01
3.781995E+03	1.217067E-16	3.823086E-17	9.474288E+01
3.782997E+03	1.217252E-16	3.803908E-17	9.474251E+01
3.783999E+03	1.231648E-16	3.836744E-17	9.474213E+01
3.785001E+03	1.218663E-16	3.817388E-17	9.474174E+01
3.786003E+03	1.203405E-16	3.863821E-17	9.474135E+01
3.787005E+03	1.203684E-16	3.915722E-17	9.474095E+01
3.787997E+03	1.210595E-16	3.923987E-17	9.474054E+01
3.788999E+03	1.214853E-16	3.930841E-17	9.474013E+01
3.790001E+03	1.213521E-16	3.926469E-17	9.473970E+01
3.791003E+03	1.230000E-16	3.865299E-17	9.473927E+01
3.792005E+03	1.236342E-16	3.862278E-17	9.473882E+01
3.792997E+03	1.235010E-16	3.854787E-17	9.473838E+01
3.793999E+03	1.245993E-16	3.868091E-17	9.473792E+01
3.795001E+03	1.262092E-16	3.857634E-17	9.473745E+01
3.796003E+03	1.267486E-16	3.881334E-17	9.473698E+01
3.797005E+03	1.271458E-16	3.840629E-17	9.473649E+01
3.797996E+03	1.274199E-16	3.898195E-17	9.473601E+01
3.798998E+03	1.288024E-16	3.902609E-17	9.473551E+01
3.800000E+03	1.290954E-16	3.889939E-17	9.473500E+01
3.801002E+03	1.298715E-16	3.893034E-17	9.473448E+01
3.802004E+03	1.297855E-16	3.950144E-17	9.473396E+01
3.802996E+03	1.300216E-16	3.910511E-17	9.473343E+01
3.803998E+03	1.312619E-16	3.952710E-17	9.473289E+01
3.805000E+03	1.318958E-16	3.823734E-17	9.473234E+01
3.806002E+03	1.323214E-16	3.876302E-17	9.473178E+01
3.807004E+03	1.341205E-16	3.886684E-17	9.473121E+01
3.807996E+03	1.353038E-16	3.877346E-17	9.473064E+01
3.808998E+03	1.364871E-16	3.862988E-17	9.473006E+01
3.810000E+03	1.364957E-16	3.858612E-17	9.472947E+01
3.811002E+03	1.380010E-16	3.828456E-17	9.472887E+01
3.812004E+03	1.387769E-16	3.609831E-17	9.472826E+01
3.812996E+03	1.394391E-16	3.612532E-17	9.472765E+01
3.813998E+03	1.407454E-16	3.622670E-17	9.472702E+01
3.815000E+03	1.426201E-16	3.612015E-17	9.472639E+01
3.816002E+03	1.443431E-16	3.698338E-17	9.472575E+01
3.817004E+03	1.458198E-16	3.693458E-17	9.472510E+01
3.817995E+03	1.472586E-16	3.687812E-17	9.472445E+01
3.818997E+03	1.484985E-16	3.692622E-17	9.472378E+01
3.819999E+03	1.500698E-16	3.542047E-17	9.472310E+01
3.821001E+03	1.519632E-16	3.610899E-17	9.472242E+01
3.822003E+03	1.533545E-16	3.757774E-17	9.472172E+01
3.822995E+03	1.547931E-16	3.875234E-17	9.472103E+01
3.823997E+03	1.552087E-16	3.871615E-17	9.472032E+01
3.824999E+03	1.566283E-16	3.898432E-17	9.471960E+01
3.826001E+03	1.577448E-16	3.866008E-17	9.471887E+01
3.827003E+03	1.580656E-16	3.823332E-17	9.471814E+01
3.828005E+03	1.591442E-16	3.842538E-17	9.471739E+01
3.828997E+03	1.600048E-16	3.996545E-17	9.471665E+01
3.829999E+03	1.612822E-16	3.992889E-17	9.471589E+01
3.831001E+03	1.615745E-16	4.002559E-17	9.471511E+01
3.832003E+03	1.620089E-16	4.148399E-17	9.471434E+01
3.833005E+03	1.614677E-16	4.124523E-17	9.471355E+01
3.833997E+03	1.619872E-16	4.230989E-17	9.471276E+01
3.834999E+03	1.629140E-16	4.284133E-17	9.471196E+01
3.836001E+03	1.636514E-16	4.367611E-17	9.471114E+01
3.837003E+03	1.637068E-16	4.366689E-17	9.471032E+01
3.838005E+03	1.644630E-16	4.349443E-17	9.470949E+01
3.838997E+03	1.648025E-16	4.389152E-17	9.470866E+01
3.839999E+03	1.654356E-16	4.314952E-17	9.470781E+01
3.841001E+03	1.668358E-16	4.335551E-17	9.470695E+01
3.842002E+03	1.677908E-16	4.308610E-17	9.470609E+01
3.843004E+03	1.688405E-16	4.346789E-17	9.470521E+01
3.843996E+03	1.687442E-16	4.342179E-17	9.470434E+01
3.844998E+03	1.686195E-16	4.428755E-17	9.470345E+01
3.846000E+03	1.691766E-16	4.449459E-17	9.470255E+01
3.847002E+03	1.699705E-16	4.398824E-17	9.470164E+01
3.848004E+03	1.704613E-16	4.447442E-17	9.470072E+01
3.848996E+03	1.706774E-16	4.431428E-17	9.469980E+01
3.849998E+03	1.706758E-16	4.572994E-17	9.469886E+01
3.851000E+03	1.705983E-16	4.517559E-17	9.469792E+01
3.852002E+03	1.706439E-16	4.524136E-17	9.469697E+01
3.853004E+03	1.716460E-16	4.692193E-17	9.469600E+01
3.853996E+03	1.723450E-16	4.670794E-17	9.469504E+01
3.854998E+03	1.714720E-16	4.643457E-17	9.469406E+01
3.856000E+03	1.718111E-16	4.642178E-17	9.469307E+01
3.857002E+03	1.723869E-16	4.732638E-17	9.469207E+01
3.858004E+03	1.730574E-16	4.701284E-17	9.469107E+01
3.858996E+03	1.723927E-16	4.696902E-17	9.469006E+01
3.859998E+03	1.726749E-16	4.700182E-17	9.468904E+01
3.861000E+03	1.737430E-16	4.703314E-17	9.468800E+01
3.862001E+03	1.753224E-16	4.745982E-17	9.468696E+01
3.863003E+03	1.765324E-16	4.763224E-17	9.468591E+01
3.863995E+03	1.775436E-16	4.707686E-17	9.468486E+01
3.864997E+03	1.769167E-16	4.733535E-17	9.468379E+01
3.865999E+03	1.778899E-16	4.727958E-17	9.468271E+01
3.867001E+03	1.788441E-16	4.752266E-17	9.468163E+01
3.868003E+03	1.798551E-16	4.780896E-17	9.468053E+01
3.868995E+03	1.809892E-16	4.792615E-17	9.467944E+01
3.869997E+03	1.827386E-16	4.764135E-17	9.467832E+01
3.870999E+03	1.839483E-16	4.634047E-17	9.467720E+01
3.872001E+03	1.859059E-16	4.526023E-17	9.467607E+01
3.873003E+03	1.866232E-16	4.527472E-17	9.467492E+01
3.874005E+03	1.876908E-16	4.556058E-17	9.467377E+01
3.874997E+03	1.886731E-16	4.588202E-17	9.467262E+01
3.875999E+03	1.907440E-16	4.600979E-17	9.467146E+01
3.877001E+03	1.923984E-16	4.613809E-17	9.467028E+01
3.878003E+03	1.932669E-16	4.509240E-17	9.466909E+01
3.879005E+03	1.945899E-16	4.512574E-17	9.466789E+01
3.879997E+03	1.950986E-16	4.578703E-17	9.466670E+01
3.880999E+03	1.965445E-16	4.449307E-17	9.466549E+01
3.882001E+03	1.989653E-16	4.413285E-17	9.466426E+01
3.883003E+03	2.014429E-16	4.439398E-17	9.466303E+01
3.884005E+03	2.027277E-16	4.379818E-17	9.466179E+01
3.884997E+03	2.041071E-16	4.329634E-17	9.466055E+01
3.885998E+03	2.049847E-16	4.367558E-17	9.465929E+01
3.887000E+03	2.064681E-16	4.402818E-17	9.465802E+01
3.888002E+03	2.079987E-16	4.383738E-17	9.465674E+01
3.889004E+03	2.093873E-16	4.405363E-17	9.465545E+01
3.889996E+03	2.108611E-16	4.404847E-17	9.465417E+01
3.890998E+03	2.121644E-16	4.408847E-17	9.465286E+01
3.892000E+03	2.139882E-16	4.399566E-17	9.465155E+01
3.893002E+03	2.148465E-16	4.566393E-17	9.465022E+01
3.894004E+03	2.165661E-16	4.479747E-17	9.464889E+01
3.894996E+03	2.177462E-16	4.448507E-17	9.464756E+01
3.895998E+03	2.196644E-16	4.492980E-17	9.464620E+01
3.897000E+03	2.209200E-16	4.447641E-17	9.464484E+01
3.898002E+03	2.220241E-16	4.446299E-17	9.464347E+01
3.899004E+03	2.228727E-16	4.302345E-17	9.464209E+01
3.899996E+03	2.240903E-16	4.312263E-17	9.464071E+01
3.900998E+03	2.241343E-16	4.306707E-17	9.463931E+01
3.902000E+03	2.248975E-16	4.055705E-17	9.463790E+01
3.903002E+03	2.268437E-16	4.057665E-17	9.463648E+01
3.904004E+03	2.273323E-16	4.052138E-17	9.463506E+01
3.904996E+03	2.284456E-16	4.065015E-17	9.463363E+01
3.905997E+03	2.295493E-16	3.927038E-17	9.463219E+01
3.906999E+03	2.314289E-16	3.979522E-17	9.463073E+01
3.908001E+03	2.328069E-16	3.996189E-17	9.462926E+01
3.909003E+03	2.343646E-16	4.027326E-17	9.462779E+01
3.909995E+03	2.352883E-16	4.036278E-17	9.462632E+01
3.910997E+03	2.358902E-16	3.956962E-17	9.462483E+01
3.911999E+03	2.364448E-16	3.938855E-17	9.462332E+01
3.913001E+03	2.369046E-16	3.940254E-17	9.462181E+01
3.914003E+03	2.362479E-16	3.853909E-17	9.462029E+01
3.914995E+03	2.374269E-16	3.938481E-17	9.461877E+01
3.915997E+03	2.378488E-16	3.924730E-17	9.461723E+01
3.916999E+03	2.389519E-16	3.910880E-17	9.461568E+01
3.918001E+03	2.395629E-16	3.887837E-17	9.461412E+01
