#wls	flux	fluxerr
1.592832E+03	5.958491E-04	2.821090E-05
1.632653E+03	6.091242E-04	2.875749E-05
1.672474E+03	6.221031E-04	2.928448E-05
1.712295E+03	6.347226E-04	2.978884E-05
1.752115E+03	6.470376E-04	3.027311E-05
1.791936E+03	6.587656E-04	3.072408E-05
1.831757E+03	6.700896E-04	3.115035E-05
1.871578E+03	6.808529E-04	3.154466E-05
1.911399E+03	6.908994E-04	3.189992E-05
1.951220E+03	7.005707E-04	3.223201E-05
1.991040E+03	7.094825E-04	3.252334E-05
2.030861E+03	7.177468E-04	3.277927E-05
2.070682E+03	7.254880E-04	3.300562E-05
2.110503E+03	7.325805E-04	3.319684E-05
2.150324E+03	7.390259E-04	3.335322E-05
2.190144E+03	7.448252E-04	3.347502E-05
2.229965E+03	7.499754E-04	3.356235E-05
2.269786E+03	7.545998E-04	3.362097E-05
2.309607E+03	7.584137E-04	3.363844E-05
2.349428E+03	7.616526E-04	3.362555E-05
2.389248E+03	7.641428E-04	3.357492E-05
2.429069E+03	7.658353E-04	3.348482E-05
2.468890E+03	7.668131E-04	3.335928E-05
2.508711E+03	7.667709E-04	3.318552E-05
2.548532E+03	7.659671E-04	3.297529E-05
2.588352E+03	7.643118E-04	3.272524E-05
2.628173E+03	7.619198E-04	3.244084E-05
2.667994E+03	7.589887E-04	3.213098E-05
2.707815E+03	7.559232E-04	3.181308E-05
2.747636E+03	7.527927E-04	3.149017E-05
2.787456E+03	7.502247E-04	3.118839E-05
2.827277E+03	7.484675E-04	3.091758E-05
2.867098E+03	7.478961E-04	3.069248E-05
2.906919E+03	7.488736E-04	3.052692E-05
2.946740E+03	7.518764E-04	3.043886E-05
2.986560E+03	7.571061E-04	3.043466E-05
2.996516E+03	7.587339E-04	3.044537E-05
3.006471E+03	7.605248E-04	3.046213E-05
3.016426E+03	7.626140E-04	3.049030E-05
3.026381E+03	7.647460E-04	3.051962E-05
3.036336E+03	7.671858E-04	3.056063E-05
