#wls	flux	fluxerr
1.600000E+03	8.489084E-16	3.648330E-17
1.640000E+03	8.789555E-16	3.692318E-17
1.680000E+03	9.087559E-16	3.728496E-17
1.720000E+03	9.383837E-16	3.757191E-17
1.760000E+03	9.671429E-16	3.775708E-17
1.800000E+03	9.947663E-16	3.783281E-17
1.840000E+03	1.020638E-15	3.777986E-17
1.880000E+03	1.044273E-15	3.758647E-17
1.920000E+03	1.063796E-15	3.719451E-17
1.960000E+03	1.078057E-15	3.657863E-17
2.000000E+03	1.084706E-15	3.567906E-17
2.040000E+03	1.081681E-15	3.445534E-17
2.080000E+03	1.068121E-15	3.291297E-17
2.120000E+03	1.044400E-15	3.109787E-17
2.160000E+03	1.013130E-15	2.911886E-17
2.200000E+03	9.781640E-16	2.710810E-17
2.240000E+03	9.451208E-16	2.522889E-17
2.280000E+03	9.195168E-16	2.361894E-17
2.320000E+03	9.029345E-16	2.229702E-17
2.360000E+03	8.944057E-16	2.121597E-17
2.400000E+03	8.935575E-16	2.034712E-17
2.440000E+03	9.000134E-16	1.966460E-17
2.480000E+03	9.132919E-16	1.914347E-17
2.520000E+03	9.313662E-16	1.873150E-17
2.560000E+03	9.505761E-16	1.835388E-17
2.600000E+03	9.673216E-16	1.795011E-17
2.640000E+03	9.817673E-16	1.753806E-17
2.680000E+03	9.922831E-16	1.710380E-17
2.720000E+03	9.983286E-16	1.665387E-17
2.760000E+03	1.002742E-15	1.624191E-17
2.800000E+03	1.008308E-15	1.590869E-17
2.840000E+03	1.017221E-15	1.568075E-17
2.880000E+03	1.030334E-15	1.556177E-17
2.920000E+03	1.048652E-15	1.555786E-17
2.960000E+03	1.072701E-15	1.566854E-17
3.000000E+03	1.103297E-15	1.589879E-17
3.010000E+03	1.112008E-15	1.597491E-17
3.020000E+03	1.121275E-15	1.606020E-17
3.030000E+03	1.130967E-15	1.615269E-17
3.040000E+03	1.141092E-15	1.625247E-17
3.050000E+03	1.151808E-15	1.636174E-17
3.060000E+03	1.163129E-15	1.648064E-17
3.070000E+03	1.175065E-15	1.660927E-17
3.080000E+03	1.187485E-15	1.674576E-17
3.090000E+03	1.200400E-15	1.689027E-17
3.100000E+03	1.214117E-15	1.704709E-17
3.110000E+03	1.228355E-15	1.721229E-17
3.120000E+03	1.243272E-15	1.738809E-17
3.130000E+03	1.259028E-15	1.757676E-17
3.140000E+03	1.275333E-15	1.777429E-17
3.150000E+03	1.292342E-15	1.798290E-17
3.160000E+03	1.310058E-15	1.820268E-17
3.170000E+03	1.328629E-15	1.843579E-17
3.180000E+03	1.347897E-15	1.868013E-17
3.190000E+03	1.367853E-15	1.893567E-17
3.200000E+03	1.388472E-15	1.920222E-17
3.210000E+03	1.409877E-15	1.948163E-17
3.220000E+03	1.432030E-15	1.977354E-17
3.230000E+03	1.454723E-15	2.007528E-17
3.240000E+03	1.477886E-15	2.038609E-17
3.250000E+03	1.501748E-15	2.070935E-17
3.260000E+03	1.525891E-15	2.103958E-17
3.270000E+03	1.550349E-15	2.137749E-17
3.280000E+03	1.574974E-15	2.172135E-17
3.290000E+03	1.599750E-15	2.207124E-17
3.300000E+03	1.624162E-15	2.242036E-17
3.310000E+03	1.648297E-15	2.277025E-17
3.320000E+03	1.671740E-15	2.311548E-17
3.330000E+03	1.694363E-15	2.345461E-17
3.340000E+03	1.715691E-15	2.378137E-17
3.350000E+03	1.735383E-15	2.409131E-17
3.360000E+03	1.753401E-15	2.438411E-17
3.370000E+03	1.769045E-15	2.465026E-17
3.380000E+03	1.782252E-15	2.488901E-17
3.390000E+03	1.792327E-15	2.509070E-17
3.400000E+03	1.799226E-15	2.525466E-17
3.410000E+03	1.802463E-15	2.537394E-17
3.420000E+03	1.801766E-15	2.544446E-17
3.430000E+03	1.797088E-15	2.546518E-17
3.440000E+03	1.788172E-15	2.543198E-17
3.450000E+03	1.775323E-15	2.534860E-17
3.460000E+03	1.758400E-15	2.521226E-17
3.470000E+03	1.737856E-15	2.502833E-17
3.480000E+03	1.714178E-15	2.480270E-17
3.490000E+03	1.687245E-15	2.453249E-17
3.500000E+03	1.657098E-15	2.421707E-17
3.510000E+03	1.624050E-15	2.385981E-17
3.520000E+03	1.588408E-15	2.346400E-17
3.530000E+03	1.550454E-15	2.303265E-17
3.540000E+03	1.510869E-15	2.257483E-17
3.550000E+03	1.470027E-15	2.209515E-17
3.560000E+03	1.428423E-15	2.160026E-17
3.570000E+03	1.386549E-15	2.109693E-17
3.580000E+03	1.345049E-15	2.059444E-17
3.590000E+03	1.304168E-15	2.009622E-17
3.600000E+03	1.264387E-15	1.960949E-17
3.610000E+03	1.226053E-15	1.913959E-17
3.620000E+03	1.189546E-15	1.869258E-17
3.630000E+03	1.154984E-15	1.827052E-17
3.640000E+03	1.122801E-15	1.788068E-17
3.650000E+03	1.093045E-15	1.752429E-17
3.660000E+03	1.065998E-15	1.720643E-17
3.670000E+03	1.041662E-15	1.692782E-17
3.680000E+03	1.020259E-15	1.669276E-17
3.690000E+03	1.001813E-15	1.650246E-17
3.700000E+03	9.864448E-16	1.635977E-17
3.710000E+03	9.742092E-16	1.626647E-17
3.720000E+03	9.651520E-16	1.622428E-17
3.730000E+03	9.592675E-16	1.623406E-17
3.740000E+03	9.567370E-16	1.629989E-17
3.750000E+03	9.574550E-16	1.642099E-17
3.760000E+03	9.615958E-16	1.660140E-17
3.770000E+03	9.691025E-16	1.684120E-17
3.780000E+03	9.800550E-16	1.714285E-17
3.790000E+03	9.945288E-16	1.750877E-17
3.800000E+03	1.012508E-15	1.793976E-17
3.810000E+03	1.034014E-15	1.843732E-17
3.820000E+03	1.059104E-15	1.900353E-17
3.830000E+03	1.087777E-15	1.963948E-17
3.840000E+03	1.120015E-15	2.034591E-17
3.850000E+03	1.155733E-15	2.112233E-17
3.860000E+03	1.194958E-15	2.197020E-17
3.870000E+03	1.237595E-15	2.288876E-17
3.880000E+03	1.283468E-15	2.387567E-17
3.890000E+03	1.332412E-15	2.492869E-17
3.900000E+03	1.384317E-15	2.604649E-17
3.910000E+03	1.438842E-15	2.722334E-17
3.920000E+03	1.495749E-15	2.845530E-17
3.930000E+03	1.554719E-15	2.973670E-17
3.940000E+03	1.615395E-15	3.106104E-17
3.950000E+03	1.677395E-15	3.242115E-17
3.960000E+03	1.740369E-15	3.381031E-17
3.970000E+03	1.803851E-15	3.521940E-17
3.980000E+03	1.867424E-15	3.664001E-17
3.990000E+03	1.930676E-15	3.806374E-17
4.000000E+03	1.993279E-15	3.948359E-17
4.010000E+03	2.054752E-15	4.088951E-17
4.020000E+03	2.114886E-15	4.227661E-17
4.030000E+03	2.173402E-15	4.363861E-17
4.040000E+03	2.229950E-15	4.496762E-17
4.050000E+03	2.284405E-15	4.626029E-17
4.060000E+03	2.336706E-15	4.751448E-17
4.070000E+03	2.386657E-15	4.872532E-17
4.080000E+03	2.434233E-15	4.989143E-17
4.090000E+03	2.479515E-15	5.101354E-17
4.100000E+03	2.522562E-15	5.209207E-17
4.110000E+03	2.563340E-15	5.312547E-17
4.120000E+03	2.602018E-15	5.411651E-17
4.130000E+03	2.638658E-15	5.506572E-17
4.140000E+03	2.673438E-15	5.597617E-17
4.150000E+03	2.706357E-15	5.684720E-17
4.160000E+03	2.737569E-15	5.768143E-17
4.170000E+03	2.767086E-15	5.847855E-17
4.180000E+03	2.794887E-15	5.923762E-17
4.190000E+03	2.821025E-15	5.995923E-17
4.200000E+03	2.845337E-15	6.063939E-17
4.210000E+03	2.867716E-15	6.127538E-17
4.220000E+03	2.887954E-15	6.186222E-17
4.230000E+03	2.905844E-15	6.239497E-17
4.240000E+03	2.921067E-15	6.286629E-17
4.250000E+03	2.933268E-15	6.326802E-17
4.260000E+03	2.942109E-15	6.359229E-17
4.270000E+03	2.947124E-15	6.382854E-17
4.280000E+03	2.947906E-15	6.396733E-17
4.290000E+03	2.944119E-15	6.400086E-17
4.300000E+03	2.935431E-15	6.392137E-17
4.310000E+03	2.921507E-15	6.372103E-17
4.320000E+03	2.902337E-15	6.339918E-17
4.330000E+03	2.877906E-15	6.295504E-17
4.340000E+03	2.848525E-15	6.239513E-17
4.350000E+03	2.814797E-15	6.173241E-17
4.360000E+03	2.777558E-15	6.098509E-17
4.370000E+03	2.738067E-15	6.018083E-17
4.380000E+03	2.697842E-15	5.935309E-17
4.390000E+03	2.658565E-15	5.853914E-17
4.400000E+03	2.621044E-15	5.775708E-17
4.410000E+03	2.585318E-15	5.700808E-17
4.420000E+03	2.551460E-15	5.629403E-17
4.430000E+03	2.519556E-15	5.561707E-17
4.440000E+03	2.489641E-15	5.497816E-17
4.450000E+03	2.461783E-15	5.437905E-17
4.460000E+03	2.435958E-15	5.381937E-17
4.470000E+03	2.412190E-15	5.329981E-17
4.480000E+03	2.390399E-15	5.281873E-17
4.490000E+03	2.370481E-15	5.237395E-17
4.500000E+03	2.352271E-15	5.196190E-17
4.510000E+03	2.335553E-15	5.157791E-17
4.520000E+03	2.320037E-15	5.121562E-17
4.530000E+03	2.305460E-15	5.086927E-17
4.540000E+03	2.291532E-15	5.053252E-17
4.550000E+03	2.277893E-15	5.019748E-17
4.560000E+03	2.264237E-15	4.985749E-17
