#wls	flux	fluxerr
1.595851E+03	8.319115E-17	3.222046E-17
1.635747E+03	8.385060E-17	3.216389E-17
1.675643E+03	8.451175E-17	3.209478E-17
1.715540E+03	8.515784E-17	3.200650E-17
1.755436E+03	8.581727E-17	3.190948E-17
1.795332E+03	8.647508E-17	3.179775E-17
1.835228E+03	8.710645E-17	3.166200E-17
1.875125E+03	8.765430E-17	3.148175E-17
1.915021E+03	8.810336E-17	3.125242E-17
1.954917E+03	8.842348E-17	3.096454E-17
1.994813E+03	8.862551E-17	3.062343E-17
2.034710E+03	8.881505E-17	3.026659E-17
2.074606E+03	8.926796E-17	2.998675E-17
2.114502E+03	9.033409E-17	2.989567E-17
2.154399E+03	9.245700E-17	3.012836E-17
2.194295E+03	9.582363E-17	3.072794E-17
2.234191E+03	1.003540E-16	3.164873E-17
2.274087E+03	1.057855E-16	3.278938E-17
2.313984E+03	1.117858E-16	3.403238E-17
2.353880E+03	1.180778E-16	3.528362E-17
2.393776E+03	1.244382E-16	3.647089E-17
2.433672E+03	1.307818E-16	3.756669E-17
2.473569E+03	1.369541E-16	3.852606E-17
2.513465E+03	1.429427E-16	3.934708E-17
2.553361E+03	1.485535E-16	3.997937E-17
2.593258E+03	1.537087E-16	4.040833E-17
2.633154E+03	1.581712E-16	4.058067E-17
2.673050E+03	1.618890E-16	4.049600E-17
2.712946E+03	1.649615E-16	4.019265E-17
2.752843E+03	1.674286E-16	3.969284E-17
2.792739E+03	1.693138E-16	3.901432E-17
2.832635E+03	1.706761E-16	3.818273E-17
2.872531E+03	1.715667E-16	3.722060E-17
2.912428E+03	1.720623E-16	3.615444E-17
2.952324E+03	1.723175E-16	3.502477E-17
2.992220E+03	1.724516E-16	3.386122E-17
3.002194E+03	1.724692E-16	3.356609E-17
3.012168E+03	1.725029E-16	3.327370E-17
3.022142E+03	1.725547E-16	3.298438E-17
3.032116E+03	1.726039E-16	3.269416E-17
3.042091E+03	1.726509E-16	3.240316E-17
3.052065E+03	1.727324E-16	3.211821E-17
3.062039E+03	1.728494E-16	3.183939E-17
3.072013E+03	1.729787E-16	3.156229E-17
3.081987E+03	1.731462E-16	3.129156E-17
3.091961E+03	1.733534E-16	3.102732E-17
3.101935E+03	1.735783E-16	3.076548E-17
3.111909E+03	1.738467E-16	3.051053E-17
3.121883E+03	1.741371E-16	3.025856E-17
3.131857E+03	1.744759E-16	3.001399E-17
3.141831E+03	1.748653E-16	2.977704E-17
3.151805E+03	1.752847E-16	2.954401E-17
3.161779E+03	1.757838E-16	2.932306E-17
3.171753E+03	1.762959E-16	2.910282E-17
3.181728E+03	1.768939E-16	2.889521E-17
3.191702E+03	1.775351E-16	2.869293E-17
3.201676E+03	1.782467E-16	2.850015E-17
3.211650E+03	1.790323E-16	2.831716E-17
3.221624E+03	1.798738E-16	2.814080E-17
3.231598E+03	1.808214E-16	2.797861E-17
3.241572E+03	1.818345E-16	2.782393E-17
3.251546E+03	1.829412E-16	2.768075E-17
3.261520E+03	1.841474E-16	2.754955E-17
3.271494E+03	1.854366E-16	2.742748E-17
3.281468E+03	1.868608E-16	2.732182E-17
3.291442E+03	1.883819E-16	2.722648E-17
3.301416E+03	1.900304E-16	2.714544E-17
3.311390E+03	1.918146E-16	2.707935E-17
3.321364E+03	1.937436E-16	2.702893E-17
3.331339E+03	1.958273E-16	2.699496E-17
3.341313E+03	1.980761E-16	2.697824E-17
3.351287E+03	2.004784E-16	2.697655E-17
3.361261E+03	2.030925E-16	2.699707E-17
3.371235E+03	2.059088E-16	2.703767E-17
3.381209E+03	2.089412E-16	2.709940E-17
3.391183E+03	2.121811E-16	2.718034E-17
3.401157E+03	2.156914E-16	2.728768E-17
3.411131E+03	2.194657E-16	2.741960E-17
3.421105E+03	2.235210E-16	2.757723E-17
3.431079E+03	2.278753E-16	2.776178E-17
3.441053E+03	2.325461E-16	2.797430E-17
3.451027E+03	2.375509E-16	2.821578E-17
3.461001E+03	2.429057E-16	2.848697E-17
3.470975E+03	2.486497E-16	2.879129E-17
3.480950E+03	2.547677E-16	2.912575E-17
3.490924E+03	2.612366E-16	2.948661E-17
3.500898E+03	2.681050E-16	2.987833E-17
3.510872E+03	2.753299E-16	3.029507E-17
3.520846E+03	2.829063E-16	3.073545E-17
3.530820E+03	2.907522E-16	3.118992E-17
3.540794E+03	2.987846E-16	3.164932E-17
3.550768E+03	3.068850E-16	3.210132E-17
3.560742E+03	3.148942E-16	3.253004E-17
3.570716E+03	3.226442E-16	3.291952E-17
3.580690E+03	3.298920E-16	3.324715E-17
3.590664E+03	3.365209E-16	3.350404E-17
3.600638E+03	3.424740E-16	3.368767E-17
3.610612E+03	3.479739E-16	3.382289E-17
3.620586E+03	3.530877E-16	3.391850E-17
3.630561E+03	3.580334E-16	3.399725E-17
3.640535E+03	3.629435E-16	3.407287E-17
3.650509E+03	3.678944E-16	3.415331E-17
3.660483E+03	3.729726E-16	3.424713E-17
3.670457E+03	3.782785E-16	3.436381E-17
3.680431E+03	3.838306E-16	3.450483E-17
3.690405E+03	3.897000E-16	3.467591E-17
3.700379E+03	3.958804E-16	3.487568E-17
3.710353E+03	4.024234E-16	3.510783E-17
3.720327E+03	4.093395E-16	3.537239E-17
3.730301E+03	4.165995E-16	3.566590E-17
3.740275E+03	4.242021E-16	3.598743E-17
3.750249E+03	4.322112E-16	3.634149E-17
3.760223E+03	4.405491E-16	3.672064E-17
3.770197E+03	4.492031E-16	3.712301E-17
3.780172E+03	4.581932E-16	3.754944E-17
3.790146E+03	4.675020E-16	3.799768E-17
3.800120E+03	4.770734E-16	3.846237E-17
3.810094E+03	4.869209E-16	3.894386E-17
3.820068E+03	4.970201E-16	3.943944E-17
3.830042E+03	5.073450E-16	3.994629E-17
3.840016E+03	5.178290E-16	4.045847E-17
3.849990E+03	5.284794E-16	4.097593E-17
3.859964E+03	5.392645E-16	4.149552E-17
3.869938E+03	5.501119E-16	4.201108E-17
3.879912E+03	5.610650E-16	4.252533E-17
3.889886E+03	5.720095E-16	4.302904E-17
3.899860E+03	5.829075E-16	4.351889E-17
3.909834E+03	5.938026E-16	4.399768E-17
3.919808E+03	6.046169E-16	4.445917E-17
3.929783E+03	6.152719E-16	4.489724E-17
3.939757E+03	6.257709E-16	4.531185E-17
3.949731E+03	6.360777E-16	4.570015E-17
3.959705E+03	6.461566E-16	4.605937E-17
3.969679E+03	6.559313E-16	4.638402E-17
3.979653E+03	6.654542E-16	4.667776E-17
3.989627E+03	6.746099E-16	4.693256E-17
3.999601E+03	6.834133E-16	4.714965E-17
4.009575E+03	6.918395E-16	4.732752E-17
4.019549E+03	6.998663E-16	4.746499E-17
4.029523E+03	7.074752E-16	4.756122E-17
4.039497E+03	7.146079E-16	4.761284E-17
4.049471E+03	7.213385E-16	4.762541E-17
4.059445E+03	7.275734E-16	4.759342E-17
4.069420E+03	7.333938E-16	4.752301E-17
4.079394E+03	7.387135E-16	4.740945E-17
4.089368E+03	7.435784E-16	4.725671E-17
4.099342E+03	7.479525E-16	4.706360E-17
4.109316E+03	7.519302E-16	4.683720E-17
4.119290E+03	7.554818E-16	4.657683E-17
4.129264E+03	7.585811E-16	4.628220E-17
4.139238E+03	7.612883E-16	4.595839E-17
4.149212E+03	7.636643E-16	4.561048E-17
4.159186E+03	7.656084E-16	4.523393E-17
4.169160E+03	7.672666E-16	4.483902E-17
4.179134E+03	7.686226E-16	4.442633E-17
4.189108E+03	7.696622E-16	4.399674E-17
4.199082E+03	7.704514E-16	4.355579E-17
4.209056E+03	7.710162E-16	4.310672E-17
4.219031E+03	7.713824E-16	4.265280E-17
4.229005E+03	7.715372E-16	4.219523E-17
4.238979E+03	7.715823E-16	4.174152E-17
4.248953E+03	7.714663E-16	4.129085E-17
4.258927E+03	7.712140E-16	4.084665E-17
4.268901E+03	7.709233E-16	4.041621E-17
4.278875E+03	7.705440E-16	3.999901E-17
4.288849E+03	7.701018E-16	3.959860E-17
4.298823E+03	7.696592E-16	3.922044E-17
4.308797E+03	7.692462E-16	3.886827E-17
4.318771E+03	7.688992E-16	3.854616E-17
4.328745E+03	7.686298E-16	3.825694E-17
4.338719E+03	7.684993E-16	3.800590E-17
4.348693E+03	7.686542E-16	3.780244E-17
4.358667E+03	7.690914E-16	3.764856E-17
4.368642E+03	7.699867E-16	3.755494E-17
4.378616E+03	7.714213E-16	3.752762E-17
4.388590E+03	7.733611E-16	3.756704E-17
