#wls	flux	fluxerr
1.600000E+03	2.322498E-16	1.337299E-17
1.640000E+03	2.251963E-16	1.282573E-17
1.680000E+03	2.190500E-16	1.233623E-17
1.720000E+03	2.138950E-16	1.190767E-17
1.760000E+03	2.096951E-16	1.153630E-17
1.800000E+03	2.064501E-16	1.122038E-17
1.840000E+03	2.040286E-16	1.095110E-17
1.880000E+03	2.021284E-16	1.071088E-17
1.920000E+03	2.001789E-16	1.046892E-17
1.960000E+03	1.972459E-16	1.017721E-17
2.000000E+03	1.920418E-16	9.772451E-18
2.040000E+03	1.832554E-16	9.193865E-18
2.080000E+03	1.701697E-16	8.413988E-18
2.120000E+03	1.535380E-16	7.479227E-18
2.160000E+03	1.356005E-16	6.505251E-18
2.200000E+03	1.191766E-16	5.628531E-18
2.240000E+03	1.067162E-16	4.959905E-18
2.280000E+03	9.987297E-17	4.566321E-18
2.320000E+03	9.941565E-17	4.469764E-18
2.360000E+03	1.059966E-16	4.684555E-18
2.400000E+03	1.210798E-16	5.258079E-18
2.440000E+03	1.473184E-16	6.283728E-18
2.480000E+03	1.886540E-16	7.900452E-18
2.520000E+03	2.496011E-16	1.025822E-17
2.560000E+03	3.322131E-16	1.339339E-17
2.600000E+03	4.311643E-16	1.704385E-17
2.640000E+03	5.335901E-16	2.067194E-17
2.680000E+03	6.337403E-16	2.405060E-17
2.720000E+03	7.424760E-16	2.758838E-17
2.760000E+03	8.789003E-16	3.195926E-17
2.800000E+03	1.059873E-15	3.769689E-17
2.840000E+03	1.294918E-15	4.502645E-17
2.880000E+03	1.582606E-15	5.377128E-17
2.920000E+03	1.904533E-15	6.319656E-17
2.960000E+03	2.213975E-15	7.170935E-17
3.000000E+03	2.441469E-15	7.714722E-17
3.010000E+03	2.477965E-15	7.781157E-17
3.020000E+03	2.505119E-15	7.817049E-17
3.030000E+03	2.523152E-15	7.823639E-17
3.040000E+03	2.531885E-15	7.800916E-17
3.050000E+03	2.531887E-15	7.751177E-17
3.060000E+03	2.523765E-15	7.676788E-17
3.070000E+03	2.508283E-15	7.580538E-17
3.080000E+03	2.486304E-15	7.465451E-17
3.090000E+03	2.458581E-15	7.334163E-17
3.100000E+03	2.426457E-15	7.190988E-17
3.110000E+03	2.390330E-15	7.037358E-17
3.120000E+03	2.351114E-15	6.876182E-17
3.130000E+03	2.309607E-15	6.709956E-17
3.140000E+03	2.266233E-15	6.540037E-17
3.150000E+03	2.221581E-15	6.368227E-17
3.160000E+03	2.175909E-15	6.195329E-17
3.170000E+03	2.129659E-15	6.022652E-17
3.180000E+03	2.083007E-15	5.850721E-17
3.190000E+03	2.036348E-15	5.680663E-17
3.200000E+03	1.989987E-15	5.513319E-17
3.210000E+03	1.944176E-15	5.349362E-17
3.220000E+03	1.899437E-15	5.190186E-17
3.230000E+03	1.856269E-15	5.037078E-17
3.240000E+03	1.815259E-15	4.891534E-17
3.250000E+03	1.777089E-15	4.755249E-17
