#wls	flux	fluxerr
1.600000E+03	3.194165E-14	1.586735E-14
1.640000E+03	3.393509E-14	1.500692E-14
1.680000E+03	3.616802E-14	1.394022E-14
1.720000E+03	3.870130E-14	1.266370E-14
1.760000E+03	4.161571E-14	1.119271E-14
1.800000E+03	4.502069E-14	9.584617E-15
1.840000E+03	4.906693E-14	7.984528E-15
1.880000E+03	5.396189E-14	6.670793E-15
1.920000E+03	5.996899E-14	5.911300E-15
1.960000E+03	6.742199E-14	5.633022E-15
2.000000E+03	7.705174E-14	5.439520E-15
2.040000E+03	9.011896E-14	4.960312E-15
2.080000E+03	1.059598E-13	4.590230E-15
2.120000E+03	1.194271E-13	5.658980E-15
2.160000E+03	1.257144E-13	6.397552E-15
2.200000E+03	1.250370E-13	5.952944E-15
2.240000E+03	1.219455E-13	4.924027E-15
2.280000E+03	1.193838E-13	4.902955E-15
2.320000E+03	1.197950E-13	5.540881E-15
2.360000E+03	1.220506E-13	5.938709E-15
2.400000E+03	1.222524E-13	6.113337E-15
2.440000E+03	1.174942E-13	6.020422E-15
2.480000E+03	1.097217E-13	5.681688E-15
2.520000E+03	1.021702E-13	5.137981E-15
2.560000E+03	9.131975E-14	4.224041E-15
2.600000E+03	7.628724E-14	3.092527E-15
2.640000E+03	6.698443E-14	2.814388E-15
2.680000E+03	6.387647E-14	3.072655E-15
2.720000E+03	6.357739E-14	3.349752E-15
2.760000E+03	6.591154E-14	3.711650E-15
2.800000E+03	6.757124E-14	4.019078E-15
2.840000E+03	6.577582E-14	4.089510E-15
2.880000E+03	6.169170E-14	3.956960E-15
2.920000E+03	5.695261E-14	3.735819E-15
2.960000E+03	5.219127E-14	3.476603E-15
3.000000E+03	4.769361E-14	3.202007E-15
3.010000E+03	4.665195E-14	3.133647E-15
3.020000E+03	4.566067E-14	3.066258E-15
3.030000E+03	4.473051E-14	3.000306E-15
3.040000E+03	4.387189E-14	2.936179E-15
3.050000E+03	4.309482E-14	2.874149E-15
3.060000E+03	4.240756E-14	2.814308E-15
3.070000E+03	4.181596E-14	2.756532E-15
3.080000E+03	4.132276E-14	2.700472E-15
3.090000E+03	4.092722E-14	2.645623E-15
3.100000E+03	4.062442E-14	2.591419E-15
3.110000E+03	4.040498E-14	2.537351E-15
3.120000E+03	4.025548E-14	2.483176E-15
3.130000E+03	4.015816E-14	2.429000E-15
3.140000E+03	4.009238E-14	2.375272E-15
3.150000E+03	4.003592E-14	2.322516E-15
3.160000E+03	3.996717E-14	2.270903E-15
3.170000E+03	3.986718E-14	2.219989E-15
3.180000E+03	3.972089E-14	2.168847E-15
3.190000E+03	3.951760E-14	2.116339E-15
3.200000E+03	3.925183E-14	2.061451E-15
3.210000E+03	3.892319E-14	2.003638E-15
3.220000E+03	3.853676E-14	1.943038E-15
3.230000E+03	3.810303E-14	1.880480E-15
3.240000E+03	3.763721E-14	1.817365E-15
3.250000E+03	3.715884E-14	1.755388E-15
3.260000E+03	3.669001E-14	1.696221E-15
3.270000E+03	3.625321E-14	1.641401E-15
3.280000E+03	3.586792E-14	1.592081E-15
3.290000E+03	3.554854E-14	1.548855E-15
3.300000E+03	3.530254E-14	1.511779E-15
3.310000E+03	3.512948E-14	1.480239E-15
3.320000E+03	3.502079E-14	1.452883E-15
3.330000E+03	3.496155E-14	1.428105E-15
3.340000E+03	3.493284E-14	1.404407E-15
3.350000E+03	3.491486E-14	1.380524E-15
3.360000E+03	3.489118E-14	1.355598E-15
3.370000E+03	3.485266E-14	1.328984E-15
3.380000E+03	3.479999E-14	1.300026E-15
3.390000E+03	3.474345E-14	1.268401E-15
3.393203E+03	3.289678E-14	4.197774E-15
3.395350E+03	3.289690E-14	4.195210E-15
3.397498E+03	3.283765E-14	4.189439E-15
3.399648E+03	3.282803E-14	4.186350E-15
3.401799E+03	3.282619E-14	4.183679E-15
3.403950E+03	3.281364E-14	4.180432E-15
3.406104E+03	3.281375E-14	4.177859E-15
3.408258E+03	3.277783E-14	4.173366E-15
3.410413E+03	3.274676E-14	4.169139E-15
3.412570E+03	3.275270E-14	4.166873E-15
3.414728E+03	3.281903E-14	4.167790E-15
3.416887E+03	3.279770E-14	4.170557E-15
3.419047E+03	3.280072E-14	4.068941E-15
3.421208E+03	3.281835E-14	4.099085E-15
3.423370E+03	3.281163E-14	3.939194E-15
3.425534E+03	3.279418E-14	3.911257E-15
3.427698E+03	3.275236E-14	3.863461E-15
3.429864E+03	3.271249E-14	3.915316E-15
3.432031E+03	3.278859E-14	3.793032E-15
3.434199E+03	3.279355E-14	3.784869E-15
3.436368E+03	3.278194E-14	3.792245E-15
3.438538E+03	3.280932E-14	3.628813E-15
3.440709E+03	3.272847E-14	3.598530E-15
3.442882E+03	3.272854E-14	3.618912E-15
3.445055E+03	3.262523E-14	3.489900E-15
3.447229E+03	3.262431E-14	3.238197E-15
3.449405E+03	3.258145E-14	3.288453E-15
3.451581E+03	3.256882E-14	3.282958E-15
3.453759E+03	3.254155E-14	3.274622E-15
3.455937E+03	3.254354E-14	3.271352E-15
3.458117E+03	3.268995E-14	3.295196E-15
3.460297E+03	3.275050E-14	3.363678E-15
3.462479E+03	3.281302E-14	3.366630E-15
3.464661E+03	3.283845E-14	3.435792E-15
3.466845E+03	3.287658E-14	3.408610E-15
3.469029E+03	3.294107E-14	3.413339E-15
3.471215E+03	3.303388E-14	3.319390E-15
3.473401E+03	3.317260E-14	3.318896E-15
3.475589E+03	3.316487E-14	3.211459E-15
3.477777E+03	3.320205E-14	3.188319E-15
3.479967E+03	3.324413E-14	3.184497E-15
3.482157E+03	3.325690E-14	3.145250E-15
3.484348E+03	3.323646E-14	3.137631E-15
3.486540E+03	3.324435E-14	3.216100E-15
3.488733E+03	3.334505E-14	3.171260E-15
3.490927E+03	3.322787E-14	3.161122E-15
3.493122E+03	3.319275E-14	3.139549E-15
3.495318E+03	3.334624E-14	3.085775E-15
3.497515E+03	3.339322E-14	3.056090E-15
3.499712E+03	3.333269E-14	3.057392E-15
3.501911E+03	3.334448E-14	3.070060E-15
3.504110E+03	3.319789E-14	3.177830E-15
3.506311E+03	3.324095E-14	3.102510E-15
3.508512E+03	3.314516E-14	3.073725E-15
3.510714E+03	3.300046E-14	3.038303E-15
3.512917E+03	3.299754E-14	3.071207E-15
3.515120E+03	3.292712E-14	3.017821E-15
3.517325E+03	3.292419E-14	3.166736E-15
3.519530E+03	3.300440E-14	3.168787E-15
3.521736E+03	3.293983E-14	3.229717E-15
3.523943E+03	3.288796E-14	3.269499E-15
3.526151E+03	3.284978E-14	3.352966E-15
3.528360E+03	3.280181E-14	3.415835E-15
3.530569E+03	3.279688E-14	3.493354E-15
3.532779E+03	3.275084E-14	3.416155E-15
3.534990E+03	3.266368E-14	3.408492E-15
3.537202E+03	3.266264E-14	3.413805E-15
3.539415E+03	3.256272E-14	3.383623E-15
3.541628E+03	3.248432E-14	3.364737E-15
