#wls	flux	fluxerr
1.600000E+03	3.416297E-14	1.682131E-14
1.640000E+03	3.590126E-14	1.568579E-14
1.680000E+03	3.784149E-14	1.433864E-14
1.720000E+03	4.003738E-14	1.277583E-14
1.760000E+03	4.255953E-14	1.100789E-14
1.800000E+03	4.550184E-14	9.078826E-15
1.840000E+03	4.899124E-14	7.112223E-15
1.880000E+03	5.320104E-14	5.402043E-15
1.920000E+03	5.833491E-14	4.324470E-15
1.960000E+03	6.457117E-14	3.887700E-15
2.000000E+03	7.240808E-14	3.603405E-15
2.040000E+03	8.332809E-14	2.901924E-15
2.080000E+03	9.740973E-14	1.881382E-15
2.120000E+03	1.103864E-13	3.186821E-15
2.160000E+03	1.166843E-13	3.823543E-15
2.200000E+03	1.162416E-13	3.402026E-15
2.240000E+03	1.136480E-13	2.285085E-15
2.280000E+03	1.089626E-13	2.330418E-15
2.320000E+03	1.075822E-13	2.827903E-15
2.360000E+03	1.107218E-13	2.978945E-15
2.400000E+03	1.142342E-13	3.136431E-15
2.440000E+03	1.128879E-13	3.258653E-15
2.480000E+03	1.084992E-13	3.268525E-15
2.520000E+03	1.074311E-13	3.143818E-15
2.560000E+03	1.037027E-13	2.721483E-15
2.600000E+03	8.939554E-14	1.755145E-15
2.640000E+03	8.054315E-14	1.757429E-15
2.680000E+03	7.815443E-14	2.150544E-15
2.720000E+03	7.886680E-14	2.437440E-15
2.760000E+03	8.606523E-14	2.903911E-15
2.800000E+03	9.287289E-14	3.398525E-15
2.840000E+03	9.285438E-14	3.645767E-15
2.880000E+03	8.901140E-14	3.641735E-15
2.920000E+03	8.429250E-14	3.563328E-15
2.960000E+03	7.915516E-14	3.430823E-15
3.000000E+03	7.336947E-14	3.230740E-15
3.010000E+03	7.183895E-14	3.171211E-15
3.020000E+03	7.031114E-14	3.108659E-15
3.030000E+03	6.881626E-14	3.044068E-15
3.040000E+03	6.738945E-14	2.979200E-15
3.050000E+03	6.606392E-14	2.914248E-15
3.060000E+03	6.487086E-14	2.849759E-15
3.070000E+03	6.383725E-14	2.786422E-15
3.080000E+03	6.298267E-14	2.723072E-15
3.090000E+03	6.231769E-14	2.658668E-15
3.100000E+03	6.184407E-14	2.592572E-15
3.110000E+03	6.155323E-14	2.523049E-15
3.120000E+03	6.142606E-14	2.449546E-15
