#wls	flux	fluxerr
1.591533E+03	2.585998E-04	1.726657E-05
1.631321E+03	2.592005E-04	1.720766E-05
1.671110E+03	2.598976E-04	1.715234E-05
1.710898E+03	2.607874E-04	1.710675E-05
1.750686E+03	2.617625E-04	1.706359E-05
1.790475E+03	2.628912E-04	1.702710E-05
1.830263E+03	2.641314E-04	1.699433E-05
1.870051E+03	2.655290E-04	1.696798E-05
1.909840E+03	2.668292E-04	1.693159E-05
1.949628E+03	2.681809E-04	1.689459E-05
1.989416E+03	2.695836E-04	1.685681E-05
2.029205E+03	2.711457E-04	1.682481E-05
2.068993E+03	2.730500E-04	1.680953E-05
2.108781E+03	2.760161E-04	1.685431E-05
2.148570E+03	2.801776E-04	1.696551E-05
2.188358E+03	2.859038E-04	1.716330E-05
2.228146E+03	2.931406E-04	1.744178E-05
2.267935E+03	3.013491E-04	1.776651E-05
2.307723E+03	3.103722E-04	1.812638E-05
2.347511E+03	3.198645E-04	1.849975E-05
2.387300E+03	3.297864E-04	1.888316E-05
2.427088E+03	3.401784E-04	1.927779E-05
2.466876E+03	3.509263E-04	1.967600E-05
2.506665E+03	3.621368E-04	2.008266E-05
2.546453E+03	3.739300E-04	2.050305E-05
2.586241E+03	3.863337E-04	2.093714E-05
2.626030E+03	3.995893E-04	2.139621E-05
2.665818E+03	4.136548E-04	2.187587E-05
2.705606E+03	4.289158E-04	2.239410E-05
2.745395E+03	4.453753E-04	2.294805E-05
2.785183E+03	4.633674E-04	2.355163E-05
2.824971E+03	4.831558E-04	2.421415E-05
2.864759E+03	5.052471E-04	2.495608E-05
2.904548E+03	5.297839E-04	2.577854E-05
2.944336E+03	5.574810E-04	2.670950E-05
2.984124E+03	5.888181E-04	2.776349E-05
2.994072E+03	5.973222E-04	2.804987E-05
3.004019E+03	6.060580E-04	2.834335E-05
3.013966E+03	6.151388E-04	2.864906E-05
3.023913E+03	6.245754E-04	2.896729E-05
3.033860E+03	6.342776E-04	2.929364E-05
3.043807E+03	6.442599E-04	2.962861E-05
3.053754E+03	6.547447E-04	2.998218E-05
3.063701E+03	6.655297E-04	3.034483E-05
