#wls	flux	fluxerr
1.600000E+03	5.246641E-17	3.022454E-18
1.640000E+03	5.310614E-17	3.042920E-18
1.680000E+03	5.376011E-17	3.063399E-18
1.720000E+03	5.444778E-17	3.084960E-18
1.760000E+03	5.514781E-17	3.106344E-18
1.800000E+03	5.587941E-17	3.128590E-18
1.840000E+03	5.664135E-17	3.151571E-18
1.880000E+03	5.743221E-17	3.175153E-18
1.920000E+03	5.825048E-17	3.199194E-18
1.960000E+03	5.907433E-17	3.222443E-18
2.000000E+03	5.994231E-17	3.246955E-18
2.040000E+03	6.083227E-17	3.271457E-18
2.080000E+03	6.172210E-17	3.294710E-18
2.120000E+03	6.264968E-17	3.318690E-18
2.160000E+03	6.357272E-17	3.341095E-18
2.200000E+03	6.452872E-17	3.363850E-18
2.240000E+03	6.549527E-17	3.385721E-18
2.280000E+03	6.646997E-17	3.406534E-18
2.320000E+03	6.745054E-17	3.426127E-18
2.360000E+03	6.843486E-17	3.444349E-18
2.400000E+03	6.942119E-17	3.461069E-18
2.440000E+03	7.042758E-17	3.477140E-18
2.480000E+03	7.141473E-17	3.490572E-18
2.520000E+03	7.240239E-17	3.502312E-18
2.560000E+03	7.341097E-17	3.513298E-18
2.600000E+03	7.440530E-17	3.521796E-18
2.640000E+03	7.542753E-17	3.529761E-18
2.680000E+03	7.646486E-17	3.536519E-18
2.720000E+03	7.752528E-17	3.542371E-18
2.760000E+03	7.861869E-17	3.547687E-18
2.800000E+03	7.979332E-17	3.554518E-18
2.840000E+03	8.102610E-17	3.561668E-18
2.880000E+03	8.235086E-17	3.570457E-18
2.920000E+03	8.380317E-17	3.582196E-18
2.960000E+03	8.542072E-17	3.598189E-18
3.000000E+03	8.722604E-17	3.619012E-18
3.010000E+03	8.771808E-17	3.625393E-18
3.020000E+03	8.821823E-17	3.631891E-18
3.030000E+03	8.872711E-17	3.638526E-18
3.040000E+03	8.928077E-17	3.646766E-18
3.050000E+03	8.982627E-17	3.654432E-18
3.060000E+03	9.039975E-17	3.662994E-18
3.070000E+03	9.100169E-17	3.672456E-18
3.080000E+03	9.161498E-17	3.682114E-18
3.090000E+03	9.224015E-17	3.691984E-18
3.100000E+03	9.289560E-17	3.702791E-18
3.110000E+03	9.358206E-17	3.714549E-18
3.120000E+03	9.430026E-17	3.727269E-18
3.130000E+03	9.503291E-17	3.740253E-18
3.140000E+03	9.579885E-17	3.754232E-18
3.150000E+03	9.659875E-17	3.769213E-18
3.160000E+03	9.741552E-17	3.784513E-18
3.170000E+03	9.826807E-17	3.800855E-18
3.180000E+03	9.915732E-17	3.818252E-18
3.190000E+03	1.000843E-16	3.836724E-18
3.200000E+03	1.010500E-16	3.856292E-18
3.210000E+03	1.020557E-16	3.876976E-18
3.220000E+03	1.030844E-16	3.898111E-18
3.230000E+03	1.041736E-16	3.921102E-18
3.240000E+03	1.053066E-16	3.945284E-18
3.250000E+03	1.064848E-16	3.970685E-18
3.260000E+03	1.077097E-16	3.997335E-18
3.270000E+03	1.089829E-16	4.025264E-18
3.280000E+03	1.103246E-16	4.055193E-18
3.290000E+03	1.117183E-16	4.086472E-18
3.300000E+03	1.131659E-16	4.119145E-18
3.310000E+03	1.146692E-16	4.153246E-18
3.320000E+03	1.162494E-16	4.189504E-18
3.330000E+03	1.179090E-16	4.227967E-18
3.340000E+03	1.196316E-16	4.268003E-18
3.350000E+03	1.214199E-16	4.309667E-18
3.360000E+03	1.232957E-16	4.353695E-18
3.370000E+03	1.252623E-16	4.400150E-18
3.380000E+03	1.273231E-16	4.449100E-18
3.390000E+03	1.294817E-16	4.500612E-18
3.400000E+03	1.317222E-16	4.554079E-18
3.410000E+03	1.340679E-16	4.610256E-18
3.420000E+03	1.365434E-16	4.669921E-18
3.430000E+03	1.391131E-16	4.731785E-18
3.440000E+03	1.418219E-16	4.797312E-18
3.450000E+03	1.446549E-16	4.865918E-18
3.460000E+03	1.476171E-16	4.937698E-18
3.470000E+03	1.507140E-16	5.012754E-18
3.480000E+03	1.539725E-16	5.091898E-18
3.490000E+03	1.573991E-16	5.175244E-18
3.500000E+03	1.609788E-16	5.262207E-18
3.510000E+03	1.647403E-16	5.353620E-18
3.520000E+03	1.686910E-16	5.449616E-18
3.530000E+03	1.728164E-16	5.549618E-18
3.540000E+03	1.771694E-16	5.655203E-18
3.550000E+03	1.817137E-16	5.765088E-18
3.560000E+03	1.865043E-16	5.880888E-18
3.570000E+03	1.915285E-16	6.002053E-18
3.580000E+03	1.967969E-16	6.128775E-18
3.590000E+03	2.023204E-16	6.261246E-18
3.600000E+03	2.081358E-16	6.400431E-18
3.610000E+03	2.142565E-16	6.546573E-18
3.620000E+03	2.206722E-16	6.699166E-18
3.630000E+03	2.274483E-16	6.860005E-18
3.640000E+03	2.345507E-16	7.027849E-18
3.650000E+03	2.420224E-16	7.203777E-18
3.660000E+03	2.498824E-16	7.388123E-18
3.670000E+03	2.581507E-16	7.581238E-18
3.680000E+03	2.668491E-16	7.783507E-18
3.690000E+03	2.760288E-16	7.996147E-18
3.700000E+03	2.857159E-16	8.219618E-18
3.710000E+03	2.959092E-16	8.453572E-18
3.720000E+03	3.066669E-16	8.699348E-18
