#wls	flux	fluxerr
1.600000E+03	6.359607E-17	3.366010E-17
1.640000E+03	6.391134E-17	3.301328E-17
1.680000E+03	6.428103E-17	3.238655E-17
1.720000E+03	6.470461E-17	3.177809E-17
1.760000E+03	6.518142E-17	3.118605E-17
1.800000E+03	6.573906E-17	3.062177E-17
1.840000E+03	6.631996E-17	3.005665E-17
1.880000E+03	6.700797E-17	2.952730E-17
1.920000E+03	6.774524E-17	2.900557E-17
1.960000E+03	6.855855E-17	2.850148E-17
2.000000E+03	6.941800E-17	2.800099E-17
2.040000E+03	7.040602E-17	2.753573E-17
2.080000E+03	7.143585E-17	2.706944E-17
2.120000E+03	7.256102E-17	2.662194E-17
2.160000E+03	7.377837E-17	2.619083E-17
2.200000E+03	7.508436E-17	2.577433E-17
2.240000E+03	7.647502E-17	2.537141E-17
2.280000E+03	7.794598E-17	2.498195E-17
2.320000E+03	7.952010E-17	2.461540E-17
2.360000E+03	8.116442E-17	2.426459E-17
2.400000E+03	8.290095E-17	2.394075E-17
2.440000E+03	8.469649E-17	2.363984E-17
2.480000E+03	8.657277E-17	2.337484E-17
2.520000E+03	8.852449E-17	2.315140E-17
2.560000E+03	9.057455E-17	2.298233E-17
2.600000E+03	9.266781E-17	2.285918E-17
2.640000E+03	9.488816E-17	2.280544E-17
2.680000E+03	9.721905E-17	2.281446E-17
2.720000E+03	9.970477E-17	2.288935E-17
2.760000E+03	1.023961E-16	2.303015E-17
2.800000E+03	1.052976E-16	2.322355E-17
2.840000E+03	1.084983E-16	2.347312E-17
2.880000E+03	1.120670E-16	2.377626E-17
2.920000E+03	1.160286E-16	2.412014E-17
2.960000E+03	1.204686E-16	2.450423E-17
3.000000E+03	1.255339E-16	2.493947E-17
3.010000E+03	1.269001E-16	2.505441E-17
3.020000E+03	1.282910E-16	2.516821E-17
3.030000E+03	1.297596E-16	2.529097E-17
3.040000E+03	1.312559E-16	2.541258E-17
3.050000E+03	1.328332E-16	2.554307E-17
3.060000E+03	1.344414E-16	2.567245E-17
3.070000E+03	1.361083E-16	2.580573E-17
3.080000E+03	1.378357E-16	2.594294E-17
3.090000E+03	1.396255E-16	2.608410E-17
3.100000E+03	1.414536E-16	2.622442E-17
3.110000E+03	1.433743E-16	2.637369E-17
3.120000E+03	1.453639E-16	2.652710E-17
3.130000E+03	1.474246E-16	2.668475E-17
3.140000E+03	1.495588E-16	2.684675E-17
3.150000E+03	1.517690E-16	2.701322E-17
3.160000E+03	1.540579E-16	2.718430E-17
3.170000E+03	1.564549E-16	2.736486E-17
3.180000E+03	1.589093E-16	2.754566E-17
