#wls	flux	fluxerr
1.595708E+03	2.708490E-05	4.106438E-07
1.635600E+03	2.709178E-05	4.107018E-07
1.675493E+03	2.710352E-05	4.108339E-07
1.715386E+03	2.710356E-05	4.107888E-07
1.755278E+03	2.712571E-05	4.110791E-07
1.795171E+03	2.715342E-05	4.114538E-07
1.835064E+03	2.718696E-05	4.119172E-07
1.874956E+03	2.722661E-05	4.124731E-07
1.914849E+03	2.727264E-05	4.131260E-07
1.954742E+03	2.732538E-05	4.138805E-07
1.994634E+03	2.738515E-05	4.147418E-07
2.034527E+03	2.745231E-05	4.157149E-07
2.074420E+03	2.752721E-05	4.168053E-07
2.114312E+03	2.761027E-05	4.180193E-07
2.154205E+03	2.770190E-05	4.193630E-07
2.194098E+03	2.780256E-05	4.208436E-07
2.233991E+03	2.791271E-05	4.224677E-07
2.273883E+03	2.803289E-05	4.242434E-07
2.313776E+03	2.816362E-05	4.261788E-07
2.353669E+03	2.830552E-05	4.282831E-07
2.393561E+03	2.845919E-05	4.305653E-07
2.433454E+03	2.862533E-05	4.330361E-07
2.473347E+03	2.880464E-05	4.357058E-07
2.513239E+03	2.899792E-05	4.385866E-07
2.553132E+03	2.920600E-05	4.416908E-07
2.593025E+03	2.942977E-05	4.450322E-07
2.632917E+03	2.967021E-05	4.486253E-07
2.672810E+03	2.992836E-05	4.524856E-07
2.712703E+03	3.020536E-05	4.566306E-07
2.752596E+03	3.050243E-05	4.610783E-07
2.792488E+03	3.082088E-05	4.658488E-07
2.832381E+03	3.116215E-05	4.709636E-07
2.872274E+03	3.152780E-05	4.764462E-07
2.912166E+03	3.191949E-05	4.823216E-07
2.952059E+03	3.233907E-05	4.886177E-07
2.991952E+03	3.278854E-05	4.953645E-07
3.001925E+03	3.290082E-05	4.970499E-07
3.011898E+03	3.303517E-05	4.990684E-07
3.021871E+03	3.315157E-05	5.008158E-07
3.031844E+03	3.327005E-05	5.025946E-07
3.041818E+03	3.339064E-05	5.044052E-07
3.051791E+03	3.353373E-05	5.065555E-07
3.061764E+03	3.365875E-05	5.084328E-07
3.071737E+03	3.378600E-05	5.103438E-07
3.081710E+03	3.391552E-05	5.122890E-07
3.091683E+03	3.406800E-05	5.145810E-07
3.101657E+03	3.420228E-05	5.165979E-07
3.111630E+03	3.433895E-05	5.186510E-07
3.121603E+03	3.447808E-05	5.207411E-07
3.131576E+03	3.464070E-05	5.231857E-07
3.141549E+03	3.478494E-05	5.253529E-07
3.151522E+03	3.493177E-05	5.275591E-07
3.161496E+03	3.508124E-05	5.298051E-07
3.171469E+03	3.525477E-05	5.324143E-07
3.181442E+03	3.540976E-05	5.347434E-07
3.191415E+03	3.556756E-05	5.371150E-07
3.201388E+03	3.572820E-05	5.395293E-07
3.211361E+03	3.591348E-05	5.423157E-07
