#wls	flux	fluxerr
1.595708E+03	7.474578E-07	1.511704E-10
1.635600E+03	7.868685E-07	1.591411E-10
1.675493E+03	8.189797E-07	1.656355E-10
1.715386E+03	8.424710E-07	1.703865E-10
1.755278E+03	8.557458E-07	1.730712E-10
1.795171E+03	8.556315E-07	1.730481E-10
1.835064E+03	8.386299E-07	1.696096E-10
1.874956E+03	8.016778E-07	1.621362E-10
1.914849E+03	7.437359E-07	1.504177E-10
1.954742E+03	6.666530E-07	1.348280E-10
1.994634E+03	5.782460E-07	1.169480E-10
2.034527E+03	4.916054E-07	9.942526E-11
2.074420E+03	4.215560E-07	8.525806E-11
2.114312E+03	3.813124E-07	7.711894E-11
2.154205E+03	3.788088E-07	7.661260E-11
2.194098E+03	4.192042E-07	8.478241E-11
2.233991E+03	5.067101E-07	1.024801E-10
2.273883E+03	6.437166E-07	1.301892E-10
2.313776E+03	8.304887E-07	1.679631E-10
2.353669E+03	1.063759E-06	2.151410E-10
2.393561E+03	1.337824E-06	2.705698E-10
2.433454E+03	1.647462E-06	3.331927E-10
2.473347E+03	1.987558E-06	4.019758E-10
2.513239E+03	2.355588E-06	4.764084E-10
2.553132E+03	2.750913E-06	5.563613E-10
2.593025E+03	3.172695E-06	6.416651E-10
2.632917E+03	3.621664E-06	7.324674E-10
2.672810E+03	4.101470E-06	8.295062E-10
2.712703E+03	4.613403E-06	9.330426E-10
2.752596E+03	5.161365E-06	1.043866E-09
2.792488E+03	5.747122E-06	1.162333E-09
2.832381E+03	6.378409E-06	1.290008E-09
2.872274E+03	7.057951E-06	1.427443E-09
2.912166E+03	7.791824E-06	1.575866E-09
2.952059E+03	8.583164E-06	1.735911E-09
2.991952E+03	9.442873E-06	1.909784E-09
3.001925E+03	9.668289E-06	1.955374E-09
3.011898E+03	9.899091E-06	2.002052E-09
3.021871E+03	1.013540E-05	2.049845E-09
3.031844E+03	1.037592E-05	2.098490E-09
3.041818E+03	1.062511E-05	2.148886E-09
3.051791E+03	1.088564E-05	2.201579E-09
3.061764E+03	1.115506E-05	2.256067E-09
3.071737E+03	1.143515E-05	2.312715E-09
3.081710E+03	1.172564E-05	2.371466E-09
3.091683E+03	1.202630E-05	2.432273E-09
3.101657E+03	1.233458E-05	2.494620E-09
3.111630E+03	1.265486E-05	2.559395E-09
3.121603E+03	1.298229E-05	2.625616E-09
3.131576E+03	1.331900E-05	2.693715E-09
3.141549E+03	1.366484E-05	2.763661E-09
3.151522E+03	1.401969E-05	2.835427E-09
3.161496E+03	1.438086E-05	2.908473E-09
3.171469E+03	1.475329E-05	2.983794E-09
3.181442E+03	1.513437E-05	3.060867E-09
3.191415E+03	1.552406E-05	3.139679E-09
3.201388E+03	1.592226E-05	3.220214E-09
3.211361E+03	1.632893E-05	3.302463E-09
3.221335E+03	1.674684E-05	3.386982E-09
3.231308E+03	1.717324E-05	3.473221E-09
3.241281E+03	1.760816E-05	3.561181E-09
3.251254E+03	1.805159E-05	3.650864E-09
3.261227E+03	1.850944E-05	3.743462E-09
3.271200E+03	1.897306E-05	3.837227E-09
3.281174E+03	1.944843E-05	3.933369E-09
3.291147E+03	1.993572E-05	4.031921E-09
3.301120E+03	2.043515E-05	4.132929E-09
3.311093E+03	2.094380E-05	4.235801E-09
3.321066E+03	2.146812E-05	4.341843E-09
