#wls	flux	fluxerr
1.595708E+03	4.969291E-08	1.616153E-09
1.635600E+03	5.244925E-08	1.704314E-09
1.675493E+03	5.468678E-08	1.775431E-09
1.715386E+03	5.628404E-08	1.825603E-09
1.755278E+03	5.715340E-08	1.852043E-09
1.795171E+03	5.703189E-08	1.846301E-09
1.835064E+03	5.574340E-08	1.802776E-09
1.874956E+03	5.307522E-08	1.714711E-09
1.914849E+03	4.896519E-08	1.580244E-09
1.954742E+03	4.359688E-08	1.405454E-09
1.994634E+03	3.752249E-08	1.208268E-09
2.034527E+03	3.159539E-08	1.016230E-09
2.074420E+03	2.680886E-08	8.612486E-10
2.114312E+03	2.395515E-08	7.686281E-10
2.154205E+03	2.348152E-08	7.524809E-10
2.194098E+03	2.561375E-08	8.197452E-10
2.233991E+03	3.046614E-08	9.737409E-10
2.273883E+03	3.805491E-08	1.214620E-09
2.313776E+03	4.820620E-08	1.536455E-09
2.353669E+03	6.057706E-08	1.927946E-09
2.393561E+03	7.468689E-08	2.373467E-09
2.433454E+03	9.008388E-08	2.858378E-09
2.473347E+03	1.064031E-07	3.370871E-09
2.513239E+03	1.233898E-07	3.902684E-09
2.553132E+03	1.409458E-07	4.450543E-09
2.593025E+03	1.589566E-07	5.010671E-09
2.632917E+03	1.774073E-07	5.582454E-09
2.672810E+03	1.963978E-07	6.168866E-09
2.712703E+03	2.158363E-07	6.766856E-09
2.752596E+03	2.359481E-07	7.383298E-09
2.792488E+03	2.567385E-07	8.018146E-09
2.832381E+03	2.783989E-07	8.677134E-09
2.872274E+03	3.008251E-07	9.356754E-09
2.912166E+03	3.243308E-07	1.006647E-08
2.952059E+03	3.489181E-07	1.080602E-08
2.991952E+03	3.748318E-07	1.158262E-08
3.001925E+03	3.814784E-07	1.178130E-08
3.011898E+03	3.882085E-07	1.198229E-08
3.021871E+03	3.950241E-07	1.218563E-08
3.031844E+03	4.019513E-07	1.239213E-08
3.041818E+03	4.090807E-07	1.260456E-08
3.051791E+03	4.165097E-07	1.282592E-08
3.061764E+03	4.243692E-07	1.306022E-08
3.071737E+03	4.323425E-07	1.329768E-08
3.081710E+03	4.405606E-07	1.354232E-08
3.091683E+03	4.490081E-07	1.379366E-08
3.101657E+03	4.576700E-07	1.405122E-08
3.111630E+03	4.666968E-07	1.431961E-08
3.121603E+03	4.757507E-07	1.458843E-08
3.131576E+03	4.849809E-07	1.486226E-08
3.141549E+03	4.945494E-07	1.514604E-08
3.151522E+03	5.041035E-07	1.542896E-08
3.161496E+03	5.138037E-07	1.571592E-08
3.171469E+03	5.236415E-07	1.600666E-08
3.181442E+03	5.337947E-07	1.630659E-08
3.191415E+03	5.438886E-07	1.660425E-08
3.201388E+03	5.542911E-07	1.691086E-08
3.211361E+03	5.646164E-07	1.721464E-08
3.221335E+03	5.750483E-07	1.752120E-08
3.231308E+03	5.857842E-07	1.783652E-08
3.241281E+03	5.964210E-07	1.814833E-08
3.251254E+03	6.073621E-07	1.846889E-08
3.261227E+03	6.181927E-07	1.878558E-08
