#wls	flux	fluxerr
1.600000E+03	3.039337E-18	1.102025E-19
1.640000E+03	3.106221E-18	1.125511E-19
1.680000E+03	3.176981E-18	1.150343E-19
1.720000E+03	3.251806E-18	1.176586E-19
1.760000E+03	3.330904E-18	1.204309E-19
1.800000E+03	3.414488E-18	1.233584E-19
1.840000E+03	3.502791E-18	1.264488E-19
1.880000E+03	3.597157E-18	1.297499E-19
1.920000E+03	3.695658E-18	1.331914E-19
1.960000E+03	3.799654E-18	1.368215E-19
2.000000E+03	3.910586E-18	1.406912E-19
2.040000E+03	4.027645E-18	1.447705E-19
2.080000E+03	4.151159E-18	1.490700E-19
2.120000E+03	4.282681E-18	1.536444E-19
2.160000E+03	4.421411E-18	1.584637E-19
2.200000E+03	4.567738E-18	1.635405E-19
2.240000E+03	4.723343E-18	1.689336E-19
2.280000E+03	4.887433E-18	1.746130E-19
2.320000E+03	5.061786E-18	1.806406E-19
2.360000E+03	5.246966E-18	1.870345E-19
2.400000E+03	5.442184E-18	1.937645E-19
2.440000E+03	5.649383E-18	2.008977E-19
2.480000E+03	5.869217E-18	2.084549E-19
2.520000E+03	6.102371E-18	2.164578E-19
2.560000E+03	6.348059E-18	2.248758E-19
2.600000E+03	6.610013E-18	2.338379E-19
2.640000E+03	6.887549E-18	2.433166E-19
2.680000E+03	7.179863E-18	2.532798E-19
2.720000E+03	7.492676E-18	2.639256E-19
2.760000E+03	7.822006E-18	2.751093E-19
2.800000E+03	8.172139E-18	2.869770E-19
2.840000E+03	8.542361E-18	2.994987E-19
2.880000E+03	8.935490E-18	3.127678E-19
2.920000E+03	9.350772E-18	3.267521E-19
2.960000E+03	9.791177E-18	3.415490E-19
3.000000E+03	1.025790E-17	3.571934E-19
3.010000E+03	1.037839E-17	3.612256E-19
3.020000E+03	1.050227E-17	3.653707E-19
3.030000E+03	1.062549E-17	3.694880E-19
3.040000E+03	1.075214E-17	3.737197E-19
3.050000E+03	1.088021E-17	3.779955E-19
3.060000E+03	1.100971E-17	3.823155E-19
3.070000E+03	1.114275E-17	3.867531E-19
3.080000E+03	1.127515E-17	3.911631E-19
3.090000E+03	1.141114E-17	3.956920E-19
3.100000E+03	1.154863E-17	4.002673E-19
3.110000E+03	1.168762E-17	4.048890E-19
3.120000E+03	1.182814E-17	4.095575E-19
3.130000E+03	1.197240E-17	4.143494E-19
