#wls	flux	fluxerr
1.594277E+03	7.128711E-05	5.940673E-06
1.634133E+03	7.437383E-05	6.167750E-06
1.673990E+03	7.769356E-05	6.410833E-06
1.713847E+03	8.121369E-05	6.666847E-06
1.753704E+03	8.496718E-05	6.938116E-06
1.793561E+03	8.896531E-05	7.225130E-06
1.833418E+03	9.321928E-05	7.528336E-06
1.873275E+03	9.771441E-05	7.846063E-06
1.913132E+03	1.025115E-04	8.182679E-06
1.952989E+03	1.075681E-04	8.534212E-06
1.992846E+03	1.129458E-04	8.904975E-06
2.032703E+03	1.186246E-04	9.292731E-06
2.072560E+03	1.246081E-04	9.697099E-06
2.112416E+03	1.308961E-04	1.011737E-05
2.152273E+03	1.375147E-04	1.055484E-05
2.192130E+03	1.444218E-04	1.100552E-05
2.231987E+03	1.515963E-04	1.146708E-05
2.271844E+03	1.590398E-04	1.193891E-05
2.311701E+03	1.666735E-04	1.241440E-05
2.351558E+03	1.744713E-04	1.289098E-05
2.391415E+03	1.823561E-04	1.336240E-05
2.431272E+03	1.902334E-04	1.382133E-05
2.471129E+03	1.979944E-04	1.425963E-05
2.510986E+03	2.055612E-04	1.467164E-05
2.550842E+03	2.127806E-04	1.504659E-05
2.590699E+03	2.195533E-04	1.537791E-05
2.630556E+03	2.258911E-04	1.566705E-05
2.670413E+03	2.316791E-04	1.590672E-05
2.710270E+03	2.370456E-04	1.610656E-05
2.750127E+03	2.419567E-04	1.626495E-05
2.789984E+03	2.465352E-04	1.639084E-05
2.829841E+03	2.509673E-04	1.649698E-05
2.869698E+03	2.553301E-04	1.658855E-05
2.909555E+03	2.597490E-04	1.667355E-05
2.949412E+03	2.644683E-04	1.676717E-05
2.989269E+03	2.695330E-04	1.687129E-05
2.999233E+03	2.709032E-04	1.690197E-05
3.009197E+03	2.722871E-04	1.693271E-05
3.019161E+03	2.737262E-04	1.696607E-05
3.029125E+03	2.751829E-04	1.699970E-05
3.039090E+03	2.766985E-04	1.703612E-05
3.049054E+03	2.782747E-04	1.707541E-05
3.059018E+03	2.798742E-04	1.711522E-05
3.068982E+03	2.815381E-04	1.715806E-05
3.078947E+03	2.832682E-04	1.720398E-05
3.088911E+03	2.850274E-04	1.725070E-05
3.098875E+03	2.868564E-04	1.730064E-05
3.108839E+03	2.887575E-04	1.735391E-05
3.118803E+03	2.906934E-04	1.740820E-05
3.128768E+03	2.927438E-04	1.746825E-05
3.138732E+03	2.948329E-04	1.752948E-05
3.148696E+03	2.970016E-04	1.759428E-05
3.158660E+03	2.992131E-04	1.766042E-05
3.168625E+03	3.015468E-04	1.773254E-05
3.178589E+03	3.039274E-04	1.780613E-05
3.188553E+03	3.064344E-04	1.788581E-05
3.198517E+03	3.089923E-04	1.796710E-05
3.208482E+03	3.116418E-04	1.805231E-05
3.218446E+03	3.143850E-04	1.814149E-05
3.228410E+03	3.172245E-04	1.823474E-05
3.238374E+03	3.201619E-04	1.833206E-05
3.248338E+03	3.231994E-04	1.843351E-05
3.258303E+03	3.263396E-04	1.853918E-05
3.268267E+03	3.295842E-04	1.864907E-05
3.278231E+03	3.329360E-04	1.876327E-05
3.288195E+03	3.364360E-04	1.888399E-05
3.298160E+03	3.400081E-04	1.900688E-05
3.308124E+03	3.437332E-04	1.913639E-05
3.318088E+03	3.475344E-04	1.926812E-05
3.328052E+03	3.514934E-04	1.940655E-05
3.338017E+03	3.555728E-04	1.954949E-05
3.347981E+03	3.597746E-04	1.969696E-05
3.357945E+03	3.641415E-04	1.985119E-05
3.367909E+03	3.686353E-04	2.000999E-05
3.377873E+03	3.732581E-04	2.017337E-05
3.387838E+03	3.780121E-04	2.034135E-05
3.397802E+03	3.829400E-04	2.051612E-05
3.407766E+03	3.880031E-04	2.069548E-05
3.417730E+03	3.932446E-04	2.088161E-05
3.427695E+03	3.986252E-04	2.107231E-05
3.437659E+03	4.041463E-04	2.126753E-05
3.447623E+03	4.098517E-04	2.146945E-05
3.457587E+03	4.157430E-04	2.167804E-05
3.467551E+03	4.217798E-04	2.189103E-05
3.477516E+03	4.279631E-04	2.210836E-05
