#wls	flux	fluxerr
1.594277E+03	2.425429E-14	1.128622E-15
1.634133E+03	2.570212E-14	1.176363E-15
1.673990E+03	2.700097E-14	1.214983E-15
1.713847E+03	2.811038E-14	1.243023E-15
1.753704E+03	2.898923E-14	1.259130E-15
1.793561E+03	2.957705E-14	1.261271E-15
1.833418E+03	2.980901E-14	1.247431E-15
1.873275E+03	2.962521E-14	1.216021E-15
1.913132E+03	2.898509E-14	1.166431E-15
1.952989E+03	2.789149E-14	1.099908E-15
1.992846E+03	2.642653E-14	1.020755E-15
2.032703E+03	2.478757E-14	9.373705E-16
2.072560E+03	2.328562E-14	8.617170E-16
2.112416E+03	2.227984E-14	8.064854E-16
2.152273E+03	2.203578E-14	7.798864E-16
2.192130E+03	2.262501E-14	7.825742E-16
2.231987E+03	2.387442E-14	8.067241E-16
2.271844E+03	2.544486E-14	8.396096E-16
2.311701E+03	2.699941E-14	8.696699E-16
2.351558E+03	2.831238E-14	8.899111E-16
2.391415E+03	2.927210E-14	8.975412E-16
2.431272E+03	2.986726E-14	8.931040E-16
2.471129E+03	3.015804E-14	8.792468E-16
2.510986E+03	3.024690E-14	8.596224E-16
2.550842E+03	3.026669E-14	8.384085E-16
2.590699E+03	3.041806E-14	8.212154E-16
2.630556E+03	3.117740E-14	8.202826E-16
2.670413E+03	3.247445E-14	8.325294E-16
2.710270E+03	3.399741E-14	8.490747E-16
2.750127E+03	3.565296E-14	8.671959E-16
2.789984E+03	3.739092E-14	8.854423E-16
2.829841E+03	3.916741E-14	9.026415E-16
2.869698E+03	4.093374E-14	9.176304E-16
2.909555E+03	4.263412E-14	9.292192E-16
2.949412E+03	4.420499E-14	9.362028E-16
2.989269E+03	4.557706E-14	9.374266E-16
2.999233E+03	4.588049E-14	9.367063E-16
3.009197E+03	4.616559E-14	9.355414E-16
3.019161E+03	4.643148E-14	9.339232E-16
3.029125E+03	4.667689E-14	9.318362E-16
3.039090E+03	4.690163E-14	9.292873E-16
3.049054E+03	4.710781E-14	9.263282E-16
3.059018E+03	4.729951E-14	9.230482E-16
3.068982E+03	4.747423E-14	9.194068E-16
3.078947E+03	4.762955E-14	9.153668E-16
3.088911E+03	4.776342E-14	9.108991E-16
3.098875E+03	4.787365E-14	9.059731E-16
3.108839E+03	4.795832E-14	9.005655E-16
3.118803E+03	4.801571E-14	8.946566E-16
3.128768E+03	4.804409E-14	8.882285E-16
3.138732E+03	4.804206E-14	8.812697E-16
3.148696E+03	4.800835E-14	8.737726E-16
3.158660E+03	4.794160E-14	8.657276E-16
