#wls	flux	fluxerr
1.596185E+03	3.037470E-04	1.001522E-05
1.636090E+03	3.226286E-04	1.062584E-05
1.675994E+03	3.427283E-04	1.127480E-05
1.715899E+03	3.641124E-04	1.196407E-05
1.755804E+03	3.865584E-04	1.268612E-05
1.795708E+03	4.099622E-04	1.343735E-05
1.835613E+03	4.341616E-04	1.421223E-05
1.875518E+03	4.587759E-04	1.499814E-05
1.915422E+03	4.834899E-04	1.578463E-05
1.955327E+03	5.077580E-04	1.655382E-05
1.995231E+03	5.311320E-04	1.729108E-05
2.035136E+03	5.529539E-04	1.797505E-05
2.075041E+03	5.728232E-04	1.859286E-05
2.114945E+03	5.901939E-04	1.912701E-05
2.154850E+03	6.043901E-04	1.955595E-05
2.194755E+03	6.153172E-04	1.987703E-05
2.234659E+03	6.226333E-04	2.007969E-05
2.274564E+03	6.261478E-04	2.015834E-05
2.314468E+03	6.262178E-04	2.012505E-05
2.354373E+03	6.227687E-04	1.997801E-05
2.394278E+03	6.164291E-04	1.973795E-05
2.434182E+03	6.076299E-04	1.941917E-05
2.474087E+03	5.967748E-04	1.903503E-05
2.513992E+03	5.844724E-04	1.860531E-05
2.553896E+03	5.712330E-04	1.814655E-05
2.593801E+03	5.576124E-04	1.767659E-05
2.633705E+03	5.441038E-04	1.721116E-05
2.673610E+03	5.309126E-04	1.675677E-05
2.713515E+03	5.185448E-04	1.632933E-05
2.753419E+03	5.072079E-04	1.593524E-05
2.793324E+03	4.970471E-04	1.557887E-05
2.833229E+03	4.881496E-04	1.526271E-05
2.873133E+03	4.806676E-04	1.499127E-05
2.913038E+03	4.745194E-04	1.476169E-05
2.952942E+03	4.697554E-04	1.457523E-05
2.992847E+03	4.662693E-04	1.442830E-05
3.002823E+03	4.656018E-04	1.439784E-05
3.012799E+03	4.649637E-04	1.436827E-05
3.022776E+03	4.644572E-04	1.434273E-05
3.032752E+03	4.639752E-04	1.431793E-05
3.042728E+03	4.635671E-04	1.429537E-05
3.052704E+03	4.632297E-04	1.427496E-05
3.062680E+03	4.629598E-04	1.425659E-05
3.072656E+03	4.627043E-04	1.423862E-05
3.082633E+03	4.625603E-04	1.422404E-05
3.092609E+03	4.624739E-04	1.421119E-05
3.102585E+03	4.623928E-04	1.419845E-05
3.112561E+03	4.623631E-04	1.418724E-05
3.122537E+03	4.624301E-04	1.417895E-05
3.132513E+03	4.624927E-04	1.417046E-05
3.142489E+03	4.625961E-04	1.416317E-05
3.152466E+03	4.627845E-04	1.415843E-05
3.162442E+03	4.629589E-04	1.415319E-05
3.172418E+03	4.631634E-04	1.414882E-05
3.182394E+03	4.633946E-04	1.414520E-05
3.192370E+03	4.636953E-04	1.414363E-05
3.202346E+03	4.639691E-04	1.414118E-05
3.212323E+03	4.643048E-04	1.414055E-05
3.222299E+03	4.646075E-04	1.413884E-05
3.232275E+03	4.649650E-04	1.413874E-05
3.242251E+03	4.653283E-04	1.413874E-05
3.252227E+03	4.656945E-04	1.413876E-05
3.262203E+03	4.660607E-04	1.413870E-05
3.272179E+03	4.664240E-04	1.413849E-05
