#wls	flux	fluxerr
1.596185E+03	3.918691E-03	6.292465E-05
1.636090E+03	4.182531E-03	6.664740E-05
1.675994E+03	4.450723E-03	7.036661E-05
1.715899E+03	4.720701E-03	7.403922E-05
1.755804E+03	4.991637E-03	7.765055E-05
1.795708E+03	5.260079E-03	8.114589E-05
1.835613E+03	5.523819E-03	8.449146E-05
1.875518E+03	5.782727E-03	8.768624E-05
1.915422E+03	6.036819E-03	9.073162E-05
1.955327E+03	6.290518E-03	9.369478E-05
1.995231E+03	6.549932E-03	9.666547E-05
2.035136E+03	6.819290E-03	9.970273E-05
2.075041E+03	7.086659E-03	1.026293E-04
2.114945E+03	7.362928E-03	1.056020E-04
2.154850E+03	7.747655E-03	1.100309E-04
2.194755E+03	8.325163E-03	1.170557E-04
2.234659E+03	9.085909E-03	1.264616E-04
2.274564E+03	9.931941E-03	1.368207E-04
2.314468E+03	1.082056E-02	1.475144E-04
2.354373E+03	1.178501E-02	1.589733E-04
2.394278E+03	1.283218E-02	1.712579E-04
2.434182E+03	1.394763E-02	1.841434E-04
2.474087E+03	1.511391E-02	1.973753E-04
2.513992E+03	1.631040E-02	2.106683E-04
2.553896E+03	1.750919E-02	2.236576E-04
2.593801E+03	1.862923E-02	2.353234E-04
2.633705E+03	1.943653E-02	2.427825E-04
2.673610E+03	1.995190E-02	2.464301E-04
2.713515E+03	2.034039E-02	2.484087E-04
2.753419E+03	2.064685E-02	2.493123E-04
2.793324E+03	2.087745E-02	2.492464E-04
2.833229E+03	2.102796E-02	2.481901E-04
2.873133E+03	2.109388E-02	2.461210E-04
2.913038E+03	2.107306E-02	2.430465E-04
2.952942E+03	2.096758E-02	2.390229E-04
2.992847E+03	2.078302E-02	2.341448E-04
3.002823E+03	2.072603E-02	2.328122E-04
3.012799E+03	2.066430E-02	2.314307E-04
3.022776E+03	2.059884E-02	2.300120E-04
3.032752E+03	2.052943E-02	2.285540E-04
3.042728E+03	2.045721E-02	2.270699E-04
3.052704E+03	2.038338E-02	2.255729E-04
3.062680E+03	2.030688E-02	2.240518E-04
3.072656E+03	2.022893E-02	2.225199E-04
3.082633E+03	2.014859E-02	2.209674E-04
3.092609E+03	2.006667E-02	2.194030E-04
3.102585E+03	1.998275E-02	2.178226E-04
3.112561E+03	1.989690E-02	2.162269E-04
3.122537E+03	1.980996E-02	2.146254E-04
3.132513E+03	1.972130E-02	2.130113E-04
3.142489E+03	1.963220E-02	2.113984E-04
3.152466E+03	1.954172E-02	2.097768E-04
3.162442E+03	1.945120E-02	2.081610E-04
3.172418E+03	1.936021E-02	2.065464E-04
3.182394E+03	1.926977E-02	2.049438E-04
3.192370E+03	1.917991E-02	2.033535E-04
3.202346E+03	1.909136E-02	2.017831E-04
3.212323E+03	1.900459E-02	2.002375E-04
3.222299E+03	1.892011E-02	1.987220E-04
3.232275E+03	1.883818E-02	1.972389E-04
3.242251E+03	1.876006E-02	1.958012E-04
3.252227E+03	1.868611E-02	1.944123E-04
3.262203E+03	1.861740E-02	1.930827E-04
3.272179E+03	1.855442E-02	1.918173E-04
3.282156E+03	1.849807E-02	1.906244E-04
3.292132E+03	1.844954E-02	1.895160E-04
3.302108E+03	1.840957E-02	1.884986E-04
3.312084E+03	1.837945E-02	1.875847E-04
3.322060E+03	1.836026E-02	1.867843E-04
3.332036E+03	1.835258E-02	1.861022E-04
3.342013E+03	1.835804E-02	1.855537E-04
3.351989E+03	1.837742E-02	1.851456E-04
3.361965E+03	1.841170E-02	1.848862E-04
3.371941E+03	1.846171E-02	1.847824E-04
3.381917E+03	1.852750E-02	1.848331E-04
3.391893E+03	1.860979E-02	1.850442E-04
3.401870E+03	1.870803E-02	1.854085E-04
3.411846E+03	1.882100E-02	1.859125E-04
3.421822E+03	1.894694E-02	1.865372E-04
3.431798E+03	1.908308E-02	1.872546E-04
3.441774E+03	1.922537E-02	1.880239E-04
3.451750E+03	1.937005E-02	1.888080E-04
3.461726E+03	1.951317E-02	1.895682E-04
3.471703E+03	1.965302E-02	1.902883E-04
3.481679E+03	1.979007E-02	1.909732E-04
3.491655E+03	1.992678E-02	1.916470E-04
3.501631E+03	2.006638E-02	1.923405E-04
3.511607E+03	2.021179E-02	1.930816E-04
3.521583E+03	2.036471E-02	1.938859E-04
3.531560E+03	2.052552E-02	1.947564E-04
3.541536E+03	2.069331E-02	1.956839E-04
3.551512E+03	2.086524E-02	1.966410E-04
3.561488E+03	2.103670E-02	1.975839E-04
3.571464E+03	2.120003E-02	1.984414E-04
3.581440E+03	2.134474E-02	1.991162E-04
3.591417E+03	2.145972E-02	1.995071E-04
3.601393E+03	2.154856E-02	1.996501E-04
3.611369E+03	2.161872E-02	1.996165E-04
3.621345E+03	2.167532E-02	1.994553E-04
3.631321E+03	2.172080E-02	1.991901E-04
3.641297E+03	2.175675E-02	1.988364E-04
3.651273E+03	2.178362E-02	1.983992E-04
3.661250E+03	2.180125E-02	1.978779E-04
3.671226E+03	2.180930E-02	1.972702E-04
3.681202E+03	2.180715E-02	1.965715E-04
3.691178E+03	2.179388E-02	1.957744E-04
3.701154E+03	2.176891E-02	1.948747E-04
3.711130E+03	2.173126E-02	1.938648E-04
3.721107E+03	2.168059E-02	1.927427E-04
3.731083E+03	2.161624E-02	1.915040E-04
3.741059E+03	2.153765E-02	1.901446E-04
3.751035E+03	2.144453E-02	1.886635E-04
3.761011E+03	2.133690E-02	1.870623E-04
3.770987E+03	2.121453E-02	1.853400E-04
3.780963E+03	2.107766E-02	1.835002E-04
3.790940E+03	2.092628E-02	1.815441E-04
3.800916E+03	2.076067E-02	1.794753E-04
3.810892E+03	2.058141E-02	1.773003E-04
3.820868E+03	2.038914E-02	1.750257E-04
