#wls	flux	fluxerr
1.596185E+03	1.136453E-03	5.975712E-06
1.636090E+03	1.162022E-03	6.105609E-06
1.675994E+03	1.179747E-03	6.194127E-06
1.715899E+03	1.188399E-03	6.234922E-06
1.755804E+03	1.187120E-03	6.223589E-06
1.795708E+03	1.174662E-03	6.153719E-06
1.835613E+03	1.150218E-03	6.021212E-06
1.875518E+03	1.113536E-03	5.824888E-06
1.915422E+03	1.065195E-03	5.567922E-06
1.955327E+03	1.007833E-03	5.264213E-06
1.995231E+03	9.459116E-04	4.937165E-06
2.035136E+03	8.886669E-04	4.634993E-06
2.075041E+03	8.513972E-04	4.437377E-06
2.114945E+03	8.501212E-04	4.427514E-06
2.154850E+03	8.796428E-04	4.577956E-06
2.194755E+03	9.374581E-04	4.875335E-06
2.234659E+03	1.029905E-03	5.352273E-06
2.274564E+03	1.172025E-03	6.086505E-06
2.314468E+03	1.359641E-03	7.055809E-06
2.354373E+03	1.568223E-03	8.132478E-06
2.394278E+03	1.779986E-03	9.224141E-06
2.434182E+03	1.981075E-03	1.025903E-05
2.474087E+03	2.162495E-03	1.119071E-05
2.513992E+03	2.320322E-03	1.199914E-05
2.553896E+03	2.457881E-03	1.270175E-05
2.593801E+03	2.590700E-03	1.337897E-05
2.633705E+03	2.746388E-03	1.417333E-05
2.673610E+03	2.926396E-03	1.509210E-05
2.713515E+03	3.108967E-03	1.602290E-05
2.753419E+03	3.280066E-03	1.689345E-05
2.793324E+03	3.431219E-03	1.766026E-05
2.833229E+03	3.556504E-03	1.829309E-05
2.873133E+03	3.652515E-03	1.877470E-05
2.913038E+03	3.717323E-03	1.909550E-05
2.952942E+03	3.750438E-03	1.925329E-05
2.992847E+03	3.752398E-03	1.925114E-05
3.002823E+03	3.748290E-03	1.922704E-05
3.012799E+03	3.742202E-03	1.919279E-05
3.022776E+03	3.734252E-03	1.914901E-05
3.032752E+03	3.724699E-03	1.909704E-05
3.042728E+03	3.713530E-03	1.903680E-05
3.052704E+03	3.700852E-03	1.896886E-05
3.062680E+03	3.686842E-03	1.889412E-05
3.072656E+03	3.671230E-03	1.881119E-05
3.082633E+03	3.654306E-03	1.872159E-05
3.092609E+03	3.635922E-03	1.862453E-05
3.102585E+03	3.616050E-03	1.851990E-05
3.112561E+03	3.594869E-03	1.840859E-05
3.122537E+03	3.572253E-03	1.828999E-05
3.132513E+03	3.548381E-03	1.816499E-05
3.142489E+03	3.523139E-03	1.803303E-05
3.152466E+03	3.496522E-03	1.789408E-05
3.162442E+03	3.468801E-03	1.774953E-05
3.172418E+03	3.439790E-03	1.759843E-05
3.182394E+03	3.409673E-03	1.744172E-05
3.192370E+03	3.378453E-03	1.727943E-05
3.202346E+03	3.346147E-03	1.711164E-05
3.212323E+03	3.312856E-03	1.693887E-05
3.222299E+03	3.278607E-03	1.676126E-05
3.232275E+03	3.243582E-03	1.657975E-05
3.242251E+03	3.207673E-03	1.639378E-05
3.252227E+03	3.171077E-03	1.620435E-05
3.262203E+03	3.133852E-03	1.601178E-05
3.272179E+03	3.096133E-03	1.581675E-05
3.282156E+03	3.057938E-03	1.561935E-05
3.292132E+03	3.019429E-03	1.542041E-05
3.302108E+03	2.980722E-03	1.522052E-05
3.312084E+03	2.942010E-03	1.502068E-05
3.322060E+03	2.903447E-03	1.482166E-05
3.332036E+03	2.865161E-03	1.462411E-05
3.342013E+03	2.827424E-03	1.442943E-05
3.351989E+03	2.790439E-03	1.423865E-05
3.361965E+03	2.754561E-03	1.405358E-05
3.371941E+03	2.720096E-03	1.387578E-05
3.381917E+03	2.687477E-03	1.370745E-05
3.391893E+03	2.657176E-03	1.355099E-05
3.401870E+03	2.629819E-03	1.340960E-05
3.411846E+03	2.606129E-03	1.328694E-05
3.421822E+03	2.587043E-03	1.318780E-05
3.431798E+03	2.573590E-03	1.311740E-05
3.441774E+03	2.567215E-03	1.308310E-05
3.451750E+03	2.569508E-03	1.309298E-05
3.461726E+03	2.582223E-03	1.315597E-05
3.471703E+03	2.606694E-03	1.327883E-05
3.481679E+03	2.642339E-03	1.345858E-05
3.491655E+03	2.687890E-03	1.368874E-05
3.501631E+03	2.742192E-03	1.396339E-05
3.511607E+03	2.804045E-03	1.427643E-05
3.521583E+03	2.872648E-03	1.462376E-05
3.531560E+03	2.947315E-03	1.500186E-05
3.541536E+03	3.027786E-03	1.540941E-05
3.551512E+03	3.113908E-03	1.584562E-05
3.561488E+03	3.205898E-03	1.631157E-05
3.571464E+03	3.304155E-03	1.680929E-05
3.581440E+03	3.409260E-03	1.734173E-05
3.591417E+03	3.521592E-03	1.791079E-05
3.601393E+03	3.640642E-03	1.851388E-05
3.611369E+03	3.765450E-03	1.914610E-05
3.621345E+03	3.894703E-03	1.980076E-05
3.631321E+03	4.027176E-03	2.047164E-05
3.641297E+03	4.161631E-03	2.115243E-05
3.651273E+03	4.297015E-03	2.183778E-05
3.661250E+03	4.432192E-03	2.252192E-05
3.671226E+03	4.566181E-03	2.319986E-05
3.681202E+03	4.698125E-03	2.386726E-05
3.691178E+03	4.827138E-03	2.451961E-05
3.701154E+03	4.952553E-03	2.515354E-05
3.711130E+03	5.073614E-03	2.576522E-05
3.721107E+03	5.189780E-03	2.635191E-05
3.731083E+03	5.300515E-03	2.691090E-05
3.741059E+03	5.405278E-03	2.743945E-05
3.751035E+03	5.503681E-03	2.793560E-05
3.761011E+03	5.595327E-03	2.839736E-05
3.770987E+03	5.679910E-03	2.882319E-05
3.780963E+03	5.757106E-03	2.921144E-05
3.790940E+03	5.826678E-03	2.956095E-05
3.800916E+03	5.888310E-03	2.987011E-05
3.810892E+03	5.941943E-03	3.013864E-05
3.820868E+03	5.987267E-03	3.036499E-05
3.830844E+03	6.024274E-03	3.054914E-05
3.840820E+03	6.052794E-03	3.069022E-05
3.850797E+03	6.072825E-03	3.078825E-05
3.860773E+03	6.084264E-03	3.084272E-05
3.870749E+03	6.087204E-03	3.085413E-05
3.880725E+03	6.081679E-03	3.082264E-05
3.890701E+03	6.067769E-03	3.074869E-05
3.900677E+03	6.045725E-03	3.063356E-05
3.910654E+03	6.015742E-03	3.047826E-05
3.920630E+03	5.978080E-03	3.028411E-05
3.930606E+03	5.933116E-03	3.005304E-05
3.940582E+03	5.881294E-03	2.978730E-05
3.950558E+03	5.823069E-03	2.948920E-05
3.960534E+03	5.758965E-03	2.916143E-05
3.970510E+03	5.689575E-03	2.880699E-05
3.980487E+03	5.615652E-03	2.842968E-05
3.990463E+03	5.537908E-03	2.803313E-05
4.000439E+03	5.457107E-03	2.762122E-05
4.010415E+03	5.374065E-03	2.719806E-05
4.020391E+03	5.289641E-03	2.676802E-05
4.030367E+03	5.204822E-03	2.633609E-05
4.040344E+03	5.120442E-03	2.590648E-05
4.050320E+03	5.037577E-03	2.548465E-05
4.060296E+03	4.957057E-03	2.507478E-05
4.070272E+03	4.879980E-03	2.468242E-05
4.080248E+03	4.807272E-03	2.431226E-05
4.090224E+03	4.739903E-03	2.396918E-05
4.100201E+03	4.678830E-03	2.365802E-05
4.110177E+03	4.625000E-03	2.338356E-05
4.120153E+03	4.579378E-03	2.315066E-05
4.130129E+03	4.542863E-03	2.296386E-05
4.140105E+03	4.516283E-03	2.282733E-05
4.150081E+03	4.500461E-03	2.274521E-05
4.160057E+03	4.496191E-03	2.272151E-05
4.170034E+03	4.504149E-03	2.275960E-05
4.180010E+03	4.524888E-03	2.286229E-05
4.189986E+03	4.558729E-03	2.303117E-05
4.199962E+03	4.605522E-03	2.326547E-05
4.209938E+03	4.664297E-03	2.356025E-05
4.219914E+03	4.733448E-03	2.390742E-05
4.229891E+03	4.810875E-03	2.429633E-05
4.239867E+03	4.894222E-03	2.471509E-05
4.249843E+03	4.980617E-03	2.514918E-05
4.259819E+03	5.067307E-03	2.558472E-05
4.269795E+03	5.151676E-03	2.600847E-05
4.279771E+03	5.231129E-03	2.640736E-05
4.289748E+03	5.303335E-03	2.676962E-05
4.299724E+03	5.366005E-03	2.708371E-05
4.309700E+03	5.417124E-03	2.733946E-05
4.319676E+03	5.454983E-03	2.752829E-05
4.329652E+03	5.478161E-03	2.764302E-05
4.339628E+03	5.485887E-03	2.767980E-05
4.349604E+03	5.478291E-03	2.763928E-05
4.359581E+03	5.456865E-03	2.752902E-05
4.369557E+03	5.424906E-03	2.736567E-05
4.379533E+03	5.386764E-03	2.717118E-05
4.389509E+03	5.349217E-03	2.697974E-05
4.399485E+03	5.321016E-03	2.683549E-05
4.409461E+03	5.310039E-03	2.677813E-05
4.419438E+03	5.321797E-03	2.683546E-05
4.429414E+03	5.360275E-03	2.702752E-05
4.439390E+03	5.427955E-03	2.736681E-05
4.449366E+03	5.524650E-03	2.785234E-05
4.459342E+03	5.648687E-03	2.847567E-05
4.469318E+03	5.797152E-03	2.922207E-05
4.479294E+03	5.965779E-03	3.007001E-05
4.489271E+03	6.149141E-03	3.099213E-05
4.499247E+03	6.340674E-03	3.195532E-05
4.509223E+03	6.533048E-03	3.292266E-05
4.519199E+03	6.717923E-03	3.385210E-05
4.529175E+03	6.886428E-03	3.469897E-05
4.539151E+03	7.029409E-03	3.541715E-05
4.549128E+03	7.137919E-03	3.596160E-05
4.559104E+03	7.204141E-03	3.629298E-05
4.569080E+03	7.222665E-03	3.638407E-05
4.579056E+03	7.190523E-03	3.621996E-05
4.589032E+03	7.107934E-03	3.580180E-05
4.599008E+03	6.979108E-03	3.515085E-05
4.608985E+03	6.811092E-03	3.430263E-05
4.618961E+03	6.613371E-03	3.330494E-05
4.628937E+03	6.397891E-03	3.221796E-05
4.638913E+03	6.177126E-03	3.110453E-05
4.648889E+03	5.963115E-03	3.002524E-05
4.658865E+03	5.766789E-03	2.903514E-05
4.668841E+03	5.597687E-03	2.818223E-05
4.678818E+03	5.462813E-03	2.750175E-05
4.688794E+03	5.366190E-03	2.701392E-05
4.698770E+03	5.309792E-03	2.672865E-05
4.708746E+03	5.293816E-03	2.664690E-05
4.718722E+03	5.315483E-03	2.675465E-05
4.728698E+03	5.370364E-03	2.702958E-05
4.738675E+03	5.453053E-03	2.744446E-05
4.748651E+03	5.557411E-03	2.796837E-05
4.758627E+03	5.676323E-03	2.856551E-05
4.768603E+03	5.802961E-03	2.920148E-05
4.778579E+03	5.931278E-03	2.984588E-05
