#wls	flux	fluxerr
1.596185E+03	3.012084E-15	4.143578E-17
1.636090E+03	3.217039E-15	4.397163E-17
1.675994E+03	3.423704E-15	4.649008E-17
1.715899E+03	3.629650E-15	4.895712E-17
1.755804E+03	3.833693E-15	5.135637E-17
1.795708E+03	4.032293E-15	5.364056E-17
1.835613E+03	4.222646E-15	5.577354E-17
1.875518E+03	4.403372E-15	5.773897E-17
1.915422E+03	4.573175E-15	5.952226E-17
1.955327E+03	4.734465E-15	6.115724E-17
1.995231E+03	4.892048E-15	6.270771E-17
2.035136E+03	5.051554E-15	6.424605E-17
2.075041E+03	5.208726E-15	6.571769E-17
2.114945E+03	5.377990E-15	6.730369E-17
2.154850E+03	5.643338E-15	7.004263E-17
2.194755E+03	6.073533E-15	7.475073E-17
2.234659E+03	6.663917E-15	8.131907E-17
2.274564E+03	7.337949E-15	8.877047E-17
2.314468E+03	8.059438E-15	9.664366E-17
2.354373E+03	8.849546E-15	1.051743E-16
2.394278E+03	9.708396E-15	1.143413E-16
2.434182E+03	1.062139E-14	1.239520E-16
2.474087E+03	1.157323E-14	1.338118E-16
2.513992E+03	1.254767E-14	1.437226E-16
2.553896E+03	1.352485E-14	1.534522E-16
2.593801E+03	1.444659E-14	1.623474E-16
2.633705E+03	1.512820E-14	1.683719E-16
2.673610E+03	1.558663E-14	1.717927E-16
2.713515E+03	1.594954E-14	1.740766E-16
2.753419E+03	1.624762E-14	1.755858E-16
2.793324E+03	1.648344E-14	1.763678E-16
2.833229E+03	1.665251E-14	1.763938E-16
2.873133E+03	1.675049E-14	1.756386E-16
2.913038E+03	1.677516E-14	1.741011E-16
2.952942E+03	1.672775E-14	1.718165E-16
2.992847E+03	1.661236E-14	1.688488E-16
3.002823E+03	1.657406E-14	1.680145E-16
3.012799E+03	1.653166E-14	1.671405E-16
3.022776E+03	1.648593E-14	1.662352E-16
3.032752E+03	1.643682E-14	1.652980E-16
3.042728E+03	1.638500E-14	1.643361E-16
3.052704E+03	1.633186E-14	1.633636E-16
3.062680E+03	1.627651E-14	1.623717E-16
3.072656E+03	1.621987E-14	1.613697E-16
3.082633E+03	1.616116E-14	1.603499E-16
3.092609E+03	1.610097E-14	1.593185E-16
3.102585E+03	1.603895E-14	1.582719E-16
3.112561E+03	1.597510E-14	1.572106E-16
3.122537E+03	1.591008E-14	1.561409E-16
3.132513E+03	1.584336E-14	1.550578E-16
3.142489E+03	1.577592E-14	1.539712E-16
3.152466E+03	1.570702E-14	1.528737E-16
3.162442E+03	1.563769E-14	1.517755E-16
3.172418E+03	1.556759E-14	1.506734E-16
