#wls	flux	fluxerr
1.600000E+03	7.321956E-15	1.349901E-16
1.640000E+03	7.786386E-15	1.422504E-16
1.680000E+03	8.272412E-15	1.497290E-16
1.720000E+03	8.781494E-15	1.574385E-16
1.760000E+03	9.313802E-15	1.653678E-16
1.800000E+03	9.874042E-15	1.735852E-16
1.840000E+03	1.046866E-14	1.821860E-16
1.880000E+03	1.111084E-14	1.913767E-16
1.920000E+03	1.181914E-14	2.014466E-16
1.960000E+03	1.261743E-14	2.127603E-16
2.000000E+03	1.352449E-14	2.255802E-16
2.040000E+03	1.453142E-14	2.396981E-16
2.080000E+03	1.556012E-14	2.537839E-16
2.120000E+03	1.653290E-14	2.665722E-16
2.160000E+03	1.753588E-14	2.794673E-16
2.200000E+03	1.867552E-14	2.941300E-16
2.240000E+03	1.992434E-14	3.100581E-16
2.280000E+03	2.113676E-14	3.249554E-16
2.320000E+03	2.229859E-14	3.386312E-16
2.360000E+03	2.353230E-14	3.529569E-16
2.400000E+03	2.489362E-14	3.687253E-16
2.440000E+03	2.637695E-14	3.857921E-16
2.480000E+03	2.795751E-14	4.037428E-16
2.520000E+03	2.959920E-14	4.220227E-16
2.560000E+03	3.123887E-14	4.397257E-16
2.600000E+03	3.271484E-14	4.546246E-16
2.640000E+03	3.365156E-14	4.616747E-16
2.680000E+03	3.408716E-14	4.616971E-16
2.720000E+03	3.430184E-14	4.587109E-16
2.760000E+03	3.439503E-14	4.541376E-16
2.800000E+03	3.438607E-14	4.482833E-16
2.840000E+03	3.427414E-14	4.411796E-16
2.880000E+03	3.405475E-14	4.328120E-16
2.920000E+03	3.372641E-14	4.232053E-16
2.960000E+03	3.329312E-14	4.124532E-16
3.000000E+03	3.276428E-14	4.007131E-16
3.010000E+03	3.261839E-14	3.976433E-16
3.020000E+03	3.246794E-14	3.945320E-16
3.030000E+03	3.231233E-14	3.913719E-16
3.040000E+03	3.215310E-14	3.881825E-16
3.050000E+03	3.198970E-14	3.849572E-16
3.060000E+03	3.182228E-14	3.816985E-16
3.070000E+03	3.165105E-14	3.784091E-16
3.080000E+03	3.147755E-14	3.751078E-16
3.090000E+03	3.130069E-14	3.717818E-16
3.100000E+03	3.112203E-14	3.684498E-16
3.110000E+03	3.094118E-14	3.651075E-16
3.120000E+03	3.075909E-14	3.617661E-16
3.130000E+03	3.057610E-14	3.584297E-16
3.140000E+03	3.039254E-14	3.551025E-16
3.150000E+03	3.020887E-14	3.517894E-16
3.160000E+03	3.002608E-14	3.485022E-16
3.170000E+03	2.984410E-14	3.452396E-16
3.180000E+03	2.966402E-14	3.420144E-16
3.190000E+03	2.948643E-14	3.388329E-16
3.200000E+03	2.931195E-14	3.357020E-16
3.210000E+03	2.914180E-14	3.326351E-16
3.220000E+03	2.897569E-14	3.296285E-16
3.230000E+03	2.881596E-14	3.267082E-16
3.240000E+03	2.866201E-14	3.238667E-16
3.250000E+03	2.851625E-14	3.211304E-16
3.260000E+03	2.837874E-14	3.184991E-16
3.270000E+03	2.825106E-14	3.159894E-16
3.280000E+03	2.813438E-14	3.136133E-16
3.290000E+03	2.802951E-14	3.113787E-16
3.300000E+03	2.793867E-14	3.093085E-16
3.310000E+03	2.786232E-14	3.074065E-16
3.320000E+03	2.780196E-14	3.056875E-16
3.330000E+03	2.775985E-14	3.041743E-16
3.340000E+03	2.773661E-14	3.028718E-16
3.350000E+03	2.773366E-14	3.017933E-16
3.360000E+03	2.775230E-14	3.009507E-16
3.370000E+03	2.779406E-14	3.003582E-16
3.380000E+03	2.785897E-14	3.000133E-16
3.390000E+03	2.794746E-14	2.999183E-16
3.400000E+03	2.805975E-14	3.000730E-16
3.410000E+03	2.819450E-14	3.004605E-16
3.420000E+03	2.834983E-14	3.010583E-16
3.430000E+03	2.852201E-14	3.018248E-16
3.440000E+03	2.870722E-14	3.027181E-16
3.450000E+03	2.890042E-14	3.036836E-16
3.460000E+03	2.909556E-14	3.046576E-16
3.470000E+03	2.928826E-14	3.055940E-16
3.480000E+03	2.947588E-14	3.064658E-16
3.490000E+03	2.965930E-14	3.072829E-16
3.500000E+03	2.984028E-14	3.080642E-16
3.510000E+03	3.002310E-14	3.088539E-16
3.520000E+03	3.021077E-14	3.096830E-16
3.530000E+03	3.040543E-14	3.105730E-16
3.540000E+03	3.060744E-14	3.115269E-16
3.550000E+03	3.081458E-14	3.125216E-16
3.560000E+03	3.102274E-14	3.135152E-16
3.570000E+03	3.122387E-14	3.144268E-16
3.580000E+03	3.140773E-14	3.151545E-16
3.590000E+03	3.156341E-14	3.155914E-16
3.600000E+03	3.168395E-14	3.156712E-16
3.610000E+03	3.176880E-14	3.153924E-16
