#wls	flux	fluxerr
1.600000E+03	8.083590E-17	5.448218E-17
1.640000E+03	8.411177E-17	5.623704E-17
1.680000E+03	8.746306E-17	5.801893E-17
1.720000E+03	9.088769E-17	5.983028E-17
1.760000E+03	9.436618E-17	6.166275E-17
1.800000E+03	9.784182E-17	6.348472E-17
1.840000E+03	1.013212E-16	6.530669E-17
1.880000E+03	1.047764E-16	6.711721E-17
1.920000E+03	1.081403E-16	6.888000E-17
1.960000E+03	1.114367E-16	7.061720E-17
2.000000E+03	1.145763E-16	7.227866E-17
2.040000E+03	1.175865E-16	7.388766E-17
2.080000E+03	1.203772E-16	7.539258E-17
2.120000E+03	1.229620E-16	7.680579E-17
2.160000E+03	1.253180E-16	7.811554E-17
2.200000E+03	1.274054E-16	7.929783E-17
2.240000E+03	1.292324E-16	8.035726E-17
2.280000E+03	1.307696E-16	8.127338E-17
2.320000E+03	1.320378E-16	8.205557E-17
2.360000E+03	1.330197E-16	8.268809E-17
2.400000E+03	1.337259E-16	8.317162E-17
2.440000E+03	1.342178E-16	8.353768E-17
2.480000E+03	1.344712E-16	8.376398E-17
2.520000E+03	1.345113E-16	8.385856E-17
2.560000E+03	1.343884E-16	8.384539E-17
2.600000E+03	1.341328E-16	8.373585E-17
2.640000E+03	1.337532E-16	8.352853E-17
2.680000E+03	1.332818E-16	8.323683E-17
2.720000E+03	1.327939E-16	8.290182E-17
2.760000E+03	1.322759E-16	8.250950E-17
2.800000E+03	1.317572E-16	8.207328E-17
2.840000E+03	1.312870E-16	8.161933E-17
2.880000E+03	1.308909E-16	8.115946E-17
2.920000E+03	1.305717E-16	8.069163E-17
2.960000E+03	1.303731E-16	8.023929E-17
3.000000E+03	1.302953E-16	7.979903E-17
3.010000E+03	1.302920E-16	7.968873E-17
3.020000E+03	1.303186E-16	7.959264E-17
3.030000E+03	1.303339E-16	7.948539E-17
3.040000E+03	1.303797E-16	7.939256E-17
3.050000E+03	1.304357E-16	7.930152E-17
3.060000E+03	1.304811E-16	7.919980E-17
3.070000E+03	1.305581E-16	7.911279E-17
3.080000E+03	1.306253E-16	7.901538E-17
3.090000E+03	1.307246E-16	7.893288E-17
3.100000E+03	1.308356E-16	7.885279E-17
3.110000E+03	1.309584E-16	7.877525E-17
3.120000E+03	1.310728E-16	7.868791E-17
3.130000E+03	1.312206E-16	7.861584E-17
3.140000E+03	1.313813E-16	7.854666E-17
3.150000E+03	1.315552E-16	7.848048E-17
3.160000E+03	1.317428E-16	7.841744E-17
3.170000E+03	1.319443E-16	7.835763E-17
3.180000E+03	1.321602E-16	7.830118E-17
3.190000E+03	1.323907E-16	7.824820E-17
3.200000E+03	1.326363E-16	7.819880E-17
3.210000E+03	1.328973E-16	7.815309E-17
3.220000E+03	1.331741E-16	7.811119E-17
3.230000E+03	1.334671E-16	7.807321E-17
3.240000E+03	1.337977E-16	7.805146E-17
3.250000E+03	1.341244E-16	7.802163E-17
3.260000E+03	1.344687E-16	7.799606E-17
3.270000E+03	1.348308E-16	7.797485E-17
3.280000E+03	1.352323E-16	7.797025E-17
3.290000E+03	1.356317E-16	7.795808E-17
3.300000E+03	1.360504E-16	7.795060E-17
3.310000E+03	1.365101E-16	7.796002E-17
3.320000E+03	1.369690E-16	7.796223E-17
3.330000E+03	1.374700E-16	7.798152E-17
3.340000E+03	1.379712E-16	7.799385E-17
3.350000E+03	1.385157E-16	7.802343E-17
3.360000E+03	1.390614E-16	7.804628E-17
3.370000E+03	1.396517E-16	7.808655E-17
3.380000E+03	1.402443E-16	7.812029E-17
3.390000E+03	1.408828E-16	7.817163E-17
3.400000E+03	1.415248E-16	7.821663E-17
3.410000E+03	1.422141E-16	7.827938E-17
3.420000E+03	1.429300E-16	7.834794E-17
3.430000E+03	1.436510E-16	7.841040E-17
3.440000E+03	1.444217E-16	7.849081E-17
3.450000E+03	1.452211E-16	7.857722E-17
3.460000E+03	1.460498E-16	7.866969E-17
3.470000E+03	1.469086E-16	7.876826E-17
3.480000E+03	1.477758E-16	7.886096E-17
3.490000E+03	1.486972E-16	7.897180E-17
3.500000E+03	1.496510E-16	7.908878E-17
3.510000E+03	1.506382E-16	7.921190E-17
3.520000E+03	1.516597E-16	7.934114E-17
3.530000E+03	1.527162E-16	7.947647E-17
3.540000E+03	1.538087E-16	7.961784E-17
3.550000E+03	1.549380E-16	7.976516E-17
3.560000E+03	1.561052E-16	7.991836E-17
3.570000E+03	1.573110E-16	8.007731E-17
3.580000E+03	1.585565E-16	8.024189E-17
3.590000E+03	1.598425E-16	8.041194E-17
3.600000E+03	1.611701E-16	8.058727E-17
3.610000E+03	1.625402E-16	8.076767E-17
3.620000E+03	1.639538E-16	8.095289E-17
3.630000E+03	1.654118E-16	8.114266E-17
3.640000E+03	1.669153E-16	8.133668E-17
3.650000E+03	1.684651E-16	8.153459E-17
3.660000E+03	1.700876E-16	8.174818E-17
3.670000E+03	1.717334E-16	8.195271E-17
3.680000E+03	1.734285E-16	8.215987E-17
3.690000E+03	1.751738E-16	8.236913E-17
3.700000E+03	1.769704E-16	8.257995E-17
3.710000E+03	1.788191E-16	8.279171E-17
3.720000E+03	1.807476E-16	8.301599E-17
3.730000E+03	1.827035E-16	8.322758E-17
3.740000E+03	1.847143E-16	8.343795E-17
3.750000E+03	1.867807E-16	8.364624E-17
3.760000E+03	1.889312E-16	8.386387E-17
3.770000E+03	1.911115E-16	8.406524E-17
3.780000E+03	1.933496E-16	8.426162E-17
3.790000E+03	1.956463E-16	8.445187E-17
3.800000E+03	1.980311E-16	8.464719E-17
3.810000E+03	2.004469E-16	8.482156E-17
3.820000E+03	2.029228E-16	8.498600E-17
3.830000E+03	2.054892E-16	8.515145E-17
3.840000E+03	2.080869E-16	8.529161E-17
3.850000E+03	2.107456E-16	8.541726E-17
