#wls	flux	fluxerr
1.596504E+03	1.233708E-05	1.734001E-07
1.636416E+03	1.224218E-05	1.720663E-07
1.676329E+03	1.215079E-05	1.707818E-07
1.716241E+03	1.207242E-05	1.696802E-07
1.756154E+03	1.199811E-05	1.686359E-07
1.796067E+03	1.194463E-05	1.678842E-07
1.835979E+03	1.191053E-05	1.674049E-07
1.875892E+03	1.190119E-05	1.672736E-07
1.915804E+03	1.192824E-05	1.676539E-07
1.955717E+03	1.199787E-05	1.686324E-07
1.995630E+03	1.211123E-05	1.702258E-07
2.035542E+03	1.228144E-05	1.726181E-07
2.075455E+03	1.252202E-05	1.759994E-07
2.115367E+03	1.283043E-05	1.803342E-07
2.155280E+03	1.322148E-05	1.858305E-07
2.195193E+03	1.371072E-05	1.927069E-07
2.235105E+03	1.430877E-05	2.011126E-07
2.275018E+03	1.502084E-05	2.111209E-07
2.314930E+03	1.586411E-05	2.229733E-07
2.354843E+03	1.685012E-05	2.368318E-07
2.394755E+03	1.799007E-05	2.528540E-07
2.434668E+03	1.929443E-05	2.711871E-07
2.474581E+03	2.078718E-05	2.921680E-07
2.514493E+03	2.246256E-05	3.157158E-07
2.554406E+03	2.433434E-05	3.420240E-07
2.594318E+03	2.641570E-05	3.712778E-07
2.634231E+03	2.870119E-05	4.034009E-07
2.674144E+03	3.120071E-05	4.385321E-07
2.714056E+03	3.392444E-05	4.768147E-07
2.753969E+03	3.686208E-05	5.181037E-07
2.793881E+03	4.003424E-05	5.626891E-07
2.833794E+03	4.341851E-05	6.102557E-07
2.873707E+03	4.705048E-05	6.613037E-07
2.913619E+03	5.092157E-05	7.157127E-07
2.953532E+03	5.503580E-05	7.735390E-07
2.993444E+03	5.942690E-05	8.352567E-07
3.003423E+03	6.056687E-05	8.512792E-07
3.013401E+03	6.171679E-05	8.674415E-07
3.023379E+03	6.289114E-05	8.839473E-07
3.033357E+03	6.409028E-05	9.008014E-07
3.043335E+03	6.529973E-05	9.178004E-07
3.053313E+03	6.653440E-05	9.351539E-07
3.063291E+03	6.779463E-05	9.528668E-07
3.073270E+03	6.906551E-05	9.707293E-07
3.083248E+03	7.034695E-05	9.887401E-07
3.093226E+03	7.166995E-05	1.007335E-06
3.103204E+03	7.298819E-05	1.025863E-06
3.113182E+03	7.434862E-05	1.044984E-06
3.123160E+03	7.571999E-05	1.064259E-06
3.133138E+03	7.711829E-05	1.083913E-06
3.143117E+03	7.854373E-05	1.103947E-06
3.153095E+03	7.998016E-05	1.124137E-06
3.163073E+03	8.144388E-05	1.144710E-06
3.173051E+03	8.291841E-05	1.165434E-06
3.183029E+03	8.443700E-05	1.186778E-06
3.193007E+03	8.596632E-05	1.208273E-06
3.202985E+03	8.750598E-05	1.229914E-06
3.212964E+03	8.908994E-05	1.252177E-06
3.222942E+03	9.068389E-05	1.274580E-06
3.232920E+03	9.230475E-05	1.297361E-06
3.242898E+03	9.395235E-05	1.320519E-06
3.252876E+03	9.560857E-05	1.343797E-06
3.262854E+03	9.730850E-05	1.367690E-06
3.272832E+03	9.901600E-05	1.391689E-06
3.282811E+03	1.007484E-04	1.416038E-06
3.292789E+03	1.025049E-04	1.440727E-06
3.302767E+03	1.042666E-04	1.465487E-06
3.312745E+03	1.060690E-04	1.490821E-06
3.322723E+03	1.078745E-04	1.516196E-06
3.332701E+03	1.097000E-04	1.541855E-06
3.342680E+03	1.115447E-04	1.567782E-06
3.352658E+03	1.134068E-04	1.593955E-06
3.362636E+03	1.152850E-04	1.620352E-06
3.372614E+03	1.171775E-04	1.646952E-06
3.382592E+03	1.190823E-04	1.673725E-06
3.392570E+03	1.209976E-04	1.700645E-06
3.402548E+03	1.229016E-04	1.727406E-06
3.412527E+03	1.248308E-04	1.754521E-06
3.422505E+03	1.267632E-04	1.781681E-06
3.432483E+03	1.286764E-04	1.808572E-06
3.442461E+03	1.306071E-04	1.835709E-06
3.452439E+03	1.325326E-04	1.862772E-06
3.462417E+03	1.344300E-04	1.889440E-06
3.472395E+03	1.363361E-04	1.916230E-06
3.482374E+03	1.382277E-04	1.942818E-06
3.492352E+03	1.401019E-04	1.969160E-06
3.502330E+03	1.419558E-04	1.995216E-06
3.512308E+03	1.437864E-04	2.020946E-06
3.522286E+03	1.455915E-04	2.046317E-06
3.532264E+03	1.473687E-04	2.071296E-06
3.542242E+03	1.491366E-04	2.096144E-06
3.552221E+03	1.508536E-04	2.120276E-06
3.557161E+03	1.141489E-04	1.604385E-06
3.561238E+03	1.252606E-04	1.760562E-06
3.565315E+03	1.340036E-04	1.883446E-06
3.569392E+03	1.391171E-04	1.955318E-06
3.573469E+03	1.393995E-04	1.959287E-06
3.577546E+03	1.445117E-04	2.031140E-06
3.581623E+03	1.485072E-04	2.087298E-06
3.585700E+03	1.585683E-04	2.228707E-06
3.589777E+03	1.656218E-04	2.327847E-06
3.593855E+03	1.726811E-04	2.427067E-06
3.597932E+03	1.720725E-04	2.418513E-06
3.602010E+03	1.742678E-04	2.449368E-06
3.606087E+03	1.758735E-04	2.471936E-06
3.610164E+03	1.725248E-04	2.424870E-06
3.614241E+03	1.692425E-04	2.378736E-06
3.618318E+03	1.617261E-04	2.273091E-06
3.622395E+03	1.572670E-04	2.210417E-06
3.626472E+03	1.474020E-04	2.071764E-06
3.630549E+03	1.408693E-04	1.979946E-06
3.634626E+03	1.334108E-04	1.875114E-06
3.638703E+03	1.233031E-04	1.733049E-06
3.642780E+03	1.149388E-04	1.615487E-06
3.646858E+03	1.105890E-04	1.554350E-06
3.650935E+03	1.050505E-04	1.476505E-06
3.655013E+03	1.005249E-04	1.412896E-06
3.659090E+03	1.020687E-04	1.434595E-06
3.663167E+03	1.057024E-04	1.485667E-06
3.667244E+03	1.089299E-04	1.531031E-06
3.671321E+03	1.115578E-04	1.567966E-06
3.675398E+03	1.251693E-04	1.759279E-06
3.679475E+03	1.346692E-04	1.892802E-06
3.683552E+03	1.487934E-04	2.091320E-06
3.687630E+03	1.621730E-04	2.279373E-06
3.691707E+03	1.716384E-04	2.412411E-06
3.695784E+03	1.792511E-04	2.519409E-06
3.699861E+03	1.870321E-04	2.628772E-06
3.703938E+03	1.934933E-04	2.719586E-06
3.708015E+03	2.027449E-04	2.849619E-06
3.712093E+03	2.085593E-04	2.931341E-06
3.716170E+03	2.107036E-04	2.961479E-06
3.720247E+03	2.116155E-04	2.974297E-06
3.724324E+03	2.116110E-04	2.974234E-06
3.728401E+03	2.129131E-04	2.992534E-06
3.732479E+03	2.106491E-04	2.960713E-06
3.736556E+03	2.040955E-04	2.868601E-06
3.740633E+03	2.005283E-04	2.818464E-06
3.744710E+03	1.957924E-04	2.751900E-06
3.748787E+03	1.906346E-04	2.679406E-06
3.752864E+03	1.823830E-04	2.563429E-06
