#wls	flux	fluxerr
1.596504E+03	7.358361E-06	6.431283E-07
1.636416E+03	7.356976E-06	6.415231E-07
1.676329E+03	7.360855E-06	6.403370E-07
1.716241E+03	7.375913E-06	6.400790E-07
1.756154E+03	7.398743E-06	6.404460E-07
1.796067E+03	7.430762E-06	6.415539E-07
1.835979E+03	7.478052E-06	6.439189E-07
1.875892E+03	7.537560E-06	6.472664E-07
1.915804E+03	7.615505E-06	6.521183E-07
1.955717E+03	7.709028E-06	6.582148E-07
1.995630E+03	7.819909E-06	6.656930E-07
2.035542E+03	7.954604E-06	6.750844E-07
2.075455E+03	8.115089E-06	6.865339E-07
2.115367E+03	8.294004E-06	6.993959E-07
2.155280E+03	8.502692E-06	7.146039E-07
2.195193E+03	8.743320E-06	7.323085E-07
2.235105E+03	9.013165E-06	7.522489E-07
2.275018E+03	9.314192E-06	7.745554E-07
2.314930E+03	9.653482E-06	7.997786E-07
2.354843E+03	1.003327E-05	8.280586E-07
2.394755E+03	1.045032E-05	8.590799E-07
2.434668E+03	1.090633E-05	8.929350E-07
2.474581E+03	1.140865E-05	9.301717E-07
2.514493E+03	1.195326E-05	9.704030E-07
2.554406E+03	1.254765E-05	1.014174E-06
2.594318E+03	1.318711E-05	1.061038E-06
2.634231E+03	1.387930E-05	1.111538E-06
2.674144E+03	1.462576E-05	1.165721E-06
2.714056E+03	1.542065E-05	1.223038E-06
2.753969E+03	1.626444E-05	1.283447E-06
2.793881E+03	1.716537E-05	1.347510E-06
2.833794E+03	1.812459E-05	1.415223E-06
2.873707E+03	1.913464E-05	1.485902E-06
2.913619E+03	2.020446E-05	1.560142E-06
2.953532E+03	2.132573E-05	1.637193E-06
2.993444E+03	2.250801E-05	1.717682E-06
3.003423E+03	2.280432E-05	1.737657E-06
3.013401E+03	2.311364E-05	1.758539E-06
3.023379E+03	2.342624E-05	1.779585E-06
3.033357E+03	2.374213E-05	1.800792E-06
3.043335E+03	2.406130E-05	1.822158E-06
3.053313E+03	2.438373E-05	1.843680E-06
3.063291E+03	2.470944E-05	1.865359E-06
3.073270E+03	2.503842E-05	1.887190E-06
3.083248E+03	2.537067E-05	1.909173E-06
3.093226E+03	2.570620E-05	1.931306E-06
3.103204E+03	2.604500E-05	1.953587E-06
3.113182E+03	2.638707E-05	1.976013E-06
3.123160E+03	2.674349E-05	1.999412E-06
3.133138E+03	2.709224E-05	2.022133E-06
3.143117E+03	2.744429E-05	2.044996E-06
3.153095E+03	2.781102E-05	2.068847E-06
3.163073E+03	2.816981E-05	2.091999E-06
3.173051E+03	2.853194E-05	2.115289E-06
3.183029E+03	2.890914E-05	2.139585E-06
3.193007E+03	2.927814E-05	2.163161E-06
3.202985E+03	2.966249E-05	2.187756E-06
3.212964E+03	3.003849E-05	2.211618E-06
3.222942E+03	3.043016E-05	2.236515E-06
3.232920E+03	3.081333E-05	2.260668E-06
3.242898E+03	3.121252E-05	2.285874E-06
3.252876E+03	3.161562E-05	2.311241E-06
3.262854E+03	3.201011E-05	2.335854E-06
3.272832E+03	3.242120E-05	2.361550E-06
3.282811E+03	3.283650E-05	2.387422E-06
3.292789E+03	3.325611E-05	2.413474E-06
3.302767E+03	3.368018E-05	2.439715E-06
3.312745E+03	3.409564E-05	2.465197E-06
3.322723E+03	3.452898E-05	2.491835E-06
3.332701E+03	3.496728E-05	2.518689E-06
3.342680E+03	3.541076E-05	2.545772E-06
3.352658E+03	3.585963E-05	2.573098E-06
3.362636E+03	3.631418E-05	2.600682E-06
3.372614E+03	3.678864E-05	2.629539E-06
3.382592E+03	3.725554E-05	2.657700E-06
3.392570E+03	3.772905E-05	2.686177E-06
3.402548E+03	3.820955E-05	2.714992E-06
3.412527E+03	3.869745E-05	2.744171E-06
3.422505E+03	3.920784E-05	2.774777E-06
3.432483E+03	3.971210E-05	2.804778E-06
3.442461E+03	4.022526E-05	2.835236E-06
3.452439E+03	4.076293E-05	2.867243E-06
3.462417E+03	4.129583E-05	2.898733E-06
3.472395E+03	4.183953E-05	2.930797E-06
3.482374E+03	4.241028E-05	2.964566E-06
3.492352E+03	4.297804E-05	2.997930E-06
3.502330E+03	4.357483E-05	3.033119E-06
3.512308E+03	4.418611E-05	3.069108E-06
3.522286E+03	4.479673E-05	3.104841E-06
3.532264E+03	4.543991E-05	3.142614E-06
3.542242E+03	4.608434E-05	3.180249E-06
3.552221E+03	4.676408E-05	3.220092E-06
3.562199E+03	4.746413E-05	3.261093E-06
3.572177E+03	4.818594E-05	3.303341E-06
3.582155E+03	4.891374E-05	3.345747E-06
3.592133E+03	4.968347E-05	3.390760E-06
3.602111E+03	5.047979E-05	3.437312E-06
3.612090E+03	5.130449E-05	3.485513E-06
3.622068E+03	5.215951E-05	3.535480E-06
3.632046E+03	5.304688E-05	3.587333E-06
3.642024E+03	5.396873E-05	3.641199E-06
3.652002E+03	5.492731E-05	3.697212E-06
3.661980E+03	5.592497E-05	3.755511E-06
3.671958E+03	5.696417E-05	3.816239E-06
3.681937E+03	5.804751E-05	3.879549E-06
3.691915E+03	5.919773E-05	3.946934E-06
3.701893E+03	6.037774E-05	4.015893E-06
