#wls	flux	fluxerr
1.596504E+03	7.336062E-04	1.318265E-06
1.636416E+03	7.321582E-04	1.315122E-06
1.676329E+03	7.294087E-04	1.309635E-06
1.716241E+03	7.254132E-04	1.301906E-06
1.756154E+03	7.197413E-04	1.291166E-06
1.796067E+03	7.116786E-04	1.276137E-06
1.835979E+03	7.003982E-04	1.255345E-06
1.875892E+03	6.845437E-04	1.226367E-06
1.915804E+03	6.624800E-04	1.186286E-06
1.955717E+03	6.320442E-04	1.131249E-06
1.995630E+03	5.914424E-04	1.058069E-06
2.035542E+03	5.408790E-04	9.671382E-07
2.075455E+03	4.850333E-04	8.668491E-07
2.115367E+03	4.308396E-04	7.696043E-07
2.155280E+03	3.836937E-04	6.850354E-07
2.195193E+03	3.485913E-04	6.220391E-07
2.235105E+03	3.315539E-04	5.913228E-07
2.275018E+03	3.386697E-04	6.036880E-07
2.314930E+03	3.733229E-04	6.650942E-07
2.354843E+03	4.347830E-04	7.741583E-07
2.394755E+03	5.203086E-04	9.259200E-07
2.434668E+03	6.290211E-04	1.118741E-06
2.474581E+03	7.612207E-04	1.353079E-06
2.514493E+03	9.160431E-04	1.627321E-06
2.554406E+03	1.090951E-03	1.936886E-06
2.594318E+03	1.282219E-03	2.275092E-06
2.634231E+03	1.484194E-03	2.631857E-06
2.674144E+03	1.690261E-03	2.995412E-06
2.714056E+03	1.892510E-03	3.351731E-06
2.753969E+03	2.083936E-03	3.688422E-06
2.793881E+03	2.261269E-03	3.999726E-06
2.833794E+03	2.421740E-03	4.280794E-06
2.873707E+03	2.564478E-03	4.530139E-06
2.913619E+03	2.687947E-03	4.745111E-06
2.953532E+03	2.791213E-03	4.924122E-06
2.993444E+03	2.873480E-03	5.065839E-06
3.003423E+03	2.890766E-03	5.095450E-06
3.013401E+03	2.906843E-03	5.122919E-06
3.023379E+03	2.921688E-03	5.148206E-06
3.033357E+03	2.935041E-03	5.170853E-06
3.043335E+03	2.947452E-03	5.191831E-06
3.053313E+03	2.958958E-03	5.211207E-06
3.063291E+03	2.969283E-03	5.228493E-06
3.073270E+03	2.978654E-03	5.244093E-06
3.083248E+03	2.987065E-03	5.257995E-06
3.093226E+03	2.994522E-03	5.270212E-06
3.103204E+03	3.001235E-03	5.281113E-06
3.113182E+03	3.006962E-03	5.290274E-06
3.123160E+03	3.012230E-03	5.298622E-06
3.133138E+03	3.016970E-03	5.306039E-06
3.143117E+03	3.021476E-03	5.313037E-06
3.153095E+03	3.026393E-03	5.320755E-06
3.163073E+03	3.032285E-03	5.330183E-06
3.173051E+03	3.040049E-03	5.342894E-06
3.183029E+03	3.050241E-03	5.359866E-06
3.193007E+03	3.064100E-03	5.383274E-06
3.202985E+03	3.082067E-03	5.413888E-06
3.212964E+03	3.105615E-03	5.454289E-06
3.222942E+03	3.135389E-03	5.505609E-06
3.232920E+03	3.172226E-03	5.569307E-06
3.242898E+03	3.217124E-03	5.647133E-06
3.252876E+03	3.271029E-03	5.740737E-06
3.262854E+03	3.334422E-03	5.850955E-06
3.272832E+03	3.408268E-03	5.979468E-06
3.282811E+03	3.492818E-03	6.126712E-06
3.292789E+03	3.588788E-03	6.293930E-06
3.302767E+03	3.696389E-03	6.481481E-06
3.312745E+03	3.815747E-03	6.689576E-06
3.322723E+03	3.947362E-03	6.919078E-06
3.332701E+03	4.091160E-03	7.169848E-06
3.342680E+03	4.247571E-03	7.442626E-06
3.352658E+03	4.417182E-03	7.738430E-06
3.362636E+03	4.600766E-03	8.058601E-06
3.372614E+03	4.799035E-03	8.404372E-06
3.382592E+03	5.012989E-03	8.777480E-06
3.392570E+03	5.243561E-03	9.179545E-06
3.400613E+03	4.272536E-03	7.478549E-06
3.402918E+03	4.285922E-03	7.501667E-06
3.405213E+03	4.299705E-03	7.525479E-06
3.407518E+03	4.319128E-03	7.559158E-06
3.409813E+03	4.346354E-03	7.606492E-06
3.412117E+03	4.369299E-03	7.646329E-06
3.414412E+03	4.405059E-03	7.708589E-06
3.416717E+03	4.443346E-03	7.775263E-06
3.419012E+03	4.463566E-03	7.810321E-06
3.421317E+03	4.520105E-03	7.908922E-06
3.423612E+03	4.583911E-03	8.020232E-06
3.425917E+03	4.641079E-03	8.119916E-06
3.428212E+03	4.698273E-03	8.219639E-06
3.430517E+03	4.752982E-03	8.315005E-06
3.432812E+03	4.834653E-03	8.457530E-06
3.435117E+03	4.920035E-03	8.606534E-06
3.437412E+03	4.994407E-03	8.736267E-06
3.439707E+03	5.085547E-03	8.895320E-06
3.442012E+03	5.164562E-03	9.033151E-06
3.444307E+03	5.244382E-03	9.172378E-06
3.446612E+03	5.333642E-03	9.328102E-06
3.448907E+03	5.413958E-03	9.468174E-06
3.451212E+03	5.507291E-03	9.630996E-06
3.453507E+03	5.585879E-03	9.768020E-06
3.455812E+03	5.679379E-03	9.931108E-06
3.458107E+03	5.768702E-03	1.008688E-05
3.460412E+03	5.858792E-03	1.024398E-05
3.462707E+03	5.959116E-03	1.041896E-05
3.465012E+03	6.033954E-03	1.054936E-05
3.467307E+03	6.113501E-03	1.068799E-05
3.469612E+03	6.174697E-03	1.079452E-05
3.471907E+03	6.237324E-03	1.090355E-05
3.474211E+03	6.292321E-03	1.099923E-05
3.476506E+03	6.351974E-03	1.110305E-05
3.478811E+03	6.410835E-03	1.120546E-05
3.481106E+03	6.478172E-03	1.132269E-05
3.483411E+03	6.532790E-03	1.141767E-05
3.485706E+03	6.577588E-03	1.149549E-05
3.488011E+03	6.612643E-03	1.155627E-05
3.490306E+03	6.644065E-03	1.161069E-05
3.492611E+03	6.678998E-03	1.167125E-05
3.494906E+03	6.727532E-03	1.175557E-05
3.497211E+03	6.765601E-03	1.182159E-05
3.499506E+03	6.821225E-03	1.191829E-05
3.501811E+03	6.863147E-03	1.199103E-05
3.504106E+03	6.896890E-03	1.204948E-05
3.506411E+03	6.948497E-03	1.213914E-05
3.508706E+03	6.997140E-03	1.222360E-05
3.511011E+03	7.039061E-03	1.229632E-05
3.513306E+03	7.078597E-03	1.236487E-05
3.515611E+03	7.132319E-03	1.245819E-05
3.517906E+03	7.188982E-03	1.255663E-05
3.520201E+03	7.240123E-03	1.264543E-05
3.522506E+03	7.298377E-03	1.274664E-05
3.524801E+03	7.370259E-03	1.287164E-05
3.527106E+03	7.430105E-03	1.297561E-05
3.529401E+03	7.511033E-03	1.311639E-05
3.531706E+03	7.567840E-03	1.321504E-05
3.534001E+03	7.651902E-03	1.336127E-05
3.536305E+03	7.739393E-03	1.351347E-05
3.538600E+03	7.819298E-03	1.365242E-05
3.540905E+03	7.914868E-03	1.381870E-05
3.543200E+03	8.019900E-03	1.400149E-05
3.545505E+03	8.107362E-03	1.415359E-05
3.547800E+03	8.176849E-03	1.427430E-05
3.550105E+03	8.215339E-03	1.434089E-05
3.552400E+03	8.260968E-03	1.441994E-05
3.554705E+03	8.320983E-03	1.452409E-05
3.557000E+03	8.362596E-03	1.459611E-05
3.559305E+03	8.391458E-03	1.464587E-05
3.561600E+03	8.442891E-03	1.473502E-05
3.563905E+03	8.470310E-03	1.478225E-05
3.566200E+03	8.502822E-03	1.483837E-05
3.568505E+03	8.582490E-03	1.497676E-05
3.570800E+03	8.616499E-03	1.503548E-05
3.573105E+03	8.639551E-03	1.507507E-05
3.575400E+03	8.634083E-03	1.506490E-05
3.577705E+03	8.626613E-03	1.505123E-05
3.580000E+03	8.661527E-03	1.511151E-05
3.582305E+03	8.640472E-03	1.507414E-05
3.584600E+03	8.624969E-03	1.504647E-05
3.586905E+03	8.621908E-03	1.504049E-05
3.589200E+03	8.599705E-03	1.500113E-05
3.591505E+03	8.601717E-03	1.500401E-05
3.593800E+03	8.579295E-03	1.496427E-05
3.596095E+03	8.572225E-03	1.495131E-05
3.598400E+03	8.574124E-03	1.495399E-05
3.600694E+03	8.563938E-03	1.493560E-05
3.602999E+03	8.579193E-03	1.496158E-05
3.605294E+03	8.594355E-03	1.498739E-05
3.607599E+03	8.621751E-03	1.503453E-05
3.609894E+03	8.659711E-03	1.510009E-05
3.612199E+03	8.668381E-03	1.511457E-05
3.614494E+03	8.696670E-03	1.516326E-05
3.616799E+03	8.705291E-03	1.517765E-05
3.619094E+03	8.729046E-03	1.521843E-05
3.621399E+03	8.745255E-03	1.524605E-05
3.623694E+03	8.764365E-03	1.527873E-05
3.625999E+03	8.771149E-03	1.528991E-05
3.628294E+03	8.794792E-03	1.533048E-05
3.630599E+03	8.799762E-03	1.533849E-05
3.632894E+03	8.787118E-03	1.531581E-05
3.635199E+03	8.819228E-03	1.537113E-05
3.637494E+03	8.863057E-03	1.544687E-05
3.639799E+03	8.919005E-03	1.554373E-05
3.642094E+03	8.970961E-03	1.563362E-05
3.644399E+03	9.007947E-03	1.569741E-05
3.646694E+03	9.071260E-03	1.580708E-05
3.648999E+03	9.164682E-03	1.596920E-05
3.651294E+03	9.269628E-03	1.615139E-05
3.653599E+03	9.366194E-03	1.631896E-05
3.655894E+03	9.465384E-03	1.649109E-05
3.658199E+03	9.569124E-03	1.667113E-05
3.660494E+03	9.725560E-03	1.694296E-05
3.662798E+03	9.900933E-03	1.724775E-05
3.665093E+03	1.007775E-02	1.755503E-05
3.667398E+03	1.028199E-02	1.791006E-05
3.669693E+03	1.052941E-02	1.834026E-05
3.671998E+03	1.080983E-02	1.882791E-05
3.674293E+03	1.107635E-02	1.929131E-05
3.676588E+03	1.139360E-02	1.984302E-05
