#wls	flux	fluxerr
1.596504E+03	5.323570E-06	4.622769E-07
1.636416E+03	5.342540E-06	4.628261E-07
1.676329E+03	5.358923E-06	4.631150E-07
1.716241E+03	5.373503E-06	4.632118E-07
1.756154E+03	5.390108E-06	4.634460E-07
1.796067E+03	5.408209E-06	4.637699E-07
1.835979E+03	5.423572E-06	4.638194E-07
1.875892E+03	5.434824E-06	4.634784E-07
1.915804E+03	5.443564E-06	4.628850E-07
1.955717E+03	5.445644E-06	4.616884E-07
1.995630E+03	5.445659E-06	4.602815E-07
2.035542E+03	5.447352E-06	4.589803E-07
2.075455E+03	5.468835E-06	4.593041E-07
2.115367E+03	5.529478E-06	4.628569E-07
2.155280E+03	5.654575E-06	4.717141E-07
2.195193E+03	5.852711E-06	4.865308E-07
2.235105E+03	6.123706E-06	5.072230E-07
2.275018E+03	6.454927E-06	5.326758E-07
2.314930E+03	6.829279E-06	5.614205E-07
2.354843E+03	7.240465E-06	5.928911E-07
2.394755E+03	7.680128E-06	6.263603E-07
2.434668E+03	8.150917E-06	6.620037E-07
2.474581E+03	8.654160E-06	6.998848E-07
2.514493E+03	9.187824E-06	7.397930E-07
2.554406E+03	9.758615E-06	7.822193E-07
2.594318E+03	1.036438E-05	8.269357E-07
2.634231E+03	1.101199E-05	8.744330E-07
2.674144E+03	1.170371E-05	9.248239E-07
2.714056E+03	1.244154E-05	9.781946E-07
2.753969E+03	1.322140E-05	1.034151E-06
2.793881E+03	1.405014E-05	1.093151E-06
2.833794E+03	1.492909E-05	1.155213E-06
2.873707E+03	1.585272E-05	1.219822E-06
2.913619E+03	1.682809E-05	1.287431E-06
2.953532E+03	1.785600E-05	1.358004E-06
2.993444E+03	1.893709E-05	1.431486E-06
3.003423E+03	1.921259E-05	1.450066E-06
3.013401E+03	1.949089E-05	1.468781E-06
3.023379E+03	1.977988E-05	1.488223E-06
3.033357E+03	2.006394E-05	1.507213E-06
3.043335E+03	2.035933E-05	1.526974E-06
3.053313E+03	2.065042E-05	1.546329E-06
3.063291E+03	2.095329E-05	1.566483E-06
3.073270E+03	2.125145E-05	1.586198E-06
3.083248E+03	2.156136E-05	1.606703E-06
3.093226E+03	2.187466E-05	1.627372E-06
3.103204E+03	2.218270E-05	1.647559E-06
3.113182E+03	2.250245E-05	1.668525E-06
3.123160E+03	2.282535E-05	1.689630E-06
3.133138E+03	2.315130E-05	1.710867E-06
3.143117E+03	2.348025E-05	1.732228E-06
3.153095E+03	2.381211E-05	1.753705E-06
3.163073E+03	2.414683E-05	1.775295E-06
3.173051E+03	2.448435E-05	1.796988E-06
3.183029E+03	2.482462E-05	1.818782E-06
3.193007E+03	2.516759E-05	1.840670E-06
3.202985E+03	2.551323E-05	1.862649E-06
3.212964E+03	2.587111E-05	1.885414E-06
3.222942E+03	2.622208E-05	1.907566E-06
3.232920E+03	2.657565E-05	1.929798E-06
3.242898E+03	2.694169E-05	1.952824E-06
3.252876E+03	2.730052E-05	1.975214E-06
3.262854E+03	2.767203E-05	1.998408E-06
3.272832E+03	2.803617E-05	2.020953E-06
3.282811E+03	2.841323E-05	2.044311E-06
3.292789E+03	2.879318E-05	2.067757E-06
3.302767E+03	2.916562E-05	2.090543E-06
3.312745E+03	2.955144E-05	2.114166E-06
3.322723E+03	2.994037E-05	2.137887E-06
3.332701E+03	3.033252E-05	2.161710E-06
3.342680E+03	3.072801E-05	2.185644E-06
3.352658E+03	3.111605E-05	2.208918E-06
3.362636E+03	3.151859E-05	2.233092E-06
3.372614E+03	3.192500E-05	2.257406E-06
3.382592E+03	3.234672E-05	2.282665E-06
3.392570E+03	3.276162E-05	2.307304E-06
3.402548E+03	3.318112E-05	2.332127E-06
3.412527E+03	3.360553E-05	2.357152E-06
3.422505E+03	3.403518E-05	2.382401E-06
3.432483E+03	3.448223E-05	2.408720E-06
3.442461E+03	3.492368E-05	2.434496E-06
3.452439E+03	3.538362E-05	2.461407E-06
3.462417E+03	3.583872E-05	2.487826E-06
3.472395E+03	3.631360E-05	2.515457E-06
3.482374E+03	3.678458E-05	2.542656E-06
3.492352E+03	3.727686E-05	2.571159E-06
3.502330E+03	3.776640E-05	2.599304E-06
3.512308E+03	3.827896E-05	2.628860E-06
3.522286E+03	3.880298E-05	2.659021E-06
3.532264E+03	3.933938E-05	2.689847E-06
3.542242E+03	3.987613E-05	2.720508E-06
3.552221E+03	4.044024E-05	2.752842E-06
3.562199E+03	4.101997E-05	2.786039E-06
3.572177E+03	4.161656E-05	2.820175E-06
3.582155E+03	4.223135E-05	2.855330E-06
3.592133E+03	4.286577E-05	2.891593E-06
3.602111E+03	4.353526E-05	2.929990E-06
3.612090E+03	4.421379E-05	2.968759E-06
3.622068E+03	4.491686E-05	3.008930E-06
3.632046E+03	4.564632E-05	3.050615E-06
3.642024E+03	4.641870E-05	3.094902E-06
3.652002E+03	4.720710E-05	3.139980E-06
3.661980E+03	4.802809E-05	3.186940E-06
3.671958E+03	4.889919E-05	3.236923E-06
3.681937E+03	4.979261E-05	3.288070E-06
3.691915E+03	5.074150E-05	3.342553E-06
3.701893E+03	5.171746E-05	3.398474E-06
3.711871E+03	5.275473E-05	3.458066E-06
3.721849E+03	5.384054E-05	3.520459E-06
3.731827E+03	5.496111E-05	3.584731E-06
3.741805E+03	5.615253E-05	3.653209E-06
3.751784E+03	5.740143E-05	3.724991E-06
3.761762E+03	5.871091E-05	3.800243E-06
3.771740E+03	6.008405E-05	3.879135E-06
3.781718E+03	6.152395E-05	3.961831E-06
3.791696E+03	6.303368E-05	4.048491E-06
3.801674E+03	6.461623E-05	4.139271E-06
3.811652E+03	6.627453E-05	4.234318E-06
3.821631E+03	6.801138E-05	4.333768E-06
3.831609E+03	6.982942E-05	4.437747E-06
3.841587E+03	7.173116E-05	4.546369E-06
3.851565E+03	7.371883E-05	4.659729E-06
3.861543E+03	7.581645E-05	4.779294E-06
3.871521E+03	7.798248E-05	4.902391E-06
3.881500E+03	8.023983E-05	5.030419E-06
3.891478E+03	8.261324E-05	5.164873E-06
3.901456E+03	8.505706E-05	5.302842E-06
3.911434E+03	8.759490E-05	5.445753E-06
3.921412E+03	9.025238E-05	5.595141E-06
3.931390E+03	9.300543E-05	5.749452E-06
3.941368E+03	9.582671E-05	5.906944E-06
3.951347E+03	9.876877E-05	6.070808E-06
3.961325E+03	1.017762E-04	6.237576E-06
3.971303E+03	1.049038E-04	6.410562E-06
3.981281E+03	1.081228E-04	6.587942E-06
3.991259E+03	1.114318E-04	6.769574E-06
4.001237E+03	1.147979E-04	6.953416E-06
4.011215E+03	1.182817E-04	7.143089E-06
4.021194E+03	1.218512E-04	7.336600E-06
4.031172E+03	1.255050E-04	7.533813E-06
4.041150E+03	1.292421E-04	7.734612E-06
4.051128E+03	1.330613E-04	7.938881E-06
4.061106E+03	1.369620E-04	8.146531E-06
4.071084E+03	1.409438E-04	8.357488E-06
4.081062E+03	1.450064E-04	8.571685E-06
4.091041E+03	1.491500E-04	8.789085E-06
4.101019E+03	1.533750E-04	9.009661E-06
4.110997E+03	1.577236E-04	9.235834E-06
4.120975E+03	1.621149E-04	9.462799E-06
4.130953E+03	1.665902E-04	9.692946E-06
4.140931E+03	1.711512E-04	9.926307E-06
4.150910E+03	1.758445E-04	1.016553E-05
4.160888E+03	1.805814E-04	1.040542E-05
4.170866E+03	1.854078E-04	1.064858E-05
4.180844E+03	1.903733E-04	1.089781E-05
4.190822E+03	1.953825E-04	1.114757E-05
4.200800E+03	2.005344E-04	1.140346E-05
4.210778E+03	2.057284E-04	1.165969E-05
4.220757E+03	2.110671E-04	1.192204E-05
4.230735E+03	2.164445E-04	1.218444E-05
4.240713E+03	2.219672E-04	1.245285E-05
4.250691E+03	2.275235E-04	1.272094E-05
4.260669E+03	2.332240E-04	1.299485E-05
4.270647E+03	2.390111E-04	1.327127E-05
4.280625E+03	2.448222E-04	1.354672E-05
4.290604E+03	2.507750E-04	1.382764E-05
4.300582E+03	2.568084E-04	1.411062E-05
4.310560E+03	2.629211E-04	1.439550E-05
4.320538E+03	2.690468E-04	1.467864E-05
4.330516E+03	2.753148E-04	1.496705E-05
4.340494E+03	2.816611E-04	1.525719E-05
4.350472E+03	2.880864E-04	1.554902E-05
4.360451E+03	2.945910E-04	1.584253E-05
4.370429E+03	3.011027E-04	1.613381E-05
4.380407E+03	3.077624E-04	1.643035E-05
4.390385E+03	3.144917E-04	1.672791E-05
4.400363E+03	3.212765E-04	1.702570E-05
4.410341E+03	3.281001E-04	1.732280E-05
4.420320E+03	3.349434E-04	1.761818E-05
4.430298E+03	3.417857E-04	1.791075E-05
4.440276E+03	3.486049E-04	1.819936E-05
4.450254E+03	3.553782E-04	1.848283E-05
4.460232E+03	3.620822E-04	1.875997E-05
4.470210E+03	3.686931E-04	1.902961E-05
4.480188E+03	3.751871E-04	1.929059E-05
4.490167E+03	3.815403E-04	1.954173E-05
4.500145E+03	3.877291E-04	1.978194E-05
4.510123E+03	3.937304E-04	2.001014E-05
4.520101E+03	3.995216E-04	2.022529E-05
4.530079E+03	4.050810E-04	2.042644E-05
4.540057E+03	4.104806E-04	2.061734E-05
4.550035E+03	4.155173E-04	2.078792E-05
4.560014E+03	4.202655E-04	2.094211E-05
4.569992E+03	4.247101E-04	2.107933E-05
4.579970E+03	4.288386E-04	2.119913E-05
4.589948E+03	4.326407E-04	2.130121E-05
4.599926E+03	4.361099E-04	2.138542E-05
4.609904E+03	4.393385E-04	2.145649E-05
4.619882E+03	4.421333E-04	2.150514E-05
4.629861E+03	4.445931E-04	2.153644E-05
4.639839E+03	4.467239E-04	2.155086E-05
4.649817E+03	4.485348E-04	2.154904E-05
4.659795E+03	4.500377E-04	2.153174E-05
4.669773E+03	4.513448E-04	2.150448E-05
4.679751E+03	4.522780E-04	2.145895E-05
4.689729E+03	4.529534E-04	2.140084E-05
4.699708E+03	4.533909E-04	2.133125E-05
4.709686E+03	4.536117E-04	2.125131E-05
4.719664E+03	4.536369E-04	2.116214E-05
4.729642E+03	4.535838E-04	2.106931E-05
4.739620E+03	4.532806E-04	2.096493E-05
4.749598E+03	4.528433E-04	2.085447E-05
4.759577E+03	4.522902E-04	2.073887E-05
4.769555E+03	4.516380E-04	2.061897E-05
4.779533E+03	4.509015E-04	2.049549E-05
4.789511E+03	4.500935E-04	2.036907E-05
4.799489E+03	4.493176E-04	2.024442E-05
4.809467E+03	4.483958E-04	2.011355E-05
4.819445E+03	4.474282E-04	1.998102E-05
4.829424E+03	4.464193E-04	1.984705E-05
4.839402E+03	4.453717E-04	1.971180E-05
4.849380E+03	4.442868E-04	1.957535E-05
4.859358E+03	4.431646E-04	1.943773E-05
4.869336E+03	4.420041E-04	1.929893E-05
4.879314E+03	4.408039E-04	1.915890E-05
4.889292E+03	4.395623E-04	1.901761E-05
4.899271E+03	4.382774E-04	1.887502E-05
4.909249E+03	4.369481E-04	1.873110E-05
4.919227E+03	4.355739E-04	1.858585E-05
4.929205E+03	4.341552E-04	1.843935E-05
4.939183E+03	4.326936E-04	1.829168E-05
4.949161E+03	4.311922E-04	1.814301E-05
4.959139E+03	4.296557E-04	1.799358E-05
4.969118E+03	4.280901E-04	1.784365E-05
4.979096E+03	4.264196E-04	1.769011E-05
4.989074E+03	4.248212E-04	1.754033E-05
4.999052E+03	4.232214E-04	1.739127E-05
5.009030E+03	4.216319E-04	1.724341E-05
5.019008E+03	4.199843E-04	1.709397E-05
5.028987E+03	4.184556E-04	1.695017E-05
5.038965E+03	4.169779E-04	1.680920E-05
5.048943E+03	4.155656E-04	1.667162E-05
5.058921E+03	4.141537E-04	1.653482E-05
5.068899E+03	4.129151E-04	1.640567E-05
5.078877E+03	4.117050E-04	1.627836E-05
5.088855E+03	4.106929E-04	1.615955E-05
5.098834E+03	4.097340E-04	1.604348E-05
5.108812E+03	4.089939E-04	1.593656E-05
5.118790E+03	4.083265E-04	1.583305E-05
5.128768E+03	4.078935E-04	1.573912E-05
5.138746E+03	4.075470E-04	1.564901E-05
5.148724E+03	4.073685E-04	1.556578E-05
5.158702E+03	4.074368E-04	1.549236E-05
5.168681E+03	4.076015E-04	1.542293E-05
5.178659E+03	4.079391E-04	1.536033E-05
5.188637E+03	4.085243E-04	1.530730E-05
5.198615E+03	4.092040E-04	1.525800E-05
5.208593E+03	4.100513E-04	1.521512E-05
5.218571E+03	4.110627E-04	1.517846E-05
5.228549E+03	4.122340E-04	1.514781E-05
5.238528E+03	4.135609E-04	1.512293E-05
5.248506E+03	4.150383E-04	1.510360E-05
5.258484E+03	4.166610E-04	1.508957E-05
5.268462E+03	4.184238E-04	1.508061E-05
5.278440E+03	4.202452E-04	1.507375E-05
5.288418E+03	4.222715E-04	1.507422E-05
5.298397E+03	4.244212E-04	1.507905E-05
5.308375E+03	4.266886E-04	1.508801E-05
5.318353E+03	4.289913E-04	1.509818E-05
5.328331E+03	4.314768E-04	1.511474E-05
5.338309E+03	4.339853E-04	1.513209E-05
5.348287E+03	4.366647E-04	1.515537E-05
5.358265E+03	4.393538E-04	1.517899E-05
5.368244E+03	4.422011E-04	1.520809E-05
5.378222E+03	4.450434E-04	1.523706E-05
5.388200E+03	4.479509E-04	1.526833E-05
5.398178E+03	4.509949E-04	1.530436E-05
5.408156E+03	4.540090E-04	1.533950E-05
5.418134E+03	4.570637E-04	1.537620E-05
5.428112E+03	4.601504E-04	1.541421E-05
5.438091E+03	4.632611E-04	1.545330E-05
5.448069E+03	4.663883E-04	1.549328E-05
5.458047E+03	4.695257E-04	1.553397E-05
5.468025E+03	4.726685E-04	1.557529E-05
5.478003E+03	4.758138E-04	1.561720E-05
5.487981E+03	4.788786E-04	1.565703E-05
5.497959E+03	4.820279E-04	1.570028E-05
5.507938E+03	4.851832E-04	1.574441E-05
5.517916E+03	4.882672E-04	1.578699E-05
5.527894E+03	4.914554E-04	1.583378E-05
5.537872E+03	4.945920E-04	1.587979E-05
5.547850E+03	4.977745E-04	1.592824E-05
5.557828E+03	5.011043E-04	1.598241E-05
5.567807E+03	5.044308E-04	1.603754E-05
5.577785E+03	5.078596E-04	1.609705E-05
5.587763E+03	5.114143E-04	1.616173E-05
5.597741E+03	5.151205E-04	1.623244E-05
5.607719E+03	5.190062E-04	1.631007E-05
5.617697E+03	5.231012E-04	1.639556E-05
5.627675E+03	5.274378E-04	1.648990E-05
5.637654E+03	5.320503E-04	1.659413E-05
5.647632E+03	5.368862E-04	1.670660E-05
5.657610E+03	5.421618E-04	1.683400E-05
5.667588E+03	5.477383E-04	1.697199E-05
5.677566E+03	5.538381E-04	1.712743E-05
5.687544E+03	5.603219E-04	1.729597E-05
5.697522E+03	5.674175E-04	1.748461E-05
5.707501E+03	5.749829E-04	1.768895E-05
5.717479E+03	5.831545E-04	1.791315E-05
5.727457E+03	5.919749E-04	1.815852E-05
5.737435E+03	6.014860E-04	1.842630E-05
5.747413E+03	6.117272E-04	1.871770E-05
5.757391E+03	6.227355E-04	1.903386E-05
5.767369E+03	6.345444E-04	1.937580E-05
5.777348E+03	6.471836E-04	1.974445E-05
5.787326E+03	6.605709E-04	2.013733E-05
