#wls	flux	fluxerr
1.581262E+03	1.010223E-04	7.030193E-06
1.620794E+03	1.024518E-04	7.107138E-06
1.660325E+03	1.038990E-04	7.184084E-06
1.699857E+03	1.053301E-04	7.258649E-06
1.739388E+03	1.068006E-04	7.334635E-06
1.778920E+03	1.082470E-04	7.407609E-06
1.818451E+03	1.097241E-04	7.481296E-06
1.857983E+03	1.111685E-04	7.551323E-06
1.897514E+03	1.126345E-04	7.621350E-06
1.937046E+03	1.140882E-04	7.689027E-06
1.976578E+03	1.154964E-04	7.752096E-06
2.016109E+03	1.169126E-04	7.814120E-06
2.055641E+03	1.183036E-04	7.872849E-06
2.095172E+03	1.196938E-04	7.929865E-06
2.134704E+03	1.210231E-04	7.981163E-06
2.174235E+03	1.223443E-04	8.030220E-06
2.213767E+03	1.236267E-04	8.074990E-06
2.253298E+03	1.248951E-04	8.117084E-06
2.292830E+03	1.261207E-04	8.154595E-06
2.332362E+03	1.273028E-04	8.187478E-06
2.371893E+03	1.284679E-04	8.217431E-06
2.411425E+03	1.295905E-04	8.242801E-06
2.450956E+03	1.306987E-04	8.265368E-06
2.490488E+03	1.317701E-04	8.283686E-06
2.530019E+03	1.328597E-04	8.301192E-06
2.569551E+03	1.339229E-04	8.315050E-06
2.609082E+03	1.349922E-04	8.327252E-06
2.648614E+03	1.361008E-04	8.339773E-06
2.688145E+03	1.372349E-04	8.351676E-06
2.727677E+03	1.384309E-04	8.365077E-06
2.767209E+03	1.397260E-04	8.382082E-06
2.806740E+03	1.411129E-04	8.402073E-06
2.846272E+03	1.426333E-04	8.427327E-06
2.885803E+03	1.443526E-04	8.461433E-06
2.925335E+03	1.462711E-04	8.504057E-06
2.964866E+03	1.484368E-04	8.557615E-06
2.974749E+03	1.490399E-04	8.573991E-06
2.984632E+03	1.496513E-04	8.590590E-06
2.994515E+03	1.502931E-04	8.608688E-06
3.004398E+03	1.509440E-04	8.627052E-06
3.014281E+03	1.516265E-04	8.646951E-06
3.024164E+03	1.523192E-04	8.667167E-06
3.034047E+03	1.530445E-04	8.688957E-06
3.043929E+03	1.538029E-04	8.712335E-06
3.053812E+03	1.545734E-04	8.736103E-06
3.063695E+03	1.553997E-04	8.762720E-06
3.073578E+03	1.562393E-04	8.789770E-06
3.083461E+03	1.570929E-04	8.817287E-06
3.093344E+03	1.580042E-04	8.847706E-06
3.103227E+03	1.589309E-04	8.878644E-06
3.113110E+03	1.598952E-04	8.911326E-06
3.122993E+03	1.608978E-04	8.945776E-06
3.132875E+03	1.619394E-04	8.982016E-06
3.142758E+03	1.630209E-04	9.020075E-06
3.152641E+03	1.641430E-04	9.059977E-06
3.162524E+03	1.652852E-04	9.100573E-06
3.172407E+03	1.664911E-04	9.144245E-06
3.182290E+03	1.677402E-04	9.189847E-06
3.192173E+03	1.690335E-04	9.237407E-06
3.202056E+03	1.703720E-04	9.286956E-06
3.211939E+03	1.717566E-04	9.338527E-06
3.221821E+03	1.731883E-04	9.392152E-06
3.231704E+03	1.746682E-04	9.447866E-06
3.241587E+03	1.762187E-04	9.506859E-06
3.251470E+03	1.778198E-04	9.568011E-06
3.261353E+03	1.794725E-04	9.631357E-06
3.271236E+03	1.811995E-04	9.698085E-06
3.281119E+03	1.829806E-04	9.767085E-06
3.291002E+03	1.848171E-04	9.838395E-06
3.300885E+03	1.867319E-04	9.913204E-06
3.310767E+03	1.887049E-04	9.990407E-06
3.320650E+03	1.907590E-04	1.007119E-05
3.330533E+03	1.928743E-04	1.015446E-05
3.340416E+03	1.950739E-04	1.024140E-05
3.350299E+03	1.973376E-04	1.033091E-05
3.360182E+03	1.997110E-04	1.042533E-05
