#wls	flux	fluxerr
1.581262E+03	3.297966E-01	8.636866E-03
1.620794E+03	3.543532E-01	9.127129E-03
1.660325E+03	3.786837E-01	9.592702E-03
1.699857E+03	4.021901E-01	1.001986E-02
1.739388E+03	4.241814E-01	1.039373E-02
1.778920E+03	4.438823E-01	1.069860E-02
1.818451E+03	4.605056E-01	1.091975E-02
1.857983E+03	4.733463E-01	1.104555E-02
1.897514E+03	4.819164E-01	1.107025E-02
1.937046E+03	4.861085E-01	1.099720E-02
1.976578E+03	4.862952E-01	1.084022E-02
2.016109E+03	4.828801E-01	1.061294E-02
2.055641E+03	4.727106E-01	1.025063E-02
2.095172E+03	4.485623E-01	9.604085E-03
2.134704E+03	4.224803E-01	8.938292E-03
2.174235E+03	3.996646E-01	8.362031E-03
2.213767E+03	3.799284E-01	7.867805E-03
2.253298E+03	3.585022E-01	7.354377E-03
2.292830E+03	3.372099E-01	6.858206E-03
2.332362E+03	3.190968E-01	6.439140E-03
2.371893E+03	3.037434E-01	6.085969E-03
2.411425E+03	2.906720E-01	5.786921E-03
2.450956E+03	2.797074E-01	5.536739E-03
2.490488E+03	2.708566E-01	5.334017E-03
2.530019E+03	2.639612E-01	5.174118E-03
2.569551E+03	2.576968E-01	5.029852E-03
2.609082E+03	2.484623E-01	4.830338E-03
2.648614E+03	2.374087E-01	4.597894E-03
2.688145E+03	2.274089E-01	4.387770E-03
2.727677E+03	2.188676E-01	4.207038E-03
2.767209E+03	2.115372E-01	4.050256E-03
2.806740E+03	2.051524E-01	3.911787E-03
2.846272E+03	1.995592E-01	3.788237E-03
2.885803E+03	1.947082E-01	3.678275E-03
2.925335E+03	1.906271E-01	3.582060E-03
2.964866E+03	1.873965E-01	3.500741E-03
2.974749E+03	1.867352E-01	3.482942E-03
2.984632E+03	1.861361E-01	3.466213E-03
2.994515E+03	1.856025E-01	3.450604E-03
3.004398E+03	1.851370E-01	3.436159E-03
3.014281E+03	1.847425E-01	3.422922E-03
3.024164E+03	1.844232E-01	3.410961E-03
3.034047E+03	1.841822E-01	3.400325E-03
3.043929E+03	1.840208E-01	3.391031E-03
