#wls	flux	fluxerr
1.581262E+03	2.326503E-18	1.440811E-19
1.620794E+03	2.368312E-18	1.462090E-19
1.660325E+03	2.407342E-18	1.481373E-19
1.699857E+03	2.444037E-18	1.498943E-19
1.739388E+03	2.477394E-18	1.514191E-19
1.778920E+03	2.508018E-18	1.527499E-19
1.818451E+03	2.533396E-18	1.537352E-19
1.857983E+03	2.552837E-18	1.543360E-19
1.897514E+03	2.564151E-18	1.544237E-19
1.937046E+03	2.567328E-18	1.540031E-19
1.976578E+03	2.561274E-18	1.530141E-19
2.016109E+03	2.547782E-18	1.515700E-19
2.055641E+03	2.532346E-18	1.500018E-19
2.095172E+03	2.524450E-18	1.488702E-19
2.134704E+03	2.535547E-18	1.488415E-19
2.174235E+03	2.571632E-18	1.502501E-19
2.213767E+03	2.634349E-18	1.531696E-19
2.253298E+03	2.715491E-18	1.571012E-19
2.292830E+03	2.808232E-18	1.616341E-19
2.332362E+03	2.904152E-18	1.662733E-19
2.371893E+03	2.999928E-18	1.708246E-19
2.411425E+03	3.092146E-18	1.750921E-19
2.450956E+03	3.180797E-18	1.790763E-19
2.490488E+03	3.266746E-18	1.828268E-19
2.530019E+03	3.350623E-18	1.863789E-19
2.569551E+03	3.432564E-18	1.897398E-19
2.609082E+03	3.514651E-18	1.930235E-19
2.648614E+03	3.597030E-18	1.962355E-19
2.688145E+03	3.681101E-18	1.994487E-19
2.727677E+03	3.766961E-18	2.026640E-19
2.767209E+03	3.856630E-18	2.059845E-19
2.806740E+03	3.950851E-18	2.094425E-19
2.846272E+03	4.050393E-18	2.130701E-19
2.885803E+03	4.156716E-18	2.169338E-19
2.925335E+03	4.270692E-18	2.210669E-19
2.964866E+03	4.394566E-18	2.255714E-19
2.974749E+03	4.426450E-18	2.267213E-19
2.984632E+03	4.459969E-18	2.279452E-19
2.994515E+03	4.493841E-18	2.291770E-19
3.004398E+03	4.528091E-18	2.304180E-19
3.014281E+03	4.563415E-18	2.317031E-19
3.024164E+03	4.599862E-18	2.330346E-19
3.034047E+03	4.636833E-18	2.343816E-19
3.043929E+03	4.674908E-18	2.357732E-19
