#wls	flux	fluxerr
1.600000E+03	8.307325E-15	0.000000E+00
1.640000E+03	9.018641E-15	0.000000E+00
1.680000E+03	9.749664E-15	0.000000E+00
1.720000E+03	1.048910E-14	0.000000E+00
1.760000E+03	1.122323E-14	0.000000E+00
1.800000E+03	1.193652E-14	0.000000E+00
1.840000E+03	1.261232E-14	0.000000E+00
1.880000E+03	1.323396E-14	0.000000E+00
1.920000E+03	1.378496E-14	0.000000E+00
1.960000E+03	1.424566E-14	0.000000E+00
2.000000E+03	1.457906E-14	0.000000E+00
2.040000E+03	1.469293E-14	0.000000E+00
2.080000E+03	1.441196E-14	0.000000E+00
2.120000E+03	1.366662E-14	0.000000E+00
2.160000E+03	1.265507E-14	0.000000E+00
2.200000E+03	1.160756E-14	0.000000E+00
2.240000E+03	1.063006E-14	0.000000E+00
2.280000E+03	9.813243E-15	0.000000E+00
2.320000E+03	9.130329E-15	0.000000E+00
2.360000E+03	8.533730E-15	0.000000E+00
2.400000E+03	8.019069E-15	0.000000E+00
2.440000E+03	7.578209E-15	0.000000E+00
2.480000E+03	7.200889E-15	0.000000E+00
2.520000E+03	6.874590E-15	0.000000E+00
2.560000E+03	6.580403E-15	0.000000E+00
2.600000E+03	6.298570E-15	0.000000E+00
2.640000E+03	6.047724E-15	0.000000E+00
2.680000E+03	5.814311E-15	0.000000E+00
2.720000E+03	5.586231E-15	0.000000E+00
2.760000E+03	5.376514E-15	0.000000E+00
2.800000E+03	5.190770E-15	0.000000E+00
2.840000E+03	5.028970E-15	0.000000E+00
2.880000E+03	4.889711E-15	0.000000E+00
2.920000E+03	4.772064E-15	0.000000E+00
2.960000E+03	4.676039E-15	0.000000E+00
3.000000E+03	4.602458E-15	0.000000E+00
3.010000E+03	4.587713E-15	0.000000E+00
3.020000E+03	4.574461E-15	0.000000E+00
3.030000E+03	4.562742E-15	0.000000E+00
3.040000E+03	4.552551E-15	0.000000E+00
3.050000E+03	4.543913E-15	0.000000E+00
3.060000E+03	4.536839E-15	0.000000E+00
3.070000E+03	4.531325E-15	0.000000E+00
3.080000E+03	4.527353E-15	0.000000E+00
3.090000E+03	4.524910E-15	0.000000E+00
3.100000E+03	4.523953E-15	0.000000E+00
3.110000E+03	4.524390E-15	0.000000E+00
3.120000E+03	4.526135E-15	0.000000E+00
3.130000E+03	4.529046E-15	0.000000E+00
3.140000E+03	4.532980E-15	0.000000E+00
3.150000E+03	4.537664E-15	0.000000E+00
3.160000E+03	4.542595E-15	0.000000E+00
3.170000E+03	4.547042E-15	0.000000E+00
3.180000E+03	4.550112E-15	0.000000E+00
3.190000E+03	4.550715E-15	0.000000E+00
3.200000E+03	4.547566E-15	0.000000E+00
3.210000E+03	4.539514E-15	0.000000E+00
3.220000E+03	4.525728E-15	0.000000E+00
3.230000E+03	4.505624E-15	0.000000E+00
3.240000E+03	4.479145E-15	0.000000E+00
3.250000E+03	4.446838E-15	0.000000E+00
3.260000E+03	4.409558E-15	0.000000E+00
3.270000E+03	4.368641E-15	0.000000E+00
3.280000E+03	4.325518E-15	0.000000E+00
3.290000E+03	4.281163E-15	0.000000E+00
3.300000E+03	4.236523E-15	0.000000E+00
3.310000E+03	4.192589E-15	0.000000E+00
3.320000E+03	4.150024E-15	0.000000E+00
3.330000E+03	4.109559E-15	0.000000E+00
3.340000E+03	4.071900E-15	0.000000E+00
3.350000E+03	4.037301E-15	0.000000E+00
3.360000E+03	4.006008E-15	0.000000E+00
3.370000E+03	3.978146E-15	0.000000E+00
3.380000E+03	3.953229E-15	0.000000E+00
3.390000E+03	3.930703E-15	0.000000E+00
3.400000E+03	3.909897E-15	0.000000E+00
3.410000E+03	3.889509E-15	0.000000E+00
3.420000E+03	3.868168E-15	0.000000E+00
3.430000E+03	3.844446E-15	0.000000E+00
3.440000E+03	3.816540E-15	0.000000E+00
3.450000E+03	3.782810E-15	0.000000E+00
3.460000E+03	3.742200E-15	0.000000E+00
3.470000E+03	3.694219E-15	0.000000E+00
3.480000E+03	3.639500E-15	0.000000E+00
3.490000E+03	3.579891E-15	0.000000E+00
3.500000E+03	3.517926E-15	0.000000E+00
3.510000E+03	3.456418E-15	0.000000E+00
3.520000E+03	3.397895E-15	0.000000E+00
3.530000E+03	3.344212E-15	0.000000E+00
3.540000E+03	3.296395E-15	0.000000E+00
3.550000E+03	3.254820E-15	0.000000E+00
3.560000E+03	3.219571E-15	0.000000E+00
3.570000E+03	3.190349E-15	0.000000E+00
3.580000E+03	3.166560E-15	0.000000E+00
3.590000E+03	3.147449E-15	0.000000E+00
3.600000E+03	3.132132E-15	0.000000E+00
3.610000E+03	3.119726E-15	0.000000E+00
3.620000E+03	3.109494E-15	0.000000E+00
3.630000E+03	3.100803E-15	0.000000E+00
3.640000E+03	3.093192E-15	0.000000E+00
3.650000E+03	3.086470E-15	0.000000E+00
3.660000E+03	3.080499E-15	0.000000E+00
3.670000E+03	3.075182E-15	0.000000E+00
3.680000E+03	3.070769E-15	0.000000E+00
3.690000E+03	3.067361E-15	0.000000E+00
3.700000E+03	3.064942E-15	0.000000E+00
3.710000E+03	3.063744E-15	0.000000E+00
3.720000E+03	3.063876E-15	0.000000E+00
3.730000E+03	3.065340E-15	0.000000E+00
3.740000E+03	3.068295E-15	0.000000E+00
3.750000E+03	3.072894E-15	0.000000E+00
3.760000E+03	3.079140E-15	0.000000E+00
3.770000E+03	3.087099E-15	0.000000E+00
3.780000E+03	3.096678E-15	0.000000E+00
3.790000E+03	3.107574E-15	0.000000E+00
3.800000E+03	3.119280E-15	0.000000E+00
3.810000E+03	3.130921E-15	0.000000E+00
3.820000E+03	3.141142E-15	0.000000E+00
3.830000E+03	3.148134E-15	0.000000E+00
3.840000E+03	3.149603E-15	0.000000E+00
3.850000E+03	3.143445E-15	0.000000E+00
3.860000E+03	3.128584E-15	0.000000E+00
3.870000E+03	3.104389E-15	0.000000E+00
