#wls	flux	fluxerr
1.600000E+03	3.806937E-17	2.948439E-17
1.640000E+03	3.849489E-17	2.930208E-17
1.680000E+03	3.893377E-17	2.910684E-17
1.720000E+03	3.940789E-17	2.891927E-17
1.760000E+03	3.987174E-17	2.871138E-17
1.800000E+03	4.037303E-17	2.852457E-17
1.840000E+03	4.086444E-17	2.833264E-17
1.880000E+03	4.136641E-17	2.815846E-17
1.920000E+03	4.185849E-17	2.799647E-17
1.960000E+03	4.236277E-17	2.786929E-17
2.000000E+03	4.286088E-17	2.777099E-17
2.040000E+03	4.335007E-17	2.770427E-17
2.080000E+03	4.384358E-17	2.767948E-17
2.120000E+03	4.434224E-17	2.769612E-17
2.160000E+03	4.484784E-17	2.775171E-17
2.200000E+03	4.536206E-17	2.784163E-17
2.240000E+03	4.591285E-17	2.797587E-17
2.280000E+03	4.646949E-17	2.812793E-17
2.320000E+03	4.705261E-17	2.830304E-17
2.360000E+03	4.763653E-17	2.847964E-17
2.400000E+03	4.823139E-17	2.865963E-17
2.440000E+03	4.880223E-17	2.882030E-17
2.480000E+03	4.933795E-17	2.895546E-17
2.520000E+03	4.982577E-17	2.905939E-17
2.560000E+03	5.025331E-17	2.912677E-17
2.600000E+03	5.059843E-17	2.914525E-17
2.640000E+03	5.086841E-17	2.911633E-17
2.680000E+03	5.105186E-17	2.902630E-17
2.720000E+03	5.116740E-17	2.887364E-17
2.760000E+03	5.121680E-17	2.864261E-17
2.800000E+03	5.123957E-17	2.833510E-17
2.840000E+03	5.125599E-17	2.793980E-17
2.880000E+03	5.129779E-17	2.745075E-17
2.920000E+03	5.138628E-17	2.685634E-17
2.960000E+03	5.155834E-17	2.615373E-17
3.000000E+03	5.184427E-17	2.533687E-17
3.010000E+03	5.193372E-17	2.511247E-17
3.020000E+03	5.202460E-17	2.487664E-17
3.030000E+03	5.213295E-17	2.463677E-17
3.040000E+03	5.225043E-17	2.438852E-17
3.050000E+03	5.237678E-17	2.413147E-17
3.060000E+03	5.250403E-17	2.386172E-17
3.070000E+03	5.264743E-17	2.358597E-17
3.080000E+03	5.279884E-17	2.330023E-17
3.090000E+03	5.296539E-17	2.300735E-17
3.100000E+03	5.313163E-17	2.270038E-17
3.110000E+03	5.331200E-17	2.238534E-17
3.120000E+03	5.349856E-17	2.205863E-17
3.130000E+03	5.369794E-17	2.172280E-17
3.140000E+03	5.390224E-17	2.137444E-17
3.150000E+03	5.411084E-17	2.101325E-17
3.160000E+03	5.433002E-17	2.064159E-17
3.170000E+03	5.455880E-17	2.025894E-17
3.180000E+03	5.479620E-17	1.986483E-17
3.190000E+03	5.504114E-17	1.945881E-17
3.200000E+03	5.528585E-17	1.903823E-17
3.210000E+03	5.553593E-17	1.860519E-17
3.220000E+03	5.579666E-17	1.816157E-17
3.230000E+03	5.605363E-17	1.770283E-17
3.240000E+03	5.631841E-17	1.723302E-17
3.250000E+03	5.658305E-17	1.675002E-17
3.260000E+03	5.684605E-17	1.625391E-17
3.270000E+03	5.710584E-17	1.574493E-17
3.280000E+03	5.736689E-17	1.522505E-17
3.290000E+03	5.762730E-17	1.469458E-17
3.300000E+03	5.787920E-17	1.415256E-17
3.310000E+03	5.812669E-17	1.360133E-17
3.320000E+03	5.836779E-17	1.304190E-17
3.330000E+03	5.860050E-17	1.247558E-17
3.340000E+03	5.882282E-17	1.190409E-17
3.350000E+03	5.902726E-17	1.132850E-17
3.360000E+03	5.922317E-17	1.075368E-17
3.370000E+03	5.940861E-17	1.018271E-17
3.380000E+03	5.957107E-17	9.617683E-18
3.390000E+03	5.971999E-17	9.065242E-18
3.400000E+03	5.985412E-17	8.531019E-18
3.410000E+03	5.996747E-17	8.021040E-18
3.420000E+03	6.006489E-17	7.543923E-18
3.430000E+03	6.014163E-17	7.107944E-18
3.440000E+03	6.020854E-17	6.723924E-18
3.450000E+03	6.026234E-17	6.400988E-18
3.460000E+03	6.030571E-17	6.148055E-18
3.470000E+03	6.034242E-17	5.971926E-18
3.480000E+03	6.037810E-17	5.875141E-18
3.490000E+03	6.042744E-17	5.852579E-18
3.500000E+03	6.049812E-17	5.893767E-18
3.510000E+03	6.060763E-17	5.987467E-18
3.520000E+03	6.076962E-17	6.121991E-18
3.530000E+03	6.099409E-17	6.286406E-18
3.540000E+03	6.129988E-17	6.472480E-18
3.550000E+03	6.170586E-17	6.674049E-18
3.560000E+03	6.221878E-17	6.885590E-18
3.570000E+03	6.286181E-17	7.105054E-18
3.580000E+03	6.364600E-17	7.330462E-18
3.590000E+03	6.459047E-17	7.561840E-18
3.600000E+03	6.570641E-17	7.799129E-18
3.610000E+03	6.701296E-17	8.043799E-18
3.620000E+03	6.852132E-17	8.296792E-18
3.630000E+03	7.025451E-17	8.560750E-18
3.640000E+03	7.221948E-17	8.836534E-18
3.650000E+03	7.443890E-17	9.126996E-18
3.660000E+03	7.692298E-17	9.433497E-18
3.670000E+03	7.968942E-17	9.758304E-18
3.680000E+03	8.274678E-17	1.010254E-17
3.690000E+03	8.611083E-17	1.046819E-17
3.700000E+03	8.978739E-17	1.085600E-17
3.710000E+03	9.379393E-17	1.126810E-17
3.720000E+03	9.812827E-17	1.170428E-17
3.730000E+03	1.028048E-16	1.216628E-17
3.740000E+03	1.078223E-16	1.265400E-17
3.750000E+03	1.131829E-16	1.316771E-17
3.760000E+03	1.188934E-16	1.370812E-17
3.770000E+03	1.249503E-16	1.427464E-17
3.780000E+03	1.313617E-16	1.486779E-17
3.790000E+03	1.381330E-16	1.548747E-17
3.800000E+03	1.452730E-16	1.613361E-17
3.810000E+03	1.527890E-16	1.680550E-17
3.820000E+03	1.607115E-16	1.750455E-17
3.830000E+03	1.690593E-16	1.823034E-17
3.840000E+03	1.778628E-16	1.898328E-17
3.850000E+03	1.871575E-16	1.976397E-17
3.860000E+03	1.969899E-16	2.057398E-17
3.870000E+03	2.073941E-16	2.141356E-17
3.880000E+03	2.184172E-16	2.228461E-17
3.890000E+03	2.300860E-16	2.318754E-17
3.900000E+03	2.424332E-16	2.412431E-17
3.910000E+03	2.554612E-16	2.509513E-17
3.920000E+03	2.691698E-16	2.610157E-17
3.930000E+03	2.835191E-16	2.714311E-17
3.940000E+03	2.984706E-16	2.822119E-17
3.950000E+03	3.139140E-16	2.933206E-17
3.960000E+03	3.297708E-16	3.047624E-17
3.970000E+03	3.458958E-16	3.164852E-17
3.980000E+03	3.621504E-16	3.284402E-17
3.990000E+03	3.784033E-16	3.405728E-17
4.000000E+03	3.945193E-16	3.528044E-17
4.010000E+03	4.103654E-16	3.650328E-17
