#wls	flux	fluxerr
1.591248E+03	1.734447E-04	2.624539E-06
1.631029E+03	1.740865E-04	2.630264E-06
1.670811E+03	1.748107E-04	2.637090E-06
1.710592E+03	1.755885E-04	2.644575E-06
1.750373E+03	1.764516E-04	2.653185E-06
1.790154E+03	1.773712E-04	2.662479E-06
1.829935E+03	1.783789E-04	2.672922E-06
1.869717E+03	1.795064E-04	2.684973E-06
1.909498E+03	1.806950E-04	2.697743E-06
1.949279E+03	1.820066E-04	2.712142E-06
1.989060E+03	1.834127E-04	2.727731E-06
2.028841E+03	1.849152E-04	2.744521E-06
2.068623E+03	1.865461E-04	2.762973E-06
2.108404E+03	1.883078E-04	2.783101E-06
2.148185E+03	1.902025E-04	2.804918E-06
2.187966E+03	1.922328E-04	2.828441E-06
2.227747E+03	1.944016E-04	2.853689E-06
2.267529E+03	1.967120E-04	2.880685E-06
2.307310E+03	1.991983E-04	2.909903E-06
2.347091E+03	2.018645E-04	2.941374E-06
2.386872E+03	2.046846E-04	2.974685E-06
2.426653E+03	2.077255E-04	3.010779E-06
2.466435E+03	2.109935E-04	3.049704E-06
2.506216E+03	2.144328E-04	3.090619E-06
2.545997E+03	2.181448E-04	3.134940E-06
2.585778E+03	2.221069E-04	3.182296E-06
2.625559E+03	2.263287E-04	3.232773E-06
2.665341E+03	2.308529E-04	3.286924E-06
2.705122E+03	2.356915E-04	3.344860E-06
2.744903E+03	2.408903E-04	3.407162E-06
2.784684E+03	2.463998E-04	3.473059E-06
2.824465E+03	2.523333E-04	3.544068E-06
2.864247E+03	2.586765E-04	3.619902E-06
2.904028E+03	2.654818E-04	3.701198E-06
2.943809E+03	2.727371E-04	3.787682E-06
2.983590E+03	2.805313E-04	3.880480E-06
2.993536E+03	2.825701E-04	3.904734E-06
3.003481E+03	2.846254E-04	3.929136E-06
3.013426E+03	2.867314E-04	3.954156E-06
3.023371E+03	2.888887E-04	3.979799E-06
3.033317E+03	2.910636E-04	4.005598E-06
3.043262E+03	2.932565E-04	4.031557E-06
3.053207E+03	2.955017E-04	4.058148E-06
3.063153E+03	2.977999E-04	4.085375E-06
3.073098E+03	3.001515E-04	4.113242E-06
3.083043E+03	3.025226E-04	4.141280E-06
3.092989E+03	3.049133E-04	4.169491E-06
3.102934E+03	3.073586E-04	4.198351E-06
3.112879E+03	3.098590E-04	4.227863E-06
3.122824E+03	3.124150E-04	4.258030E-06
3.132770E+03	3.149922E-04	4.288382E-06
3.142715E+03	3.175909E-04	4.318919E-06
3.152660E+03	3.202814E-04	4.350597E-06
3.162606E+03	3.229940E-04	4.382465E-06
3.172551E+03	3.257291E-04	4.414525E-06
3.182496E+03	3.285577E-04	4.447735E-06
3.192442E+03	3.314093E-04	4.481140E-06
3.202387E+03	3.342844E-04	4.514742E-06
3.212332E+03	3.372544E-04	4.549504E-06
3.222277E+03	3.402484E-04	4.584464E-06
3.232223E+03	3.432665E-04	4.619623E-06
3.242168E+03	3.463811E-04	4.655949E-06
3.252113E+03	3.495204E-04	4.692475E-06
3.262059E+03	3.527208E-04	4.729687E-06
3.272004E+03	3.559464E-04	4.767099E-06
3.281949E+03	3.592336E-04	4.805196E-06
3.291895E+03	3.625828E-04	4.843979E-06
3.301840E+03	3.659943E-04	4.883449E-06
3.311785E+03	3.694685E-04	4.923605E-06
3.321730E+03	3.729686E-04	4.963956E-06
3.331676E+03	3.765317E-04	5.004991E-06
3.341621E+03	3.801208E-04	5.046213E-06
3.351566E+03	3.838103E-04	5.088609E-06
3.361512E+03	3.875260E-04	5.131188E-06
3.371457E+03	3.913051E-04	5.174441E-06
3.381402E+03	3.951479E-04	5.218366E-06
3.391348E+03	3.990166E-04	5.262460E-06
3.401293E+03	4.029867E-04	5.307716E-06
3.411238E+03	4.069826E-04	5.353131E-06
3.421183E+03	4.110420E-04	5.399200E-06
3.431129E+03	4.151265E-04	5.445414E-06
3.441074E+03	4.193126E-04	5.492771E-06
3.451019E+03	4.235235E-04	5.540261E-06
3.460965E+03	4.277972E-04	5.588376E-06
3.470910E+03	4.321335E-04	5.637111E-06
3.480855E+03	4.365322E-04	5.686457E-06
3.490801E+03	4.409930E-04	5.736405E-06
3.500746E+03	4.454764E-04	5.786439E-06
3.510691E+03	4.500209E-04	5.837053E-06
3.520636E+03	4.546262E-04	5.888239E-06
3.530582E+03	4.592917E-04	5.939986E-06
3.540527E+03	4.640169E-04	5.992281E-06
3.550472E+03	4.688013E-04	6.045113E-06
3.560418E+03	4.736044E-04	6.097955E-06
3.570363E+03	4.784652E-04	6.151307E-06
3.580308E+03	4.833830E-04	6.205154E-06
3.590254E+03	4.883571E-04	6.259483E-06
3.600199E+03	4.933868E-04	6.314280E-06
3.610144E+03	4.984712E-04	6.369529E-06
3.620090E+03	5.035689E-04	6.424694E-06
3.630035E+03	5.087194E-04	6.480279E-06
3.639980E+03	5.139217E-04	6.536266E-06
3.649925E+03	5.191750E-04	6.592639E-06
3.659871E+03	5.244784E-04	6.649381E-06
3.669816E+03	5.298308E-04	6.706476E-06
3.679761E+03	5.351897E-04	6.763381E-06
3.689707E+03	5.406371E-04	6.821126E-06
3.699652E+03	5.460886E-04	6.878645E-06
3.709597E+03	5.515849E-04	6.936444E-06
3.719543E+03	5.570828E-04	6.993978E-06
3.729488E+03	5.626651E-04	7.052283E-06
3.739433E+03	5.682889E-04	7.110814E-06
3.749378E+03	5.739108E-04	7.169025E-06
3.759324E+03	5.795719E-04	7.227427E-06
3.769269E+03	5.852710E-04	7.286001E-06
3.779214E+03	5.909650E-04	7.344205E-06
3.789160E+03	5.967373E-04	7.403075E-06
3.799105E+03	6.025020E-04	7.461539E-06
3.809050E+03	6.083004E-04	7.520106E-06
3.818996E+03	6.141319E-04	7.578764E-06
3.828941E+03	6.199531E-04	7.636974E-06
3.838886E+03	6.258051E-04	7.695242E-06
3.848831E+03	6.316879E-04	7.753564E-06
3.858777E+03	6.376005E-04	7.811922E-06
3.868722E+03	6.434993E-04	7.869781E-06
3.878667E+03	6.494692E-04	7.928173E-06
3.888613E+03	6.553806E-04	7.985516E-06
3.898558E+03	6.613632E-04	8.043387E-06
3.908503E+03	6.673292E-04	8.100715E-06
3.918449E+03	6.733216E-04	8.158019E-06
3.928394E+03	6.792970E-04	8.214771E-06
3.938339E+03	6.853431E-04	8.272029E-06
3.948284E+03	6.913274E-04	8.328189E-06
3.958230E+03	6.973826E-04	8.384850E-06
3.968175E+03	7.034202E-04	8.440943E-06
3.978120E+03	7.094409E-04	8.496476E-06
3.988066E+03	7.154885E-04	8.551969E-06
3.998011E+03	7.215640E-04	8.607435E-06
4.007956E+03	7.276239E-04	8.662349E-06
4.017902E+03	7.336677E-04	8.716705E-06
4.027847E+03	7.397420E-04	8.771054E-06
4.037792E+03	7.458462E-04	8.825387E-06
4.047737E+03	7.519386E-04	8.879205E-06
4.057683E+03	7.580185E-04	8.932501E-06
4.067628E+03	7.641326E-04	8.985823E-06
4.077573E+03	7.702368E-04	9.038647E-06
4.087519E+03	7.763782E-04	9.091526E-06
4.097464E+03	7.825133E-04	9.143946E-06
4.107409E+03	7.886433E-04	9.195920E-06
4.117355E+03	7.948149E-04	9.247989E-06
4.127300E+03	8.009401E-04	9.299127E-06
4.137245E+03	8.071099E-04	9.350392E-06
4.147190E+03	8.133279E-04	9.401818E-06
4.157136E+03	8.195045E-04	9.452366E-06
4.167081E+03	8.257329E-04	9.503113E-06
4.177026E+03	8.319702E-04	9.553557E-06
4.186972E+03	8.381732E-04	9.603203E-06
4.196917E+03	8.444348E-04	9.653113E-06
4.206862E+03	8.507580E-04	9.703315E-06
4.216808E+03	8.570536E-04	9.752789E-06
4.226753E+03	8.633707E-04	9.802092E-06
4.236698E+03	8.697117E-04	9.851248E-06
4.246643E+03	8.760792E-04	9.900282E-06
4.256589E+03	8.824761E-04	9.949225E-06
4.266534E+03	8.889054E-04	9.998105E-06
4.276479E+03	8.953701E-04	1.004695E-05
4.286425E+03	9.018734E-04	1.009580E-05
4.296370E+03	9.083727E-04	1.014416E-05
