#wls	flux	fluxerr
1.600000E+03	1.176202E-16	6.267246E-17
1.640000E+03	1.267971E-16	6.405798E-17
1.680000E+03	1.367447E-16	6.501589E-17
1.720000E+03	1.474871E-16	6.542692E-17
1.760000E+03	1.589362E-16	6.512278E-17
1.800000E+03	1.709583E-16	6.393882E-17
1.840000E+03	1.833353E-16	6.172384E-17
1.880000E+03	1.956826E-16	5.835464E-17
1.920000E+03	2.074490E-16	5.380459E-17
1.960000E+03	2.178563E-16	4.821979E-17
2.000000E+03	2.258404E-16	4.203175E-17
2.040000E+03	2.301835E-16	3.609353E-17
2.080000E+03	2.297533E-16	3.153031E-17
2.120000E+03	2.248534E-16	2.890755E-17
2.160000E+03	2.182178E-16	2.762575E-17
2.200000E+03	2.133497E-16	2.710402E-17
2.240000E+03	2.132542E-16	2.764289E-17
2.280000E+03	2.203728E-16	3.002074E-17
2.320000E+03	2.363787E-16	3.451063E-17
2.360000E+03	2.626703E-16	4.075858E-17
2.400000E+03	3.008468E-16	4.819803E-17
2.440000E+03	3.527485E-16	5.605844E-17
2.480000E+03	4.200538E-16	6.323616E-17
2.520000E+03	5.032268E-16	6.845748E-17
2.560000E+03	5.999578E-16	7.152754E-17
2.600000E+03	7.028980E-16	7.647575E-17
2.640000E+03	8.004219E-16	9.243138E-17
2.680000E+03	8.844829E-16	1.228326E-16
2.720000E+03	9.540496E-16	1.619756E-16
2.760000E+03	1.010587E-15	2.035042E-16
2.800000E+03	1.055791E-15	2.430646E-16
2.840000E+03	1.091162E-15	2.778059E-16
2.880000E+03	1.117894E-15	3.058280E-16
2.920000E+03	1.137074E-15	3.259322E-16
2.960000E+03	1.149711E-15	3.374611E-16
3.000000E+03	1.156743E-15	3.401946E-16
3.010000E+03	1.157721E-15	3.395102E-16
3.020000E+03	1.158416E-15	3.382882E-16
3.030000E+03	1.158834E-15	3.365332E-16
3.040000E+03	1.159008E-15	3.342583E-16
3.050000E+03	1.158918E-15	3.314626E-16
3.060000E+03	1.158567E-15	3.281539E-16
3.070000E+03	1.158011E-15	3.243544E-16
3.080000E+03	1.157202E-15	3.200596E-16
3.090000E+03	1.156191E-15	3.152932E-16
3.100000E+03	1.154954E-15	3.100595E-16
3.110000E+03	1.153493E-15	3.043709E-16
3.120000E+03	1.151852E-15	2.982523E-16
3.130000E+03	1.149982E-15	2.917058E-16
3.140000E+03	1.147903E-15	2.847523E-16
3.150000E+03	1.145609E-15	2.774084E-16
3.160000E+03	1.143115E-15	2.696967E-16
3.170000E+03	1.140389E-15	2.616311E-16
3.180000E+03	1.137444E-15	2.532371E-16
3.190000E+03	1.134266E-15	2.445370E-16
3.200000E+03	1.130819E-15	2.355509E-16
3.210000E+03	1.127108E-15	2.263102E-16
3.220000E+03	1.123130E-15	2.168479E-16
3.230000E+03	1.118825E-15	2.071887E-16
3.240000E+03	1.114206E-15	1.973758E-16
3.250000E+03	1.109205E-15	1.874421E-16
3.260000E+03	1.103845E-15	1.774411E-16
3.270000E+03	1.098035E-15	1.674124E-16
3.280000E+03	1.091753E-15	1.574140E-16
3.290000E+03	1.084974E-15	1.475086E-16
3.300000E+03	1.077630E-15	1.377606E-16
3.310000E+03	1.069687E-15	1.282450E-16
3.320000E+03	1.061058E-15	1.190366E-16
3.330000E+03	1.051703E-15	1.102195E-16
3.340000E+03	1.041566E-15	1.018755E-16
3.350000E+03	1.030595E-15	9.407893E-17
3.360000E+03	1.018747E-15	8.688832E-17
3.370000E+03	1.005979E-15	8.033629E-17
3.380000E+03	9.922841E-16	7.442705E-17
3.390000E+03	9.776835E-16	6.913579E-17
3.400000E+03	9.622300E-16	6.441517E-17
3.410000E+03	9.460036E-16	6.020463E-17
3.420000E+03	9.291453E-16	5.644401E-17
3.430000E+03	9.118499E-16	5.308299E-17
3.440000E+03	8.943569E-16	5.008715E-17
3.450000E+03	8.769682E-16	4.743952E-17
3.460000E+03	8.600128E-16	4.513144E-17
3.470000E+03	8.437807E-16	4.315036E-17
3.480000E+03	8.285009E-16	4.147408E-17
3.490000E+03	8.142196E-16	4.006099E-17
3.500000E+03	8.008528E-16	3.885776E-17
3.510000E+03	7.882654E-16	3.781481E-17
3.520000E+03	7.762756E-16	3.688939E-17
3.530000E+03	7.647098E-16	3.604553E-17
3.540000E+03	7.534069E-16	3.525611E-17
3.550000E+03	7.422640E-16	3.450372E-17
3.560000E+03	7.312600E-16	3.377787E-17
3.570000E+03	7.204655E-16	3.307684E-17
3.580000E+03	7.100163E-16	3.240480E-17
3.590000E+03	7.000914E-16	3.176703E-17
3.600000E+03	6.908217E-16	3.116786E-17
3.610000E+03	6.822516E-16	3.060859E-17
3.620000E+03	6.742475E-16	3.008089E-17
3.630000E+03	6.665346E-16	2.957186E-17
3.640000E+03	6.586568E-16	2.906248E-17
3.650000E+03	6.501023E-16	2.853038E-17
3.660000E+03	6.403682E-16	2.795537E-17
3.670000E+03	6.291056E-16	2.732470E-17
3.680000E+03	6.161782E-16	2.663213E-17
3.690000E+03	6.017384E-16	2.588408E-17
3.700000E+03	5.861773E-16	2.509751E-17
3.710000E+03	5.700905E-16	2.429590E-17
3.720000E+03	5.541779E-16	2.350831E-17
3.730000E+03	5.391867E-16	2.276694E-17
3.740000E+03	5.258025E-16	2.209986E-17
3.750000E+03	5.146491E-16	2.153328E-17
3.760000E+03	5.062200E-16	2.108804E-17
3.770000E+03	5.008656E-16	2.077630E-17
3.780000E+03	4.987788E-16	2.060391E-17
3.790000E+03	4.999909E-16	2.057059E-17
3.800000E+03	5.043202E-16	2.066557E-17
3.810000E+03	5.114007E-16	2.087186E-17
3.820000E+03	5.206818E-16	2.116624E-17
3.830000E+03	5.314526E-16	2.151763E-17
3.840000E+03	5.428818E-16	2.189170E-17
3.850000E+03	5.540864E-16	2.225374E-17
3.860000E+03	5.642426E-16	2.256994E-17
3.870000E+03	5.726408E-16	2.281293E-17
3.880000E+03	5.787516E-16	2.296434E-17
3.890000E+03	5.822827E-16	2.301339E-17
3.900000E+03	5.831653E-16	2.295932E-17
3.910000E+03	5.815340E-16	2.280984E-17
3.920000E+03	5.776683E-16	2.257481E-17
3.930000E+03	5.719812E-16	2.226972E-17
3.940000E+03	5.649506E-16	2.191355E-17
3.950000E+03	5.571101E-16	2.152513E-17
3.960000E+03	5.489844E-16	2.112446E-17
3.970000E+03	5.410672E-16	2.073171E-17
3.980000E+03	5.337800E-16	2.036217E-17
3.990000E+03	5.274173E-16	2.002777E-17
4.000000E+03	5.221401E-16	1.973658E-17
4.010000E+03	5.179461E-16	1.948809E-17
4.020000E+03	5.146955E-16	1.927799E-17
4.030000E+03	5.121442E-16	1.909900E-17
4.040000E+03	5.100003E-16	1.893917E-17
4.050000E+03	5.079873E-16	1.878801E-17
4.060000E+03	5.059017E-16	1.863807E-17
4.070000E+03	5.036432E-16	1.848207E-17
4.080000E+03	5.012457E-16	1.831844E-17
4.090000E+03	4.987953E-16	1.814908E-17
4.100000E+03	4.964177E-16	1.797568E-17
4.110000E+03	4.942079E-16	1.780121E-17
4.120000E+03	4.922041E-16	1.762910E-17
4.130000E+03	4.903445E-16	1.745823E-17
4.140000E+03	4.884967E-16	1.728739E-17
4.150000E+03	4.865062E-16	1.711575E-17
4.160000E+03	4.842374E-16	1.693971E-17
4.170000E+03	4.816096E-16	1.675842E-17
4.180000E+03	4.786065E-16	1.657398E-17
4.190000E+03	4.752742E-16	1.638724E-17
4.200000E+03	4.717045E-16	1.620182E-17
4.210000E+03	4.679901E-16	1.602230E-17
4.220000E+03	4.641938E-16	1.584877E-17
4.230000E+03	4.603347E-16	1.568099E-17
4.240000E+03	4.564150E-16	1.551914E-17
4.250000E+03	4.524368E-16	1.535963E-17
4.260000E+03	4.484478E-16	1.520088E-17
4.270000E+03	4.445574E-16	1.504352E-17
4.280000E+03	4.409567E-16	1.488667E-17
4.290000E+03	4.378934E-16	1.473229E-17
4.300000E+03	4.356117E-16	1.458490E-17
4.310000E+03	4.343152E-16	1.444793E-17
4.320000E+03	4.341042E-16	1.432694E-17
4.330000E+03	4.349703E-16	1.423135E-17
4.340000E+03	4.367701E-16	1.417141E-17
4.350000E+03	4.392650E-16	1.416262E-17
4.360000E+03	4.421536E-16	1.422038E-17
4.370000E+03	4.451739E-16	1.434635E-17
4.380000E+03	4.481106E-16	1.452516E-17
4.390000E+03	4.508076E-16	1.473340E-17
4.400000E+03	4.531637E-16	1.494651E-17
4.410000E+03	4.551103E-16	1.514736E-17
4.420000E+03	4.566034E-16	1.532681E-17
4.430000E+03	4.575882E-16	1.547720E-17
4.440000E+03	4.580321E-16	1.559607E-17
4.450000E+03	4.579098E-16	1.568432E-17
4.460000E+03	4.572309E-16	1.574211E-17
4.470000E+03	4.560475E-16	1.577268E-17
4.480000E+03	4.544178E-16	1.578099E-17
4.490000E+03	4.524361E-16	1.577058E-17
4.500000E+03	4.501753E-16	1.574541E-17
4.510000E+03	4.477131E-16	1.571083E-17
4.520000E+03	4.450854E-16	1.566792E-17
4.530000E+03	4.423041E-16	1.561796E-17
4.540000E+03	4.393567E-16	1.556232E-17
4.550000E+03	4.362044E-16	1.549852E-17
4.560000E+03	4.328193E-16	1.542536E-17
4.570000E+03	4.291626E-16	1.534225E-17
4.580000E+03	4.252120E-16	1.524662E-17
4.590000E+03	4.209678E-16	1.513776E-17
4.600000E+03	4.164619E-16	1.501738E-17
4.610000E+03	4.117509E-16	1.488599E-17
4.620000E+03	4.069140E-16	1.474627E-17
4.630000E+03	4.020447E-16	1.460281E-17
4.640000E+03	3.972326E-16	1.445815E-17
4.650000E+03	3.925525E-16	1.431543E-17
4.660000E+03	3.880504E-16	1.417755E-17
4.670000E+03	3.837626E-16	1.404473E-17
4.680000E+03	3.797066E-16	1.391737E-17
4.690000E+03	3.759011E-16	1.379700E-17
4.700000E+03	3.723771E-16	1.368385E-17
4.710000E+03	3.691690E-16	1.357937E-17
4.720000E+03	3.663053E-16	1.348560E-17
4.730000E+03	3.637944E-16	1.340173E-17
4.740000E+03	3.616183E-16	1.332668E-17
4.750000E+03	3.597304E-16	1.325927E-17
4.760000E+03	3.580609E-16	1.319580E-17
4.770000E+03	3.565356E-16	1.313343E-17
4.780000E+03	3.550980E-16	1.307093E-17
4.790000E+03	3.537392E-16	1.300725E-17
4.800000E+03	3.524855E-16	1.294366E-17
4.810000E+03	3.514139E-16	1.288429E-17
4.820000E+03	3.506067E-16	1.283183E-17
4.830000E+03	3.501486E-16	1.279000E-17
4.840000E+03	3.500827E-16	1.276189E-17
4.850000E+03	3.503834E-16	1.274627E-17
4.860000E+03	3.509690E-16	1.274079E-17
4.870000E+03	3.516865E-16	1.274118E-17
4.880000E+03	3.523533E-16	1.273992E-17
4.890000E+03	3.527743E-16	1.272964E-17
4.900000E+03	3.528294E-16	1.270605E-17
4.910000E+03	3.524808E-16	1.266520E-17
4.920000E+03	3.518143E-16	1.260802E-17
4.930000E+03	3.510111E-16	1.253956E-17
4.940000E+03	3.503324E-16	1.246598E-17
4.950000E+03	3.500503E-16	1.239508E-17
4.960000E+03	3.504044E-16	1.233522E-17
4.970000E+03	3.515388E-16	1.229076E-17
4.980000E+03	3.534698E-16	1.226355E-17
4.990000E+03	3.561052E-16	1.225316E-17
5.000000E+03	3.592591E-16	1.225435E-17
5.010000E+03	3.626743E-16	1.226080E-17
5.020000E+03	3.660673E-16	1.226586E-17
5.030000E+03	3.691955E-16	1.226117E-17
5.040000E+03	3.718652E-16	1.224062E-17
5.050000E+03	3.739465E-16	1.220091E-17
5.060000E+03	3.753769E-16	1.213799E-17
5.070000E+03	3.761581E-16	1.205123E-17
5.080000E+03	3.763412E-16	1.194305E-17
5.090000E+03	3.759984E-16	1.181424E-17
5.100000E+03	3.752307E-16	1.166847E-17
5.110000E+03	3.741342E-16	1.151083E-17
5.120000E+03	3.728000E-16	1.134345E-17
5.130000E+03	3.712980E-16	1.116966E-17
5.140000E+03	3.696648E-16	1.099304E-17
5.150000E+03	3.678926E-16	1.081236E-17
5.160000E+03	3.659433E-16	1.062723E-17
5.170000E+03	3.637429E-16	1.043740E-17
5.180000E+03	3.612218E-16	1.023894E-17
5.190000E+03	3.583207E-16	1.003025E-17
5.200000E+03	3.550289E-16	9.812880E-18
5.210000E+03	3.513999E-16	9.586576E-18
5.220000E+03	3.475489E-16	9.355084E-18
5.230000E+03	3.436276E-16	9.124378E-18
5.240000E+03	3.398186E-16	8.896430E-18
5.250000E+03	3.362768E-16	8.674614E-18
5.260000E+03	3.331309E-16	8.463472E-18
5.270000E+03	3.304290E-16	8.261430E-18
5.280000E+03	3.281663E-16	8.069138E-18
5.290000E+03	3.262817E-16	7.888745E-18
5.300000E+03	3.246801E-16	7.717698E-18
5.310000E+03	3.232623E-16	7.557303E-18
5.320000E+03	3.219226E-16	7.409930E-18
5.330000E+03	3.205766E-16	7.270555E-18
5.340000E+03	3.191598E-16	7.137174E-18
5.350000E+03	3.176271E-16	7.009610E-18
5.360000E+03	3.159411E-16	6.879098E-18
5.370000E+03	3.140844E-16	6.739966E-18
5.380000E+03	3.120547E-16	6.588956E-18
5.390000E+03	3.098404E-16	6.415589E-18
5.400000E+03	3.074528E-16	6.220362E-18
5.410000E+03	3.048987E-16	6.023396E-18
5.420000E+03	3.021654E-16	5.861127E-18
5.430000E+03	2.992462E-16	5.789441E-18
5.440000E+03	2.962425E-16	5.842837E-18
5.450000E+03	2.933667E-16	5.989920E-18
5.460000E+03	2.908779E-16	6.176653E-18
5.470000E+03	2.889213E-16	6.367929E-18
5.480000E+03	2.874827E-16	6.545521E-18
5.490000E+03	2.864599E-16	6.708027E-18
5.500000E+03	2.857298E-16	6.862929E-18
5.510000E+03	2.851808E-16	7.013378E-18
5.520000E+03	2.847057E-16	7.162828E-18
5.530000E+03	2.842311E-16	7.315724E-18
5.540000E+03	2.836717E-16	7.468958E-18
5.550000E+03	2.829587E-16	7.619240E-18
5.560000E+03	2.820398E-16	7.765331E-18
5.570000E+03	2.808823E-16	7.903033E-18
5.580000E+03	2.794778E-16	8.030102E-18
5.590000E+03	2.778688E-16	8.147899E-18
5.600000E+03	2.761531E-16	8.256963E-18
5.610000E+03	2.744726E-16	8.360370E-18
5.620000E+03	2.729998E-16	8.463875E-18
5.630000E+03	2.719257E-16	8.571924E-18
5.640000E+03	2.714202E-16	8.689738E-18
5.650000E+03	2.716116E-16	8.823369E-18
5.660000E+03	2.725497E-16	8.975553E-18
5.670000E+03	2.742049E-16	9.147934E-18
5.680000E+03	2.764644E-16	9.340494E-18
5.690000E+03	2.791402E-16	9.548553E-18
5.700000E+03	2.819933E-16	9.765896E-18
5.710000E+03	2.847706E-16	9.985955E-18
5.720000E+03	2.872372E-16	1.020009E-17
5.730000E+03	2.892081E-16	1.040126E-17
5.740000E+03	2.905528E-16	1.058464E-17
5.750000E+03	2.912085E-16	1.074561E-17
5.760000E+03	2.911764E-16	1.088220E-17
5.770000E+03	2.904872E-16	1.099433E-17
5.780000E+03	2.892107E-16	1.108210E-17
5.790000E+03	2.874191E-16	1.114658E-17
5.800000E+03	2.851913E-16	1.119027E-17
5.810000E+03	2.825988E-16	1.121463E-17
