#wls	flux	fluxerr
1.600000E+03	3.895292E-17	3.007542E-17
1.640000E+03	3.877621E-17	2.986145E-17
1.680000E+03	3.863491E-17	2.967070E-17
1.720000E+03	3.853937E-17	2.951074E-17
1.760000E+03	3.849977E-17	2.938891E-17
1.800000E+03	3.851182E-17	2.930137E-17
1.840000E+03	3.857832E-17	2.924972E-17
1.880000E+03	3.870907E-17	2.924078E-17
1.920000E+03	3.890647E-17	2.927566E-17
1.960000E+03	3.916552E-17	2.934993E-17
2.000000E+03	3.950955E-17	2.948031E-17
2.040000E+03	3.991852E-17	2.965104E-17
2.080000E+03	4.041510E-17	2.987821E-17
2.120000E+03	4.098542E-17	3.015071E-17
2.160000E+03	4.164407E-17	3.047850E-17
2.200000E+03	4.239065E-17	3.086038E-17
2.240000E+03	4.321658E-17	3.128926E-17
2.280000E+03	4.413498E-17	3.177370E-17
2.320000E+03	4.514355E-17	3.231097E-17
2.360000E+03	4.623926E-17	3.289765E-17
2.400000E+03	4.742620E-17	3.353513E-17
2.440000E+03	4.870028E-17	3.421859E-17
2.480000E+03	5.006486E-17	3.494793E-17
2.520000E+03	5.151515E-17	3.571664E-17
2.560000E+03	5.305430E-17	3.652287E-17
2.600000E+03	5.468573E-17	3.736382E-17
2.640000E+03	5.641336E-17	3.823572E-17
2.680000E+03	5.824174E-17	3.913372E-17
2.720000E+03	6.017626E-17	4.005188E-17
2.760000E+03	6.221466E-17	4.097742E-17
2.800000E+03	6.438167E-17	4.191349E-17
2.840000E+03	6.667755E-17	4.284500E-17
2.880000E+03	6.913023E-17	4.377264E-17
2.920000E+03	7.175182E-17	4.468448E-17
2.960000E+03	7.456502E-17	4.557295E-17
3.000000E+03	7.759446E-17	4.642913E-17
3.010000E+03	7.839560E-17	4.664107E-17
3.020000E+03	7.920645E-17	4.684665E-17
3.030000E+03	8.003619E-17	4.705089E-17
3.040000E+03	8.088501E-17	4.725342E-17
3.050000E+03	8.174402E-17	4.744861E-17
3.060000E+03	8.263156E-17	4.764664E-17
3.070000E+03	8.352969E-17	4.783664E-17
3.080000E+03	8.444770E-17	4.802350E-17
3.090000E+03	8.539493E-17	4.821202E-17
3.100000E+03	8.635338E-17	4.839148E-17
3.110000E+03	8.734156E-17	4.857180E-17
3.120000E+03	8.835061E-17	4.874745E-17
3.130000E+03	8.938078E-17	4.891809E-17
3.140000E+03	9.043234E-17	4.908335E-17
3.150000E+03	9.151479E-17	4.924785E-17
3.160000E+03	9.261924E-17	4.940621E-17
3.170000E+03	9.375523E-17	4.956299E-17
3.180000E+03	9.491387E-17	4.971291E-17
3.190000E+03	9.609549E-17	4.985567E-17
3.200000E+03	9.731896E-17	5.000046E-17
3.210000E+03	9.856615E-17	5.013734E-17
3.220000E+03	9.984673E-17	5.027070E-17
3.230000E+03	1.011611E-16	5.040015E-17
3.240000E+03	1.025097E-16	5.052533E-17
3.250000E+03	1.038837E-16	5.064134E-17
3.260000E+03	1.053020E-16	5.075697E-17
3.270000E+03	1.067560E-16	5.086731E-17
3.280000E+03	1.082461E-16	5.097205E-17
3.290000E+03	1.097822E-16	5.107527E-17
3.300000E+03	1.113554E-16	5.117226E-17
3.310000E+03	1.129663E-16	5.126276E-17
3.320000E+03	1.146343E-16	5.135500E-17
3.330000E+03	1.163317E-16	5.143596E-17
3.340000E+03	1.180874E-16	5.151797E-17
3.350000E+03	1.198832E-16	5.159243E-17
3.360000E+03	1.217293E-16	5.166320E-17
3.370000E+03	1.236262E-16	5.173001E-17
3.380000E+03	1.255844E-16	5.179651E-17
3.390000E+03	1.275855E-16	5.185454E-17
3.400000E+03	1.296494E-16	5.191164E-17
3.410000E+03	1.317675E-16	5.196363E-17
3.420000E+03	1.339503E-16	5.201398E-17
3.430000E+03	1.361989E-16	5.206230E-17
3.440000E+03	1.385048E-16	5.210451E-17
3.450000E+03	1.408788E-16	5.214392E-17
3.460000E+03	1.433223E-16	5.218007E-17
3.470000E+03	1.458370E-16	5.221247E-17
3.480000E+03	1.484342E-16	5.224404E-17
