#wls	flux	fluxerr
1.591042E+03	1.272844E-01	3.371526E-03
1.630818E+03	1.301567E-01	3.395266E-03
1.670595E+03	1.324713E-01	3.402643E-03
1.710371E+03	1.341441E-01	3.392315E-03
1.750147E+03	1.350958E-01	3.363192E-03
1.789923E+03	1.352623E-01	3.314676E-03
1.829699E+03	1.345993E-01	3.246738E-03
1.869475E+03	1.330944E-01	3.160150E-03
1.909251E+03	1.307868E-01	3.056882E-03
1.949027E+03	1.277897E-01	2.940506E-03
1.988803E+03	1.243492E-01	2.817403E-03
2.028579E+03	1.210168E-01	2.700381E-03
2.068355E+03	1.194642E-01	2.626096E-03
2.108131E+03	1.222146E-01	2.647514E-03
2.147907E+03	1.268776E-01	2.709615E-03
2.187683E+03	1.317832E-01	2.775630E-03
2.227459E+03	1.363181E-01	2.832768E-03
2.267235E+03	1.410326E-01	2.892778E-03
2.307012E+03	1.455596E-01	2.948187E-03
2.346788E+03	1.492667E-01	2.986488E-03
2.386564E+03	1.522134E-01	3.009402E-03
2.426340E+03	1.544571E-01	3.018500E-03
2.466116E+03	1.560318E-01	3.014795E-03
2.505892E+03	1.570024E-01	2.999836E-03
2.545668E+03	1.575132E-01	2.976591E-03
2.585444E+03	1.579627E-01	2.952644E-03
2.625220E+03	1.597900E-01	2.954497E-03
2.664996E+03	1.625685E-01	2.973356E-03
2.704772E+03	1.651331E-01	2.987378E-03
2.744548E+03	1.672045E-01	2.991499E-03
2.784324E+03	1.686967E-01	2.984298E-03
2.824100E+03	1.696111E-01	2.965965E-03
2.863876E+03	1.700009E-01	2.937604E-03
2.903652E+03	1.699461E-01	2.900759E-03
2.943428E+03	1.695371E-01	2.857110E-03
2.983205E+03	1.688601E-01	2.808221E-03
2.993149E+03	1.686577E-01	2.795336E-03
3.003093E+03	1.684451E-01	2.782238E-03
3.013037E+03	1.682217E-01	2.768920E-03
3.022981E+03	1.679896E-01	2.755417E-03
3.032925E+03	1.677499E-01	2.741747E-03
3.042869E+03	1.675029E-01	2.727916E-03
3.052813E+03	1.672487E-01	2.713926E-03
3.062757E+03	1.669891E-01	2.699809E-03
3.072701E+03	1.667235E-01	2.685553E-03
3.082645E+03	1.664543E-01	2.671200E-03
3.092589E+03	1.661800E-01	2.656724E-03
3.102533E+03	1.659013E-01	2.642140E-03
3.112477E+03	1.656188E-01	2.627458E-03
3.122421E+03	1.653334E-01	2.612691E-03
3.132365E+03	1.650440E-01	2.597824E-03
3.142309E+03	1.647520E-01	2.582879E-03
3.152253E+03	1.644562E-01	2.567839E-03
3.162197E+03	1.641571E-01	2.552714E-03
3.172141E+03	1.638543E-01	2.537497E-03
3.182085E+03	1.635473E-01	2.522183E-03
3.192029E+03	1.632365E-01	2.506779E-03
3.201973E+03	1.629212E-01	2.491277E-03
3.211917E+03	1.626007E-01	2.475668E-03
3.221861E+03	1.622745E-01	2.459946E-03
3.231805E+03	1.619417E-01	2.444098E-03
3.241749E+03	1.616021E-01	2.428128E-03
3.251693E+03	1.612549E-01	2.412022E-03
3.261637E+03	1.608981E-01	2.395756E-03
3.271581E+03	1.605311E-01	2.379324E-03
3.281525E+03	1.601524E-01	2.362706E-03
3.291469E+03	1.597600E-01	2.345879E-03
3.301413E+03	1.593516E-01	2.328814E-03
3.311357E+03	1.589237E-01	2.311463E-03
3.321301E+03	1.584743E-01	2.293804E-03
3.331245E+03	1.579985E-01	2.275774E-03
3.341189E+03	1.574909E-01	2.257302E-03
3.351133E+03	1.569475E-01	2.238342E-03
3.361077E+03	1.563614E-01	2.218804E-03
3.371021E+03	1.557278E-01	2.198633E-03
3.380965E+03	1.550418E-01	2.177771E-03
3.390909E+03	1.542990E-01	2.156172E-03
3.400853E+03	1.534973E-01	2.133822E-03
3.410797E+03	1.526376E-01	2.110751E-03
3.420741E+03	1.517215E-01	2.086992E-03
3.430685E+03	1.507557E-01	2.062654E-03
3.440629E+03	1.497460E-01	2.037831E-03
3.450573E+03	1.487032E-01	2.012682E-03
3.460517E+03	1.476390E-01	1.987372E-03
3.470461E+03	1.465647E-01	1.962064E-03
3.480405E+03	1.454952E-01	1.936960E-03
3.490349E+03	1.444464E-01	1.912271E-03
3.500293E+03	1.434368E-01	1.888241E-03
3.510237E+03	1.424905E-01	1.865180E-03
3.520181E+03	1.416369E-01	1.843457E-03
3.530125E+03	1.409124E-01	1.823528E-03
3.540069E+03	1.403581E-01	1.805895E-03
3.550013E+03	1.400222E-01	1.791141E-03
3.559957E+03	1.399510E-01	1.779806E-03
3.569901E+03	1.401871E-01	1.772373E-03
3.579845E+03	1.407548E-01	1.769078E-03
3.589789E+03	1.416358E-01	1.769617E-03
3.599734E+03	1.427817E-01	1.773318E-03
3.609678E+03	1.441293E-01	1.779340E-03
3.619622E+03	1.456031E-01	1.786712E-03
3.629566E+03	1.471223E-01	1.794418E-03
3.639510E+03	1.486003E-01	1.801397E-03
3.649454E+03	1.499526E-01	1.806643E-03
3.659398E+03	1.510971E-01	1.809196E-03
3.669342E+03	1.519625E-01	1.808256E-03
3.679286E+03	1.524899E-01	1.803187E-03
3.689230E+03	1.526391E-01	1.793593E-03
3.699174E+03	1.523908E-01	1.779332E-03
3.709118E+03	1.517487E-01	1.760538E-03
3.719062E+03	1.507378E-01	1.737585E-03
3.729006E+03	1.494024E-01	1.711063E-03
3.738950E+03	1.477979E-01	1.681679E-03
3.748894E+03	1.459878E-01	1.650209E-03
3.758838E+03	1.440371E-01	1.617429E-03
3.768782E+03	1.420099E-01	1.584089E-03
3.778726E+03	1.399674E-01	1.550883E-03
3.788670E+03	1.379661E-01	1.518440E-03
3.798614E+03	1.360610E-01	1.487352E-03
3.808558E+03	1.343023E-01	1.458145E-03
3.818502E+03	1.327337E-01	1.431258E-03
3.828446E+03	1.313838E-01	1.406958E-03
3.838390E+03	1.302592E-01	1.385269E-03
3.848334E+03	1.293496E-01	1.366033E-03
3.858278E+03	1.286297E-01	1.348940E-03
3.868222E+03	1.280587E-01	1.333527E-03
3.878166E+03	1.275873E-01	1.319252E-03
3.888110E+03	1.271632E-01	1.305561E-03
3.898054E+03	1.267321E-01	1.291893E-03
3.907998E+03	1.262461E-01	1.277770E-03
3.917942E+03	1.256715E-01	1.262867E-03
3.927886E+03	1.249908E-01	1.247034E-03
3.937830E+03	1.242074E-01	1.230330E-03
3.947774E+03	1.233489E-01	1.213054E-03
3.957718E+03	1.224613E-01	1.195675E-03
3.967662E+03	1.216110E-01	1.178846E-03
3.977606E+03	1.208785E-01	1.163340E-03
3.987550E+03	1.203488E-01	1.149948E-03
3.997494E+03	1.200983E-01	1.139358E-03
4.007438E+03	1.201621E-01	1.131851E-03
4.017382E+03	1.205104E-01	1.127091E-03
4.027326E+03	1.210633E-01	1.124287E-03
4.037270E+03	1.217137E-01	1.122419E-03
4.047214E+03	1.223323E-01	1.120295E-03
4.057158E+03	1.227900E-01	1.116756E-03
4.067102E+03	1.229839E-01	1.110914E-03
4.077046E+03	1.228640E-01	1.102377E-03
4.086990E+03	1.224251E-01	1.091167E-03
4.096934E+03	1.217000E-01	1.077637E-03
4.106878E+03	1.207547E-01	1.062425E-03
4.116822E+03	1.196727E-01	1.046304E-03
4.126766E+03	1.185316E-01	1.029975E-03
4.136710E+03	1.173876E-01	1.013940E-03
4.146654E+03	1.162779E-01	9.985205E-04
4.156598E+03	1.152220E-01	9.838839E-04
4.166542E+03	1.142234E-01	9.700551E-04
4.176486E+03	1.132756E-01	9.569772E-04
4.186430E+03	1.123884E-01	9.447295E-04
4.196374E+03	1.115937E-01	9.335757E-04
4.206318E+03	1.109367E-01	9.238865E-04
4.216262E+03	1.104662E-01	9.160562E-04
4.226206E+03	1.102250E-01	9.104254E-04
4.236150E+03	1.102382E-01	9.071859E-04
4.246094E+03	1.104872E-01	9.061724E-04
4.256039E+03	1.108928E-01	9.067300E-04
4.265983E+03	1.113374E-01	9.078999E-04
4.275927E+03	1.117008E-01	9.087149E-04
4.285871E+03	1.118818E-01	9.083701E-04
4.295815E+03	1.118107E-01	9.063203E-04
4.305759E+03	1.114718E-01	9.024559E-04
