#wls	flux	fluxerr
1.591042E+03	1.744634E-04	1.433106E-08
1.630818E+03	1.810750E-04	1.487416E-08
1.670595E+03	1.871525E-04	1.537338E-08
1.710371E+03	1.927899E-04	1.583646E-08
1.750147E+03	1.978881E-04	1.625524E-08
1.789923E+03	2.020638E-04	1.659825E-08
1.829699E+03	2.049698E-04	1.683695E-08
1.869475E+03	2.060766E-04	1.692787E-08
1.909251E+03	2.047463E-04	1.681859E-08
1.949027E+03	2.008329E-04	1.649712E-08
1.988803E+03	1.942672E-04	1.595780E-08
2.028579E+03	1.864582E-04	1.531633E-08
2.068355E+03	1.797038E-04	1.476150E-08
2.108131E+03	1.773810E-04	1.457070E-08
2.147907E+03	1.826415E-04	1.500281E-08
2.187683E+03	1.975791E-04	1.622983E-08
2.227459E+03	2.226878E-04	1.829235E-08
2.267235E+03	2.574015E-04	2.114384E-08
2.307012E+03	3.004307E-04	2.467841E-08
2.346788E+03	3.502823E-04	2.877338E-08
2.386564E+03	4.055735E-04	3.331518E-08
2.426340E+03	4.644750E-04	3.815355E-08
2.466116E+03	5.255712E-04	4.317219E-08
2.505892E+03	5.863881E-04	4.816788E-08
2.545668E+03	6.447278E-04	5.296009E-08
2.585444E+03	6.981941E-04	5.735198E-08
2.625220E+03	7.443341E-04	6.114206E-08
2.664996E+03	7.820092E-04	6.423681E-08
2.704772E+03	8.106806E-04	6.659195E-08
2.744548E+03	8.309513E-04	6.825705E-08
2.784324E+03	8.443166E-04	6.935490E-08
2.824100E+03	8.520565E-04	6.999067E-08
2.863876E+03	8.565120E-04	7.035664E-08
2.903652E+03	8.588105E-04	7.054543E-08
2.943428E+03	8.611737E-04	7.073953E-08
2.983205E+03	8.645408E-04	7.101610E-08
2.993149E+03	8.656703E-04	7.110888E-08
3.003093E+03	8.670861E-04	7.122518E-08
3.013037E+03	8.686389E-04	7.135273E-08
3.022981E+03	8.703644E-04	7.149446E-08
3.032925E+03	8.725112E-04	7.167080E-08
3.042869E+03	8.750166E-04	7.187660E-08
3.052813E+03	8.778642E-04	7.211050E-08
3.062757E+03	8.811909E-04	7.238377E-08
3.072701E+03	8.849817E-04	7.269515E-08
3.082645E+03	8.890744E-04	7.303134E-08
3.092589E+03	8.936088E-04	7.340380E-08
3.102533E+03	8.985754E-04	7.381177E-08
3.112477E+03	9.038202E-04	7.424259E-08
3.122421E+03	9.094844E-04	7.470786E-08
3.132365E+03	9.155620E-04	7.520709E-08
3.142309E+03	9.220487E-04	7.573992E-08
