#wls	flux	fluxerr
1.591042E+03	6.608982E-06	1.730767E-06
1.630818E+03	6.790984E-06	1.770172E-06
1.670595E+03	6.937962E-06	1.799817E-06
1.710371E+03	7.043072E-06	1.818048E-06
1.750147E+03	7.101157E-06	1.823685E-06
1.789923E+03	7.104040E-06	1.814815E-06
1.829699E+03	7.032676E-06	1.786816E-06
1.869475E+03	6.882457E-06	1.738838E-06
1.909251E+03	6.634394E-06	1.666458E-06
1.949027E+03	6.293350E-06	1.571345E-06
1.988803E+03	5.875106E-06	1.457867E-06
2.028579E+03	5.426928E-06	1.338080E-06
2.068355E+03	5.024421E-06	1.230694E-06
2.108131E+03	4.754790E-06	1.156749E-06
2.147907E+03	4.681944E-06	1.131051E-06
2.187683E+03	4.822432E-06	1.156568E-06
2.227459E+03	5.154984E-06	1.227098E-06
2.267235E+03	5.623678E-06	1.328354E-06
2.307012E+03	6.169073E-06	1.445590E-06
2.346788E+03	6.733843E-06	1.564974E-06
2.386564E+03	7.286242E-06	1.678995E-06
2.426340E+03	7.806013E-06	1.783019E-06
2.466116E+03	8.281707E-06	1.874572E-06
2.505892E+03	8.712103E-06	1.953580E-06
2.545668E+03	9.100409E-06	2.020974E-06
2.585444E+03	9.455526E-06	2.078922E-06
2.625220E+03	9.780826E-06	2.128319E-06
2.664996E+03	1.008687E-05	2.171588E-06
2.704772E+03	1.037742E-05	2.209611E-06
2.744548E+03	1.065975E-05	2.243979E-06
2.784324E+03	1.094128E-05	2.276248E-06
2.824100E+03	1.123352E-05	2.308742E-06
2.863876E+03	1.154479E-05	2.343017E-06
2.903652E+03	1.187605E-05	2.379069E-06
2.943428E+03	1.224473E-05	2.420131E-06
2.983205E+03	1.265761E-05	2.467162E-06
2.993149E+03	1.277120E-05	2.480477E-06
3.003093E+03	1.288855E-05	2.494317E-06
3.013037E+03	1.300559E-05	2.507893E-06
3.022981E+03	1.313137E-05	2.522942E-06
3.032925E+03	1.326316E-05	2.538920E-06
3.042869E+03	1.340249E-05	2.556107E-06
3.052813E+03	1.354486E-05	2.573628E-06
3.062757E+03	1.369894E-05	2.593119E-06
3.072701E+03	1.386035E-05	2.613727E-06
3.082645E+03	1.402909E-05	2.635434E-06
3.092589E+03	1.420522E-05	2.658233E-06
3.102533E+03	1.438419E-05	2.681261E-06
3.112477E+03	1.457531E-05	2.706234E-06
3.122421E+03	1.477414E-05	2.732309E-06
3.132365E+03	1.498088E-05	2.759498E-06
3.142309E+03	1.519574E-05	2.787822E-06
3.152253E+03	1.541895E-05	2.817304E-06
3.162197E+03	1.565079E-05	2.847974E-06
3.172141E+03	1.589157E-05	2.879867E-06
3.182085E+03	1.614162E-05	2.913021E-06
3.192029E+03	1.640132E-05	2.947477E-06
3.201973E+03	1.667105E-05	2.983285E-06
3.211917E+03	1.695125E-05	3.020493E-06
3.221861E+03	1.724239E-05	3.059160E-06
3.231805E+03	1.755042E-05	3.100309E-06
3.241749E+03	1.786501E-05	3.142083E-06
3.251693E+03	1.819211E-05	3.185506E-06
3.261637E+03	1.853232E-05	3.230647E-06
3.271581E+03	1.888626E-05	3.277585E-06
3.281525E+03	1.926053E-05	3.327422E-06
3.291469E+03	1.964406E-05	3.378205E-06
3.301413E+03	2.004343E-05	3.431034E-06
3.311357E+03	2.045940E-05	3.485999E-06
3.321301E+03	2.089918E-05	3.544279E-06
3.331245E+03	2.135097E-05	3.603823E-06
3.341189E+03	2.182194E-05	3.665801E-06
3.351133E+03	2.231980E-05	3.731454E-06
3.361077E+03	2.283211E-05	3.798645E-06
3.371021E+03	2.337361E-05	3.869773E-06
3.380965E+03	2.393140E-05	3.942638E-06
3.390909E+03	2.451351E-05	4.018514E-06
3.400853E+03	2.512864E-05	4.098757E-06
3.410797E+03	2.576311E-05	4.181058E-06
3.420741E+03	2.643346E-05	4.268039E-06
3.430685E+03	2.712537E-05	4.357305E-06
3.440629E+03	2.785622E-05	4.451576E-06
3.450573E+03	2.861960E-05	4.549729E-06
3.460517E+03	2.940823E-05	4.650530E-06
3.470461E+03	3.024089E-05	4.756864E-06
3.480405E+03	3.110151E-05	4.866100E-06
3.490349E+03	3.200984E-05	4.981237E-06
3.500293E+03	3.295863E-05	5.101029E-06
3.510237E+03	3.393976E-05	5.224115E-06
3.520181E+03	3.497460E-05	5.353680E-06
3.530125E+03	3.605536E-05	5.488397E-06
3.540069E+03	3.717309E-05	5.626787E-06
3.550013E+03	3.835109E-05	5.772260E-06
3.559957E+03	3.958087E-05	5.923383E-06
3.569901E+03	4.086440E-05	6.080311E-06
3.579845E+03	4.219163E-05	6.241414E-06
3.589789E+03	4.358861E-05	6.410406E-06
3.599734E+03	4.504566E-05	6.585684E-06
3.609678E+03	4.656493E-05	6.767400E-06
3.619622E+03	4.814860E-05	6.955704E-06
3.629566E+03	4.979881E-05	7.150732E-06
3.639510E+03	5.151779E-05	7.352622E-06
3.649454E+03	5.329257E-05	7.559352E-06
3.659398E+03	5.515508E-05	7.775272E-06
3.669342E+03	5.709278E-05	7.998394E-06
3.679286E+03	5.910783E-05	8.228820E-06
3.689230E+03	6.120227E-05	8.466624E-06
3.699174E+03	6.337813E-05	8.711875E-06
3.709118E+03	6.563738E-05	8.964629E-06
3.719062E+03	6.798193E-05	9.224926E-06
3.729006E+03	7.041358E-05	9.492782E-06
3.738950E+03	7.293406E-05	9.768201E-06
3.748894E+03	7.554499E-05	1.005117E-05
3.758838E+03	7.824785E-05	1.034165E-05
3.768782E+03	8.104405E-05	1.063958E-05
3.778726E+03	8.395793E-05	1.094791E-05
3.788670E+03	8.694511E-05	1.126058E-05
3.798614E+03	9.002889E-05	1.158040E-05
3.808558E+03	9.321000E-05	1.190723E-05
3.818502E+03	9.648908E-05	1.224090E-05
3.828446E+03	9.986645E-05	1.258122E-05
3.838390E+03	1.033423E-04	1.292797E-05
3.848334E+03	1.069457E-04	1.328452E-05
3.858278E+03	1.106192E-04	1.364347E-05
3.868222E+03	1.143905E-04	1.400807E-05
3.878166E+03	1.182589E-04	1.437801E-05
3.888110E+03	1.222235E-04	1.475294E-05
3.898054E+03	1.263171E-04	1.513659E-05
3.907998E+03	1.304714E-04	1.552056E-05
3.917942E+03	1.347179E-04	1.590842E-05
3.927886E+03	1.390544E-04	1.629977E-05
3.937830E+03	1.435173E-04	1.669863E-05
3.947774E+03	1.480289E-04	1.709578E-05
3.957718E+03	1.526239E-04	1.749514E-05
3.967662E+03	1.573408E-04	1.790096E-05
3.977606E+03	1.620950E-04	1.830342E-05
3.987550E+03	1.669236E-04	1.870670E-05
3.997494E+03	1.718683E-04	1.911534E-05
4.007438E+03	1.768366E-04	1.951892E-05
4.017382E+03	1.818688E-04	1.992191E-05
4.027326E+03	1.870097E-04	2.032913E-05
4.037270E+03	1.921591E-04	2.072963E-05
4.047214E+03	1.973603E-04	2.112815E-05
4.057158E+03	2.026616E-04	2.152982E-05
4.067102E+03	2.079549E-04	2.192317E-05
4.077046E+03	2.132869E-04	2.231324E-05
4.086990E+03	2.187095E-04	2.270549E-05
4.096934E+03	2.241066E-04	2.308793E-05
4.106878E+03	2.295874E-04	2.347197E-05
4.116822E+03	2.350307E-04	2.384529E-05
4.126766E+03	2.404893E-04	2.421351E-05
4.136710E+03	2.460209E-04	2.458256E-05
4.146654E+03	2.514964E-04	2.493972E-05
4.156598E+03	2.570374E-04	2.529730E-05
4.166542E+03	2.625097E-04	2.564230E-05
4.176486E+03	2.679720E-04	2.598080E-05
4.186430E+03	2.734878E-04	2.631921E-05
4.196374E+03	2.789150E-04	2.664413E-05
4.206318E+03	2.843872E-04	2.696867E-05
4.216262E+03	2.897569E-04	2.727919E-05
4.226206E+03	2.951622E-04	2.758908E-05
4.236150E+03	3.004503E-04	2.788442E-05
4.246094E+03	3.057635E-04	2.817889E-05
4.256039E+03	3.109439E-04	2.845831E-05
4.265983E+03	3.160590E-04	2.872944E-05
4.275927E+03	3.211808E-04	2.899923E-05
4.285871E+03	3.261430E-04	2.925314E-05
4.295815E+03	3.310973E-04	2.950531E-05
4.305759E+03	3.358725E-04	2.974100E-05
4.315703E+03	3.406230E-04	2.997447E-05
4.325647E+03	3.451730E-04	3.019076E-05
4.335591E+03	3.496804E-04	3.040433E-05
4.345535E+03	3.539660E-04	3.060014E-05
4.355479E+03	3.581055E-04	3.078541E-05
4.365423E+03	3.621793E-04	3.096762E-05
4.375367E+03	3.660077E-04	3.113197E-05
4.385311E+03	3.697664E-04	3.129405E-05
4.395255E+03	3.732775E-04	3.143933E-05
4.405199E+03	3.767217E-04	3.158364E-05
4.415143E+03	3.799209E-04	3.171258E-05
4.425087E+03	3.829680E-04	3.183448E-05
