#wls	flux	fluxerr
1.600000E+03	1.189796E-17	1.550443E-18
1.640000E+03	1.215633E-17	1.576853E-18
1.680000E+03	1.241324E-17	1.602577E-18
1.720000E+03	1.267570E-17	1.628501E-18
1.760000E+03	1.293400E-17	1.653360E-18
1.800000E+03	1.319499E-17	1.678016E-18
1.840000E+03	1.344856E-17	1.701165E-18
1.880000E+03	1.369707E-17	1.723105E-18
1.920000E+03	1.394293E-17	1.744132E-18
1.960000E+03	1.417548E-17	1.762907E-18
2.000000E+03	1.440124E-17	1.780251E-18
2.040000E+03	1.460940E-17	1.794832E-18
2.080000E+03	1.480651E-17	1.807475E-18
2.120000E+03	1.498610E-17	1.817407E-18
2.160000E+03	1.515047E-17	1.824932E-18
2.200000E+03	1.528912E-17	1.828818E-18
2.240000E+03	1.540898E-17	1.829940E-18
2.280000E+03	1.550436E-17	1.827664E-18
2.320000E+03	1.557837E-17	1.822410E-18
2.360000E+03	1.562604E-17	1.813649E-18
2.400000E+03	1.565122E-17	1.801889E-18
2.440000E+03	1.564991E-17	1.786732E-18
2.480000E+03	1.562284E-17	1.768334E-18
2.520000E+03	1.557912E-17	1.747790E-18
2.560000E+03	1.551246E-17	1.724451E-18
2.600000E+03	1.542903E-17	1.699067E-18
2.640000E+03	1.532784E-17	1.671587E-18
2.680000E+03	1.521954E-17	1.643222E-18
2.720000E+03	1.510415E-17	1.614001E-18
2.760000E+03	1.498252E-17	1.584044E-18
2.800000E+03	1.486627E-17	1.554596E-18
2.840000E+03	1.475394E-17	1.525492E-18
2.880000E+03	1.465781E-17	1.497982E-18
2.920000E+03	1.458089E-17	1.472319E-18
2.960000E+03	1.453316E-17	1.449434E-18
3.000000E+03	1.451631E-17	1.429388E-18
3.010000E+03	1.451970E-17	1.425079E-18
3.020000E+03	1.452552E-17	1.420988E-18
3.030000E+03	1.453392E-17	1.417123E-18
3.040000E+03	1.454802E-17	1.413787E-18
3.050000E+03	1.456210E-17	1.410421E-18
3.060000E+03	1.458220E-17	1.407607E-18
3.070000E+03	1.460557E-17	1.405074E-18
3.080000E+03	1.463239E-17	1.402838E-18
3.090000E+03	1.466288E-17	1.400915E-18
3.100000E+03	1.469724E-17	1.399321E-18
3.110000E+03	1.473568E-17	1.398071E-18
3.120000E+03	1.478131E-17	1.397457E-18
3.130000E+03	1.483149E-17	1.397220E-18
3.140000E+03	1.488646E-17	1.397381E-18
3.150000E+03	1.494650E-17	1.397959E-18
3.160000E+03	1.501187E-17	1.398974E-18
3.170000E+03	1.508289E-17	1.400450E-18
3.180000E+03	1.516269E-17	1.402670E-18
3.190000E+03	1.524877E-17	1.405395E-18
3.200000E+03	1.534147E-17	1.408650E-18
3.210000E+03	1.544114E-17	1.412458E-18
3.220000E+03	1.554818E-17	1.416850E-18
3.230000E+03	1.566588E-17	1.422117E-18
3.240000E+03	1.578890E-17	1.427763E-18
3.250000E+03	1.592350E-17	1.434346E-18
3.260000E+03	1.606728E-17	1.441640E-18
3.270000E+03	1.622075E-17	1.449679E-18
3.280000E+03	1.638742E-17	1.458765E-18
3.290000E+03	1.656200E-17	1.468416E-18
3.300000E+03	1.675103E-17	1.479199E-18
3.310000E+03	1.695223E-17	1.490898E-18
3.320000E+03	1.716632E-17	1.503563E-18
3.330000E+03	1.739407E-17	1.517245E-18
3.340000E+03	1.763935E-17	1.532268E-18
3.350000E+03	1.789692E-17	1.548157E-18
3.360000E+03	1.817387E-17	1.565509E-18
3.370000E+03	1.846811E-17	1.584125E-18
3.380000E+03	1.878393E-17	1.604348E-18
3.390000E+03	1.911603E-17	1.625706E-18
3.400000E+03	1.947210E-17	1.648832E-18
3.410000E+03	1.984684E-17	1.673249E-18
3.420000E+03	2.024825E-17	1.699611E-18
3.430000E+03	2.067448E-17	1.727730E-18
3.440000E+03	2.113058E-17	1.757998E-18
3.450000E+03	2.161118E-17	1.789939E-18
3.460000E+03	2.212511E-17	1.824250E-18
3.470000E+03	2.267069E-17	1.860755E-18
3.480000E+03	2.324983E-17	1.899576E-18
3.490000E+03	2.386843E-17	1.941152E-18
3.500000E+03	2.452096E-17	1.984991E-18
3.510000E+03	2.521749E-17	2.031865E-18
3.520000E+03	2.595650E-17	2.081600E-18
3.530000E+03	2.674039E-17	2.134342E-18
3.540000E+03	2.757173E-17	2.190240E-18
3.550000E+03	2.845757E-17	2.249798E-18
3.560000E+03	2.939637E-17	2.312831E-18
3.570000E+03	3.039086E-17	2.379493E-18
3.580000E+03	3.144384E-17	2.449936E-18
3.590000E+03	3.255813E-17	2.524312E-18
3.600000E+03	3.374172E-17	2.603167E-18
3.610000E+03	3.498720E-17	2.685850E-18
3.620000E+03	3.630790E-17	2.773309E-18
3.630000E+03	3.770131E-17	2.865267E-18
3.640000E+03	3.917595E-17	2.962284E-18
3.650000E+03	4.072268E-17	3.063578E-18
3.660000E+03	4.235583E-17	3.170140E-18
3.670000E+03	4.407161E-17	3.281587E-18
3.680000E+03	4.587190E-17	3.397964E-18
3.690000E+03	4.776532E-17	3.519810E-18
3.700000E+03	4.973935E-17	3.646102E-18
3.710000E+03	5.180921E-17	3.777857E-18
3.720000E+03	5.396841E-17	3.914496E-18
3.730000E+03	5.621705E-17	4.055926E-18
3.740000E+03	5.856313E-17	4.202621E-18
3.750000E+03	6.098925E-17	4.353230E-18
3.760000E+03	6.351109E-17	4.508778E-18
3.770000E+03	6.611825E-17	4.668426E-18
3.780000E+03	6.880818E-17	4.831902E-18
3.790000E+03	7.158771E-17	4.999593E-18
3.800000E+03	7.443343E-17	5.169780E-18
3.810000E+03	7.736138E-17	5.343501E-18
3.820000E+03	8.035671E-17	5.519652E-18
3.830000E+03	8.341403E-17	5.697797E-18
3.840000E+03	8.653928E-17	5.878282E-18
3.850000E+03	8.970297E-17	6.059047E-18
3.860000E+03	9.292240E-17	6.241226E-18
3.870000E+03	9.617885E-17	6.423521E-18
3.880000E+03	9.946514E-17	6.605426E-18
3.890000E+03	1.027876E-16	6.787342E-18
3.900000E+03	1.061117E-16	6.966988E-18
3.910000E+03	1.094577E-16	7.145699E-18
3.920000E+03	1.128045E-16	7.322094E-18
3.930000E+03	1.161443E-16	7.495708E-18
3.940000E+03	1.194852E-16	7.667083E-18
3.950000E+03	1.227893E-16	7.833825E-18
3.960000E+03	1.260805E-16	7.997520E-18
3.970000E+03	1.293361E-16	8.156778E-18
3.980000E+03	1.325488E-16	8.311204E-18
3.990000E+03	1.357286E-16	8.461512E-18
4.000000E+03	1.388344E-16	8.605214E-18
4.010000E+03	1.418936E-16	8.744112E-18
4.020000E+03	1.448820E-16	8.876811E-18
4.030000E+03	1.477923E-16	9.002973E-18
4.040000E+03	1.506174E-16	9.122292E-18
4.050000E+03	1.533687E-16	9.235577E-18
4.060000E+03	1.560019E-16	9.340296E-18
4.070000E+03	1.585477E-16	9.438439E-18
4.080000E+03	1.609809E-16	9.528645E-18
4.090000E+03	1.633152E-16	9.611865E-18
4.100000E+03	1.655064E-16	9.685672E-18
4.110000E+03	1.675705E-16	9.751166E-18
4.120000E+03	1.695249E-16	9.809534E-18
4.130000E+03	1.713498E-16	9.859776E-18
4.140000E+03	1.730469E-16	9.902167E-18
4.150000E+03	1.746203E-16	9.937096E-18
4.160000E+03	1.760970E-16	9.966255E-18
4.170000E+03	1.774454E-16	9.987998E-18
4.180000E+03	1.787175E-16	1.000540E-17
4.190000E+03	1.799063E-16	1.001818E-17
4.200000E+03	1.810265E-16	1.002726E-17
4.210000E+03	1.820942E-16	1.003364E-17
4.220000E+03	1.831465E-16	1.003945E-17
4.230000E+03	1.841587E-16	1.004338E-17
4.240000E+03	1.851874E-16	1.004859E-17
4.250000E+03	1.862266E-16	1.005479E-17
4.260000E+03	1.872886E-16	1.006266E-17
4.270000E+03	1.883836E-16	1.007280E-17
4.280000E+03	1.895190E-16	1.008560E-17
4.290000E+03	1.906988E-16	1.010132E-17
4.300000E+03	1.919451E-16	1.012112E-17
4.310000E+03	1.932352E-16	1.014382E-17
4.320000E+03	1.945432E-16	1.016810E-17
4.330000E+03	1.959034E-16	1.019578E-17
4.340000E+03	1.972857E-16	1.022533E-17
4.350000E+03	1.987006E-16	1.025733E-17
4.360000E+03	2.000961E-16	1.028915E-17
4.370000E+03	2.014841E-16	1.032148E-17
4.380000E+03	2.028797E-16	1.035515E-17
4.390000E+03	2.042601E-16	1.038905E-17
4.400000E+03	2.056070E-16	1.042234E-17
4.410000E+03	2.069699E-16	1.045759E-17
4.420000E+03	2.083391E-16	1.049437E-17
4.430000E+03	2.097292E-16	1.053347E-17
4.440000E+03	2.111559E-16	1.057573E-17
4.450000E+03	2.126558E-16	1.062304E-17
4.460000E+03	2.141998E-16	1.067398E-17
4.470000E+03	2.158413E-16	1.073123E-17
4.480000E+03	2.175435E-16	1.079295E-17
4.490000E+03	2.193507E-16	1.086134E-17
4.500000E+03	2.212370E-16	1.093511E-17
4.510000E+03	2.231697E-16	1.101265E-17
4.520000E+03	2.251754E-16	1.109528E-17
4.530000E+03	2.272094E-16	1.118080E-17
4.540000E+03	2.292428E-16	1.126782E-17
4.550000E+03	2.312419E-16	1.135470E-17
4.560000E+03	2.331694E-16	1.143962E-17
4.570000E+03	2.350079E-16	1.152177E-17
4.580000E+03	2.366725E-16	1.159701E-17
4.590000E+03	2.381466E-16	1.166452E-17
4.600000E+03	2.394166E-16	1.172367E-17
4.610000E+03	2.404070E-16	1.177076E-17
4.620000E+03	2.411161E-16	1.180570E-17
4.630000E+03	2.415506E-16	1.182880E-17
4.640000E+03	2.416594E-16	1.183753E-17
4.650000E+03	2.414905E-16	1.183419E-17
4.660000E+03	2.410349E-16	1.181829E-17
4.670000E+03	2.402939E-16	1.178983E-17
4.680000E+03	2.393425E-16	1.175243E-17
4.690000E+03	2.381765E-16	1.170579E-17
