#wls	flux	fluxerr
1.600000E+03	1.832953E-16	1.360298E-16
1.640000E+03	1.863433E-16	1.317142E-16
1.680000E+03	1.898610E-16	1.273627E-16
1.720000E+03	1.938398E-16	1.229635E-16
1.760000E+03	1.983472E-16	1.185692E-16
1.800000E+03	2.036068E-16	1.143338E-16
1.840000E+03	2.095292E-16	1.102453E-16
1.880000E+03	2.162374E-16	1.064476E-16
1.920000E+03	2.237474E-16	1.030635E-16
1.960000E+03	2.321218E-16	1.002789E-16
2.000000E+03	2.413093E-16	9.825867E-17
2.040000E+03	2.511619E-16	9.713759E-17
2.080000E+03	2.617581E-16	9.710012E-17
2.120000E+03	2.733016E-16	9.828287E-17
2.160000E+03	2.858629E-16	1.006688E-16
2.200000E+03	3.001302E-16	1.043789E-16
2.240000E+03	3.163571E-16	1.093334E-16
2.280000E+03	3.350438E-16	1.155148E-16
2.320000E+03	3.564316E-16	1.227878E-16
2.360000E+03	3.806300E-16	1.309444E-16
2.400000E+03	4.073211E-16	1.396318E-16
2.440000E+03	4.356760E-16	1.483937E-16
2.480000E+03	4.648342E-16	1.569331E-16
2.520000E+03	4.931662E-16	1.649503E-16
2.560000E+03	5.191947E-16	1.724724E-16
2.600000E+03	5.411814E-16	1.795915E-16
2.640000E+03	5.577421E-16	1.864071E-16
2.680000E+03	5.684399E-16	1.929432E-16
2.720000E+03	5.733094E-16	1.988745E-16
2.760000E+03	5.731590E-16	2.037449E-16
2.800000E+03	5.692919E-16	2.071236E-16
2.840000E+03	5.628546E-16	2.085952E-16
2.880000E+03	5.552955E-16	2.080459E-16
2.920000E+03	5.474234E-16	2.053386E-16
2.960000E+03	5.404310E-16	2.006610E-16
3.000000E+03	5.349856E-16	1.941304E-16
3.010000E+03	5.339319E-16	1.922254E-16
3.020000E+03	5.330795E-16	1.902387E-16
3.030000E+03	5.323381E-16	1.881377E-16
3.040000E+03	5.317143E-16	1.859251E-16
3.050000E+03	5.313049E-16	1.836350E-16
3.060000E+03	5.311122E-16	1.812679E-16
3.070000E+03	5.310501E-16	1.787944E-16
3.080000E+03	5.312114E-16	1.762464E-16
3.090000E+03	5.315982E-16	1.736247E-16
3.100000E+03	5.321271E-16	1.709024E-16
3.110000E+03	5.328873E-16	1.681095E-16
3.120000E+03	5.339641E-16	1.652727E-16
3.130000E+03	5.351914E-16	1.623410E-16
3.140000E+03	5.366551E-16	1.593424E-16
3.150000E+03	5.383568E-16	1.562787E-16
3.160000E+03	5.402979E-16	1.531520E-16
3.170000E+03	5.424796E-16	1.499651E-16
3.180000E+03	5.449817E-16	1.467421E-16
3.190000E+03	5.477250E-16	1.434640E-16
3.200000E+03	5.507106E-16	1.401351E-16
3.210000E+03	5.539391E-16	1.367605E-16
3.220000E+03	5.574866E-16	1.333640E-16
3.230000E+03	5.613516E-16	1.299502E-16
3.240000E+03	5.654577E-16	1.265076E-16
3.250000E+03	5.698047E-16	1.230446E-16
3.260000E+03	5.745394E-16	1.196010E-16
3.270000E+03	5.795120E-16	1.161535E-16
3.280000E+03	5.847946E-16	1.127267E-16
3.290000E+03	5.903128E-16	1.093164E-16
3.300000E+03	5.962099E-16	1.059595E-16
3.310000E+03	6.024118E-16	1.026513E-16
3.320000E+03	6.089177E-16	9.940091E-17
3.330000E+03	6.157983E-16	9.622766E-17
3.340000E+03	6.229124E-16	9.311593E-17
3.350000E+03	6.304035E-16	9.009289E-17
3.360000E+03	6.382741E-16	8.716074E-17
3.370000E+03	6.464579E-16	8.431061E-17
3.380000E+03	6.549604E-16	8.154194E-17
3.390000E+03	6.639258E-16	7.886825E-17
3.400000E+03	6.732191E-16	7.626602E-17
3.410000E+03	6.829805E-16	7.374212E-17
3.420000E+03	6.930683E-16	7.126921E-17
3.430000E+03	7.036095E-16	6.884679E-17
3.440000E+03	7.145139E-16	6.644950E-17
3.450000E+03	7.257478E-16	6.405708E-17
3.460000E+03	7.373308E-16	6.165370E-17
3.470000E+03	7.491279E-16	5.921168E-17
3.480000E+03	7.611209E-16	5.671710E-17
