#wls	flux	fluxerr
1.592975E+03	2.095214E-03	9.526714E-06
1.632799E+03	2.006889E-03	9.125095E-06
1.672624E+03	1.920127E-03	8.730579E-06
1.712448E+03	1.836505E-03	8.350344E-06
1.752272E+03	1.758020E-03	7.993463E-06
1.792097E+03	1.686786E-03	7.669558E-06
1.831921E+03	1.625447E-03	7.390643E-06
1.871746E+03	1.577062E-03	7.170631E-06
1.911570E+03	1.545292E-03	7.026165E-06
1.951394E+03	1.533899E-03	6.974349E-06
1.991219E+03	1.546957E-03	7.033706E-06
2.031043E+03	1.588206E-03	7.221245E-06
2.070867E+03	1.660671E-03	7.550713E-06
2.110692E+03	1.764906E-03	8.024634E-06
2.150516E+03	1.899339E-03	8.635855E-06
2.190341E+03	2.057518E-03	9.355041E-06
2.230165E+03	2.229751E-03	1.013812E-05
2.269989E+03	2.404621E-03	1.093320E-05
2.309814E+03	2.572527E-03	1.169660E-05
2.349638E+03	2.728251E-03	1.240461E-05
2.389462E+03	2.871747E-03	1.305702E-05
2.429287E+03	3.005288E-03	1.366417E-05
2.469111E+03	3.131949E-03	1.424004E-05
2.508936E+03	3.255130E-03	1.480008E-05
2.548760E+03	3.379012E-03	1.536331E-05
2.588584E+03	3.509930E-03	1.595853E-05
2.628409E+03	3.654115E-03	1.661406E-05
2.668233E+03	3.814381E-03	1.734271E-05
2.708057E+03	3.988781E-03	1.813562E-05
2.747882E+03	4.177431E-03	1.899332E-05
2.787706E+03	4.381601E-03	1.992157E-05
2.827531E+03	4.604876E-03	2.093669E-05
2.867355E+03	4.850748E-03	2.205455E-05
2.907179E+03	5.122633E-03	2.329068E-05
2.947004E+03	5.423481E-03	2.465848E-05
2.986828E+03	5.755938E-03	2.617000E-05
2.996784E+03	5.844346E-03	2.657194E-05
3.006740E+03	5.934999E-03	2.698410E-05
3.016696E+03	6.027653E-03	2.740535E-05
3.026652E+03	6.122848E-03	2.783815E-05
3.036609E+03	6.220075E-03	2.828019E-05
3.046565E+03	6.319622E-03	2.873278E-05
3.056521E+03	6.421515E-03	2.919604E-05
3.066477E+03	6.526046E-03	2.967129E-05
